timestamp,x,y,z,w
1528278255102910,-0.108459,-0.654968,0.110168,0.739685
1528278255119863,-0.107239,-0.655273,0.109741,0.739624
1528278255134824,-0.105774,-0.655579,0.109253,0.739685
1528278255155769,-0.104309,-0.655884,0.108643,0.739685
1528278255180701,-0.102905,-0.656189,0.108093,0.739685
1528278255195676,-0.101685,-0.656433,0.1073,0.739746
1528278255246526,-0.100464,-0.656677,0.106506,0.739807
1528278255246526,-0.0994873,-0.656921,0.105713,0.739807
1528278255255502,-0.0986938,-0.657104,0.104919,0.739868
1528278255270461,-0.0980835,-0.657166,0.104126,0.740051
1528278255286420,-0.0977783,-0.656982,0.103333,0.740356
1528278255306366,-0.0983276,-0.656799,0.102539,0.74054
1528278255328307,-0.0994873,-0.656616,0.101807,0.740662
1528278255373188,-0.100952,-0.65625,0.10199,0.740784
1528278255383161,-0.103088,-0.655579,0.103943,0.740784
1528278255389144,-0.106262,-0.654907,0.107788,0.740417
1528278255411086,-0.112,-0.654297,0.113892,0.739136
1528278255427043,-0.121216,-0.653564,0.122192,0.737
1528278255456963,-0.134216,-0.652527,0.134338,0.733582
1528278255471924,-0.14856,-0.651672,0.149841,0.728516
1528278255494874,-0.165222,-0.649902,0.169922,0.722107
1528278255516803,-0.184265,-0.647095,0.194885,0.713684
1528278255538744,-0.204041,-0.642273,0.226624,0.703186
1528278255554702,-0.22345,-0.634644,0.26532,0.690552
1528278255577641,-0.243042,-0.62384,0.309326,0.675354
1528278255598584,-0.262939,-0.610352,0.356812,0.656555
1528278255614542,-0.282593,-0.593994,0.408264,0.632935
1528278255637481,-0.299622,-0.573792,0.464294,0.604492
1528278255658426,-0.312683,-0.548279,0.523376,0.572388
1528278255674383,-0.322388,-0.516968,0.583923,0.53656
1528278255697322,-0.326904,-0.477356,0.645874,0.498047
1528278255718264,-0.326721,-0.432434,0.704468,0.458252
1528278255735220,-0.322266,-0.384338,0.756592,0.419495
1528278255757161,-0.315735,-0.336365,0.801086,0.381287
1528278255778105,-0.306946,-0.28833,0.838989,0.344482
1528278255795061,-0.296143,-0.243103,0.870361,0.309265
1528278255824979,-0.283813,-0.203552,0.895142,0.276917
1528278255837944,-0.270325,-0.166626,0.9151,0.248291
1528278255854900,-0.256287,-0.134766,0.930603,0.223816
1528278255884821,-0.242188,-0.108887,0.942322,0.203613
1528278255898783,-0.228699,-0.088623,0.951172,0.187195
1528278255913753,-0.216125,-0.0732422,0.957825,0.1745
1528278255937679,-0.204956,-0.0622559,0.962769,0.164917
1528278255958622,-0.195435,-0.0563354,0.966248,0.158142
1528278255965612,-0.188232,-0.0529175,0.968567,0.153564
1528278255996521,-0.182983,-0.0488892,0.970154,0.151062
1528278256002505,-0.178833,-0.0444336,0.971313,0.150269
1528278256025444,-0.175476,-0.0411987,0.971985,0.150635
1528278256047386,-0.17334,-0.0396118,0.97229,0.151733
1528278256062345,-0.17218,-0.0388794,0.972412,0.152344
1528278256085285,-0.17157,-0.0383301,0.972595,0.151978
1528278256108228,-0.171631,-0.0377808,0.972839,0.150635
1528278256123183,-0.172241,-0.036438,0.973083,0.148621
1528278256154099,-0.174438,-0.0304565,0.973206,0.146545
1528278256168062,-0.178284,-0.0238037,0.973022,0.144104
1528278256183022,-0.180298,-0.0216675,0.9729,0.143127
1528278256215934,-0.179993,-0.0265503,0.973083,0.141174
1528278256227903,-0.179199,-0.0319824,0.973633,0.137268
1528278256242863,-0.180542,-0.0324097,0.974121,0.132019
1528278256264804,-0.182922,-0.0296631,0.974365,0.12738
1528278256287743,-0.184082,-0.0281372,0.974365,0.126038
1528278256302703,-0.18573,-0.0252686,0.973877,0.127808
1528278256326639,-0.188721,-0.0227661,0.973083,0.13031
1528278256347583,-0.191833,-0.0235596,0.972229,0.131653
1528278256367534,-0.195007,-0.0258179,0.971619,0.131348
1528278256385480,-0.198242,-0.0262451,0.971008,0.130676
1528278256407477,-0.199829,-0.0230713,0.970825,0.130432
1528278256424376,-0.201538,-0.0211182,0.970581,0.130005
1528278256445322,-0.203857,-0.0206299,0.970093,0.130005
1528278256468261,-0.205994,-0.0205078,0.969604,0.130066
1528278256484219,-0.207642,-0.0206299,0.969238,0.130127
1528278256505163,-0.20813,-0.019165,0.969177,0.13031
1528278256528104,-0.208008,-0.0188599,0.969238,0.130005
1528278256551520,-0.207886,-0.0194092,0.969299,0.129517
1528278256565281,-0.208008,-0.0195313,0.969299,0.129517
1528278256588369,-0.209229,-0.0199585,0.969116,0.129028
1528278256604180,-0.211243,-0.0195313,0.968628,0.129028
1528278256625121,-0.213806,-0.0152588,0.968201,0.128723
1528278256656064,-0.214722,-0.0214233,0.967957,0.128418
1528278256664383,-0.212097,-0.0281982,0.968262,0.128906
1528278256685589,-0.212036,-0.0288696,0.968506,0.127075
1528278256708494,-0.212585,-0.0281372,0.968994,0.12262
1528278256724862,-0.211548,-0.0302734,0.969421,0.120605
1528278256744815,-0.213196,-0.0289307,0.968872,0.12207
1528278256768347,-0.216187,-0.0254517,0.967896,0.125549
1528278256784992,-0.217896,-0.0227661,0.967285,0.127747
1528278256804913,-0.219299,-0.0231323,0.96698,0.127625
1528278256830840,-0.221191,-0.0239868,0.966614,0.126831
1528278256845800,-0.222046,-0.0223999,0.966492,0.12677
1528278256865921,-0.221924,-0.0206299,0.966492,0.127319
1528278256887805,-0.22113,-0.0189209,0.966675,0.127441
1528278256905641,-0.220581,-0.0178833,0.966736,0.128235
1528278256926684,-0.219299,-0.0166016,0.966919,0.129089
1528278256948530,-0.219055,-0.0172119,0.966919,0.129211
1528278256965481,-0.218567,-0.0169067,0.96698,0.129822
1528278256995834,-0.217957,-0.0150146,0.966919,0.131226
1528278257002948,-0.217041,-0.0140381,0.96698,0.132385
1528278257025750,-0.216431,-0.0148926,0.96698,0.133301
1528278257048851,-0.216248,-0.0167847,0.96698,0.133606
1528278257063892,-0.217163,-0.0201416,0.966858,0.132324
1528278257085590,-0.219055,-0.0200195,0.966492,0.132263
1528278257108529,-0.222961,-0.0170288,0.965881,0.13031
1528278257128505,-0.226868,-0.0214233,0.965271,0.127747
1528278257145430,-0.229065,-0.0270386,0.964722,0.12677
1528278257165380,-0.229858,-0.0286255,0.964905,0.123474
1528278257188539,-0.231567,-0.0286865,0.96521,0.117676
1528278257219473,-0.23175,-0.0273438,0.965759,0.113159
1528278257225217,-0.231018,-0.0249023,0.966125,0.112122
1528278257248197,-0.230957,-0.0217285,0.966003,0.113647
1528278257266379,-0.232544,-0.0184937,0.965393,0.116394
1528278257285300,-0.234436,-0.0174561,0.964722,0.118347
1528278257308255,-0.235718,-0.0185547,0.964294,0.119324
1528278257326525,-0.236511,-0.0175781,0.963989,0.120117
1528278257345474,-0.237915,-0.0150757,0.963562,0.121216
1528278257363411,-0.238953,-0.0137329,0.963257,0.12146
1528278257385349,-0.23999,-0.0145874,0.963013,0.121338
1528278257405295,-0.240662,-0.0148926,0.96283,0.12146
1528278257423833,-0.241394,-0.015564,0.962524,0.122498
1528278257446426,-0.241516,-0.0163574,0.962219,0.124451
1528278257468339,-0.241455,-0.0184326,0.961731,0.128235
1528278257505241,-0.241272,-0.0232544,0.960815,0.134399
1528278257507235,-0.240112,-0.0322876,0.959534,0.143311
1528278257526511,-0.237854,-0.0471191,0.957642,0.155212
1528278257551361,-0.234009,-0.0663452,0.954834,0.170593
1528278257566079,-0.228821,-0.0925903,0.950439,0.189026
1528278257594155,-0.22345,-0.125244,0.943481,0.210144
1528278257608583,-0.218445,-0.164063,0.933228,0.233276
1528278257625746,-0.214966,-0.209961,0.918396,0.257446
1528278257652720,-0.214111,-0.261108,0.898071,0.281799
1528278257668678,-0.215881,-0.31366,0.872131,0.307129
1528278257684589,-0.218872,-0.364746,0.840698,0.335083
1528278257705575,-0.221375,-0.412964,0.803162,0.36792
1528278257728472,-0.221802,-0.461304,0.756104,0.407715
1528278257744429,-0.218872,-0.505615,0.699036,0.45575
1528278257767395,-0.209717,-0.538086,0.639038,0.508057
1528278257788338,-0.202881,-0.572632,0.576599,0.546326
1528278257805313,-0.199768,-0.601013,0.520691,0.572449
1528278257827235,-0.192139,-0.620544,0.468201,0.598999
1528278257842208,-0.180237,-0.634705,0.417725,0.624634
1528278257865138,-0.164307,-0.646667,0.369629,0.646667
1528278257887225,-0.147949,-0.658875,0.320984,0.664001
1528278257902308,-0.134277,-0.670959,0.272278,0.676453
1528278257924974,-0.123474,-0.681763,0.223755,0.685486
1528278257947241,-0.111572,-0.68811,0.179993,0.694031
1528278257969154,-0.0951538,-0.689209,0.145447,0.70343
1528278257984814,-0.0739136,-0.686157,0.121155,0.71344
1528278258007767,-0.0526733,-0.681091,0.105225,0.722656
1528278258028745,-0.0343018,-0.675415,0.0967407,0.730225
1528278258046649,-0.0205688,-0.668823,0.0952759,0.737
1528278258067815,-0.012207,-0.664246,0.0970459,0.741089
1528278258088549,-0.0101318,-0.661926,0.100098,0.742798
1528278258106489,-0.012146,-0.660645,0.103638,0.743408
1528278258127433,-0.0157471,-0.659424,0.1073,0.743896
1528278258148688,-0.0197754,-0.657837,0.110413,0.744751
1528278258164641,-0.0249023,-0.655945,0.112,0.746033
1528278258187580,-0.0322876,-0.65387,0.111389,0.74762
1528278258209197,-0.0418701,-0.651489,0.108887,0.749634
1528278258224944,-0.0536499,-0.648743,0.104553,0.751892
1528278258247127,-0.0678101,-0.646118,0.0982056,0.753845
1528278258269824,-0.0836182,-0.643799,0.0903931,0.755249
1528278258284824,-0.0993652,-0.641418,0.0820923,0.756287
1528278258307723,-0.112671,-0.638855,0.0747681,0.757324
1528278258329011,-0.12207,-0.636353,0.069519,0.758484
1528278258344885,-0.127991,-0.63446,0.0664673,0.759338
1528278258367626,-0.131287,-0.633545,0.0654907,0.759705
1528278258388638,-0.132019,-0.633606,0.0667725,0.759399
1528278258404729,-0.13031,-0.63446,0.0705566,0.758606
