timestamp,x,y,z,w
1528442879280734,0.560547,0.297058,0.709656,-0.306396
1528442879303672,0.560364,0.297485,0.708801,-0.308289
1528442879320628,0.560242,0.297791,0.708008,-0.31012
1528442879348553,0.559998,0.298035,0.707275,-0.31189
1528442879364512,0.559753,0.298401,0.706543,-0.313599
1528442879382463,0.559387,0.298767,0.705872,-0.315491
1528442879408393,0.558899,0.299255,0.7052,-0.317383
1528442879446292,0.558411,0.299744,0.704529,-0.319214
1528442879447290,0.557983,0.300354,0.703796,-0.320984
1528442879470228,0.557617,0.301086,0.703064,-0.322632
1528442879484224,0.55719,0.301636,0.702454,-0.324097
1528442879500149,0.556946,0.302002,0.701904,-0.325378
1528442879523087,0.556702,0.302368,0.701416,-0.326538
1528442879544033,0.556396,0.302673,0.700989,-0.327576
1528442879580932,0.556091,0.303162,0.700562,-0.328674
1528442879588911,0.555542,0.304016,0.700195,-0.329468
1528442879603870,0.554993,0.304871,0.699951,-0.330139
1528442879626846,0.554565,0.305847,0.699768,-0.330444
1528442879641769,0.554016,0.30658,0.699768,-0.330566
1528442879663710,0.553467,0.307373,0.699768,-0.330872
1528442879678672,0.55249,0.308533,0.699707,-0.331421
1528442879701610,0.551392,0.31012,0.699646,-0.332031
1528442879723551,0.550415,0.311646,0.699585,-0.332275
1528442879738511,0.549561,0.312683,0.699829,-0.332214
1528442879761450,0.549072,0.31311,0.700195,-0.331848
1528442879784389,0.548523,0.31311,0.700745,-0.331604
1528442879799348,0.547974,0.313354,0.70105,-0.331604
1528442879821289,0.547241,0.313782,0.701355,-0.331726
1528442879844228,0.546448,0.314392,0.70166,-0.331787
1528442879859188,0.545837,0.314697,0.702087,-0.331665
1528442879881131,0.54541,0.314575,0.702637,-0.33136
1528442879905068,0.544922,0.314026,0.703369,-0.331177
1528442879919028,0.544312,0.313293,0.704224,-0.330994
1528442879941967,0.543701,0.312439,0.705139,-0.330811
1528442879963908,0.543213,0.311523,0.705933,-0.330872
1528442879978869,0.542725,0.31073,0.706543,-0.331177
1528442880001809,0.542114,0.310364,0.706848,-0.331787
1528442880023750,0.541199,0.310486,0.707031,-0.332764
1528442880039706,0.5401,0.311035,0.707214,-0.33374
1528442880062661,0.538879,0.311707,0.707458,-0.334534
1528442880083589,0.537598,0.312622,0.707703,-0.335083
1528442880099549,0.536438,0.31366,0.708008,-0.335449
1528442880121487,0.535339,0.314697,0.708313,-0.335571
1528442880152405,0.534241,0.315918,0.708679,-0.33551
1528442880159386,0.533203,0.317139,0.708923,-0.335388
1528442880181327,0.53241,0.318176,0.709106,-0.335266
1528442880204266,0.531799,0.318909,0.70929,-0.335205
1528442880218255,0.531311,0.319641,0.709167,-0.33551
1528442880241169,0.531006,0.320435,0.708679,-0.336243
1528442880264107,0.530823,0.32135,0.707947,-0.33728
1528442880278080,0.530762,0.322144,0.707031,-0.338379
1528442880301008,0.530945,0.322632,0.706116,-0.339539
1528442880324944,0.53125,0.32312,0.7052,-0.340576
1528442880339950,0.531433,0.323669,0.704346,-0.341492
1528442880368861,0.531616,0.324341,0.703552,-0.342285
1528442880383823,0.531921,0.324768,0.702759,-0.342957
1528442880398824,0.532227,0.325073,0.702148,-0.343567
1528442880421718,0.532349,0.3255,0.701416,-0.34436
1528442880443665,0.532349,0.32605,0.700806,-0.345154
1528442880458587,0.53241,0.326416,0.700256,-0.345764
1528442880481545,0.532532,0.326416,0.699829,-0.346313
1528442880504673,0.532715,0.326416,0.699463,-0.346924
1528442880519655,0.532593,0.326782,0.698975,-0.347717
1528442880541384,0.532166,0.327637,0.698486,-0.348511
1528442880564571,0.531738,0.328796,0.697998,-0.349121
1528442880580468,0.531311,0.329895,0.697632,-0.349426
1528442880603460,0.531067,0.330627,0.697449,-0.349426
1528442880624413,0.531006,0.331116,0.697327,-0.349426
