timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528449381922545,-3,-10,-5,-4,-1,-2,-1,-5
1528449381922545,6,3,7,0,0,-1,-2,0
1528449381923560,-2,-4,-18,-7,0,-2,-1,-3
1528449381923560,0,-1,-8,-2,-1,0,-2,-2
1528449381928527,2,1,3,0,-2,-1,-2,2
1528449381928527,-3,-5,1,0,0,-1,-1,1
1528449381928527,1,-1,4,-2,-1,-3,-1,-2
1528449381928527,1,-2,3,1,-1,0,-1,0
1528449381933513,-2,4,-2,-2,0,0,-1,-2
1528449381933513,1,-7,-1,-2,-3,-1,-2,-3
1528449381943488,1,6,2,-2,-2,-1,-4,0
1528449381943488,-1,-2,-2,0,-2,-2,0,0
1528449381948473,-2,-1,7,6,1,-1,-1,-1
1528449381948473,-3,-4,-12,-7,-1,-2,0,2
1528449381963433,-3,-2,4,0,0,-1,1,-1
1528449381963433,-1,0,5,-1,-1,-2,-2,-1
1528449381971413,-5,-2,-7,-4,1,0,0,-1
1528449381971413,-1,-3,3,4,-1,-1,-3,-3
1528449381994351,5,4,3,4,-1,0,-2,-3
1528449381994351,1,4,-1,-9,-3,-1,0,2
1528449381995349,1,-19,11,0,-1,-2,-2,0
1528449381995349,-20,-3,-25,-12,-2,-1,0,-9
1528449382008315,23,0,-3,-1,-1,-2,0,14
1528449382008315,6,1,12,4,1,0,-2,-6
1528449382050202,3,9,4,0,0,-2,0,-3
1528449382050202,-3,-7,1,0,-1,0,0,2
1528449382051200,7,-10,2,-2,-1,-1,-1,3
1528449382051200,-14,-2,-1,-1,0,0,-1,0
1528449382054196,-3,-1,-1,-1,-1,-1,-1,0
1528449382054196,-4,5,4,-2,-3,-1,-1,-4
1528449382055189,10,2,-11,-3,-2,-1,0,-2
1528449382055189,1,-8,3,1,-1,-2,-1,-2
1528449382060179,-3,-5,-5,-1,-2,0,1,0
1528449382060179,7,0,-3,1,-1,-3,-1,1
1528449382068156,-6,2,-1,-6,-1,-3,-2,-1
1528449382068156,-2,5,8,2,-1,-1,-2,-3
1528449382084111,-5,-4,-13,-4,0,-2,-3,-1
1528449382084111,6,2,-6,-1,-2,1,1,1
1528449382090097,-8,-5,-3,-1,-3,-1,-1,-2
1528449382090097,-9,-1,5,5,-1,-2,-2,-5
1528449382099103,2,-2,1,-1,0,-1,0,0
1528449382099103,10,-1,5,3,1,-1,-1,3
1528449382123016,-2,2,-1,2,-1,1,-1,1
1528449382123016,13,4,-10,-4,-2,-2,-1,6
1528449382125009,-8,-7,2,-4,-2,-1,-1,-2
1528449382125009,-12,-2,-5,-4,-2,-2,-2,-4
1528449382143952,-6,3,5,3,-1,0,-1,-3
1528449382143952,9,-7,-1,1,0,1,-2,3
1528449382145951,2,3,7,6,-2,0,0,4
1528449382145951,-7,-2,-10,-11,-1,-3,-1,-2
1528449382158912,9,2,1,-1,-1,-1,1,-3
1528449382158912,-8,0,1,0,-2,-1,0,-6
1528449382160907,1,1,12,7,1,-1,-1,0
1528449382160907,-2,-3,-10,-4,-2,-1,-1,-3
1528449382181850,-5,-2,-3,-2,-3,-1,-2,0
1528449382181850,-4,-2,-5,-5,-3,-2,-2,-2
1528449382183846,1,0,0,-3,-1,0,-1,-1
1528449382183846,0,5,1,2,0,0,-2,0
1528449382195813,1,-3,-4,-2,-1,0,-1,-2
1528449382195813,-12,-3,-5,0,-1,-2,-2,-4
1528449382204789,-4,-1,-3,-6,-2,-2,-3,-1
1528449382204789,12,3,2,1,-1,0,0,4
1528449382219748,-6,-4,3,1,-2,-1,0,-1
1528449382219748,7,4,-19,-9,0,1,2,1
1528449382220746,-5,-6,-7,-1,-1,-2,0,-4
1528449382220746,-5,2,1,-3,0,-1,-1,-2
1528449382241738,-3,-15,-1,0,0,-1,-2,-2
1528449382241738,-9,-6,9,2,-2,-2,-1,7
1528449382243687,-4,1,-17,-2,0,-2,-2,-12
1528449382243687,0,-1,-3,-5,-2,-1,1,2
1528449382255690,34,11,14,7,-1,-2,-3,-3
1528449382255690,-53,-8,1,3,-3,-2,-5,-10
1528449382264629,3,3,8,3,-1,0,0,2
1528449382264629,-5,-7,-12,-3,-2,0,0,-5
1528449382279590,-8,-1,-20,-7,2,0,-1,1
1528449382279590,8,0,-1,-4,-1,0,-2,-2
1528449382280586,28,6,13,4,0,1,2,7
1528449382280586,-22,-7,-2,-1,0,-1,-1,-11
1528449382301531,3,-4,-6,-4,-3,-1,-2,3
1528449382301531,29,4,9,5,1,2,1,8
1528449382303527,-10,3,-8,-7,-1,-2,-3,0
1528449382303527,4,0,7,1,-2,-1,-1,-2
1528449382315510,-9,-12,4,0,0,-2,-1,-2
1528449382315510,-5,0,-2,-1,-2,-1,0,1
1528449382324469,-3,0,10,-1,-1,0,-1,-3
1528449382324469,0,-5,-22,-11,-2,0,-2,2
1528449382339430,-15,1,6,3,0,-1,-1,-5
1528449382339430,12,5,-1,1,-2,-1,0,4
1528449382341425,-1,1,-2,0,-1,-3,-2,-2
1528449382341425,0,-6,12,4,0,0,0,-1
1528449382361372,7,5,1,1,-3,-2,-2,4
1528449382361372,-8,-1,-7,-6,-1,1,1,-2
1528449382363366,7,0,0,0,-2,-2,1,2
1528449382363366,-6,-1,8,4,-1,-3,-2,-4
1528449382375372,14,7,-9,-4,-1,0,1,3
1528449382375372,3,-3,9,5,0,-2,-3,-4
1528449382384309,-12,-9,-9,-7,-1,-2,-2,-4
1528449382384309,8,2,-1,5,1,0,1,1
1528449382399269,-28,1,12,10,2,0,-1,-4
1528449382399269,24,6,5,-2,-1,-1,-3,-10
1528449382401264,-7,-6,-14,-10,-1,-3,0,-3
1528449382401264,10,-1,0,0,-2,0,-1,5
1528449382422208,-18,-4,-5,-3,-1,0,-2,-8
1528449382422208,-7,-5,2,1,-1,1,1,0
1528449382423205,0,-9,-2,-1,-1,1,-1,0
1528449382423205,0,3,1,-2,-2,-2,0,-2
1528449382444176,-12,8,-9,-5,-1,-1,-1,-5
1528449382444176,-2,-20,-4,-4,-2,-3,-3,1
1528449382446146,6,9,-4,3,-1,-1,0,0
1528449382446146,-1,6,17,3,1,0,-1,1
1528449382459109,-2,-9,-9,-3,-2,-2,0,2
1528449382459109,-1,-4,-10,-4,-1,0,0,1
1528449382461104,1,-5,3,0,-1,0,-2,-4
1528449382461104,-25,-10,13,6,-1,-2,-2,-6
1528449382482057,6,1,0,-1,-1,-1,-1,4
1528449382482057,10,5,-7,-7,1,-2,1,4
1528449382483046,-5,-2,-3,-1,-2,-2,-2,0
1528449382483046,7,4,-6,-5,-2,-1,-2,-4
1528449382503996,5,1,2,-1,-2,0,2,5
1528449382503996,-7,-1,-6,-4,-3,-1,-2,-3
1528449382505985,-1,0,11,0,-1,0,0,0
1528449382505985,-5,3,-34,-11,-4,-1,-2,-3
1528449382518949,2,-6,5,0,0,0,-1,2
1528449382518949,-5,1,0,-1,-2,-1,-3,-5
1528449382520944,14,-3,1,2,-1,-1,1,6
1528449382520944,0,-4,-6,-4,0,-1,-2,-4
1528449382541889,-6,-2,2,-4,-2,-3,-1,-4
1528449382541889,6,10,9,4,0,-1,-1,-3
1528449382542887,-28,-10,-5,-4,-2,0,-1,-5
1528449382542887,0,-6,-1,0,0,0,0,2
1528449382563855,11,6,-6,-4,-3,-1,-3,-1
1528449382563855,0,0,-3,-1,-2,-2,-1,2
1528449382565824,-7,-8,3,1,-2,0,-3,-4
1528449382565824,0,-5,-17,-9,-1,-1,1,2
