timestamp,roll,pitch,yaw
1528185026294899,1.61072,-1.37771,-2.11715
1528185026317838,1.60046,-1.37676,-2.11238
1528185026340790,1.59639,-1.3742,-2.11118
1528185026357729,1.59909,-1.37025,-2.11454
1528185026377702,1.60598,-1.36473,-2.12097
1528185026402609,1.61372,-1.35843,-2.1276
1528185026415576,1.62201,-1.35106,-2.13447
1528185026470456,1.6295,-1.34392,-2.13991
1528185026470456,1.63624,-1.33703,-2.14362
1528185026480402,1.64291,-1.32996,-2.14589
1528185026497382,1.6522,-1.32345,-2.14855
1528185026523288,1.66373,-1.31763,-2.15152
1528185026544230,1.67756,-1.31171,-2.15527
1528185026590109,1.69239,-1.30671,-2.15959
1528185026591107,1.70887,-1.30281,-2.16596
1528185026598086,1.72274,-1.29949,-2.17114
1528185026618034,1.73587,-1.298,-2.1775
1528185026639988,1.74663,-1.29826,-2.18324
1528185026663911,1.75588,-1.30046,-2.18903
1528185026685854,1.76384,-1.30403,-2.19417
1528185026701810,1.77049,-1.30991,-2.19794
1528185026724813,1.77656,-1.31746,-2.20118
1528185026745746,1.77939,-1.32594,-2.20143
1528185026761650,1.7791,-1.33552,-2.1986
1528185026784588,1.77589,-1.34592,-2.19309
1528185026805532,1.76973,-1.35676,-2.18506
1528185026821495,1.75967,-1.36726,-2.17389
1528185026844430,1.75287,-1.38527,-2.16248
1528185026865374,1.74441,-1.3901,-2.12978
1528185026882336,1.74773,-1.39509,-2.09958
1528185026904269,1.73676,-1.3954,-2.06832
1528185026925250,1.71651,-1.3963,-2.03788
1528185026941169,1.6908,-1.39812,-2.00682
1528185026964114,1.66275,-1.397,-1.97736
1528185026985093,1.63702,-1.39502,-1.9549
1528185027001010,1.61421,-1.3917,-1.94057
1528185027024146,1.57007,-1.39392,-1.92022
1528185027052871,1.54018,-1.39096,-1.91998
1528185027068828,1.52506,-1.38952,-1.92005
1528185027083789,1.52395,-1.386,-1.92381
1528185027105731,1.53536,-1.38022,-1.93428
1528185027120690,1.55005,-1.37423,-1.94526
1528185027151608,1.56271,-1.3685,-1.95466
1528185027166568,1.57313,-1.36213,-1.9639
1528185027181580,1.58119,-1.35714,-1.97294
1528185027204492,1.58669,-1.35212,-1.98133
1528185027234391,1.59166,-1.34829,-1.98962
1528185027241428,1.59961,-1.34487,-2.00005
1528185027264306,1.61077,-1.34148,-2.01228
1528185027287245,1.62629,-1.33829,-2.02852
1528185027307244,1.64386,-1.33545,-2.04718
1528185027324171,1.66292,-1.33238,-2.06843
1528185027347138,1.68319,-1.32953,-2.09216
1528185027369057,1.70257,-1.32741,-2.11584
1528185027398202,1.72113,-1.32592,-2.13948
1528185027406925,1.73905,-1.32491,-2.16255
1528185027429865,1.75514,-1.32519,-2.18377
1528185027444944,1.77119,-1.32661,-2.20474
1528185027466809,1.78336,-1.32882,-2.22243
1528185027487941,1.79288,-1.33203,-2.2377
1528185027504663,1.79892,-1.33611,-2.24978
1528185027526862,1.80302,-1.34096,-2.26056
1528185027548155,1.80561,-1.34675,-2.27019
1528185027571074,1.80545,-1.35258,-2.27684
1528185027594054,1.804,-1.35822,-2.28118
1528185027609025,1.80493,-1.36769,-2.28286
1528185027631953,1.80353,-1.3719,-2.26881
1528185027646913,1.80465,-1.37551,-2.25462
1528185027675834,1.79395,-1.37772,-2.23629
1528185027691794,1.77207,-1.38102,-2.21191
1528185027705755,1.74572,-1.38435,-2.1845
1528185027729746,1.71693,-1.38561,-2.15627
1528185027758620,1.67729,-1.38699,-2.12469
1528185027773623,1.64018,-1.3887,-2.10056
1528185027789532,1.60879,-1.39037,-2.07473
1528185027795285,1.59064,-1.38978,-2.05398
1528185027820222,1.5854,-1.38776,-2.0424
1528185027842162,1.58479,-1.38407,-2.03444
1528185027856126,1.58737,-1.38085,-2.03102
1528185027877102,1.59137,-1.37706,-2.03139
1528185027895021,1.59935,-1.37433,-2.03824
1528185027915431,1.60521,-1.37161,-2.04634
1528185027938061,1.60913,-1.37057,-2.05547
1528185027960257,1.61149,-1.3697,-2.06518
1528185027982991,1.61417,-1.36962,-2.0758
1528185027997941,1.6177,-1.37035,-2.08758
1528185028015837,1.62135,-1.37054,-2.09933
1528185028034732,1.62737,-1.371,-2.11175
1528185028057659,1.63384,-1.37082,-2.12208
1528185028073609,1.64299,-1.37044,-2.13118
1528185028096912,1.65572,-1.36912,-2.14017
1528185028119778,1.67115,-1.36661,-2.14978
1528185028134987,1.68886,-1.36326,-2.16162
1528185028155230,1.70707,-1.35958,-2.17599
1528185028177173,1.72472,-1.35622,-2.19291
1528185028201110,1.73864,-1.35369,-2.20872
1528185028215107,1.7502,-1.3516,-2.22417
1528185028237051,1.75995,-1.35033,-2.2385
1528185028259986,1.76607,-1.34918,-2.24911
1528185028275185,1.77137,-1.34945,-2.2578
1528185028298067,1.77648,-1.34999,-2.26279
1528185028316026,1.78033,-1.35032,-2.26536
1528185028335497,1.77864,-1.35089,-2.26249
1528185028357639,1.77322,-1.35117,-2.25677
1528185028373403,1.76726,-1.35202,-2.24981
1528185028395358,1.76115,-1.3515,-2.24156
1528185028417232,1.75607,-1.35132,-2.23392
1528185028433249,1.74824,-1.3511,-2.22419
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
1528185028455131,1.73912,-1.35106,-2.21497
