timestamp,roll,pitch,yaw
1528441618709249,-1.02034,-1.21388,-2.12018
1528441618726203,-1.02061,-1.21505,-2.12504
1528441618746150,-1.0216,-1.21678,-2.13781
1528441618771101,-1.0279,-1.21567,-2.15907
1528441618791030,-1.05464,-1.20707,-2.17639
1528441618805990,-1.09645,-1.19683,-2.19042
1528441618831921,-1.14473,-1.18113,-2.20636
1528441618857852,-1.19757,-1.15868,-2.22146
1528441618896748,-1.25674,-1.13285,-2.22843
1528441618918688,-1.31361,-1.10585,-2.22784
1528441618940630,-1.36456,-1.07473,-2.2258
1528441618966561,-1.41431,-1.03618,-2.22609
1528441618985510,-1.46214,-0.991597,-2.22963
1528441619000470,-1.50786,-0.94008,-2.23657
1528441619023409,-1.54806,-0.8823,-2.24979
1528441619045350,-1.57214,-0.818022,-2.26989
1528441619063303,-1.58547,-0.749348,-2.29091
1528441619083249,-1.59792,-0.677331,-2.3082
1528441619106189,-1.60532,-0.599767,-2.32528
1528441619121148,-1.61068,-0.518883,-2.33989
1528441619143091,-1.61702,-0.437424,-2.3492
1528441619167027,-1.61993,-0.357582,-2.35639
1528441619180988,-1.61391,-0.27914,-2.36298
1528441619187970,-1.59973,-0.20481,-2.36795
1528441619217890,-1.5827,-0.136027,-2.3716
1528441619240870,-1.5645,-0.0739085,-2.37461
1528441619262770,-1.54741,-0.0204864,-2.37648
1528441619277768,-1.53536,0.0235226,-2.37812
1528441619300668,-1.52707,0.054864,-2.38031
1528441619323618,-1.52175,0.077882,-2.38204
1528441619338574,-1.51945,0.0969159,-2.38196
1528441619368526,-1.52126,0.111486,-2.38101
1528441619390430,-1.52472,0.121063,-2.38006
1528441619405395,-1.52773,0.127295,-2.38018
1528441619428361,-1.52942,0.131622,-2.38069
1528441619443287,-1.5304,0.135476,-2.37991
1528441619458292,-1.53374,0.139998,-2.37591
1528441619481400,-1.53948,0.146614,-2.3676
1528441619503309,-1.54557,0.15608,-2.35543
1528441619518141,-1.55004,0.166908,-2.34124
1528441619541025,-1.55041,0.178712,-2.32519
1528441619562968,-1.54573,0.191046,-2.30909
1528441619577966,-1.53744,0.200424,-2.29447
1528441619600865,-1.52882,0.209241,-2.28004
1528441619630786,-1.5212,0.21839,-2.26119
1528441619653288,-1.51801,0.227134,-2.23913
1528441619668257,-1.52136,0.236933,-2.21244
1528441619683477,-1.52287,0.245718,-2.17621
1528441619706175,-1.5103,0.249456,-2.12891
1528441619721136,-1.50399,0.243036,-2.07859
1528441619743900,-1.51001,0.231824,-2.02958
1528441619765498,-1.52102,0.222802,-1.98121
1528441619788434,-1.5245,0.216898,-1.93319
1528441619810608,-1.52312,0.209135,-1.88772
1528441619833598,-1.5219,0.205201,-1.84474
1528441619848833,-1.51508,0.201352,-1.80245
1528441619863316,-1.5047,0.194531,-1.75758
1528441619885990,-1.4937,0.18854,-1.71314
1528441619901192,-1.48222,0.175563,-1.68112
1528441619923640,-1.4727,0.158475,-1.66882
1528441619946385,-1.46038,0.148069,-1.66243
1528441619968831,-1.45185,0.147703,-1.65176
1528441619991472,-1.45078,0.150861,-1.63875
1528441620013600,-1.45835,0.153515,-1.62088
1528441620028655,-1.46227,0.149457,-1.59413
1528441620043849,-1.46345,0.138733,-1.56613
1528441620066126,-1.45332,0.137683,-1.54996
1528441620081349,-1.4365,0.1478,-1.5422
1528441620103887,-1.42887,0.156159,-1.53282
1528441620125925,-1.42756,0.158791,-1.52242
1528441620140975,-1.43026,0.160001,-1.52054
1528441620162905,-1.4357,0.163883,-1.52005
1528441620185839,-1.42522,0.166796,-1.50765
1528441620207821,-1.4073,0.163789,-1.49086
1528441620230758,-1.40689,0.155185,-1.47859
1528441620245665,-1.41676,0.144506,-1.46344
1528441620275584,-1.42474,0.133761,-1.44377
1528441620305504,-1.43163,0.120424,-1.42448
1528441620320464,-1.43825,0.10364,-1.40513
1528441620350384,-1.43241,0.0877286,-1.38523
1528441620380304,-1.39702,0.0526021,-1.34669
1528441620411223,-1.3702,0.0147353,-1.31979
1528441620426182,-1.36279,-0.00567657,-1.30819
1528441620456161,-1.35776,-0.0286296,-1.29656
1528441620478044,-1.35387,-0.0530945,-1.28662
1528441620494011,-1.34712,-0.0780312,-1.27629
1528441620508221,-1.3361,-0.102501,-1.26484
1528441620538296,-1.32047,-0.125693,-1.25663
1528441620553705,-1.30131,-0.150455,-1.25338
1528441620583616,-1.28425,-0.173291,-1.25124
1528441620598351,-1.27318,-0.195895,-1.24802
1528441620613292,-1.27024,-0.220862,-1.24469
1528441620635233,-1.27235,-0.248026,-1.23989
1528441620651396,-1.27689,-0.27821,-1.23317
1528441620666361,-1.27942,-0.311377,-1.22738
1528441620688095,-1.27469,-0.347644,-1.22402
1528441620711034,-1.26374,-0.386704,-1.22383
1528441620726239,-1.24697,-0.429624,-1.22715
1528441620748694,-1.22853,-0.476119,-1.23217
1528441620770638,-1.21516,-0.523995,-1.23674
1528441620785853,-1.20844,-0.570541,-1.24012
1528441620808538,-1.20744,-0.616932,-1.24449
1528441620830868,-1.20892,-0.665988,-1.25315
1528441620845722,-1.20618,-0.717084,-1.26602
1528441620875450,-1.19944,-0.767485,-1.28138
1528441620898622,-1.18947,-0.816609,-1.30017
1528441620912863,-1.17626,-0.865099,-1.32326
1528441620929032,-1.16276,-0.913844,-1.34871
1528441620950992,-1.15187,-0.96166,-1.37479
1528441620965727,-1.1415,-1.00722,-1.40423
1528441620988003,-1.1249,-1.05118,-1.44329
1528441621010942,-1.10144,-1.09321,-1.49132
1528441621032933,-1.07418,-1.13317,-1.54728
1528441621048875,-1.04478,-1.16975,-1.61043
1528441621071056,-1.01251,-1.20342,-1.68233
1528441621092963,-0.973555,-1.23371,-1.76296
1528441621107919,-0.927718,-1.262,-1.85252
1528441621137899,-0.866106,-1.28978,-1.95852
1528441621160840,-0.777973,-1.31286,-2.08486
1528441621183778,-0.679416,-1.32988,-2.21933
1528441621220710,-0.499534,-1.3497,-2.47837
1528441621235762,-0.407883,-1.35589,-2.61144
1528441621251011,-0.320632,-1.35824,-2.73713
1528441621273527,-0.266738,-1.35631,-2.82674
1528441621288271,-0.225718,-1.35301,-2.90218
1528441621311198,-0.203066,-1.34957,-2.95966
1528441621333855,-0.198304,-1.34713,-3.00006
1528441621356066,-0.206782,-1.34502,-3.02722
1528441621378021,-0.229316,-1.34168,-3.03759
1528441621400998,-0.260244,-1.33799,-3.03513
1528441621415925,-0.298517,-1.33613,-3.02158
1528441621423099,-0.342911,-1.33505,-2.99836
1528441621461386,-0.420608,-1.33284,-2.94237
1528441621483506,-0.454352,-1.33285,-2.91127
1528441621520922,-0.531633,-1.33351,-2.84033
1528441621543637,-0.576998,-1.33366,-2.80158
1528441621580526,-0.679463,-1.33078,-2.70496
1528441621603484,-0.723844,-1.32879,-2.65449
1528441621648599,-0.745081,-1.32146,-2.6009
1528441621671409,-0.720907,-1.31737,-2.60825
1528441621701358,-0.66405,-1.3129,-2.64668
1528441621723509,-0.656706,-1.31016,-2.65278
1528441621761172,-0.669114,-1.30646,-2.6323
1528441621783452,-0.670482,-1.30631,-2.61972
