timestamp,x,y,z
1528281340941934,-1.0625,0,-0.625
1528281340965873,-1.5,0.1875,-0.3125
1528281340986814,-1.875,0.25,0.0625
1528281341001776,-1.875,0.25,0.125
1528281341024713,-1.3125,0.25,0.125
1528281341049647,-1.375,0.5625,0.3125
1528281341063609,-1.75,0.625,0.1875
1528281341117464,-1.6875,0.625,0.25
1528281341117464,-1.1875,0.625,-0.0625
1528281341127439,-0.8125,0.4375,-0.1875
1528281341144393,-1.1875,0.125,0
1528281341170325,-2.375,-0.125,0.5
1528281341187278,-3.0625,-0.5,0.75
1528281341228170,-3.4375,-0.5,0.75
1528281341229167,-3.4375,-0.625,0.6875
1528281341242132,-3.5,-0.6875,0.25
1528281341265071,-3.375,-0.75,0
1528281341287012,-3.875,-0.875,-0.25
1528281341301972,-4.375,-0.75,0
1528281341324911,-4.6875,-0.5625,0.3125
1528281341347849,-4.4375,-0.25,0
1528281341361812,-4.3125,0.1875,0.125
1528281341392729,-4.75,0.5625,0.125
1528281341407689,-4.6875,1.125,0.1875
1528281341421651,-3.5625,2.0625,-0.125
1528281341452570,-1.875,2.6875,-0.6875
1528281341467801,-0.125,3.1875,-1.1875
1528281341482033,1.1875,3.5,-1.3125
1528281341504972,1.5625,3.625,-1.0625
1528281341527911,2.6875,3.9375,-1.375
1528281341541873,4.125,3.9375,-0.875
1528281341572794,4.8125,4.0625,-0.5625
1528281341587749,5.4375,4.125,-0.125
1528281341601746,6.875,4,0.25
1528281341624652,8.25,3.6875,0.4375
1528281341647590,8.6875,3.1875,0.5
1528281341661552,8.5,2.75,1
1528281341684496,8.25,2.3125,1.5625
1528281341707717,7.875,1.6875,2.25
1528281341723713,7.625,1.375,2.5625
1528281341744586,7.0625,1.1875,3.4375
1528281341767525,6.3125,0.8125,3.5625
1528281341781486,6.375,0.75,2.625
1528281341804426,6.1875,1,2.5625
1528281341827613,4.0625,0.6875,2.5625
1528281341843321,2.4375,1.375,1.9375
1528281341864455,3.5,2,0.875
1528281341887437,5.875,2.4375,-0.6875
1528281341903356,6.375,2.5,-2.625
1528281341925002,5.5625,2.625,-4.9375
1528281341947005,5.5625,3.1875,-6.625
1528281341963159,5.25,3.625,-7.8125
1528281341985813,4.9375,4.5625,-7.8125
1528281342007565,5.25,5.1875,-7.3125
1528281342023523,6.4375,5.0625,-6.5
1528281342044731,5.9375,4.5,-4.0625
1528281342067951,4.4375,3.9375,-2
1528281342083222,2.8125,3.25,0
1528281342105102,1.25,2,2.0625
1528281342128171,-0.9375,0.6875,3.5
1528281342143072,-2.25,-0.25,4.8125
1528281342165063,-1.75,-0.625,5.0625
1528281342187806,0,-0.625,4.4375
1528281342203519,0.375,-1.125,3.8125
1528281342225460,-1,-1.375,3.875
1528281342247402,-2.6875,-1.25,3.9375
1528281342263358,-1.75,-0.8125,3.0625
1528281342285342,-0.4375,0.25,2
1528281342309236,-0.3125,1.375,0.25
1528281342323200,-0.125,2.1875,-1.75
1528281342346148,1.5,2.6875,-3.25
1528281342369076,3.625,3.5,-4.375
1528281342383039,4.5,3.125,-4.5
1528281342405978,3.75,2.6875,-3.9375
1528281342428917,2.375,1.6875,-2.6875
1528281342442879,1.125,0.4375,-1.375
1528281342465818,1.0625,-0.6875,-0.125
1528281342488756,0.6875,-1.9375,2.25
1528281342502719,-1.375,-3,5.125
1528281342525659,-3.6875,-3.625,7.8125
1528281342548596,-2.9375,-4.125,9
1528281342562835,-0.3125,-4.5,9.5
1528281342585763,-0.8125,-5.0625,9.125
1528281342609003,-4.125,-5.5625,8.8125
1528281342623134,-6.5625,-5.875,8.6875
1528281342646223,-6.9375,-5.5,7.875
1528281342669154,-5.875,-4.3125,7
1528281342683278,-4,-3.625,5.25
1528281342705670,-2.3125,-2.8125,3.25
1528281342728902,-0.125,-2.4375,0.3125
1528281342743998,1.0625,-2.5625,-1
1528281342765803,-1.5,-3.3125,-1.8125
1528281342789034,-4,-3.9375,-2.1875
1528281342809977,-3.875,-4.375,-2.125
1528281342825938,-3.375,-5.25,-2.5625
1528281342849143,-4,-6.0625,-2.0625
1528281342869612,-5.1875,-7.125,-2.25
1528281342885573,-6.5625,-7.75,-2.0625
1528281342908810,-8.625,-8.1875,-1.75
1528281342937708,-11.25,-8.0625,-1.9375
1528281342954663,-12.6875,-7.3125,-2.4375
1528281342968855,-10.8125,-5.5625,-4
1528281342990454,-8.875,-1.9375,-4.3125
1528281343006578,-8.75,1.4375,-2.5
1528281343036461,-8.625,3.375,-1.375
1528281343050310,-8.5,4.625,-1.4375
1528281343065299,-6.875,5.4375,-2.5625
1528281343088500,-5.6875,6.1875,-2.875
1528281343111760,-5.875,7,-2.3125
1528281343132654,-4.4375,7.4375,-2.125
1528281343148611,-2.125,7.0625,-2.0625
1528281343170167,-0.6875,6.375,-0.875
1528281343186142,-2.1875,5.9375,0.625
1528281343208261,-3.5,5.0625,1.9375
1528281343237291,-3,4.125,2.375
1528281343245266,-1.4375,3.375,2.375
1528281343268205,-1.5625,2.5,2.3125
1528281343291146,-2.8125,1.5,1.625
1528281343306107,-2.6875,1.25,0.6875
1528281343344003,-1.75,0.8125,0.0625
1528281343351385,-2.0625,1.0625,-0.3125
1528281343365944,-2.1875,1.8125,-0.0625
1528281343388482,-2.5,2.0625,0.6875
1528281343411412,-2.1875,2.5,0.25
