timestamp,x,y,z,w
1528441640124213,-0.664368,-0.278687,-0.680664,0.133362
1528441640125211,-0.66449,-0.278809,-0.680542,0.133057
1528441640138176,-0.664429,-0.279114,-0.68042,0.132935
1528441640163138,-0.664307,-0.279602,-0.68042,0.132935
1528441640183085,-0.664063,-0.280273,-0.680359,0.133057
1528441640198052,-0.663757,-0.281433,-0.680115,0.133484
1528441640223948,-0.663391,-0.28302,-0.679626,0.134033
1528441640268826,-0.663757,-0.284302,-0.67865,0.134644
1528441640270821,-0.66449,-0.284607,-0.677856,0.134338
1528441640283786,-0.665771,-0.282593,-0.677734,0.132813
1528441640303734,-0.667236,-0.278259,-0.67865,0.129944
1528441640319692,-0.668823,-0.272156,-0.680176,0.126709
1528441640344623,-0.670105,-0.265381,-0.682068,0.124146
1528441640387511,-0.670898,-0.259155,-0.683899,0.122986
1528441640395488,-0.670654,-0.255432,-0.685547,0.122925
1528441640402470,-0.670166,-0.252258,-0.687256,0.122681
1528441640425408,-0.669739,-0.248596,-0.689331,0.120789
1528441640459317,-0.669434,-0.244812,-0.691467,0.11792
1528441640460315,-0.669128,-0.241821,-0.693298,0.114868
1528441640485248,-0.668884,-0.240845,-0.694397,0.111877
1528441640506192,-0.668579,-0.241882,-0.694702,0.109253
1528441640521152,-0.668335,-0.244568,-0.694397,0.106628
1528441640544091,-0.668335,-0.248108,-0.693604,0.104004
1528441640560048,-0.668457,-0.251953,-0.692444,0.101379
1528441640580992,-0.668518,-0.256042,-0.691223,0.0988159
1528441640603983,-0.668518,-0.260254,-0.690002,0.0966187
1528441640619890,-0.668213,-0.264404,-0.688904,0.0950928
1528441640640876,-0.667725,-0.268616,-0.687866,0.0944214
1528441640663772,-0.666931,-0.273132,-0.686829,0.0946655
1528441640679729,-0.665955,-0.277771,-0.68573,0.0957642
1528441640700673,-0.664978,-0.282288,-0.68457,0.0975342
1528441640732601,-0.664001,-0.286438,-0.683472,0.0997314
1528441640739570,-0.663208,-0.290222,-0.682312,0.102112
1528441640762544,-0.662659,-0.293457,-0.681091,0.104858
1528441640785446,-0.661621,-0.296631,-0.680237,0.10791
1528441640799428,-0.660828,-0.300232,-0.678711,0.112183
