timestamp,x,y,z
1528444742552261,-6.375,0.25,0.3125
1528444742567220,-6.8125,0.25,0.625
1528444742582181,-7.5625,0.25,0.875
1528444742608112,-7.375,0.375,0.9375
1528444742627066,-6.25,0.3125,1
1528444742642020,-5.0625,0.25,1.125
1528444742667951,-5.5,0.4375,1.4375
1528444742713831,-7.125,0.375,1.6875
1528444742720811,-7,0.1875,1.75
1528444742757711,-3.9375,-1.125,4.3125
1528444742776661,-3.625,-2.125,5.5
1528444742799600,0.375,-0.0625,5.6875
1528444742822538,5.4375,1.875,6.4375
1528444742844480,2.625,5,10.875
1528444742859441,21.25,3.5,16.5
1528444742882379,44.8125,5.3125,31.5625
1528444742906314,47.8125,8.1875,55.875
1528444742919281,26.1875,15.625,81.625
1528444742942218,17.375,34.125,109.813
1528444742965158,24.0625,52.5625,137.625
1528444742979121,34.5,72.25,165.625
1528444743002058,31.1875,91.125,191.813
1528444743017018,34.375,107.125,213.25
1528444743024997,30.625,120.563,229.75
1528444743061899,24.9375,128.5,244.938
1528444743084838,25.625,135.313,255
1528444743121758,47.875,148.188,275.438
1528444743144677,64.0625,146.313,291.563
1528444743181630,114.438,133.688,323.063
1528444743204543,130.375,125.625,331.813
1528444743249396,167,115.375,308.25
1528444743279343,177.75,114.25,280.5
1528444743309237,189.563,110.938,222.75
1528444743324197,180.813,103.25,203.5
1528444743362095,141.75,79.25,155.25
1528444743384037,115,63.25,127.5
1528444743421935,80.1875,35.75,94.625
1528444743444927,62.875,26.625,83.4375
1528444743481776,52.4375,14,52.4375
1528444743504751,44.625,12.5625,39.125
1528444743535003,22.375,9.8125,21.125
1528444743557099,23.5,7.6875,14
1528444743579126,25.375,3.875,8.625
1528444743602311,21.0625,-0.375,3.75
1528444743617286,13.9375,-3.375,-3.375
1528444743640284,6.5,-5.5625,-8.875
1528444743655191,3.5,-4.9375,-8.9375
1528444743676866,5.75,-1.25,-6.8125
1528444743699804,11.6875,4.6875,-8.0625
1528444743714764,18.9375,10.25,-10.1875
1528444743744687,21.4375,14.5,-13.875
1528444743766673,21.9375,16,-16.4375
1528444743789883,23.25,17.0625,-17.9375
1528444743804768,32.1875,20.9375,-20.25
1528444743835114,38.625,23.875,-22.5
1528444743850380,41.0625,23.75,-25.6875
1528444743872703,42.9375,23,-28.5625
1528444743887389,45.1875,23.4375,-28.5625
1528444743901607,49.875,22.5625,-26.625
1528444743917568,54.25,20.5,-25.625
1528444743939880,53.125,17.5,-25.1875
1528444743954803,53.4375,18.0625,-22.1875
1528444743977705,58.6875,18.5625,-14.4375
1528444743999618,63.125,18.0625,-8.5625
1528444744014821,61.5625,20.625,-9.125
1528444744036801,58.6875,24.9375,-10.6875
1528444744059739,57.75,26.8125,-9.3125
1528444744074698,54.6875,26.1875,-8.1875
1528444744104673,49.8125,24.75,-8.25
1528444744126561,46.6875,25.4375,-8.875
1528444744142517,44.3125,24.1875,-5.875
1528444744157527,42.875,20.1875,-3.125
1528444744179473,36.625,13.5,-1.25
1528444744194434,27.375,5.9375,-2.375
1528444744224354,14.75,-0.25,-1.6875
1528444744247292,5.375,-2.875,-0.4375
1528444744269233,1.5,-4.8125,2.9375
1528444744292145,0.4375,-5.3125,5.625
1528444744315063,-1.9375,-5.1875,6.8125
1528444744330015,-4.6875,-2.9375,5.4375
1528444744344976,-6.4375,0.4375,3.6875
1528444744359936,-7.875,3,3.25
1528444744382190,-10.125,3.5625,-0.0625
1528444744404695,-10.6875,4.25,-4.9375
1528444744434911,-15.8125,7.125,-11.9375
1528444744464578,-16.0625,8.375,-14.75
1528444744487777,-19.9375,7.5625,-20
1528444744502737,-27.125,3.125,-32.6875
1528444744517698,-43.875,-7.8125,-52.4375
1528444744539955,-57.6875,-24.3125,-81.4375
1528444744554892,-83.125,-50.125,-110.313
1528444744577549,-121,-86.25,-134.813
1528444744600412,-154.5,-122.5,-163.625
1528444744614350,-186.063,-156.125,-198
1528444744637527,-222.563,-185.813,-234.125
1528444744660237,-251,-214.938,-270.063
1528444744682732,-266.688,-240.625,-303.813
1528444744697693,-276.625,-270.063,-335.375
1528444744719625,-268.625,-274.875,-367.125
1528444744742556,-240.625,-250,-377.438
1528444744756809,-209.938,-221.875,-373.25
1528444744780032,-176.188,-202.875,-377.5
1528444744802759,-145.875,-172.25,-364.125
1528444744817759,-107.75,-142.563,-344.563
1528444744839810,-45.5625,-121.688,-327.75
1528444744862059,-21.125,-118.688,-307.75
1528444744877794,-28.625,-109.438,-277.563
1528444744900321,-48.5625,-97.625,-233.188
1528444744922523,-60.1875,-82.125,-204.375
1528444744937482,-66.125,-65.5625,-194.875
1528444744959483,-61.75,-51.1875,-179.563
1528444744982044,-32.375,-40,-143.875
1528444744997621,0,-31.1875,-110.125
1528444745020293,12.75,-24.625,-72.75
1528444745042168,-16.125,-19.5625,-36.125
1528444745057432,-8.3125,-16.25,-11.9375
1528444745079547,17.5,-14.4375,2.3125
1528444745109467,46.625,-11.5625,8.5
1528444745124726,61.5625,-9.375,10.6875
1528444745147767,65.4375,-11.1875,9.8125
1528444745161953,64,-10.25,6.5625
1528444745176866,56.9375,-5.25,3.75
1528444745199856,39.0625,-2.375,4
1528444745222275,15.6875,-4.5,3.375
1528444745237665,5.75,-7.5,-0.0625
1528444745259565,12.125,-7.6875,-1.5
1528444745282503,20.6875,-5.5,-0.875
1528444745297482,23.6875,-2.125,0.3125
1528444745320052,17.75,1.3125,2.1875
