timestamp,x,y,z
1528446203113451,0.911621,-0.368164,-0.0839844
1528446203128428,0.913086,-0.369141,-0.0820313
1528446203152345,0.916992,-0.380371,-0.0825195
1528446203173287,0.912109,-0.382324,-0.0854492
1528446203188249,0.901855,-0.409668,-0.0561523
1528446203214180,0.914063,-0.493164,-0.0283203
1528446203259059,0.926758,-0.500977,-0.0146484
1528446203264046,0.912109,-0.441895,-0.00439453
1528446203302941,0.939453,-0.509277,0.0410156
1528446203322889,0.904785,-0.651855,0.0649414
1528446203345828,0.942383,-0.848145,-0.0820313
1528446203367769,0.995605,-1.04785,-0.148438
1528446203390707,0.991211,-1.19238,-0.253418
1528446203405667,0.922363,-1.23975,-0.331055
1528446203428607,0.874023,-1.27002,-0.414063
1528446203453541,0.881348,-1.29395,-0.48291
1528446203465507,0.925293,-1.34375,-0.60791
1528446203495427,0.850098,-1.33252,-0.604004
1528446203526343,0.620605,-1.20752,-0.482422
1528446203540306,0.44873,-0.978027,-0.394531
1528446203556264,0.280273,-1.0625,-0.306152
1528446203580201,0.111816,-1.15869,-0.333008
1528446203586184,-0.0151367,-1.18359,-0.336914
1528446203593166,-0.0947266,-1.20605,-0.274902
1528446203631064,-0.180176,-1.1167,-0.249023
1528446203646024,-0.214844,-0.926758,-0.203125
1528446203675944,-0.301758,-0.742676,-0.1875
1528446203697885,-0.410156,-0.580566,-0.222656
1528446203720824,-0.454102,-0.446777,-0.166016
1528446203735785,-0.459961,-0.39209,-0.0361328
1528446203750744,-0.492188,-0.41748,0.0385742
1528446203765704,-0.493652,-0.421387,0.0712891
1528446203795948,-0.480957,-0.411133,0.122559
1528446203810910,-0.451172,-0.439941,0.164063
1528446203832889,-0.449219,-0.401855,0.224121
1528446203848967,-0.450684,-0.333984,0.283203
1528446203862770,-0.411621,-0.293457,0.347656
1528446203885708,-0.369629,-0.289063,0.397461
1528446203908659,-0.353516,-0.263184,0.424805
1528446203930590,-0.304199,-0.338379,0.500488
1528446203945550,-0.283691,-0.415527,0.530273
1528446203968488,-0.324707,-0.416016,0.571777
1528446203990430,-0.337402,-0.371094,0.614746
1528446204006455,-0.384277,-0.355957,0.620605
1528446204028327,-0.433594,-0.42627,0.629883
1528446204050516,-0.480469,-0.464355,0.618164
1528446204066413,-0.496094,-0.480957,0.629395
1528446204088355,-0.550781,-0.44873,0.601074
1528446204110250,-0.574219,-0.467773,0.597656
1528446204125533,-0.581055,-0.520996,0.609375
1528446204148824,-0.557617,-0.503418,0.59668
1528446204171255,-0.546387,-0.467285,0.594727
1528446204185811,-0.611816,-0.466309,0.562012
1528446204208853,-0.651855,-0.463379,0.546875
1528446204231015,-0.648438,-0.40918,0.540039
1528446204245972,-0.700195,-0.350586,0.517578
1528446204268921,-0.760742,-0.367676,0.488281
1528446204291436,-0.804199,-0.362793,0.490723
1528446204306446,-0.880859,-0.251953,0.500488
1528446204328320,-0.943848,-0.177246,0.5
1528446204351485,-0.947754,-0.124023,0.495605
1528446204366553,-0.93457,-0.0825195,0.535156
1528446204388876,-1.03174,-0.0766602,0.490723
1528446204411391,-1.06348,-0.0727539,0.494629
1528446204426414,-1.00146,-0.0112305,0.5
1528446204447995,-0.962402,0.0239258,0.540527
1528446204470935,-0.950195,0,0.537109
1528446204485926,-0.915039,-0.0195313,0.539551
1528446204507835,-0.83252,-0.0717773,0.581055
1528446204530773,-0.817871,-0.0825195,0.581055
1528446204545735,-0.824219,-0.0776367,0.535645
1528446204568674,-0.796387,-0.0678711,0.523926
1528446204598649,-0.742676,-0.108398,0.510742
1528446204643527,-0.597168,-0.120605,0.446777
1528446204673402,-0.476074,-0.0830078,0.392578
1528446204688353,-0.464355,-0.0498047,0.35791
1528446204733234,-0.4375,-0.116699,0.227539
1528446204786242,-0.441895,-0.354492,0.111816
1528446204808148,-0.459961,-0.438477,0.034668
1528446204845708,-0.384766,-0.709473,-0.0917969
1528446204875872,-0.302734,-0.817871,-0.203613
1528446204928358,0.213867,-0.84375,-0.407227
1528446204966433,0.54834,-1.29688,-0.499512
1528446204988703,0.61377,-1.48486,-0.431152
1528446205026134,0.487793,-1.16162,-0.282227
1528446205048655,0.732422,-1.05908,-0.263672
1528446205078874,1.10889,-1.20605,-0.31543
1528446205100798,1.07031,-1.03418,-0.230469
1528446205123744,1.13721,-0.776855,-0.137207
1528446205153927,1.21338,-0.604492,-0.081543
1528446205167934,1.21826,-0.608887,0.00488281
1528446205198929,1.21533,-0.445801,0.21875
1528446205213138,1.09912,-0.291016,0.173828
1528446205228666,0.933594,-0.688477,0.240234
1528446205243365,0.818848,-1.32617,-0.0195313
1528446205266551,0.871094,-1.25,-0.00634766
1528446205281423,0.891602,-0.893066,-0.135742
1528446205303467,0.761719,-0.862793,-0.345703
1528446205325742,0.730469,-0.789063,-0.299316
1528446205340475,0.771484,-0.350098,-0.304199
1528446205363398,0.812988,-0.0317383,-0.335449
1528446205385338,0.86377,-0.0356445,-0.286621
1528446205400357,0.908203,-0.187988,-0.293945
1528446205423534,0.912598,-0.319824,-0.266602
1528446205445470,0.927734,-0.388184,-0.226074
1528446205468857,0.927734,-0.358887,-0.222168
1528446205490796,0.946289,-0.285645,-0.183105
1528446205521151,0.915527,-0.294434,-0.161133
1528446205543095,0.895996,-0.310059,-0.145508
1528446205566081,0.896484,-0.329102,-0.133301
1528446205580993,0.908203,-0.382813,-0.115234
1528446205603195,0.900391,-0.428223,-0.108398
1528446205633921,0.891113,-0.444824,-0.0859375
1528446205648106,0.913574,-0.438477,-0.0698242
1528446205686247,0.916016,-0.425293,-0.0600586
1528446205701043,0.923828,-0.443848,-0.0419922
1528446205722965,0.930664,-0.469727,-0.0654297
1528446205745916,0.928711,-0.461914,-0.0878906
1528446205760864,0.924805,-0.439453,-0.111816
1528446205783533,0.915039,-0.404785,-0.124023
1528446205806284,0.905273,-0.368652,-0.15332
1528446205820801,0.895996,-0.352051,-0.162598
1528446205843952,0.90332,-0.35498,-0.163086
1528446205865983,0.887695,-0.369141,-0.171387
1528446205880950,0.888672,-0.38623,-0.166992
1528446205903966,0.893555,-0.385742,-0.165527
1528446205926134,0.894043,-0.378418,-0.169922
1528446205948368,0.895508,-0.376953,-0.160156
1528446205978296,0.898926,-0.390137,-0.157227
1528446206000977,0.896973,-0.397461,-0.160645
1528446206023391,0.899414,-0.410645,-0.162598
1528446206038608,0.893555,-0.40625,-0.168457
1528446206061385,0.893066,-0.392578,-0.168945
1528446206083235,0.887207,-0.387695,-0.179688
1528446206098437,0.88623,-0.378906,-0.16748
1528446206128358,0.888184,-0.375488,-0.168457
1528446206151312,0.886719,-0.367188,-0.169922
1528446206180653,0.896973,-0.40918,-0.161133
1528446206203529,0.894531,-0.401855,-0.151855
