timestamp,x,y,z,w
1528448067478973,0.495667,0.337646,0.612732,-0.514648
1528448067494932,0.494873,0.338379,0.610779,-0.517151
1528448067515874,0.493835,0.339417,0.608032,-0.520752
1528448067539811,0.492004,0.340881,0.60437,-0.525757
1528448067560757,0.489502,0.342834,0.599487,-0.532349
1528448067575716,0.486267,0.345032,0.593506,-0.540527
1528448067635555,0.4823,0.347107,0.586243,-0.550598
1528448067643536,0.477783,0.348206,0.577759,-0.562683
1528448067650516,0.473267,0.348206,0.568237,-0.57605
1528448067711354,0.464417,0.343628,0.548828,-0.604126
1528448067741300,0.460876,0.335693,0.540588,-0.618591
1528448067778201,0.460754,0.303589,0.526367,-0.646912
1528448067793133,0.463135,0.281982,0.519653,-0.660278
1528448067831073,0.467163,0.231934,0.505615,-0.687256
1528448067852974,0.466919,0.204834,0.497192,-0.702026
1528448067897901,0.458801,0.148682,0.476746,-0.734863
1528448067921790,0.452332,0.11853,0.464478,-0.752075
1528448067927794,0.445435,0.0862427,0.450562,-0.76886
1528448067943733,0.437683,0.0523682,0.435608,-0.784851
1528448067965695,0.429688,0.0178223,0.419312,-0.7995
1528448067995592,0.421875,-0.0171509,0.401184,-0.812866
1528448068018531,0.412781,-0.0515137,0.381104,-0.825684
1528448068040472,0.399841,-0.0843506,0.359863,-0.838745
1528448068048451,0.38446,-0.115356,0.340332,-0.850342
1528448068070394,0.367126,-0.144836,0.322266,-0.860474
1528448068093331,0.348389,-0.173584,0.303894,-0.869568
1528448068108291,0.329346,-0.201416,0.285339,-0.877258
1528448068131229,0.308777,-0.227722,0.267822,-0.883789
1528448068153171,0.287231,-0.25238,0.250549,-0.889404
1528448068168134,0.265198,-0.275391,0.234253,-0.89386
1528448068191071,0.244141,-0.296875,0.219177,-0.89679
1528448068213013,0.2229,-0.317017,0.205017,-0.898804
1528448068227973,0.200073,-0.335388,0.1922,-0.90033
1528448068250952,0.180481,-0.353394,0.181091,-0.899902
1528448068272851,0.165222,-0.370911,0.172668,-0.8974
1528448068288809,0.150024,-0.387207,0.166016,-0.89447
1528448068310767,0.135925,-0.402283,0.161682,-0.890869
1528448068333732,0.123596,-0.41571,0.158386,-0.887085
1528448068348681,0.115234,-0.427307,0.156311,-0.883057
1528448068378619,0.108765,-0.436096,0.154358,-0.879944
1528448068400546,0.104309,-0.443237,0.152161,-0.877258
1528448068430430,0.0985718,-0.45282,0.149353,-0.873474
1528448068453370,0.0963135,-0.455444,0.149597,-0.872314
1528448068468349,0.09552,-0.456848,0.150391,-0.871582
1528448068491270,0.0957642,-0.456726,0.151001,-0.871521
1528448068513248,0.0966187,-0.455017,0.151062,-0.872314
1528448068528316,0.0980835,-0.451782,0.150452,-0.873901
1528448068551266,0.101807,-0.446228,0.150208,-0.876343
1528448068581168,0.110229,-0.43811,0.152283,-0.879089
1528448068611272,0.136108,-0.419067,0.162354,-0.882935
1528448068633074,0.149841,-0.408508,0.168762,-0.88446
1528448068670989,0.169434,-0.392822,0.183228,-0.885132
1528448068693166,0.171997,-0.389038,0.187195,-0.885498
1528448068737993,0.181519,-0.386719,0.191345,-0.883728
1528448068761379,0.181274,-0.380554,0.196106,-0.885376
1528448068790487,0.192566,-0.369202,0.199768,-0.886963
1528448068813801,0.194641,-0.366272,0.20166,-0.887329
1528448068858896,0.19574,-0.353638,0.215332,-0.888977
1528448068880840,0.201111,-0.34668,0.221008,-0.88916
1528448068910620,0.206665,-0.34021,0.224121,-0.889587
1528448068925580,0.208557,-0.34021,0.224243,-0.889099
1528448068948519,0.213013,-0.341614,0.223755,-0.887634
1528448068963844,0.217712,-0.343018,0.223145,-0.886108
1528448068986186,0.220459,-0.343628,0.222961,-0.885254
1528448069016104,0.221985,-0.343628,0.223633,-0.884705
1528448069031065,0.222473,-0.342773,0.225159,-0.884521
1528448069053002,0.22229,-0.341614,0.226868,-0.884583
1528448069068171,0.22168,-0.340088,0.228149,-0.884949
1528448069083777,0.221191,-0.338501,0.229004,-0.885498
1528448069105720,0.221069,-0.337158,0.229553,-0.885925
1528448069136313,0.221863,-0.335938,0.229675,-0.886169
1528448069151395,0.223633,-0.334717,0.229797,-0.886108
1528448069173459,0.225403,-0.333496,0.230164,-0.886047
1528448069188848,0.226624,-0.332214,0.230896,-0.885986
1528448069202944,0.227234,-0.330933,0.232056,-0.886047
1528448069226043,0.227783,-0.329407,0.233337,-0.886108
1528448069248215,0.228577,-0.327393,0.234863,-0.88623
1528448069263166,0.229431,-0.324768,0.236389,-0.886597
1528448069293118,0.230896,-0.321899,0.237854,-0.886841
1528448069316084,0.232239,-0.318909,0.239441,-0.887146
1528448069346019,0.235291,-0.311157,0.244263,-0.887817
1528448069367915,0.237305,-0.305481,0.247009,-0.888489
1528448069390907,0.239868,-0.298523,0.250244,-0.889282
1528448069405844,0.243286,-0.289856,0.254211,-0.890076
1528448069428781,0.247681,-0.279785,0.258789,-0.890747
1528448069450739,0.252808,-0.269348,0.264465,-0.890869
1528448069465708,0.258301,-0.257996,0.271118,-0.890625
1528448069488647,0.264587,-0.245911,0.277893,-0.890137
1528448069510589,0.272339,-0.233765,0.283936,-0.88916
1528448069525499,0.280151,-0.221985,0.289551,-0.887939
1528448069548434,0.287659,-0.2099,0.295593,-0.886475
1528448069570412,0.295837,-0.197388,0.301636,-0.884644
1528448069585388,0.305115,-0.184143,0.307129,-0.882446
1528448069608327,0.31488,-0.169739,0.312439,-0.880066
1528448069631278,0.324951,-0.152649,0.318298,-0.87738
1528448069646218,0.336121,-0.131897,0.325684,-0.87384
1528448069676250,0.348572,-0.108887,0.334717,-0.868713
1528448069698191,0.361328,-0.0845947,0.345459,-0.861938
1528448069713157,0.372559,-0.0588989,0.357483,-0.85437
1528448069736335,0.382263,-0.0320435,0.369629,-0.846313
1528448069751333,0.392212,-0.00366211,0.38147,-0.837036
1528448069766365,0.402893,0.0259399,0.394226,-0.825562
1528448069788782,0.413757,0.0562134,0.40863,-0.811584
1528448069811111,0.423279,0.0873413,0.423767,-0.796021
1528448069832896,0.431335,0.119629,0.438354,-0.779419
1528448069855988,0.439148,0.152588,0.452271,-0.761108
1528448069878138,0.447754,0.185486,0.466736,-0.739746
1528448069893286,0.455933,0.217224,0.481628,-0.716187
1528448069908250,0.463257,0.246887,0.495239,-0.6922
1528448069931185,0.468872,0.275146,0.50769,-0.668396
1528448069946148,0.471924,0.301636,0.520386,-0.644592
1528448069967931,0.472961,0.325378,0.534119,-0.620605
1528448069990924,0.473938,0.344299,0.548401,-0.596741
1528448070005995,0.474854,0.359314,0.561584,-0.574463
1528448070028870,0.475952,0.371277,0.573608,-0.55365
1528448070051248,0.477722,0.379761,0.585693,-0.533386
1528448070073253,0.480591,0.38446,0.598267,-0.513123
1528448070088778,0.482178,0.388062,0.60968,-0.495117
1528448070118914,0.482361,0.390686,0.619873,-0.480042
1528448070133259,0.482605,0.390747,0.628479,-0.468384
1528448070155630,0.482239,0.391418,0.633423,-0.461426
1528448070170545,0.480835,0.393188,0.635498,-0.458557
1528448070193841,0.47937,0.39502,0.635925,-0.457947
1528448070208882,0.478333,0.395203,0.636719,-0.457764
1528448070230997,0.479004,0.3927,0.638672,-0.456543
1528448070252918,0.48175,0.386597,0.64209,-0.454041
1528448070268901,0.486633,0.376892,0.646423,-0.450745
1528448070291255,0.49292,0.365051,0.65094,-0.447205
1528448070313191,0.499146,0.35321,0.654785,-0.444153
1528448070327996,0.504272,0.343384,0.657349,-0.442322
1528448070350934,0.507874,0.336365,0.658264,-0.4422
1528448070372876,0.509644,0.332825,0.657227,-0.444458
1528448070387836,0.509338,0.332764,0.654358,-0.448975
1528448070410774,0.507324,0.335632,0.65033,-0.454956
1528448070433066,0.504517,0.340332,0.645569,-0.461243
1528448070448935,0.501587,0.345703,0.641113,-0.466736
1528448070470910,0.49884,0.350525,0.63739,-0.471191
