timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528449943755719,2,-1,0,0,-1,0,1,7
1528449943755719,-3,-1,0,0,-2,-1,-2,-10
1528449943763699,1,0,1,-1,-1,0,-1,4
1528449943763699,-3,0,-2,-3,-1,-1,-2,-5
1528449943778658,0,0,0,-1,0,0,-2,0
1528449943778658,0,-1,0,-1,0,0,0,2
1528449943785640,0,-1,-2,0,-1,-2,-3,-4
1528449943785640,0,-2,-1,0,-2,-1,-2,0
1528449943796610,-4,0,-1,-1,-2,-2,-1,-2
1528449943796610,1,-2,-1,-1,-1,-3,-2,5
1528449943808578,2,0,0,-1,0,1,0,-10
1528449943808578,-2,-2,1,1,-1,-3,0,5
1528449943815560,0,-1,-2,-1,0,-1,0,-2
1528449943815560,-5,-2,-1,-1,-1,0,-1,-9
1528449943830519,12,1,-2,0,1,-2,0,14
1528449943830519,-4,-1,-2,0,-1,-2,-3,-14
1528449943838497,3,0,0,-1,-1,2,1,14
1528449943838497,-1,-2,-1,-2,-1,-1,0,-4
1528449943853459,-2,-1,0,-1,-2,-3,-3,-7
1528449943853459,4,0,-1,-1,0,-2,0,8
1528449943868420,2,0,-2,2,0,-3,-1,-17
1528449943868420,-7,-1,-1,0,0,0,3,10
1528449943877394,-4,0,-2,-3,0,0,0,-4
1528449943877394,-1,0,-1,-1,-1,2,0,2
1528449943890359,-6,-2,-1,-2,-2,-2,-2,-11
1528449943890359,9,-1,0,-1,-1,-3,-2,-5
1528449943901330,5,0,0,-2,0,-2,0,8
1528449943901330,-1,0,-1,-1,1,0,2,3
1528449943913299,-2,-1,0,0,0,0,-4,-16
1528449943913299,0,-1,0,-1,-2,-2,-1,6
1528449943928258,-1,0,1,-2,-1,-1,-1,-1
1528449943928258,0,0,-1,-1,-1,0,2,8
1528449943935239,3,-2,-1,0,-2,-2,-3,-18
1528449943935239,-7,-1,1,1,0,0,2,9
1528449943953192,-2,-2,-1,-1,-1,1,-2,2
1528449943953192,-1,-1,0,-1,1,0,0,11
1528449943958178,1,1,-1,1,0,-2,-1,-10
1528449943958178,12,-1,-1,-1,-1,1,0,2
1528449943973138,0,-2,-1,2,1,-1,2,22
1528449943973138,5,1,1,-2,0,-2,-4,-17
1528449943988100,-2,0,-3,-1,-1,-1,0,2
1528449943988100,-6,-1,0,0,-1,0,-3,-15
1528449943995081,14,0,-1,0,-2,1,3,27
1528449943995081,-14,-2,1,2,0,0,1,4
1528449944011039,1,1,1,0,1,1,2,5
1528449944011039,-6,-1,-2,-4,0,2,-1,-5
1528449944018020,2,1,0,0,-1,-1,-4,-5
1528449944018020,4,1,1,0,-2,-2,-1,-1
1528449944032979,3,-2,0,0,-2,-1,-2,-18
1528449944032979,-18,-1,-1,0,1,1,2,7
1528449944047946,8,0,-1,0,-1,0,-3,-1
1528449944047946,-7,-2,0,0,2,-3,-2,-3
1528449944070877,1,1,-2,0,-1,-1,0,-1
1528449944070877,-3,-1,-1,2,1,-1,-2,-2
1528449944077860,-1,-2,0,-3,-2,-3,-3,-11
1528449944077860,8,1,0,-2,0,1,1,11
1528449944085837,16,1,1,-1,-2,-1,1,18
1528449944085837,-24,-2,1,0,0,0,0,-11
1528449944100798,-5,0,0,1,1,1,0,1
1528449944100798,-5,-2,-1,-2,0,-2,-5,-12
1528449944107779,10,1,0,0,0,-2,1,11
1528449944107779,7,0,0,-1,0,-1,1,12
1528449944122770,14,1,1,-1,0,0,1,-3
1528449944122770,-22,-3,-2,1,0,1,1,-3
1528449944130718,-4,0,-1,-1,-1,-1,-3,-11
1528449944130718,8,0,-1,-2,-2,0,-2,0
1528449944137700,-5,1,-1,0,-2,1,1,7
1528449944137700,5,-2,0,0,-3,-2,-4,-14
1528449944145678,1,-2,0,0,0,1,3,12
1528449944145678,-3,-2,-1,-2,-1,-2,-2,2
1528449944152660,8,0,-2,0,-1,-2,-2,1
1528449944152660,-2,0,1,1,0,-1,3,7
1528449944160646,-15,-2,1,0,0,1,-1,-9
1528449944160646,8,0,0,-1,-1,-2,-2,-8
1528449944175598,-8,-3,-3,-3,0,-2,-4,4
1528449944175598,4,-2,-3,-1,2,2,1,1
1528449944190559,3,1,2,2,1,1,1,3
1528449944190559,14,1,-2,0,-2,-2,-3,0
1528449944205519,-24,-4,-4,-2,-1,-1,-2,-18
1528449944205519,-7,0,1,1,1,1,2,9
1528449944213498,-1,-3,0,-1,-3,-1,-1,-4
1528449944213498,11,2,2,-1,1,2,4,26
1528449944228457,7,-1,-2,-1,0,2,-2,-6
1528449944228457,-5,0,1,0,-1,0,-1,-11
1528449944235451,-4,-1,-2,-1,-2,-1,-1,-3
1528449944235451,-2,0,-2,-2,-2,-1,-2,-11
1528449944251395,-1,-1,1,1,-3,-3,-4,-4
1528449944251395,6,-2,-1,-1,0,0,1,15
1528449944258378,-4,0,1,1,-1,1,1,-8
1528449944258378,-9,-2,0,-2,1,-2,-4,-16
1528449944273337,1,-1,-2,-1,0,-1,4,-1
1528449944273337,-18,-1,-2,0,-1,1,1,15
1528449944288298,3,0,2,2,-2,-1,-2,-8
1528449944288298,2,-3,-3,-2,-1,-1,-1,4
1528449944295278,0,1,-1,-4,-3,-2,-5,-8
1528449944295278,-1,-3,0,-1,-1,-1,-2,-23
1528449944310239,3,-2,0,0,0,1,2,10
1528449944310239,0,2,-1,1,0,-1,0,-16
1528449944318218,-4,-2,0,2,1,0,4,24
1528449944318218,6,2,-2,2,0,-2,-3,-11
1528449944333176,6,-3,-1,0,-1,0,-1,3
1528449944333176,-6,-1,0,2,-1,2,2,7
1528449944348136,1,0,-1,-1,-1,0,-4,-11
1528449944348136,-1,0,0,-1,0,-1,0,-4
1528449944355119,-7,-1,-3,-3,1,1,1,10
1528449944355119,6,0,2,0,-1,-1,-2,4
1528449944370078,0,-1,0,0,-2,0,-2,-15
1528449944370078,1,1,-1,0,-1,-2,1,25
1528449944378056,3,0,-1,-1,-1,-1,-3,-25
1528449944378056,-2,-1,0,1,1,1,6,24
1528449944393257,1,2,2,1,1,0,-2,-8
1528449944393257,0,-1,0,-1,-2,-3,-3,-4
1528449944408010,8,1,-1,0,1,-2,-1,-3
1528449944408010,-6,-3,-2,0,-1,1,1,2
1528449944415999,-11,-1,-1,-1,0,1,2,13
1528449944415999,2,0,-2,-4,-1,-2,-3,-10
1528449944430948,-2,0,0,0,-2,-1,-1,-4
1528449944430948,-1,1,-1,0,0,-2,-3,-32
1528449944446141,11,0,0,1,2,0,1,27
1528449944446141,-6,0,0,-1,-2,-3,-2,-5
1528449944452917,2,-1,0,0,-2,-1,-3,-4
1528449944452917,1,-2,-2,-1,-1,-1,0,5
1528449944468170,-9,-2,-2,-1,-1,0,-1,-10
1528449944468170,6,-1,-1,1,0,0,1,3
1528449944476277,-1,0,-1,-1,-1,-2,-5,-17
1528449944476277,1,3,1,1,0,1,1,10
1528449944490157,13,2,-3,-1,0,-1,0,3
1528449944490157,0,-1,1,0,0,0,1,4
1528449944506334,-14,-2,0,-1,-1,0,-1,-11
1528449944506334,9,0,0,-1,-1,0,0,14
1528449944513313,-6,-3,0,-2,-1,-1,-2,-6
1528449944513313,5,0,-1,-3,0,1,-2,4
1528449944528275,-12,0,1,0,1,0,2,13
1528449944528275,-11,-3,-2,-2,-1,-2,-7,-20
1528449944535997,6,0,1,-2,-2,0,4,26
1528449944535997,0,0,1,0,0,-1,-2,1
1528449944550949,-16,-2,-1,0,0,-3,-3,-3
1528449944550949,10,-1,0,0,-1,0,2,-10
1528449944565910,-2,2,0,0,-1,0,-1,4
1528449944565910,7,1,1,0,1,-1,0,0
1528449944572890,-15,-1,-2,1,1,0,0,-17
1528449944572890,4,-1,-2,-1,0,-2,1,15
1528449944587887,4,-2,-1,1,2,0,0,-1
1528449944587887,-4,0,0,0,1,-1,-1,-7
1528449944595830,1,0,-2,-1,-1,-1,-4,-8
1528449944595830,-4,-2,-1,-1,-2,0,0,1
1528449944610789,-12,-2,0,0,0,1,4,10
1528449944610789,0,-1,-1,-1,-1,-1,-1,0
1528449944625749,-4,-1,-4,-6,-2,0,-4,8
1528449944625749,14,-1,2,2,-1,1,0,-20
1528449944632730,-1,1,3,0,1,1,1,9
1528449944632730,-4,0,-2,-1,-1,-1,-1,0
1528449944647690,1,-3,0,-1,-2,-1,-1,-6
1528449944647690,-2,1,-2,-3,-2,-1,-1,0
1528449944655668,11,-1,-1,-1,1,-1,1,6
1528449944655668,-14,-2,2,0,-2,0,-1,-7
1528449944670629,15,1,0,0,-2,-2,-5,-9
1528449944670629,-16,-4,-3,0,-2,-2,-2,0
1528449944685590,8,3,1,-2,0,-1,3,4
1528449944685590,-10,-1,0,0,2,1,1,-1
1528449944692570,4,-2,-4,-3,-1,-2,-2,-7
1528449944692570,1,1,-2,0,0,-2,-2,0
1528449944707530,2,-2,-1,0,-1,1,1,7
1528449944707530,-6,-2,-1,1,-1,0,1,1
1528449944715509,4,1,-1,0,-2,-2,-2,-6
1528449944715509,0,-1,-1,-2,-1,-1,-3,-4
1528449944730503,0,-3,-1,0,-1,-1,-1,-1
1528449944730503,-6,-1,0,0,2,1,1,0
1528449944745474,-1,-2,0,0,-1,-3,-2,0
1528449944745474,2,-1,-4,-4,-3,-1,-3,-8
1528449944753456,-2,-1,-1,0,0,-2,1,1
1528449944753456,-1,0,0,-1,-1,1,3,6
1528449944768422,5,1,0,0,0,0,1,1
1528449944768422,-4,-2,0,0,-3,-1,-1,-6
1528449944775393,1,-3,-1,-1,1,1,1,15
1528449944775393,2,-1,-2,-2,0,-1,-4,-11
1528449944790361,-11,0,0,-1,1,1,2,4
1528449944790361,2,0,-1,-2,-1,-1,1,-5
1528449944805321,0,0,2,2,-2,0,0,7
1528449944805321,5,1,0,0,-2,-2,-2,-6
1528449944813305,16,0,-2,-2,-3,-1,2,13
1528449944813305,-20,-3,1,-1,1,-1,-2,-2
1528449944828263,3,2,-1,0,0,0,-2,-3
1528449944828263,-8,-1,-2,-1,0,0,1,2
1528449944835244,1,0,-1,-1,-1,0,-2,-4
1528449944835244,6,1,-2,-3,-1,-1,-2,-15
1528449944850155,3,0,-1,1,0,0,-1,7
1528449944850155,-5,-1,-1,1,-1,0,-2,-9
1528449944865111,2,-2,-1,-3,-1,-2,0,2
1528449944865111,-4,-1,0,2,0,-2,0,-3
1528449944873088,-7,-3,-1,-2,-3,-2,-3,-13
1528449944873088,15,0,0,-2,-1,-1,3,22
1528449944888050,-2,1,1,0,0,0,-2,-7
1528449944888050,1,-2,-2,-1,-1,-1,1,0
1528449944896028,-14,-4,0,0,-1,1,-2,-14
1528449944896028,0,0,0,0,0,0,0,6
1528449944909990,0,1,1,3,-2,0,-3,-8
1528449944909990,3,0,0,1,0,-1,0,-3
1528449944925947,-2,-1,0,-1,-1,-1,-2,-14
1528449944925947,0,-1,-1,-1,0,-1,0,17
