timestamp,x,y,z
1528446700441335,15.9375,2.5625,-1.0625
1528446700466267,16.125,3.3125,-1.625
1528446700479231,16.5,4.25,-2.125
1528446700503169,16.875,5,-2.375
1528446700524111,16.4375,5.8125,-2.625
1528446700546054,16.0625,5.6875,-2.75
1528446700592927,15.9375,5.3125,-2.75
1528446700600906,13.75,5.4375,-2.875
1528446700601903,12.4375,5.6875,-3.375
1528446700614868,12.5625,5.6875,-3.0625
1528446700636810,13.5,5.1875,-2.9375
1528446700658786,15.1875,4.375,-2.8125
1528446700676704,16.5625,3.625,-2.125
1528446700703631,17.125,3.25,-1.25
1528446700735546,16.375,2.625,-0.625
1528446700741531,11.875,2.8125,-0.125
1528446700756491,4.6875,2.5,-0.3125
1528446700779429,0.125,2.1875,-0.875
1528446700793392,-4.125,1.625,-0.625
1528446700815333,-8,1.75,-1.875
1528446700830293,-11.25,1.3125,-2.125
1528446700853233,-12.25,0.9375,-2.5625
1528446700875175,-12,0.375,-3.125
1528446700891132,-11.25,0,-3
1528446700913124,-9.5625,-0.4375,-2.875
1528446700936048,-7.6875,-0.5625,-2.3125
1528446700950972,-6.125,-0.25,-1.875
1528446700972964,-4.3125,0.375,-1.875
1528446700995877,-1.5625,0.6875,-1.875
1528446701010812,1.9375,1.0625,-1.625
1528446701032765,3.25,1.9375,-1.5625
1528446701058687,5.3125,1.9375,-1.3125
1528446701070651,7.6875,2.0625,-0.875
1528446701093592,8.3125,2.6875,-1.125
1528446701115532,9.8125,2.625,-1.75
1528446701130493,12.6875,2.3125,-1.6875
1528446701160413,13.8125,2.3125,-1.75
1528446701175371,14.5625,2.3125,-2.375
1528446701192367,14.8125,1.9375,-2.8125
1528446701213270,14.3125,1.625,-3.25
1528446701235238,14.0625,1.4375,-3.4375
1528446701252233,13.8125,1.5625,-3.375
1528446701273531,12.6875,1.875,-2.9375
1528446701295414,9,2.5,-2.8125
1528446701312368,5.625,2.125,-3.1875
1528446701336711,3.1875,1.75,-3.5
1528446701356802,0.5625,0.5625,-3.875
1528446701371748,-1.3125,0.625,-3
1528446701392719,0.125,0.3125,-0.9375
1528446701415857,-1.6875,0.3125,1.75
1528446701439567,-2.75,0.6875,3.625
1528446701453709,-2.5,0.9375,5.0625
1528446701475474,-2.5,0.8125,5.125
1528446701492648,-6.4375,0.5625,4.5625
1528446701513369,-12.1875,-0.1875,3.125
1528446701535661,-15.5,-1.625,0.9375
1528446701552596,-15.625,-2.6875,-0.875
1528446701574011,-13.5625,-3.0625,-1.9375
1528446701596070,-11.5625,-3.3125,-2.5625
1528446701614039,-9.6875,-3.25,-2.5625
1528446701633209,-6.875,-3,-1.75
1528446701656285,-4,-1.8125,-1
1528446701673335,-1.875,-1.0625,-0.5
1528446701693280,1,-0.4375,0.1875
1528446701715222,1.375,0.1875,0.8125
1528446701733203,1.5625,0.3125,1.1875
1528446701756131,2.5,0.375,1.125
1528446701777057,2,0.625,1.0625
1528446701794021,-0.125,0.0625,1.5
1528446701814956,-3.1875,-0.5625,1.625
1528446701835901,-6.8125,-1.125,1.6875
1528446701852855,-8.1875,-1.25,1.125
1528446701874797,-7.9375,-1.0625,0.75
1528446701896738,-7,-1.1875,0
1528446701912695,-5.3125,-1.4375,-0.5
1528446701935634,-3.6875,-0.9375,-0.5
1528446701956578,-2,-0.375,-0.8125
1528446701972540,0.625,0.625,-1.125
1528446702001485,4.375,1.5,-1.9375
1528446702016443,8,2.1875,-2.6875
1528446702033408,11.3125,2.6875,-3.75
1528446702055582,13.9375,3.125,-4.3125
1528446702078520,14.6875,3.5625,-4.5625
1528446702092660,14.1875,3.8125,-4.375
1528446702123120,12.375,4,-3.9375
1528446702138361,11,3.4375,-3.125
1528446702166006,8.8125,3.0625,-0.875
1528446702175255,3,3.25,0.375
1528446702197919,-4.75,3.1875,1.875
1528446702212880,-10.3125,2.5,2.75
1528446702235874,-14.625,1.4375,3.625
1528446702257759,-14.625,0.625,3.75
1528446702272854,-12.5625,-0.0625,4.0625
1528446702295925,-9.9375,-0.375,3.5625
1528446702317635,-5.75,-0.4375,3.3125
1528446702331824,-4.75,-0.6875,2.5
1528446702355757,-9.0625,-0.4375,2.9375
1528446702377627,-11.25,-0.5625,2.375
1528446702392880,-11.125,-0.5625,1.8125
