timestamp,x,y,z
1528279238356614,0.928711,-0.337402,0.132324
1528279238380550,0.928223,-0.33252,0.135254
1528279238401493,0.924805,-0.326172,0.12793
1528279238416455,0.927246,-0.328613,0.127441
1528279238440390,0.922363,-0.327148,0.128418
1528279238461334,0.921387,-0.330566,0.131348
1528279238476294,0.922852,-0.327637,0.128418
1528279238517186,0.928223,-0.327637,0.124023
1528279238518184,0.93457,-0.325195,0.11084
1528279238538132,0.924805,-0.319824,0.111816
1528279238560071,0.915527,-0.311523,0.11377
1528279238578031,0.90918,-0.316406,0.126465
1528279238597969,0.900879,-0.318848,0.138184
1528279238641852,0.910645,-0.330078,0.133789
1528279238651851,0.924805,-0.341309,0.139648
1528279238657810,0.925781,-0.345215,0.161621
1528279238679751,0.958984,-0.357422,0.207031
1528279238695709,0.999512,-0.388672,0.248047
1528279238731611,1.05127,-0.345215,0.409668
1528279238747569,1.11768,-0.275879,0.222168
1528279238763526,1.12061,-0.425781,0.333008
1528279238786467,1.10059,-0.5625,0.402344
1528279238807410,1.18359,-0.916992,0.430664
1528279238823368,1.36084,-1.22266,0.40918
1528279238846305,1.23779,-1.42139,0.374023
1528279238867250,1.1001,-1.52002,0.316406
1528279238883208,0.956055,-1.52832,0.300781
1528279238907144,0.810059,-1.48633,0.39502
1528279238927090,0.645508,-1.39258,0.360352
1528279238943057,0.48584,-1.33252,0.289551
1528279238981944,0.432129,-1.26563,0.28125
1528279238988926,0.384766,-1.16064,0.261719
1528279239003885,0.270996,-1.02197,0.285156
1528279239033806,0.108398,-0.815918,0.230957
1528279239046769,-0.0375977,-0.584961,0.213867
1528279239063730,-0.173828,-0.458984,0.17334
1528279239085666,-0.25293,-0.39209,0.210449
1528279239107609,-0.307129,-0.360352,0.220215
1528279239123575,-0.335938,-0.304688,0.226563
1528279239146504,-0.338867,-0.276367,0.267578
1528279239167446,-0.341309,-0.224609,0.263672
1528279239198366,-0.373535,-0.157715,0.343262
