timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528453331812251,-1,-1,-2,-1,0,0,-2,1
1528453331812251,-1,0,1,0,-2,0,0,-1
1528453331813248,-2,-1,0,2,-1,-1,0,-1
1528453331813248,-2,-1,-3,-2,-1,1,0,-2
1528453331815250,-1,-1,0,-1,0,-2,0,1
1528453331815250,0,0,-1,0,0,0,0,-1
1528453331818235,0,-1,0,0,0,-1,-2,-2
1528453331818235,0,0,-1,1,-1,-1,-3,-1
1528453331826213,-1,1,1,0,1,-1,-1,-2
1528453331826213,-1,0,-2,0,-1,-2,-1,0
1528453331837184,0,-1,-1,-1,0,0,0,-2
1528453331837184,0,0,2,-1,-1,-1,0,0
1528453331840176,0,-2,-1,0,-1,-1,-1,-1
1528453331840176,0,-2,-1,-1,1,-1,0,-3
1528453331856133,0,0,0,-1,2,0,-2,0
1528453331856133,0,-1,0,0,0,1,-2,0
1528453331874085,-3,0,-2,-2,-1,-1,0,-2
1528453331874085,0,1,-1,-1,0,0,-1,-1
1528453331876079,-1,0,-1,-1,-1,-1,0,1
1528453331876079,0,0,-1,0,-1,-1,1,-2
1528453331888048,0,0,1,0,-1,1,-1,-1
1528453331888048,-1,-1,0,0,-1,-2,0,0
1528453331894032,-1,-2,-3,-1,0,0,-1,-1
1528453331894032,1,0,-1,-1,-1,-3,0,-1
1528453331940907,0,0,0,-1,0,0,0,-1
1528453331940907,0,-2,0,-1,-1,-1,0,-1
1528453331941904,-1,-1,-4,-1,-1,0,1,0
1528453331941904,-1,-1,-3,-1,-1,0,0,-1
1528453331942903,0,-3,0,-1,-1,0,-1,0
1528453331942903,1,-1,1,1,0,-1,0,0
1528453331944896,-2,-1,1,1,-1,-1,-1,-1
1528453331944896,0,-2,-1,0,-1,-1,-2,0
1528453331952874,-3,-1,-1,0,0,-1,-1,-1
1528453331952874,-1,1,-2,-3,-1,1,-1,1
1528453331959856,0,1,0,-1,-1,-1,0,0
1528453331959856,0,0,-2,-1,-1,-1,-1,0
1528453331968832,1,1,0,-2,-1,-1,0,0
1528453331968832,-1,-1,0,-1,0,-2,-2,-1
1528453331982795,1,-1,-1,-1,1,0,-1,-2
1528453331982795,-2,0,0,-1,0,0,-1,-1
1528453331990773,1,1,0,-1,-1,-2,0,0
1528453331990773,-1,0,-1,0,0,0,0,0
1528453331997754,-1,-1,0,-1,0,-1,0,-1
1528453331997754,2,0,1,0,-1,-1,0,0
1528453332013712,-1,-2,-2,-2,-2,0,1,0
1528453332013712,-1,0,-2,0,-1,0,0,-1
1528453332019696,0,-1,0,-1,-2,0,-2,0
1528453332019696,-6,-1,0,0,0,0,0,0
1528453332027675,-5,-1,0,1,0,-3,0,1
1528453332027675,9,2,-1,1,0,0,-1,-1
1528453332051611,-2,-3,-1,0,-1,-2,0,-2
1528453332051611,-8,-3,-1,-2,-1,-1,0,-2
1528453332051611,10,3,1,1,2,2,-1,1
1528453332051611,-2,1,-1,0,0,0,0,-11
1528453332057594,3,0,1,0,-1,-2,-1,1
1528453332057594,-1,0,0,0,-1,-1,-1,-4
1528453332073551,-6,-3,-1,-1,-1,-1,-2,-3
1528453332073551,1,-3,-1,-2,-2,-2,0,4
1528453332079536,-3,2,1,1,1,0,0,-2
1528453332079536,-2,0,0,0,-1,-1,0,-2
1528453332087515,0,-1,-2,0,-2,0,-1,0
1528453332087515,-3,-3,0,-1,0,-1,0,2
1528453332102475,-2,-2,0,-1,0,0,0,-1
1528453332102475,2,-1,0,0,0,-2,-1,2
1528453332110454,-1,-1,0,0,-1,-2,-1,-1
1528453332110454,-3,-1,0,0,0,1,-1,0
1528453332117464,-2,-1,0,-2,0,-1,-1,-1
1528453332117464,2,1,-1,-2,0,0,0,0
1528453332133393,0,0,0,-1,0,-2,-2,-1
1528453332133393,-6,1,-1,-2,-1,0,-1,-1
1528453332140373,0,-1,-2,-2,0,-1,0,2
1528453332140373,2,-1,0,0,1,0,0,-1
1528453332147355,-1,-1,-2,-1,0,-2,-1,-1
1528453332147355,0,-1,0,0,0,-2,-1,0
1528453332162315,1,-1,-1,-2,-2,-1,-1,1
