timestamp,x,y,z,w
1528440644946311,0.597229,-0.184143,0.779175,0.0474243
1528440644971272,0.597961,-0.183411,0.778809,0.0466919
1528440644998198,0.598389,-0.182861,0.778625,0.0459595
1528440645009189,0.598633,-0.182556,0.778564,0.0448608
1528440645029088,0.598694,-0.182556,0.778687,0.0430298
1528440645038065,0.598511,-0.182861,0.77887,0.0405273
1528440645059008,0.5979,-0.184204,0.779236,0.0363159
1528440645073997,0.596802,-0.186523,0.779785,0.0298462
1528440645128825,0.594788,-0.190186,0.780701,0.0205078
1528440645133809,0.591614,-0.196411,0.781799,0.0098877
1528440645170709,0.586121,-0.206665,0.783386,-0.00262451
1528440645193676,0.578125,-0.220764,0.785278,-0.0167847
1528440645208630,0.566895,-0.237976,0.787781,-0.0358887
1528440645232572,0.552307,-0.256836,0.790649,-0.0611572
1528440645253520,0.533813,-0.27478,0.794128,-0.0940552
1528440645276427,0.510803,-0.291077,0.797668,-0.134155
1528440645291387,0.482483,-0.306213,0.800476,-0.180847
1528440645322333,0.449463,-0.319641,0.801453,-0.231201
1528440645343302,0.414001,-0.334595,0.797974,-0.282715
1528440645358208,0.377563,-0.351501,0.788513,-0.334839
1528440645373221,0.339355,-0.365845,0.774292,-0.38916
1528440645388183,0.29895,-0.371704,0.758362,-0.444275
1528440645396108,0.257263,-0.369629,0.742859,-0.4953
1528440645447969,0.169617,-0.349121,0.714294,-0.582336
1528440645470907,0.128967,-0.337097,0.699158,-0.617188
1528440645493846,0.0965576,-0.328735,0.682556,-0.645569
1528440645515787,0.0699463,-0.320313,0.665466,-0.670593
1528440645530756,0.0481567,-0.310364,0.649536,-0.692444
1528440645553686,0.0302734,-0.299561,0.634277,-0.712036
1528440645575627,0.0148315,-0.288391,0.619934,-0.729614
1528440645590587,0.00238037,-0.278442,0.605652,-0.745422
1528440645613525,-0.00836182,-0.269775,0.591736,-0.759644
1528440645635468,-0.0200806,-0.262634,0.57782,-0.772522
1528440645651424,-0.0317993,-0.258728,0.563599,-0.783875
1528440645681390,-0.0435791,-0.255249,0.551208,-0.793213
1528440645703289,-0.0495605,-0.251648,0.542847,-0.799744
1528440645733234,-0.0446777,-0.241211,0.530212,-0.811646
1528440645756183,-0.0413818,-0.240356,0.525452,-0.815125
1528440645771138,-0.0388794,-0.241516,0.519836,-0.818542
1528440645793045,-0.0396729,-0.241699,0.515076,-0.821411
1528440645815985,-0.0435181,-0.240112,0.511719,-0.823792
1528440645830955,-0.0478516,-0.239502,0.509644,-0.825012
1528440645853895,-0.0502319,-0.242065,0.508667,-0.824707
1528440645875825,-0.0539551,-0.246033,0.509277,-0.822937
1528440645913758,-0.0581055,-0.250549,0.51123,-0.820068
1528440645943645,-0.0535278,-0.251099,0.512329,-0.819519
1528440645980545,-0.0332642,-0.249207,0.525452,-0.812866
1528440646003539,-0.0223389,-0.247131,0.532654,-0.809143
1528440646041410,-0.013855,-0.248779,0.538574,-0.804932
1528440646055345,-0.0150146,-0.25238,0.536987,-0.804871
1528440646093244,-0.0273438,-0.256165,0.531067,-0.807251
1528440646116182,-0.0326538,-0.257751,0.527771,-0.808716
1528440646161399,-0.0403442,-0.259888,0.522461,-0.811096
1528440646183361,-0.0431519,-0.260986,0.521301,-0.81134
1528440646213323,-0.0498657,-0.261047,0.521423,-0.810852
1528440646236451,-0.0491333,-0.258484,0.522461,-0.811096
1528440646273697,-0.0175171,-0.257202,0.533264,-0.805725
1528440646295639,-0.00396729,-0.256226,0.538818,-0.80249
1528440646333702,0.00115967,-0.258484,0.543457,-0.798706
1528440646355837,-0.00238037,-0.26239,0.542847,-0.797791
1528440646385757,-0.0154419,-0.268188,0.542236,-0.796143
1528440646408898,-0.0174561,-0.271606,0.54364,-0.794006
1528440646430838,-0.0161133,-0.276306,0.547424,-0.789795
1528440646445641,-0.0120239,-0.282349,0.553772,-0.783264
1528440646468944,-0.00543213,-0.289307,0.562256,-0.774719
1528440646491065,0.0022583,-0.297119,0.573792,-0.763184
1528440646513018,0.00915527,-0.305664,0.588318,-0.748596
1528440646528964,0.019104,-0.313782,0.606445,-0.730347
1528440646573999,0.0563965,-0.331909,0.649841,-0.681458
1528440646595785,0.0865479,-0.345093,0.673218,-0.648193
1528440646633842,0.159851,-0.36499,0.718628,-0.569946
1528440646656226,0.2005,-0.367737,0.739258,-0.527344
1528440646693346,0.281738,-0.359436,0.774475,-0.437683
1528440646716275,0.315796,-0.347046,0.791626,-0.391296
1528440646753235,0.377319,-0.325378,0.813599,-0.299622
1528440646783517,0.403564,-0.317932,0.81842,-0.257324
1528440646820382,0.452759,-0.293091,0.822754,-0.179138
1528440646836460,0.47583,-0.276367,0.822693,-0.142517
1528440646873334,0.514343,-0.243408,0.818176,-0.0820923
1528440646895493,0.530151,-0.23053,0.814209,-0.0529175
1528440646933891,0.559143,-0.215149,0.800598,0.00762939
1528440646956044,0.569702,-0.210693,0.79364,0.0333252
1528440646970849,0.578369,-0.2052,0.787659,0.0541382
1528440646985980,0.584473,-0.201233,0.782776,0.0716553
1528440647008251,0.591797,-0.198608,0.776489,0.0856323
1528440647031214,0.593567,-0.197693,0.774048,0.0968628
1528440647046170,0.593262,-0.200623,0.772278,0.106079
1528440647069062,0.596558,-0.203796,0.767944,0.112793
1528440647091028,0.595764,-0.206909,0.767151,0.11676
1528440647105966,0.593262,-0.210754,0.767761,0.118408
1528440647128920,0.595703,-0.213135,0.76532,0.118164
1528440647150984,0.594604,-0.2146,0.765991,0.116577
1528440647165806,0.591492,-0.217529,0.767883,0.114441
1528440647188745,0.593445,-0.219604,0.766174,0.111755
1528440647210741,0.591919,-0.22113,0.767273,0.109375
1528440647225646,0.588379,-0.224426,0.769226,0.107727
1528440647248637,0.587769,-0.227173,0.769104,0.106201
1528440647270579,0.586487,-0.230286,0.769287,0.105408
1528440647300499,0.585205,-0.233276,0.76947,0.104919
1528440647330420,0.583069,-0.238403,0.769531,0.104492
1528440647353314,0.582397,-0.240356,0.769531,0.104065
1528440647391235,0.58197,-0.241333,0.769653,0.103149
1528440647406221,0.581848,-0.241455,0.769836,0.101868
1528440647421123,0.581848,-0.241028,0.770142,0.100586
1528440647436083,0.581848,-0.240784,0.770386,0.0994873
1528440647458025,0.581848,-0.240601,0.770508,0.0986938
1528440647481079,0.581787,-0.240601,0.770691,0.0981445
1528440647504004,0.581848,-0.24054,0.770691,0.0977783
1528440647518866,0.581909,-0.240295,0.770752,0.0975952
1528440647548785,0.582397,-0.239014,0.770813,0.0974731
1528440647578703,0.582825,-0.237976,0.770813,0.0974731
1528440647608781,0.583435,-0.236511,0.770752,0.0975952
1528440647630721,0.584167,-0.234863,0.770691,0.0979004
1528440647645559,0.5849,-0.233215,0.770569,0.0985718
1528440647683425,0.586121,-0.230591,0.770142,0.100342
1528440647698542,0.586548,-0.229553,0.77002,0.10144
1528440647728353,0.587036,-0.228149,0.769775,0.103271
1528440647751241,0.587158,-0.227722,0.769714,0.104126
