timestamp,x,y,z
1528440807627945,-6.375,0.9375,23.375
1528440807643902,1.9375,2.5,26.9375
1528440807666863,7.75,2.8125,27.8125
1528440807688793,12.0625,1.25,28.5
1528440807703744,12,-2.5625,31.9375
1528440807733685,10.25,-6.5,39.125
1528440807748623,12.9375,-8.875,49.8125
1528440807794501,19.6875,-13,64.3125
1528440807804473,25.4375,-19.6875,84
1528440807838382,21.5,-18.4375,106.938
1528440807861322,4.5,-11.625,132.75
1528440807876282,-32.1875,-4.1875,157.563
1528440807898224,-64.1875,-2.5625,184.188
1528440807921161,-68.75,-2.5625,220.563
1528440807936122,-43.375,-0.1875,253.438
1528440807961055,-4,-0.6875,271.625
1528440807981043,33.375,0.5,297.938
1528440807995999,79.8125,5.6875,331.25
1528440808018936,114.813,15.25,353.875
1528440808040897,115.875,18.5,371.063
1528440808064837,112.313,14.25,393.688
1528440808070791,122.938,7.5625,398.25
1528440808130602,161.375,8.6875,375.875
1528440808168539,160.563,19.3125,319.375
1528440808205440,146.875,22.8125,265.063
1528440808221358,112.5,20.3125,225.375
1528440808243300,73.125,10.625,192.313
1528440808266239,51.875,2.625,162.313
1528440808281199,39.6875,-5.125,130
1528440808303197,22.5625,-6.5625,93.75
1528440808326091,1.5,1.25,55.625
1528440808341039,-13.25,9,22.5
1528440808362980,-38.75,3.9375,-1.1875
1528440808385958,-52.375,5.5625,-25.1875
1528440808400880,-49,11.25,-46.4375
1528440808423822,-65.125,15.875,-69.8125
1528440808453790,-70.3125,19.75,-86.625
1528440808475682,-60.8125,22.5,-93.8125
1528440808520599,-48.0625,18.9375,-85.5
1528440808535519,-38,15.3125,-66.4375
1528440808558459,-27.4375,10.6875,-41.0625
1528440808580399,-13.1875,6.0625,-16.125
1528440808595361,7.25,-0.25,5.75
1528440808618326,21.4375,-6.9375,27.25
1528440808641237,28.0625,-13,63.9375
1528440808663178,35.6875,-16.3125,75.875
1528440808693101,39.9375,-18.25,82.5625
1528440808708059,41.5,-20.25,83.875
1528440808730998,27.5,-19.6875,80.4375
1528440808752939,16.4375,-19,74.875
1528440808767899,12.1875,-19.875,67.6875
1528440808790837,13.375,-17.0625,59.625
1528440808805798,8.75,-11.0625,47.1875
1528440808820757,0.4375,-6.9375,29
1528440808843965,-11.75,-6.875,13
1528440808873987,0.1875,-1.0625,-2.0625
1528440808888970,1.125,6.5,-17.75
1528440808911054,-11.0625,12.25,-30.6875
1528440808925887,-12.5,16.75,-35.9375
1528440808940967,-9.25,18.4375,-40
1528440808963976,-9.8125,18.0625,-40.8125
1528440808986049,-1.3125,18.875,-39
1528440809000851,3.6875,19.75,-48.4375
1528440809023997,2.9375,20.1875,-64.5
1528440809046096,-0.0625,22.625,-90.625
1528440809068098,-8.6875,28.3125,-123.625
1528440809091036,-20.5625,36.4375,-162.813
1528440809121456,-35.8125,43.375,-201
1528440809128471,-57.125,50.4375,-241.688
1528440809150648,-74.0625,62.625,-293.313
1528440809180603,-109.75,69.1875,-383.188
1528440809202914,-107.688,66.3125,-403.688
1528440809218872,-104.25,57.125,-400.5
1528440809241185,-102.25,41.375,-382.563
1528440809278903,-63.9375,17.75,-345.688
1528440809301047,-80.75,3.0625,-322.813
1528440809338806,-7.75,-8.9375,-272.125
1528440809360754,25.9375,-11.3125,-295.063
1528440809398905,62.5,-5.8125,-305.875
1528440809420967,60.6875,-25.25,-271.625
1528440809457978,48.125,-38.4375,-197.625
1528440809481192,33,-28.375,-187.5
1528440809526073,26.75,-15.9375,-146.688
1528440809541121,17.9375,-17.5,-116
1528440809586070,-0.375,-10.25,-39.875
1528440809638882,5.75,0.3125,20.25
1528440809668998,8,2.6875,23.5
1528440809706107,3.3125,7.5625,18.6875
1528440809728505,1.75,7.6875,15.1875
1528440809773512,9.25,9.8125,17.375
1528440809788459,7.75,12,23.625
1528440809818397,-15.375,14.8125,33.75
1528440809841331,-28.375,15.1875,33.25
1528440809878270,-38.5,13.4375,26.8125
1528440809901225,-32.375,12.9375,23.6875
1528440809938127,-12.5,10.5625,17.9375
1528440809961065,-3.125,7.4375,16.125
1528440810005945,8.5625,2.0625,13.75
1528440810028867,11.375,0.5,12.625
