timestamp,x,y,z
1528447085249514,0.89209,-0.413086,-0.090332
1528447085264475,0.887207,-0.410645,-0.09375
1528447085279435,0.889648,-0.407227,-0.0932617
1528447085302375,0.892578,-0.415527,-0.0878906
1528447085324321,0.895996,-0.422363,-0.0859375
1528447085339275,0.897949,-0.416992,-0.0810547
1528447085361218,0.905762,-0.361328,-0.0698242
1528447085409088,0.91748,-0.345703,-0.0913086
1528447085410086,0.896484,-0.4375,-0.0996094
1528447085422054,0.875977,-0.454102,-0.0981445
1528447085446990,0.878418,-0.466797,-0.102051
1528447085461947,0.896484,-0.425781,-0.100586
1528447085481895,0.89502,-0.378906,-0.100586
1528447085528769,0.899414,-0.335449,-0.0791016
1528447085529767,0.899902,-0.335449,-0.106934
1528447085542733,0.914063,-0.364746,-0.151855
1528447085565670,0.9375,-0.476563,-0.268066
1528447085580630,0.910645,-0.632324,-0.322754
1528447085602571,0.870117,-0.756348,-0.384277
1528447085623516,0.833496,-0.816406,-0.473145
1528447085640470,0.803223,-0.759766,-0.519531
1528447085662412,0.702637,-0.760254,-0.581055
1528447085683355,0.566895,-0.825195,-0.594727
1528447085700310,0.462891,-0.887207,-0.624023
1528447085723249,0.368164,-0.939941,-0.61377
1528447085744198,0.216309,-0.937988,-0.602539
1528447085760160,0.0708008,-0.964355,-0.648438
1528447085783089,-0.015625,-1.0249,-0.659668
1528447085804033,-0.0283203,-1.02441,-0.666504
1528447085827969,-0.0927734,-1.01611,-0.683594
1528447085842929,-0.195801,-0.967285,-0.68457
1528447085873846,-0.311035,-0.937012,-0.702148
1528447085879831,-0.38623,-0.873047,-0.704102
1528447085902769,-0.425781,-0.844238,-0.674805
1528447085923713,-0.470215,-0.751953,-0.615234
1528447085939671,-0.585938,-0.679199,-0.552734
1528447085961613,-0.674805,-0.615234,-0.549316
1528447085984553,-0.675293,-0.551758,-0.533691
1528447085999511,-0.655273,-0.530762,-0.432129
1528447086022449,-0.689941,-0.510742,-0.362305
1528447086044390,-0.70752,-0.469727,-0.341309
1528447086059351,-0.695313,-0.419434,-0.248047
1528447086083287,-0.631348,-0.412598,-0.158203
1528447086104230,-0.617676,-0.352539,-0.104492
1528447086119192,-0.620605,-0.303711,-0.0410156
1528447086142129,-0.506348,-0.293945,0.0170898
1528447086164071,-0.473633,-0.324707,0.0512695
1528447086179510,-0.553223,-0.249512,0.00244141
1528447086202448,-0.541504,-0.196289,0.0131836
1528447086224411,-0.521484,-0.339355,0.0356445
1528447086239698,-0.615234,-0.44043,0.000976563
1528447086262367,-0.787598,-0.39502,-0.0102539
1528447086284351,-0.946777,-0.366699,0.0932617
1528447086299268,-1.19727,-0.407715,0.136719
1528447086322261,-1.34717,-0.44043,0.268066
1528447086344531,-1.35254,-0.424805,0.355469
1528447086360162,-1.25,-0.37793,0.401367
1528447086382746,-1.17334,-0.323242,0.35498
1528447086404911,-1.12012,-0.22998,0.263184
1528447086418659,-1.01807,-0.147949,0.208496
1528447086442733,-0.911133,-0.117676,0.166504
1528447086464779,-0.813965,-0.0957031,0.120117
1528447086479036,-0.749512,-0.10791,0.0893555
1528447086502142,-0.685547,-0.132813,0.0522461
1528447086525119,-0.612793,-0.149414,0.0395508
1528447086540923,-0.577637,-0.14502,-0.0244141
1528447086561867,-0.624023,-0.123535,-0.0771484
1528447086585069,-0.712891,-0.137695,-0.138184
1528447086600872,-0.760254,-0.231934,-0.104004
1528447086622737,-0.826172,-0.332031,-0.108398
1528447086644674,-0.974609,-0.377441,-0.118652
1528447086660603,-1.15234,-0.35791,-0.03125
1528447086681600,-1.19189,-0.351074,0.0654297
1528447086704537,-1.22852,-0.464844,0.181152
1528447086721457,-1.25488,-0.535156,0.259277
1528447086742437,-1.18555,-0.554199,0.349609
1528447086764383,-1.13281,-0.483887,0.3125
1528447086781281,-1.14551,-0.361816,0.249512
1528447086802279,-1.05078,-0.292969,0.196289
1528447086824221,-0.971191,-0.233398,0.124512
1528447086841121,-0.948242,-0.155762,0.0458984
1528447086862065,-0.916992,-0.106934,0.00683594
1528447086885002,-0.906738,-0.126953,-0.0336914
1528447086900961,-0.915039,-0.108887,-0.0473633
1528447086921904,-0.919922,-0.103516,-0.0566406
1528447086944842,-0.89502,-0.177246,-0.0205078
1528447086960800,-0.890625,-0.241211,0.00244141
1528447086981984,-0.917969,-0.272949,0.0224609
1528447087004202,-0.92334,-0.305664,0.0546875
1528447087021153,-0.896484,-0.329102,0.0776367
1528447087042641,-0.872559,-0.366211,0.0766602
1528447087064591,-0.882324,-0.369629,0.0385742
1528447087081590,-0.951172,-0.34375,0.000976563
1528447087102740,-0.971191,-0.319824,-0.0419922
1528447087124726,-0.970703,-0.303711,-0.0625
1528447087140429,-0.979004,-0.279785,-0.0952148
1528447087161672,-0.969238,-0.29248,-0.0922852
1528447087185144,-0.956543,-0.333008,-0.126465
1528447087200136,-0.989746,-0.361328,-0.143555
1528447087222306,-1.0415,-0.344727,-0.167969
1528447087245245,-1.02295,-0.32959,-0.160645
1528447087260297,-0.951172,-0.366211,-0.139648
