timestamp,x,y,z
1528277582319949,0.0625,0.125,-0.25
1528277582334865,0.75,0,-0.375
1528277582359798,1.0625,-0.3125,-0.6875
1528277582379746,1.1875,-0.1875,-0.5
1528277582401697,1.125,0,-0.375
1528277582416661,0.75,0.3125,-0.375
1528277582441581,0.5625,0.4375,-0.4375
1528277582471501,0.125,0.3125,-0.3125
1528277582473494,0.375,0.25,-0.25
1528277582495436,1.0625,0.125,-0.3125
1528277582508402,1.6875,0,-0.25
1528277582530344,1.375,-0.125,0.1875
1528277582555276,0.5,-0.1875,0.1875
1528277582597203,0.8125,-0.1875,0.1875
1528277582607137,0.5625,-0.375,0.3125
1528277582612124,0.3125,-0.3125,-0.25
1528277582635063,0.875,-0.0625,-0.5
1528277582650023,1.6875,-0.0625,-0.5625
1528277582663986,1.125,-0.25,-0.3125
1528277582686963,0.9375,-0.1875,-0.0625
1528277582708918,1.75,-0.0625,0.0625
1528277582726848,1.6875,0,0.1875
1528277582746765,0.625,0,0.375
1528277582769702,0.25,0,0.625
1528277582784663,0.6875,-0.1875,0.9375
1528277582814583,1.375,-0.1875,0.75
1528277582824556,1.3125,-0.0625,0.875
1528277582844503,0.3125,0.0625,1.125
1528277582866494,-0.375,0.3125,1.5
1528277582884396,-0.625,0.75,1.75
1528277582904353,1.0625,-0.4375,2.3125
1528277582926304,3.25,-2.8125,5.625
1528277582958238,5.875,-5.3125,11.625
1528277582964233,2.5625,-7.875,22.875
1528277582987123,-8.875,-13.125,34.25
1528277583009084,-23.25,-23.0625,50.5
1528277583024049,-29.8125,-31.25,72.1875
1528277583050006,-32.625,-38.875,92
1528277583068942,-30.9375,-48.0625,116.563
1528277583083863,-23.0625,-60.5,137.25
1528277583106802,-16.6875,-69.375,164.125
1528277583137719,-9.375,-75,195.625
1528277583144714,1.75,-77,223.563
1528277583166642,8.375,-75.625,245.375
1528277583190580,7.9375,-78.5625,263.813
1528277583204599,3.9375,-82.125,284.813
1528277583226525,1.25,-87.1875,304.875
1528277583249421,13.9375,-91.5,322.5
1528277583264380,31.3125,-93.75,331.125
1528277583286322,37.9375,-99.375,335.75
1528277583309260,42.625,-107.313,343.313
1528277583325218,62.625,-111.063,346.188
1528277583347159,57.5625,-122.063,333.875
1528277583369100,63.8125,-127.313,325.5
1528277583384064,82.875,-125.813,307.563
1528277583406999,89.8125,-125.875,291.125
1528277583428942,90,-119.75,263.875
1528277583443902,76.8125,-109.375,230.813
1528277583466841,67.25,-91.25,187.313
1528277583488781,61.5625,-62.6875,147.625
1528277583504985,46.5,-33,100
1528277583527001,44.625,-11.8125,61.3125
1528277583548955,43.375,1.4375,31.8125
1528277583565032,29.6875,10.875,7.0625
1528277583588972,18.75,11.1875,-2.375
1528277583609982,21.3125,7.5,-2.375
1528277583627865,16.875,5.875,-1.0625
1528277583648008,12.625,4.25,-0.0625
1528277583669929,14.0625,2.5625,2.5
1528277583687076,11.8125,0.875,11.1875
1528277583708088,8.125,-3.5,17.3125
1528277583730080,5.5625,-7.0625,18.125
1528277583746290,7,-7.25,19.5
1528277583767674,10.125,-5.25,18.5
1528277583783248,14.8125,-2.1875,16.375
1528277583806189,25.125,4.5625,7.6875
1528277583829127,32,13.3125,-1.75
1528277583843088,51,22.5,-8.1875
1528277583867159,58.5,49.75,-7.25
1528277583888966,57.25,44.0625,23.1875
1528277583903124,49.9375,37.125,9.875
1528277583926421,28,44.5625,-39.75
1528277583948387,12.5625,39.6875,-74.625
1528277583970321,-6,14.0625,-59.5
1528277583986269,-5.4375,-0.375,-32.875
1528277584008776,-2.0625,-6.5625,-16.4375
1528277584030736,-10.3125,-11.875,-7.375
1528277584046370,-24.3125,-17.375,4.0625
1528277584069308,-14.3125,-9.3125,15.5
1528277584090611,7.0625,0.1875,17.625
1528277584114192,7.875,3.125,10.875
1528277584128881,-5.625,1.5625,3.75
1528277584157888,-5.75,1.8125,-0.6875
1528277584166561,7.375,3,-4.375
1528277584188850,3.625,2.6875,-8.8125
1528277584211928,-3.75,3.125,-8.625
1528277584226707,-4.1875,2.8125,-6.9375
1528277584256626,-0.8125,3.5625,-6.5
1528277584263975,0.875,3.8125,-4.4375
1528277584293718,-0.6875,3.875,-2.8125
1528277584308744,-1.5625,6.8125,-3.875
1528277584330645,0.25,7.125,-1.25
1528277584346340,2.625,7.375,0.1875
1528277584368757,0.5,5.3125,-3.375
1528277584391474,-2.9375,6.25,-4.6875
1528277584406417,-4.625,9.625,-4.5625
1528277584428663,-5.875,11,-12.6875
1528277584450066,-9.0625,13.6875,-17.625
1528277584466997,-12.9375,8.4375,-22.9375
1528277584488747,-20.375,-0.25,-20.0625
1528277584509635,-11.0625,-6.4375,-5.875
1528277584526641,0.4375,-3.375,4.6875
1528277584548540,-8.4375,-5.5,10.4375
1528277584569474,-6.125,-8.875,6.9375
1528277584586428,0.125,-7.3125,2.75
1528277584609383,-8.25,3,-0.25
1528277584630311,-4.8125,4.1875,-9.6875
