timestamp,x,y,z,w
1528190738993094,0.625793,-0.081604,0.76062,-0.152161
1528190739024012,0.625488,-0.0805054,0.760864,-0.152649
1528190739025011,0.625427,-0.0802002,0.760925,-0.15271
1528190739045952,0.625427,-0.0802612,0.760864,-0.153015
1528190739070886,0.625549,-0.0802612,0.760681,-0.153442
1528190739082867,0.625671,-0.0800171,0.760498,-0.154175
1528190739112774,0.625671,-0.0795288,0.760376,-0.154968
1528190739127733,0.625671,-0.0790405,0.760254,-0.155518
1528190739142693,0.625732,-0.0789185,0.760193,-0.155762
1528190739181591,0.626038,-0.0789795,0.759949,-0.155823
1528190739194555,0.62616,-0.0791016,0.759766,-0.156006
1528190739220485,0.626282,-0.0787964,0.759705,-0.156189
1528190739230460,0.626221,-0.0783691,0.759705,-0.156372
1528190739252415,0.626221,-0.0780029,0.759766,-0.156494
1528190739276338,0.62616,-0.0776367,0.759705,-0.156921
1528190739287309,0.626099,-0.0773926,0.759705,-0.157532
1528190739311269,0.625977,-0.0776367,0.759705,-0.157715
1528190739324210,0.625549,-0.0786133,0.759888,-0.157898
1528190739368145,0.625427,-0.0819702,0.759521,-0.158875
1528190739378116,0.625122,-0.0858765,0.758728,-0.16156
1528190739391046,0.624329,-0.0898438,0.757935,-0.166138
1528190739405990,0.622681,-0.0924683,0.757263,-0.173767
1528190739428928,0.620911,-0.0968018,0.755798,-0.183899
1528190739452865,0.617432,-0.101929,0.754211,-0.19873
1528190739473821,0.613464,-0.107544,0.751221,-0.218323
1528190739503728,0.609497,-0.11792,0.746277,-0.240051
1528190739513702,0.604614,-0.132141,0.739502,-0.264648
1528190739533649,0.598389,-0.15094,0.730408,-0.29248
1528190739550603,0.590271,-0.17395,0.718506,-0.324036
1528190739572544,0.5802,-0.200867,0.702942,-0.359009
1528190739594487,0.567627,-0.229736,0.683411,-0.3974
1528190739609445,0.549683,-0.255127,0.662109,-0.440796
1528190739632384,0.526306,-0.277344,0.639343,-0.487122
1528190739653329,0.500244,-0.299011,0.613586,-0.532776
1528190739670283,0.471313,-0.31897,0.585388,-0.577454
1528190739700204,0.437683,-0.335693,0.556091,-0.621643
1528190739715177,0.401184,-0.350281,0.525574,-0.663391
1528190739730123,0.361633,-0.363037,0.493774,-0.702576
1528190739781985,0.320007,-0.373718,0.463013,-0.737244
1528190739791973,0.27887,-0.382813,0.43335,-0.766724
1528190739797941,0.239502,-0.390015,0.404297,-0.79187
1528190739826864,0.201233,-0.394226,0.37738,-0.813416
1528190739836838,0.161377,-0.394287,0.355042,-0.832153
1528190739849803,0.119019,-0.390381,0.338257,-0.847961
1528190739879724,0.0742188,-0.382996,0.327637,-0.860535
1528190739893686,0.0302734,-0.373718,0.320374,-0.869934
1528190739909645,-0.00683594,-0.363892,0.314392,-0.87677
1528190739932623,-0.0361938,-0.355164,0.31012,-0.881165
1528190739962502,-0.0571899,-0.349365,0.305115,-0.884094
1528190739969483,-0.067627,-0.346985,0.300476,-0.885925
1528190739992424,-0.0784912,-0.344055,0.295166,-0.887939
1528190740016359,-0.0765381,-0.342346,0.281921,-0.893005
1528190740029327,-0.0472412,-0.34668,0.260559,-0.899841
1528190740052263,-0.00872803,-0.354858,0.237061,-0.904358
1528190740073206,0.0241699,-0.364502,0.217651,-0.90509
1528190740113134,0.0426025,-0.373474,0.204651,-0.903809
1528190740115120,0.0502319,-0.38031,0.19873,-0.901917
1528190740150999,0.0537109,-0.384705,0.197205,-0.900146
1528190740156018,0.0563965,-0.38446,0.19928,-0.899658
1528190740172940,0.0543823,-0.381836,0.201416,-0.900391
1528190740194898,0.0484619,-0.37915,0.203369,-0.901428
1528190740240813,0.0402832,-0.374695,0.207336,-0.902771
1528190740242754,0.024353,-0.366455,0.214722,-0.905029
1528190740254722,0.0012207,-0.35376,0.227051,-0.907349
1528190740285774,-0.0254517,-0.339661,0.244141,-0.907959
1528190740292620,-0.0507202,-0.326538,0.262817,-0.906494
1528190740315559,-0.0728149,-0.317139,0.27832,-0.903748
1528190740339494,-0.0923462,-0.310547,0.289185,-0.900818
1528190740358842,-0.105042,-0.305481,0.293457,-0.89978
1528190740382556,-0.111755,-0.30188,0.290894,-0.901001
1528190740428515,-0.104553,-0.30304,0.283447,-0.90387
1528190740435598,-0.085083,-0.310303,0.276123,-0.905701
1528190740437494,-0.0662842,-0.318176,0.272766,-0.905579
1528190740474523,-0.0519409,-0.32489,0.275452,-0.903259
1528190740478385,-0.0446777,-0.329895,0.283142,-0.899475
1528190740494671,-0.0376587,-0.333313,0.293762,-0.895142
1528190740517620,-0.0256348,-0.337036,0.303589,-0.890869
1528190740538878,-0.00701904,-0.342346,0.312439,-0.886108
1528190740568782,0.0184937,-0.350281,0.321106,-0.8797
1528190740577445,0.0480957,-0.358826,0.330872,-0.871521
1528190740607763,0.0799561,-0.366516,0.343323,-0.861084
1528190740622712,0.113159,-0.372681,0.360352,-0.847656
1528190740637673,0.147766,-0.377319,0.381592,-0.830811
1528190740659613,0.185242,-0.380737,0.405701,-0.810059
1528190740713473,0.228699,-0.383911,0.431213,-0.783813
1528190740715465,0.278992,-0.387878,0.456543,-0.750549
1528190740721595,0.333008,-0.391174,0.480835,-0.710571
1528190740748792,0.388489,-0.391541,0.503235,-0.665283
1528190740757506,0.442871,-0.387939,0.523743,-0.615662
1528190740780773,0.487,-0.38147,0.545959,-0.565002
1528190740801440,0.51123,-0.36792,0.575562,-0.521484
1528190740825318,0.527344,-0.349243,0.60675,-0.481384
1528190740839544,0.547791,-0.327637,0.630249,-0.441956
1528190740861223,0.571411,-0.309875,0.646118,-0.399963
1528190740885158,0.588135,-0.29303,0.663269,-0.358154
1528190740900118,0.595947,-0.270996,0.68396,-0.321838
1528190740921405,0.600403,-0.243164,0.70282,-0.293945
1528190740944228,0.608093,-0.219727,0.713318,-0.270447
1528190740973984,0.617798,-0.204285,0.717285,-0.249146
1528190740983907,0.624207,-0.187927,0.722229,-0.23114
1528190740998125,0.627686,-0.168823,0.728149,-0.217407
1528190741028300,0.629578,-0.148865,0.734314,-0.205505
1528190741041322,0.631592,-0.130066,0.739136,-0.194397
