timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528877431217184,-4,-4,2,-10,-4,-6,-4,-4
1528877431217184,3,-1,3,-18,2,2,1,6
1528877431218182,-2,-3,-14,20,9,2,1,-4
1528877431218182,-3,0,17,-11,-6,-2,0,-2
1528877431222172,2,-1,8,10,-6,-4,-4,2
1528877431222172,-3,1,10,0,-1,-5,-4,-4
1528877431225188,-2,1,9,8,-4,-2,2,-4
1528877431225188,1,-4,-15,-6,5,4,0,0
1528877431228157,1,-3,-28,-28,-9,-1,-2,0
1528877431228157,-4,1,18,15,-10,-4,-2,-6
1528877431236148,9,0,-9,-54,-6,4,0,3
1528877431236148,0,-3,-3,14,0,-2,-1,5
1528877431251112,-6,-1,-15,-27,-20,-3,-3,-7
1528877431251112,3,-1,14,17,13,2,4,-2
1528877431258103,2,-2,-19,11,5,-2,-6,1
1528877431258103,-1,-2,-16,-17,-11,-3,-1,0
1528877431269047,2,2,27,-3,-9,-4,-2,0
1528877431269047,-6,-3,-15,15,-1,1,-2,-3
1528877431288993,-3,0,8,-25,12,-2,-4,-2
1528877431288993,-4,-4,-3,-50,-12,-7,-4,-4
1528877431290988,0,4,15,64,10,-5,1,3
1528877431290988,-1,-3,-10,-15,-20,1,1,-2
1528877431336865,3,1,15,1,-2,-3,-1,3
1528877431336865,0,-3,-20,-10,-24,-13,-5,0
1528877431337862,4,-1,-7,-9,14,3,1,-5
1528877431337862,-9,3,28,7,-23,-8,-3,-5
1528877431341850,7,1,-40,-1,13,6,1,11
1528877431341850,1,1,-3,-5,11,6,3,-2
1528877431341850,-3,-3,8,35,1,1,-1,-4
1528877431341850,-2,-2,-7,-74,-17,-6,-3,-1
1528877431347885,1,-3,20,12,-7,-8,-6,1
1528877431347885,-2,1,-1,56,18,6,8,-2
1528877431354867,-2,-1,9,15,0,-5,-1,2
1528877431354867,6,1,-3,-19,-4,4,-1,5
1528877431364790,-10,-4,11,-9,3,-2,2,-12
1528877431364790,3,-2,-37,-5,2,-1,2,4
1528877431378754,-1,1,23,-5,-19,-2,-4,1
1528877431378754,0,-7,-30,10,26,0,-2,0
1528877431384736,-2,5,34,6,-17,-14,-5,-3
1528877431384736,-6,-5,13,-3,-9,3,-14,-3
1528877431408685,0,2,-50,1,1,-4,18,1
1528877431408685,-3,-9,13,-4,-22,-3,-14,-2
1528877431410683,4,3,-2,-22,9,11,10,-1
1528877431410683,-7,-9,2,65,61,10,-1,-6
1528877431422635,-3,2,27,5,-38,-16,-12,-2
1528877431422635,-2,-2,2,29,35,8,8,-2
1528877431431612,1,0,-18,-6,2,-1,0,0
1528877431431612,1,4,9,-22,-17,-12,-7,8
1528877431446572,-2,2,-33,-81,-19,-12,-17,-22
1528877431446572,7,-2,-8,37,15,31,31,11
1528877431454552,-8,-2,6,-6,-10,3,-4,-16
1528877431454552,11,-2,15,-28,-18,6,14,2
1528877431468518,-12,-4,-2,16,17,1,2,6
1528877431468518,2,3,-7,-15,-18,-15,-11,-7
1528877431470508,-8,0,12,36,9,-1,-5,3
1528877431470508,1,-3,4,-19,-11,-8,0,-2
1528877431482474,4,6,10,7,8,3,-2,6
1528877431482474,-11,-7,3,-27,-22,-17,-17,-48
1528877431491451,-19,-9,-7,7,0,6,9,10
1528877431491451,24,5,-1,-1,-2,-6,4,12
1528877431506411,-8,16,11,16,1,0,-6,51
1528877431506411,-5,-18,7,35,14,-26,-67,51
1528877431508406,30,21,-56,-92,-30,2,27,-33
1528877431508406,-10,-13,-7,25,2,13,-13,-19
1528877431529349,-29,-14,-3,-12,2,2,-17,-2
1528877431529349,41,-7,5,12,-3,51,100,117
1528877431530347,-36,82,34,19,15,-19,-33,-87
1528877431530347,30,-75,-19,-7,-12,-5,-5,36
1528877431542315,65,88,27,-13,0,-7,1,55
1528877431542315,-77,-102,-33,-8,-14,-32,-44,-78
1528877431551297,16,12,2,18,1,9,1,5
1528877431551297,13,9,3,2,-3,-2,19,-28
1528877431566251,-43,-14,-21,22,10,7,-4,-17
1528877431566251,22,46,11,-12,-1,-4,-3,5
1528877431568246,1,-30,1,23,5,8,13,48
1528877431568246,-7,26,11,-24,-12,-11,-22,-33
1528877431589190,29,-46,-19,-5,5,2,8,9
1528877431589190,-23,11,18,24,14,14,12,-21
1528877431590188,18,-8,7,7,-2,-10,-4,5
1528877431590188,-12,37,8,-5,-4,-2,1,20
1528877431602160,2,-26,-7,-24,-14,2,9,-47
1528877431602160,5,32,3,12,22,10,10,-2
1528877431611131,-3,-32,-17,-17,-8,-5,-11,13
1528877431611131,-12,1,0,-16,-18,-9,0,7
1528877431634070,-12,-10,-6,-36,-1,3,3,-8
1528877431634070,17,6,19,11,8,-5,-4,-17
1528877431635115,-9,-13,-10,-21,-12,-8,-8,29
1528877431635115,-11,0,13,-2,1,2,-1,-10
1528877431656011,0,0,17,28,-18,-11,-5,-11
1528877431656011,-4,15,-16,-12,5,1,-2,-6
1528877431658023,5,-11,26,40,10,7,1,-9
1528877431658023,-11,5,-6,-42,-18,-6,-3,6
1528877431662994,0,-8,-1,7,-6,-2,-2,-14
1528877431662994,5,5,-5,-6,8,-2,4,3
1528877431671970,-5,-4,-2,36,11,-1,-2,3
1528877431671970,-1,-10,-14,-16,3,-2,-2,-5
1528877431685932,-6,-1,3,16,3,-1,-2,3
1528877431685932,-2,2,-2,-3,-15,-6,-6,-12
1528877431687926,3,-3,-3,-17,-2,-10,-9,0
1528877431687926,-9,5,4,2,-1,4,12,3
1528877431708871,3,-2,-7,-22,-5,17,12,-5
1528877431708871,-2,3,-16,-19,3,-3,5,-1
1528877431710866,-2,-9,1,15,-16,-6,-13,1
1528877431710866,-4,0,-9,22,20,4,-2,0
1528877431722834,-3,-2,6,-12,-22,-10,-4,-1
1528877431722834,10,9,13,20,-7,-3,2,2
1528877431731810,-2,-4,-33,-80,15,7,7,6
1528877431731810,-7,-2,19,16,-3,-6,-5,-7
1528877431746768,-3,-5,-19,-41,48,13,5,-5
1528877431746768,3,5,3,18,-28,-13,-15,1
1528877431747767,2,1,29,16,-6,-3,0,4
1528877431747767,-9,-3,-27,-32,1,9,7,-7
1528877431768710,7,12,28,2,-7,-3,-5,3
