timestamp,x,y,z
1529304427126673,0.944336,0.231934,0.182617
1529304427145622,0.941895,0.223633,0.181641
1529304427160582,0.939453,0.220703,0.186523
1529304427179531,0.940918,0.223145,0.175293
1529304427203472,0.942871,0.224609,0.179199
1529304427220423,0.945313,0.22998,0.177734
1529304427239374,0.942871,0.227051,0.174805
1529304427280262,0.941895,0.225586,0.172852
1529304427284251,0.947266,0.223633,0.177246
1529304427337110,0.942383,0.227539,0.177246
1529304427352072,0.962891,0.231934,0.175781
1529304427367029,0.965332,0.22998,0.175781
1529304427389977,0.957031,0.225098,0.185059
1529304427411910,0.958496,0.222168,0.180176
1529304427427867,0.950684,0.227539,0.179688
1529304427449809,0.937012,0.230469,0.188965
1529304427471749,0.940918,0.226074,0.192383
1529304427486710,0.933594,0.233887,0.191406
1529304427509650,0.938965,0.235352,0.19043
1529304427540566,0.941406,0.237305,0.19043
1529304427554529,0.940918,0.226563,0.188965
1529304427577527,0.946289,0.229492,0.185547
1529304427593438,0.948242,0.225098,0.169434
1529304427607389,0.945313,0.227051,0.170898
1529304427644328,0.944824,0.227539,0.166504
1529304427682240,0.94043,0.223145,0.158203
1529304427704130,0.942871,0.222656,0.158203
1529304427756988,0.944824,0.224609,0.163574
1529304427794886,0.941406,0.209473,0.172363
1529304427831844,0.949707,0.220703,0.185059
1529304427876670,0.976563,0.196289,0.228516
1529304427921548,1.00586,0.185059,0.290527
1529304427952464,1.02197,0.211914,0.321777
1529304428004326,1.0708,0.219238,0.428711
1529304428042267,1.07617,0.228516,0.483887
1529304428065184,1.10449,0.254395,0.52832
1529304428124007,1.0874,0.303711,0.636719
1529304428162173,1.03418,0.466309,0.711914
1529304428184165,0.987793,0.457031,0.776855
1529304428215059,0.817871,0.336914,0.901855
1529304428244575,0.726074,0.332031,0.916992
1529304428282145,0.53125,0.365723,0.949707
1529304428289128,0.422852,0.320801,0.927246
1529304428312065,0.304688,0.275391,0.921875
1529304428327026,0.193848,0.239746,0.927246
1529304428356975,0.10498,0.164551,0.84375
1529304428380123,0.0107422,0.125,0.809082
1529304428394844,-0.081543,0.0810547,0.800781
1529304428410068,-0.175293,0.0654297,0.756348
1529304428432243,-0.267578,0.0219727,0.702148
1529304428447203,-0.286621,-0.00292969,0.705566
1529304428469192,-0.305176,0.0102539,0.657715
1529304428492082,-0.413574,-0.0546875,0.61084
1529304428514025,-0.422852,-0.0952148,0.562988
1529304428529982,-0.494141,-0.146484,0.558594
1529304428551973,-0.539551,-0.178223,0.546875
1529304428574887,-0.543945,-0.171875,0.496094
1529304428589864,-0.601074,-0.225586,0.463867
1529304428611801,-0.643555,-0.268066,0.452637
1529304428641683,-0.659668,-0.300781,0.458984
1529304428656643,-0.652832,-0.31543,0.42334
1529304428679582,-0.70752,-0.328613,0.409668
1529304428694542,-0.723145,-0.345215,0.375977
1529304428709502,-0.776367,-0.372559,0.385254
1529304428732441,-0.779297,-0.352539,0.358398
1529304428754383,-0.800293,-0.362305,0.352539
1529304428769385,-0.840332,-0.380859,0.318848
1529304428792323,-0.875488,-0.364746,0.340332
1529304428814221,-0.884277,-0.361816,0.356934
1529304428829181,-0.887207,-0.353516,0.381836
1529304428852846,-0.911621,-0.346191,0.380859
1529304428875322,-0.915527,-0.347168,0.381348
1529304428890296,-0.878906,-0.32959,0.393066
1529304428920353,-0.900879,-0.375977,0.481445
1529304428942741,-0.850586,-0.37793,0.476563
1529304428949986,-0.797852,-0.365723,0.510742
1529304428971834,-0.772461,-0.383301,0.605469
1529304429002247,-0.713867,-0.434082,0.683105
1529304429017625,-0.537109,-0.476563,0.716309
1529304429039206,-0.421875,-0.708496,0.787109
1529304429054975,-0.529785,-0.557617,0.809082
1529304429076959,-0.505371,-0.329102,0.739746
1529304429099725,-0.518555,-0.376953,0.800293
1529304429122396,-0.582031,-0.447754,0.763672
1529304429129828,-0.69043,-0.347656,0.664551
1529304429152314,-0.760742,-0.194336,0.586426
1529304429182461,-0.80957,-0.27832,0.539551
1529304429197843,-0.881348,-0.327148,0.499023
1529304429219822,-0.940918,-0.288574,0.45459
1529304429234999,-0.919434,-0.245117,0.42334
1529304429249707,-0.946777,-0.242188,0.399414
1529304429271902,-0.938477,-0.227051,0.389648
1529304429294840,-0.949707,-0.255371,0.407227
1529304429310063,-0.924805,-0.259766,0.422363
1529304429331981,-0.918945,-0.229004,0.431152
1529304429353967,-0.939941,-0.253906,0.442871
1529304429369930,-0.910645,-0.275879,0.459473
1529304429392210,-0.897461,-0.285645,0.498047
1529304429414773,-0.891602,-0.287598,0.520996
1529304429437395,-0.867676,-0.273438,0.533691
1529304429452703,-0.84375,-0.27832,0.541016
1529304429474521,-0.834473,-0.260742,0.540039
1529304429497483,-0.845215,-0.268555,0.522461
1529304429512770,-0.828125,-0.29248,0.536621
1529304429534890,-0.785645,-0.299805,0.547363
1529304429557430,-0.739746,-0.294434,0.56543
1529304429572392,-0.675781,-0.331055,0.626465
1529304429594648,-0.636719,-0.383301,0.681152
1529304429617592,-0.526367,-0.440918,0.757813
1529304429632661,-0.508789,-0.524902,0.822754
1529304429655037,-0.520996,-0.521484,0.794434
1529304429677316,-0.60498,-0.490234,0.819824
1529304429692568,-0.609375,-0.497559,0.742676
1529304429714701,-0.634277,-0.396484,0.710449
1529304429737718,-0.680176,-0.35498,0.649414
1529304429752527,-0.733887,-0.32373,0.619629
1529304429774608,-0.768066,-0.30957,0.560059
1529304429796839,-0.80127,-0.289551,0.507324
1529304429811837,-0.830078,-0.268066,0.487793
1529304429835088,-0.831055,-0.262695,0.46875
1529304429857492,-0.820313,-0.253906,0.458496
1529304429872130,-0.806152,-0.230469,0.443359
1529304429902775,-0.79541,-0.224121,0.431641
1529304429924850,-0.77832,-0.211426,0.441406
1529304429939565,-0.771973,-0.234375,0.45166
1529304429955002,-0.737793,-0.236816,0.449707
1529304429977919,-0.704102,-0.229492,0.463379
1529304429991721,-0.674805,-0.217285,0.478516
1529304430014662,-0.634766,-0.23584,0.500488
