timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528877495672374,-16,-3,-2,-3,-3,-2,0,-5
1528877495672374,-2,-2,-1,-1,-2,-2,-1,0
1528877495673385,3,-3,-2,1,-2,-1,-1,4
1528877495673385,-2,-1,1,-2,0,0,0,-4
1528877495685339,4,0,1,1,2,1,0,-2
1528877495685339,-1,-1,-4,-3,-3,-1,0,0
1528877495690326,-4,-3,-1,-2,-3,0,-1,-3
1528877495690326,1,0,1,0,-1,0,0,-1
1528877495690326,2,0,-1,-1,-2,1,0,0
1528877495690326,-3,-2,0,0,1,-2,-4,0
1528877495702294,-2,1,0,0,1,0,1,-3
1528877495702294,-1,-1,-3,-4,-3,-3,-4,0
1528877495705287,0,-1,0,-3,-2,0,0,2
1528877495705287,8,1,2,3,2,1,1,-2
1528877495717253,-13,0,1,2,-2,-1,-1,-2
1528877495717253,-3,-5,-9,-18,-8,-3,0,-1
1528877495720246,10,1,3,7,7,2,-2,-1
1528877495720246,-12,5,3,21,4,2,-3,-2
1528877495744186,8,-5,-5,-15,-6,-4,2,4
1528877495744186,-1,-4,1,1,7,0,-6,-5
1528877495747174,2,0,-13,-5,-3,-4,-5,2
1528877495747174,6,-1,-8,-18,-12,-1,2,1
1528877495765125,1,6,7,18,6,0,-2,-2
1528877495765125,-8,-2,-2,2,1,-2,-3,0
1528877495806017,2,0,0,1,2,1,0,-1
1528877495806017,0,4,2,3,2,4,4,-4
1528877495807013,2,-2,0,-3,-3,-4,-3,1
1528877495807013,3,-1,-4,4,-4,0,0,1
1528877495808011,-1,4,4,-13,-2,0,-2,-5
1528877495808011,-2,-8,-7,0,-1,-5,-3,-1
1528877495812000,2,-1,-1,8,5,2,3,2
1528877495812000,-1,-1,2,2,-4,-4,-3,-3
1528877495818981,0,-1,-2,-5,-2,0,-11,-1
1528877495818981,-11,-3,8,-11,-8,-3,4,-2
1528877495824965,4,2,-19,7,-1,-3,-2,1
1528877495824965,-5,-4,-2,2,9,-1,-3,-5
1528877495833942,11,0,3,12,-11,-4,5,7
1528877495833942,0,-1,-8,-18,10,2,-3,0
1528877495839926,-14,-11,15,8,0,-1,-28,-7
1528877495839926,3,1,-15,-6,-7,-2,30,1
1528877495856880,-3,-7,-13,-10,0,-1,-8,-1
1528877495856880,3,4,4,-5,-14,-1,0,1
1528877495869846,0,2,6,-2,-17,-15,3,-3
1528877495869846,0,0,3,6,24,15,-27,-2
1528877495878823,-3,-3,26,11,-1,15,14,2
1528877495878823,-1,-2,-47,-14,4,-5,6,-1
1528877495893782,-1,-1,23,-4,-13,-12,4,-5
1528877495893782,0,0,-7,-37,-20,-2,-2,-1
1528877495895777,-5,1,-9,22,6,-3,3,-4
1528877495895777,6,1,15,36,20,14,-8,3
1528877495916720,-1,1,-3,13,-8,-16,3,1
1528877495916720,-5,-3,-10,-17,6,-3,-8,-4
1528877495917722,-4,-8,-6,-19,-15,-11,-9,-2
1528877495917722,-2,-1,7,-16,-37,-27,-10,-4
1528877495929685,1,5,-7,-10,23,21,5,-3
1528877495929685,0,0,11,-7,20,6,0,1
1528877495938689,1,1,3,17,-3,9,5,1
1528877495938689,0,-1,1,8,-9,-22,-13,-1
1528877495953649,2,-2,-12,-24,2,18,8,3
1528877495953649,3,9,14,27,-18,-6,15,1
1528877495955644,-3,-8,-11,26,15,3,5,-8
1528877495955644,-2,-5,-6,-22,-3,-5,-9,4
1528877495976577,-3,0,-12,-20,-15,-10,-5,-5
1528877495976577,0,-3,15,-1,-28,-10,-6,-1
1528877495977558,1,1,-12,3,15,-1,-6,-1
1528877495977558,0,0,17,11,9,9,8,0
1528877495989528,0,-6,-7,6,0,2,-7,-1
1528877495989528,-3,-2,1,-13,2,1,0,0
1528877495998501,-2,2,0,-24,-19,-14,-4,0
1528877495998501,2,-1,-1,19,12,7,0,-2
1528877496013463,0,2,4,5,3,3,4,2
1528877496013463,1,1,-4,4,-1,-4,-5,-5
1528877496015457,-7,-2,-8,-11,-5,-5,-1,0
1528877496015457,0,4,30,2,-1,6,4,0
1528877496036402,0,-5,-45,-26,0,0,-3,-1
1528877496036402,2,-2,4,23,4,-1,1,1
1528877496038396,-1,-3,-5,-16,0,-3,-5,0
1528877496038396,-6,-1,-1,9,4,5,0,-2
1528877496050364,-2,-5,24,14,-2,-6,-3,-2
1528877496050364,-5,-3,-12,-15,-8,-3,-4,-1
1528877496059340,1,-2,-1,0,11,6,2,1
1528877496059340,-1,-9,-7,3,-1,1,-1,-2
1528877496074299,-2,3,19,-3,-5,-4,-2,0
1528877496074299,-5,-3,-10,5,3,3,4,0
1528877496075296,1,2,-5,-5,-2,-1,1,-3
1528877496075296,5,-6,-16,-14,-3,-2,-1,0
1528877496096240,1,5,12,17,9,3,-1,-2
1528877496096240,-3,1,4,3,0,-3,-4,3
1528877496098235,-3,0,5,4,-6,2,4,-3
1528877496098235,6,0,-4,-1,7,0,4,3
1528877496110204,-10,-7,-24,-16,-7,-6,-8,-4
1528877496110204,-3,2,16,6,4,-4,-28,25
1528877496119180,4,6,2,-5,-7,-4,30,-6
1528877496119180,-6,8,-22,-8,-10,-2,-6,-24
1528877496134140,-11,-26,22,19,10,12,12,7
1528877496134140,10,-9,9,-5,-11,-21,-23,6
1528877496135164,-20,1,-24,-23,-9,-20,-45,-6
1528877496135164,-5,6,12,7,3,19,17,5
1528877496156080,7,-7,-19,7,-2,-1,-12,-11
1528877496156080,2,-3,-7,-10,1,6,15,-7
1528877496158075,-1,0,16,-4,-7,-15,-10,-2
1528877496158075,-9,1,2,11,6,-23,-59,-17
1528877496170043,19,27,-8,6,10,18,40,21
1528877496170043,-7,-16,-2,-3,-5,-8,-6,-17
1528877496179034,24,0,-4,3,6,22,0,1
1528877496179034,0,6,13,-16,-13,13,26,9
1528877496194042,-3,-5,3,-7,-6,-14,-21,0
1528877496194042,3,17,-2,11,0,-9,-10,-6
