timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529291544062876,1,-5,-5,-27,-8,-3,-1,-2
1529291544062876,-5,8,1,19,1,-4,0,-4
1529291544063873,0,-2,-2,-1,-5,-1,1,-1
1529291544063873,-2,0,-2,-8,-4,1,-4,-2
1529291544064870,-4,-2,-1,0,0,1,-3,1
1529291544064870,0,-2,-5,-12,-2,2,-4,0
1529291544067862,-1,1,0,-1,-3,-5,1,-2
1529291544067862,1,-1,0,3,-2,-3,2,0
1529291544073846,0,2,3,5,-2,-1,-1,-5
1529291544073846,3,-4,-1,-4,-1,1,1,-2
1529291544085814,-4,-3,-3,1,2,0,0,-1
1529291544085814,-3,-2,1,0,-1,-2,-2,1
1529291544090800,-5,-2,-1,5,2,0,-2,1
1529291544090800,-1,-2,-3,-1,-2,-3,-2,-1
1529291544104762,-1,-3,-1,-3,1,-2,-1,-3
1529291544104762,-1,1,-2,-3,1,-3,-1,-2
1529291544114736,1,1,0,0,1,-1,-1,-2
1529291544114736,-2,-2,-1,-2,-4,-2,-2,1
1529291544127702,-3,0,-1,-8,-3,-1,-3,-2
1529291544127702,-1,-3,-3,4,0,2,0,-4
1529291544136678,1,0,-2,4,-1,-2,0,1
1529291544136678,-1,-2,-2,-7,-2,-2,-2,0
1529291544149647,-3,-1,-4,1,-1,-4,0,-1
1529291544149647,-1,0,1,-5,-2,-2,1,1
1529291544192528,0,-1,-1,25,10,1,-2,-3
1529291544192528,-2,-5,-5,1,3,-2,-1,-2
1529291544195521,0,-1,0,-5,0,-1,-2,-2
1529291544195521,0,-1,1,4,1,-2,-4,-1
1529291544196518,-2,-6,-4,-11,-5,-2,1,1
1529291544196518,0,-2,2,-2,-4,0,-1,-1
1529291544197515,-1,-3,0,1,-4,-1,1,0
1529291544197515,1,2,-2,-12,-2,-2,2,-2
1529291544201510,0,0,-3,2,0,-2,0,-1
1529291544201510,-1,-1,-2,6,0,-2,0,-1
1529291544210481,0,-2,-3,-1,0,-1,-2,-1
1529291544210481,-2,0,1,2,3,3,0,-2
