timestamp,x,y,z
1529306103196124,0.975098,0.104004,0.155273
1529306103219090,0.979492,0.104492,0.177734
1529306103234023,1.02295,0.103516,0.212891
1529306103258959,1.08447,0.0732422,0.269531
1529306103278902,1.1084,0.0102539,0.34375
1529306103293866,1.24072,0.0390625,0.421875
1529306103318797,1.34131,0.134766,0.505859
1529306103349715,1.36963,0.300293,0.594727
1529306103359689,1.39551,0.506348,0.697754
1529306103378637,1.35107,0.6875,0.745117
1529306103393598,1.24658,0.827148,0.762695
1529306103414541,1.14063,1.03125,0.741699
1529306103438476,1.04736,1.21387,0.725586
1529306103466403,0.905273,1.20947,0.703613
1529306103478370,0.766602,1.12354,0.680176
1529306103497319,0.608887,0.953125,0.65625
1529306103511282,0.421387,0.814453,0.655273
1529306103535218,0.210449,0.682617,0.62793
1529306103557158,0.0708008,0.650391,0.613281
1529306103571121,0.0415039,0.647461,0.606445
1529306103594060,0.0112305,0.625488,0.574707
1529306103616999,-0.135254,0.611328,0.541992
1529306103638940,-0.236328,0.578125,0.567383
1529306103653901,-0.259277,0.557129,0.588867
1529306103676840,-0.271484,0.514648,0.55127
1529306103690828,-0.344238,0.470215,0.48291
1529306103713740,-0.464355,0.412109,0.472656
1529306103736733,-0.556641,0.34668,0.44043
1529306103751641,-0.612305,0.324707,0.458984
1529306103773582,-0.609375,0.282227,0.398438
1529306103796520,-0.584473,0.216309,0.338379
1529306103811480,-0.596191,0.106934,0.325195
1529306103833424,-0.585449,0.050293,0.350586
1529306103857359,-0.558594,-0.0595703,0.328613
1529306103871322,-0.579102,-0.163086,0.322266
1529306103893263,-0.585938,-0.248535,0.359863
1529306103917197,-0.516113,-0.300293,0.427734
1529306103931159,-0.447266,-0.299805,0.454102
1529306103954098,-0.373535,-0.356445,0.483887
1529306103977039,-0.299805,-0.530273,0.513672
1529306103992996,-0.240234,-0.762695,0.59375
1529306104013937,-0.192871,-0.784668,0.665039
1529306104036888,-0.113281,-1.19141,0.633301
1529306104052835,-0.141113,-0.899902,0.883301
1529306104073781,-0.27002,-0.476563,0.707031
1529306104096717,-0.451172,-0.375,0.575195
1529306104112726,-0.707031,-0.491699,0.627441
1529306104133940,-0.929199,-0.683594,0.581055
1529306104157080,-0.932617,-0.607422,0.50293
1529306104172788,-0.884766,-0.431641,0.380371
1529306104193732,-0.921387,-0.193359,0.382324
1529306104216671,-1.01758,0.0439453,0.34375
1529306104232628,-1.1167,0.194336,0.293945
1529306104255108,-1.15088,0.212891,0.312988
1529306104277121,-1.08643,0.0776367,0.384277
1529306104293038,-0.964844,-0.151367,0.470703
1529306104314227,-0.804688,-0.327637,0.556641
1529306104337180,-0.695801,-0.414551,0.594238
1529306104352882,-0.641113,-0.478516,0.644043
1529306104374083,-0.573242,-0.560059,0.696289
1529306104397440,-0.476074,-0.688965,0.764648
1529306104413025,-0.409668,-0.762207,0.813477
1529306104434237,-0.367188,-0.75,0.81543
1529306104457006,-0.368652,-0.693359,0.82373
1529306104472913,-0.375488,-0.631836,0.789063
1529306104494066,-0.438965,-0.577148,0.748047
1529306104515802,-0.53418,-0.51709,0.686035
1529306104532753,-0.616211,-0.460938,0.611328
1529306104553698,-0.669434,-0.416016,0.558594
1529306104576636,-0.702148,-0.418457,0.537598
1529306104592603,-0.705566,-0.394043,0.505859
1529306104613799,-0.699707,-0.356934,0.45752
1529306104637047,-0.698242,-0.297852,0.439941
1529306104652730,-0.630371,-0.239746,0.432617
1529306104674238,-0.539063,-0.160156,0.461426
1529306104696420,-0.498047,-0.0854492,0.458984
1529306104713147,-0.44873,-0.0336914,0.445801
1529306104734075,-0.365723,-0.00683594,0.415527
1529306104756724,-0.296387,0.00878906,0.360352
1529306104772778,-0.249023,0.00244141,0.331543
1529306104793645,-0.270996,-0.000488281,0.304199
1529306104816584,-0.319824,0.0170898,0.286621
1529306104832536,-0.348633,0.0273438,0.283203
1529306104853534,-0.395508,0.0644531,0.294922
1529306104876475,-0.436523,0.128906,0.358398
1529306104892390,-0.46875,0.20166,0.418945
1529306104914318,-0.447266,0.260742,0.495117
1529306104936311,-0.336914,0.355469,0.552734
1529306104953233,-0.168457,0.492676,0.598633
1529306104975163,0.0141602,0.628906,0.643555
1529306104996155,0.147949,0.842773,0.679688
1529306105013107,0.23877,1.06836,0.731934
1529306105034995,0.29248,1.25732,0.694336
1529306105055993,0.361816,1.30029,0.675781
1529306105072948,0.510742,1.20557,0.767578
1529306105094886,0.744141,1.03857,0.774414
1529306105117007,0.911133,0.952637,0.804688
1529306105132744,0.998535,0.833496,0.762695
1529306105155319,1.11719,0.736816,0.672852
1529306105176872,1.2334,0.680664,0.625977
1529306105192997,1.28955,0.620605,0.583496
1529306105216079,1.29736,0.602539,0.571289
1529306105236733,1.26416,0.574219,0.540039
1529306105252673,1.22217,0.483398,0.479004
1529306105274371,1.18066,0.356445,0.425293
1529306105297667,1.12842,0.228516,0.359863
1529306105311856,1.10645,0.143555,0.311523
1529306105335173,1.09033,0.0795898,0.275879
1529306105357654,1.05566,0.0214844,0.261719
1529306105372710,1.01514,-0.0239258,0.274902
1529306105394904,0.983887,-0.0473633,0.284668
1529306105417084,0.977051,-0.0239258,0.26709
1529306105432130,0.96875,0.0288086,0.233887
1529306105455108,0.964844,0.0976563,0.193359
1529306105477080,0.95752,0.153809,0.164063
1529306105492097,0.960449,0.1875,0.149414
1529306105515086,0.962891,0.180664,0.164551
1529306105545009,0.991211,0.171387,0.193848
1529306105551989,1.03223,0.124512,0.210449
1529306105574285,1.00391,0.0712891,0.234863
1529306105597227,0.96582,0.0712891,0.239258
1529306105612218,0.970703,0.117676,0.208984
1529306105634934,0.989746,0.187988,0.179688
