timestamp,x,y,z
1528875356778376,-3.1875,-0.1875,1.25
1528875356805309,-2.6875,-0.1875,0.9375
1528875356820262,-2.375,-0.0625,0.625
1528875356837216,-2.4375,-0.1875,0.3125
1528875356858192,-3.3125,0.0625,0.3125
1528875356884107,-4.25,-0.1875,0.125
1528875356903068,-3.875,-0.1875,-1.125
1528875356947920,-2,-0.375,-1.8125
1528875356958911,-2.125,-0.0625,-2.3125
1528875356970860,-2.375,0.1875,-2.375
1528875357037683,-3.875,-0.1875,-1.75
1528875357060625,-1.4375,-0.375,-1.125
1528875357113479,5.875,-3.4375,1.8125
1528875357150399,13.75,-7.375,12.8125
1528875357173362,24.1875,-7.4375,19.9375
1528875357210221,-11.875,11.4375,54.875
1528875357234156,-43.6875,22.8125,74.1875
1528875357248119,-45.375,35.25,97.4375
1528875357263079,-58.375,53.625,121.125
1528875357300018,-51,66.8125,149.125
1528875357315937,-33.625,77.875,184.625
1528875357337931,-25.875,88.5,228.313
1528875357367840,-39.5,102.438,268.75
1528875357397719,14.5625,112.438,337.063
1528875357412730,47.0625,115.188,365.625
1528875357427678,66.0625,107.125,388.875
1528875357450579,98.25,104.313,410.25
1528875357472520,120.688,106.063,421.313
1528875357488505,130.563,96.5625,424.125
1528875357510418,138.125,96.4375,418.625
1528875357533358,171.563,104.125,415.313
1528875357548318,198.813,104.25,397.313
1528875357570262,211.063,105.625,372.5
1528875357593196,202,106.5,341.813
1528875357608156,170,105.375,314.75
1528875357638076,137.188,101.938,291.875
1528875357660027,113.625,99.875,264.563
1528875357675982,107.375,91.25,234.188
1528875357690951,103.188,85.0625,197.375
1528875357720856,78.4375,70.5625,164.063
1528875357735816,51.5,57.875,144.688
1528875357772716,37.875,47.75,132.188
1528875357787678,32.3125,37.8125,121.688
1528875357832556,-14,4.8125,90.1875
1528875357848513,-22.375,-5.1875,81.375
1528875357870456,-33.0625,-17.875,68.4375
1528875357930913,-68.9375,-48.5625,56.8125
1528875357946094,-69.0625,-55.25,52.5
1528875357990862,-12.625,58.375,-9.875
1528875358028761,31.4375,29.5,-42.0625
1528875358050966,84.5625,9.5,-21.375
1528875358088475,-1.8125,16.5,-25.8125
1528875358110797,10,14.4375,-26.6875
1528875358148815,-1.125,4.9375,-27.8125
1528875358170949,-6.875,-3,-23.3125
1528875358230537,-31.875,-31.875,2.625
1528875358253867,-26.625,-61.9375,40.9375
1528875358268426,-27.8125,-73.0625,52.5625
1528875358282958,-24.875,-69.375,60.375
1528875358305585,38.4375,18.625,17.875
1528875358335520,-64,67.25,-9.3125
1528875358351479,-11.375,40.25,-30
1528875358373840,82.875,-9.1875,-14.625
1528875358395990,38.25,-9.875,8.6875
1528875358410949,-7.9375,3.0625,-6.1875
1528875358432938,0.8125,15.6875,-6.75
1528875358448143,42,18.9375,-19.875
1528875358463434,64,20.8125,-26.5
1528875358486200,53.5,30.125,-32.25
1528875358508376,45.25,33.25,-47.0625
1528875358523759,42.75,31.875,-58.5
1528875358553698,39.875,27.125,-66.5
1528875358576091,23.8125,15.9375,-72.5
1528875358590782,10.5,0.625,-77.5625
1528875358605897,7.5625,-13.3125,-91.375
1528875358628639,18.4375,-27,-102.5
1528875358642540,21.8125,-39.8125,-118.438
1528875358673727,28.8125,-53.1875,-127.938
1528875358696162,21.6875,-67.5625,-139.313
1528875358725731,-36.3125,-85,-189.313
1528875358748517,-61,-99.375,-207.813
1528875358770685,-84,-123.938,-220.688
1528875358785921,-109.25,-149.5,-238.688
1528875358816432,-130.125,-159.813,-257.688
1528875358838122,-128.563,-160.125,-283.5
1528875358853082,-123.188,-175.313,-301.313
1528875358869040,-140,-188.875,-315.438
1528875358883002,-143.688,-183.625,-332.063
1528875358912981,-142.625,-182.125,-339.438
1528875358935862,-134.25,-188.438,-351.063
1528875358950878,-139.063,-203.188,-352.063
1528875358965782,-162.625,-196,-334.125
1528875358980787,-134.438,-172.563,-314.563
1528875359002738,-109.688,-158,-292.938
1528875359025622,-76.5,-155.813,-277.688
1528875359040640,-66.9375,-122.438,-255.875
1528875359063544,-23.125,-94.25,-247.563
1528875359085461,18.6875,-91.6875,-232.938
1528875359100474,13.75,-102.938,-203.125
1528875359123363,-23.375,-108.938,-186.25
1528875359153332,-66.9375,-100.563,-174.125
1528875359168240,-73.75,-71.25,-158
1528875359198187,-41.9375,-62.5,-136
1528875359213388,-0.3125,-61.4375,-119.875
1528875359228104,2.3125,-67.4375,-96.375
1528875359243303,-19.5625,-62.1875,-76.4375
1528875359273036,-196.125,-30.3125,-51.6875
1528875359288655,-251.75,31.3125,-25.75
1528875359310863,-209,46.3125,2.625
1528875359325869,-75.3125,31.9375,-6.375
1528875359341085,51.5,16.75,-1.3125
1528875359363024,164.563,7.75,-22
1528875359385290,218.875,10.375,-24.625
1528875359401262,184.375,9.5,-16.25
1528875359423627,73.375,18.75,-14.9375
1528875359445307,-33.75,25.875,-12.375
1528875359460527,-75.75,27.75,-10.875
1528875359483362,-47.875,29.1875,-11.1875
1528875359506170,-4.875,27.75,-9.5
1528875359521433,19.125,18.625,-7.5
1528875359543586,2.5,21.5625,-6.6875
1528875359566231,-15.375,16.5,-4
1528875359581060,-23.75,11.375,-0.1875
1528875359603523,-17.4375,6.625,2.5
