timestamp,x,y,z,w
1529287580041352,-0.64209,0.212891,-0.634216,-0.374451
1529287580064292,-0.641968,0.213379,-0.634094,-0.374573
1529287580080249,-0.641846,0.213867,-0.634094,-0.374634
1529287580101193,-0.641785,0.214111,-0.634094,-0.374573
1529287580125129,-0.641724,0.214172,-0.634094,-0.374573
1529287580141087,-0.641846,0.213928,-0.634277,-0.374329
1529287580186963,-0.642029,0.213501,-0.634399,-0.373962
1529287580187990,-0.642273,0.212952,-0.63446,-0.373718
1529287580200926,-0.642517,0.212402,-0.634583,-0.373413
1529287580221873,-0.642761,0.211792,-0.634705,-0.373169
1529287580244808,-0.643127,0.211121,-0.634705,-0.372803
1529287580258770,-0.644104,0.210022,-0.634583,-0.37207
1529287580282709,-0.644531,0.208862,-0.634338,-0.372375
1529287580310631,-0.643738,0.206909,-0.633545,-0.376099
1529287580326590,-0.641846,0.200562,-0.632202,-0.384888
1529287580342546,-0.637695,0.189819,-0.628784,-0.402466
1529287580363492,-0.632507,0.171936,-0.623413,-0.426392
1529287580387427,-0.628235,0.145813,-0.619019,-0.448303
1529287580402387,-0.624451,0.112366,-0.612915,-0.471008
1529287580424329,-0.620117,0.0741577,-0.602173,-0.497437
1529287580439288,-0.614441,0.0302124,-0.585022,-0.528503
1529287580461276,-0.608948,-0.0205688,-0.562317,-0.559143
1529287580484209,-0.600647,-0.074585,-0.534912,-0.589661
1529287580498132,-0.584534,-0.127991,-0.503906,-0.622986
1529287580521103,-0.559326,-0.177917,-0.470459,-0.659058
1529287580544055,-0.522827,-0.221436,-0.436462,-0.697998
1529287580557972,-0.473633,-0.258362,-0.40448,-0.738586
1529287580580911,-0.412537,-0.29071,-0.376038,-0.777161
1529287580603876,-0.340637,-0.319397,-0.351685,-0.811401
1529287580618810,-0.263611,-0.344971,-0.329956,-0.838318
1529287580641747,-0.191833,-0.369446,-0.30719,-0.855835
1529287580663689,-0.129211,-0.392273,-0.282166,-0.865967
1529287580678650,-0.0731812,-0.41333,-0.25647,-0.870667
1529287580701588,-0.0227661,-0.431274,-0.231873,-0.871704
1529287580723563,0.0234375,-0.445435,-0.209656,-0.870117
1529287580738540,0.0664673,-0.456848,-0.190979,-0.866272
1529287580761429,0.107849,-0.465759,-0.175415,-0.860657
1529287580784365,0.145569,-0.472351,-0.161499,-0.854248
1529287580798365,0.176514,-0.47699,-0.148193,-0.848206
1529287580821269,0.200256,-0.480225,-0.135681,-0.843201
1529287580844247,0.219421,-0.481079,-0.124207,-0.839661
1529287580858168,0.235962,-0.479553,-0.11438,-0.837463
1529287580881108,0.249329,-0.476563,-0.106628,-0.836304
1529287580904047,0.261719,-0.4729,-0.100952,-0.835327
1529287580918008,0.274353,-0.46875,-0.0963135,-0.834167
1529287580940949,0.287476,-0.464539,-0.0915527,-0.832642
1529287580963887,0.298706,-0.460571,-0.0860596,-0.831421
