timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529289342413316,0,-1,-1,-2,-1,-1,-4,0
1529289342413316,0,-2,-1,-1,-2,0,2,5
1529289342417305,0,-2,-3,0,0,1,-1,-5
1529289342417305,-2,0,-1,-2,-2,-3,-1,-2
1529289342418302,-2,-1,0,-1,0,0,-2,-3
1529289342418302,-2,-1,-1,-1,-1,-2,-4,-9
1529289342420297,-1,-1,1,-1,-1,1,-1,1
1529289342420297,0,-2,-1,0,0,0,-1,-3
1529289342430270,-1,1,-2,2,-1,-1,2,-1
1529289342430270,-1,0,0,-2,-2,1,-1,0
1529289342442238,1,0,1,-2,-2,-2,1,1
1529289342442238,1,2,-2,0,-1,0,-1,-1
1529289342445230,-2,1,0,-2,0,-2,-1,2
1529289342445230,1,0,0,0,-1,-1,-2,2
1529289342465177,3,0,-2,-1,-3,-2,-3,7
1529289342465177,-3,-1,0,-2,-1,-5,-7,0
1529289342468168,-2,0,-1,-1,0,-1,-6,-9
1529289342468168,1,1,1,1,3,2,9,12
1529289342492105,-1,-2,-1,-3,1,-3,1,-7
1529289342492105,1,-1,0,-1,1,0,0,0
1529289342493102,-2,-1,-1,-1,-1,-2,-2,0
1529289342493102,1,1,-1,-2,-1,-1,1,-2
1529289342502079,-3,-1,1,2,2,1,2,-2
1529289342502079,1,-1,-1,1,0,-2,7,4
1529289342505070,5,2,0,1,0,0,4,5
1529289342505070,-3,-2,-2,0,0,-2,-6,-1
1529289342551946,7,-1,1,0,1,0,4,4
1529289342551946,1,-2,0,-3,-1,1,14,4
1529289342552943,-1,2,2,2,3,7,11,6
1529289342552943,-2,-1,-2,0,0,-1,-1,-1
1529289342553940,1,2,-1,0,-2,3,5,0
1529289342553940,-6,-2,-2,-1,-1,-3,-20,-8
1529289342554937,1,1,-1,-1,0,-5,-5,-2
1529289342554937,-3,-2,0,-3,-5,-5,1,0
1529289342564911,0,2,4,3,6,-1,0,0
1529289342564911,2,-1,0,0,0,1,0,0
1529289342572889,-2,-4,-2,-1,-1,0,-1,-2
1529289342572889,0,-1,0,2,3,3,-3,-1
1529289342581865,-2,-2,-4,-3,-8,-2,-2,-3
1529289342581865,-4,-2,-7,-14,-17,-8,-2,-3
1529289342595828,-4,-4,-7,-9,-5,-7,-7,-4
1529289342595828,0,0,-2,2,-4,-2,0,0
1529289342602809,-3,-1,0,1,4,-4,-3,-1
1529289342602809,4,5,6,14,13,4,4,2
