timestamp,x,y,z
1529285789278899,0.8125,-0.25,0.4375
1529285789294857,1.125,-0.25,0.5625
1529285789314804,1.25,-0.3125,0.75
1529285789338740,1,-0.375,1
1529285789354698,0.75,-0.5,1.125
1529285789375642,0.75,-0.5625,1
1529285789398580,1.4375,-0.4375,1.125
1529285789431494,1.25,-0.625,0.9375
1529285789432490,1.25,-1,0.875
1529285789451444,1.375,-1.125,0.75
1529285789466399,1.1875,-1.3125,0.625
1529285789492330,0.8125,-1.3125,0.5625
1529285789511279,0.8125,-1.125,0.375
1529285789556160,1.1875,-0.875,0
1529285789565136,1.3125,-0.875,-0.1875
1529285789571154,0.6875,-0.875,-0.1875
1529285789587076,-0.5,-0.9375,0.125
1529285789610017,-1.5,-1.0625,0.3125
1529285789639936,-1.6875,-0.875,0.4375
1529285789653899,-0.8125,-0.625,0
1529285789676838,0.875,-0.5,-0.5625
1529285789699781,1.8125,-0.5,-0.875
1529285789713765,1.25,-0.5625,-0.875
1529285789737692,-0.0625,-0.6875,-0.6875
1529285789759615,-1.1875,-0.9375,-0.8125
1529285789780594,-0.375,-0.8125,-0.9375
1529285789797549,0.3125,-0.625,-0.6875
1529285789819455,-0.375,-0.625,-0.5625
1529285789840401,-0.1875,-0.8125,-1.1875
1529285789857370,0.6875,-0.8125,-0.9375
1529285789879322,0.3125,-0.625,-0.75
1529285789901236,-0.0625,-0.5625,-0.6875
1529285789917193,0.1875,-0.3125,-0.6875
1529285789940134,0.5625,-0.125,-0.6875
1529285789961076,0.625,0.1875,-0.625
1529285789977034,0.625,0.3125,-0.375
1529285790000008,-0.0625,0.1875,0
1529285790020954,-0.75,0.3125,0.25
1529285790036925,-0.8125,0.375,0.9375
1529285790049840,-1.25,0.1875,1
1529285790064801,-0.75,0.125,0.75
1529285790087738,0.375,0.25,0.4375
1529285790109680,1.4375,0.3125,0
1529285790124640,1.5625,0.1875,-0.25
1529285790147620,0.5625,0.25,-0.4375
1529285790170557,0.4375,0.25,-0.375
1529285790185512,0.375,0.0625,-0.0625
1529285790207419,-0.0625,-0.25,0
