timestamp,x,y,z
1528882586415530,-1.25,0.4375,-0.6875
1528882586438470,-0.5,0.5,-0.75
1528882586460411,-1.3125,0.1875,-1.125
1528882586475372,-2,-0.4375,-0.9375
1528882586508283,-2.625,-2.5625,-1.5
1528882586523244,-3.5625,-2.5,-1.8125
1528882586537206,-5.5625,-1.8125,-2.6875
1528882586561142,-9.9375,-1.5,-2.3125
1528882586610013,-7.875,-0.5,-0.5625
1528882586617990,-3.5625,0.125,2.125
1528882586655888,0.6875,1.0625,5.0625
1528882586677831,3.75,1.8125,8.75
1528882586714730,21.8125,4.6875,27.25
1528882586737671,28.6875,11,42
1528882586760609,41.8125,23.5,60
1528882586782549,65.1875,40.375,90.125
1528882586797511,62.625,62.75,120.938
1528882586820449,46.0625,77.8125,136.688
1528882586842391,34.75,90.375,159.25
1528882586857350,18.75,98.625,178.125
1528882586881287,17.8125,107.75,191.938
1528882586895249,26.875,114.5,208.625
1528882586902230,35.75,119.5,223.75
1528882586932151,44.3125,121.188,236.313
1528882586955089,50.125,123.25,246.125
1528882586970050,48.75,121.375,250.875
1528882586993028,51.5,116,250.563
1528882587014929,51.3125,110.5,245.438
1528882587037869,46.75,102.125,235.375
1528882587052829,47.125,92.25,220.688
1528882587074770,48.0625,80.75,201.5
1528882587104690,54.5625,74.75,180.938
1528882587119648,42.875,70.0625,160.438
1528882587142592,25.9375,62.75,143.5
1528882587157547,23.0625,50.4375,130.125
1528882587172509,20,42.3125,111.125
1528882587195682,6.9375,39.625,89.8125
1528882587217389,-4.875,36.0625,76.1875
1528882587232348,-13.3125,33,64.1875
1528882587255537,-21.625,33.5,46.25
1528882587285206,-32.875,30.3125,33.875
1528882587300572,-31.625,25.25,23.25
1528882587322516,-24.6875,21.3125,14.625
1528882587337509,-13.5625,18.25,9.125
1528882587352434,-4.25,12.875,1.375
1528882587382353,1.875,9.0625,-10.6875
1528882587405294,15.0625,12.375,-24
1528882587420573,52.3125,14.125,-26.875
1528882587435532,91.4375,10.3125,-21.8125
1528882587457505,126.75,11.6875,-12.375
1528882587480411,150.625,13.875,-2.5
1528882587503359,181.188,3.8125,2.0625
1528882587533333,222.563,-30.9375,-5.6875
1528882587555479,195.188,-38.25,-18.25
1528882587577708,160.438,-41.1875,-31.75
1528882587600832,141.125,-40.5,-35
1528882587615658,114.875,-47,-37.25
1528882587637838,94.0625,-44.75,-42.1875
1528882587668084,72.8125,-40.4375,-34.25
1528882587683337,57.1875,-35.875,-23.625
1528882587704986,44.6875,-27,-21.125
1528882587719984,25.25,-18.4375,-19.8125
1528882587734907,1.625,-7.9375,-17.0625
1528882587757882,-12.4375,3.125,-14
1528882587779787,-20.125,9.25,-11
1528882587794747,-28.5625,11.625,-9.125
1528882587817686,-31,14.0625,-9.3125
1528882587839681,-28.375,12.5625,-8.3125
1528882587854641,-23.3125,7.8125,-7.0625
1528882587877550,-18.9375,2.1875,-8.625
1528882587900489,-22.25,-0.4375,-12.5
1528882587922463,-37.25,-3.3125,-20.1875
1528882587945422,-57.5625,-7.4375,-33.3125
1528882587967309,-76.125,-10.8125,-44.9375
1528882587997231,-89.875,-22.0625,-51.4375
1528882588035127,-92.4375,-26.5,-66.3125
1528882588058066,-101.375,-31.125,-89.5
1528882588080007,-125.688,-35.6875,-110.438
1528882588094967,-154.5,-39.0625,-124.875
1528882588109927,-178.125,-44.4375,-132.563
1528882588147826,-171.375,-59.125,-154.313
1528882588193251,-162.313,-70.9375,-154.625
1528882588214949,-148.313,-75.6875,-153.188
1528882588253241,-79.875,-86.625,-169.75
1528882588268426,-71.6875,-96.5625,-172
1528882588282376,-68.6875,-104.313,-168.063
1528882588305584,-47.375,-104.438,-169.25
1528882588320626,-18.1875,-103.375,-176.375
1528882588343398,6.625,-102.125,-180
1528882588364786,11.125,-103.375,-176
1528882588380975,7.3125,-103.563,-175.125
1528882588403262,7.625,-103.5,-176.688
1528882588425225,21.5625,-96.5,-168.75
1528882588440183,39,-85.875,-154.125
1528882588463358,47.375,-72.6875,-141.438
1528882588485668,48.8125,-64.25,-127.688
1528882588500617,49,-56.9375,-115.688
1528882588523335,48.0625,-49.9375,-96.75
1528882588545491,41.1875,-42.375,-75.125
1528882588560460,33.1875,-35.1875,-53.875
1528882588583142,29.5625,-26.6875,-37.75
1528882588605386,28.4375,-20.3125,-26.8125
1528882588620041,15.5,-12.875,-17.625
1528882588642977,-30.4375,-9.125,-11.25
1528882588657985,-84.5,-10.6875,-7.0625
1528882588673155,-88.5,-13.25,-14.25
1528882588695145,-105.313,-12.8125,-14.0625
1528882588717379,-107.188,-10.1875,-21.875
1528882588732884,-95.3125,-11.4375,-26.8125
1528882588755374,-64.375,-12.375,-24.5625
1528882588778226,-25.25,-11.5625,-19.1875
1528882588793409,5.25,-8.25,-14.6875
1528882588815464,30.75,-4.8125,-11.875
1528882588845613,47.125,1.125,-9.9375
1528882588860837,53.5,6.125,-5.75
1528882588883199,54.625,8.0625,-2.1875
1528882588897860,57.3125,9.75,0.3125
1528882588913338,56.8125,11.1875,2.3125
1528882588935504,52.875,11.5,3.6875
1528882588980705,38.8125,6.9375,7.1875
1528882589032983,6.8125,2.9375,7.5625
1528882589055218,9.1875,2.75,8.1875
1528882589092683,15.625,0.6875,8.0625
1528882589114967,20.25,0.375,7.1875
1528882589153304,22.9375,2.75,8.3125
1528882589175479,21.5625,3,7.5
1528882589212945,14.125,3.4375,5.4375
1528882589235748,7.625,3.875,4.1875
