timestamp,x,y,z
1529304573567067,-13.4375,3.6875,-3
1529304573592030,-1.625,2.5625,-3.5625
1529304573611938,3.0625,1.0625,-2.25
1529304573626899,4.5,0.25,0.3125
1529304573650835,8.8125,1.125,3.6875
1529304573674771,17,2.5,6.25
1529304573689730,22.25,4.375,7.5625
1529304573740597,24.5,8.25,7.6875
1529304573740597,17.9375,18.8125,8.75
1529304573755554,1,28.1875,12.25
1529304573771514,-12.5625,33.4375,19.9375
1529304573794453,-21.8125,40.8125,29.625
1529304573816392,-33.125,53.6875,44.3125
1529304573862269,-42.0625,65.3125,59.4375
1529304573863267,-31.4375,77.125,75.3125
1529304573870250,-6.125,88,93.8125
1529304573890194,25.875,100.813,112.125
1529304573912136,57.625,110.688,128
1529304573936072,82.5625,117.563,140.188
1529304573958013,89,123.875,149.313
1529304573973970,87,129.938,160.75
1529304573996909,83.3125,135.063,173.25
1529304574017855,78.5,137.125,187.5
1529304574033811,83.6875,133.75,200.438
1529304574056749,91.9375,131.063,212.688
1529304574078690,105.25,130,226.438
1529304574093652,117.625,122.25,236.625
1529304574116589,121.375,114.063,241.938
1529304574137534,114.688,102.688,240.75
1529304574153491,108.438,90.9375,234.563
1529304574176430,97.125,75.6875,225.438
1529304574197375,98.625,61.6875,215.375
1529304574214330,105.625,48.4375,204.313
1529304574236270,106.25,30.25,186.313
1529304574257216,94.75,13.875,167.375
1529304574274169,85.5625,3.4375,153.938
1529304574296111,79.9375,-4.5625,142.75
1529304574317053,80.5,-12.75,130.313
1529304574334008,79.4375,-20.375,114.438
1529304574356949,71.75,-24,94.3125
1529304574377918,68.125,-26.375,72.5
1529304574393849,63.5625,-30.375,55.4375
1529304574416787,50.8125,-34.4375,43.125
1529304574437731,42.375,-33.625,31.5625
1529304574453690,40.6875,-27.375,25.0625
1529304574476628,54,-19.625,18.4375
1529304574497571,68.0625,-15.25,10.9375
1529304574513528,31.375,-19.5,11.5
1529304574536466,-24.5625,-23.6875,19
1529304574557413,-47.4375,-24.125,29.3125
1529304574573368,-47.125,-30.6875,42
1529304574596308,-47.875,-41.375,53.0625
1529304574617255,-33.5625,-40.3125,62.375
1529304574633220,-4.1875,-33.625,68.75
1529304574656476,22.875,-22.0625,73.375
1529304574678905,44,-4.0625,67
1529304574693663,54.125,12.5,53.0625
1529304574716562,42.5,26.0625,31.5
1529304574739163,36.75,34.125,2.5625
1529304574753423,44.75,38.0625,-28.5625
1529304574776378,38.4375,36.5,-55.25
1529304574799318,27.25,27.1875,-74.5625
1529304574820262,-23.625,6.0625,-78.25
1529304574842183,-104.875,-28.0625,-69.1875
1529304574859137,-120,-39.125,-50.75
1529304574881100,-92.125,-47.3125,-26.25
1529304574903143,-33.75,-38.375,3.5
1529304574919009,-14.9375,-36.9375,31.75
1529304574941917,-37.6875,-42.25,55.9375
1529304574963130,-7.25,-37,74.375
1529304574978341,15.5,-23,81
1529304575001211,13.125,-4.0625,82.1875
1529304575023032,20.5,15.8125,68.5
1529304575038804,27.5,32.0625,50.5625
1529304575061810,28.125,41.4375,23.5625
1529304575089972,29.3125,41.1875,-11.375
1529304575098133,28.25,32.5,-48.0625
1529304575121887,26.125,23.375,-78.625
1529304575143828,-6.875,19,-95.75
1529304575159066,-46.375,11.25,-108.063
1529304575181728,-78.0625,17.625,-101
1529304575203687,-133.313,-15.375,-49.1875
1529304575218657,-113.688,-11.3125,-0.625
1529304575241576,-68.1875,-23.875,6.3125
1529304575264640,-42.25,-22.1875,25
1529304575286036,4.0625,-0.625,37.25
1529304575287773,8.5625,13.5625,36.6875
1529304575307070,-22.9375,20.75,22
1529304575329847,-12.375,38,2.1875
1529304575347366,0.5625,61.375,-19.3125
1529304575367604,11.625,71.875,-40.25
1529304575389781,16.9375,68.9375,-66.3125
1529304575414161,-16.75,64.1875,-91.25
1529304575426780,-63.375,60.6875,-100.875
1529304575450047,-82.375,59.3125,-108.125
1529304575468167,-68.5,60.1875,-115.375
1529304575486929,-46.3125,55.6875,-127.75
1529304575509869,-33.6875,41.5,-143.938
1529304575525826,-41.5625,22.3125,-159.813
1529304575547033,-59.4375,6.1875,-173.938
1529304575569288,-65.625,-4.5,-183.813
1529304575585976,-63.3125,-19.4375,-192.438
1529304575606948,-69.4375,-34.25,-209.188
1529304575630014,-81.8125,-47.8125,-224.75
1529304575645816,-85.125,-57.0625,-234.688
1529304575666760,-80.25,-65.6875,-240
1529304575689753,-86.5,-78.75,-243.375
1529304575710697,-111.875,-96.875,-251.25
1529304575726601,-125.25,-108.375,-255.688
1529304575750537,-115,-115.125,-252.063
1529304575764500,-92.875,-120.813,-253.313
1529304575786441,-78.5625,-127.625,-251.688
1529304575810430,-72.125,-135.438,-250.938
1529304575824339,-74.75,-149.375,-253.125
1529304575847327,-83.125,-164.313,-243.25
1529304575870226,-70.375,-171.25,-209.688
1529304575884180,-44.375,-168.625,-181.375
1529304575907118,-3.0625,-152.063,-162.75
1529304575930057,44.375,-147.313,-129.25
1529304575944021,81.125,-137.375,-93.875
1529304575966962,78.125,-133.688,-60.0625
1529304575990186,48.25,-121.375,-29.1875
1529304576004442,1.625,-100.25,-6.875
1529304576027353,-40.25,-78.75,9.4375
1529304576050736,-64.8125,-55.25,17.3125
1529304576064554,-83.0625,-34.625,16.6875
1529304576086498,-95,-16.0625,11.5625
1529304576110778,-86.5625,-1.375,8.1875
1529304576124696,-63.75,9.5625,3.125
1529304576147199,-32.5625,19.4375,-2.0625
1529304576169909,-4.5625,28.5,-5
1529304576184109,16.8125,35.4375,-5.375
1529304576207336,30.4375,40.5625,-4.8125
1529304576230277,36.125,44.625,-1.625
1529304576245237,30.0625,48.25,0.6875
1529304576267440,19.6875,51.5625,4.8125
1529304576289756,6.5,53.9375,10.5625
1529304576305089,-1.9375,54.625,15.5625
1529304576327667,-2.375,50,20.625
1529304576350144,3.875,44.1875,25.8125
1529304576364678,20.625,40.9375,29.875
1529304576386864,30.6875,31.75,37.25
1529304576409091,24.5625,34.4375,38.4375
1529304576424625,10.5625,30.5625,38.375
1529304576447320,11.25,27.75,35.375
1529304576469294,13.5,23,31.875
1529304576484462,9.625,17.125,28.75
1529304576507517,3.3125,11.5625,24.375
