timestamp,x,y,z,w
1529291757041605,-0.230957,0.57135,-0.111389,-0.779663
1529291757049618,-0.236267,0.57074,-0.115967,-0.777832
1529291757072506,-0.240173,0.570801,-0.120056,-0.77594
1529291757094462,-0.243164,0.570862,-0.123718,-0.774414
1529291757109407,-0.245361,0.571167,-0.126587,-0.773071
1529291757134341,-0.246399,0.571533,-0.128479,-0.772095
1529291757154287,-0.246643,0.572205,-0.129517,-0.771362
1529291757194183,-0.246277,0.573364,-0.130127,-0.770508
1529291757202159,-0.2453,0.574524,-0.130371,-0.769958
1529291757238064,-0.243347,0.5755,-0.129761,-0.769897
1529291757259008,-0.240479,0.576538,-0.128479,-0.770264
1529291757291955,-0.237366,0.578064,-0.126953,-0.770325
1529291757311917,-0.234619,0.579651,-0.125488,-0.770203
1529291757341787,-0.22998,0.582153,-0.122192,-0.770264
1529291757363764,-0.227234,0.582947,-0.119934,-0.770813
1529291757387665,-0.224548,0.583618,-0.117615,-0.771484
1529291757401642,-0.222839,0.58429,-0.115845,-0.771729
1529291757423595,-0.222351,0.5849,-0.114868,-0.771545
1529291757454486,-0.222534,0.585388,-0.114319,-0.77124
1529291757469444,-0.222717,0.585632,-0.113892,-0.770996
1529291757506346,-0.22168,0.586487,-0.112122,-0.770935
1529291757514357,-0.220764,0.587097,-0.111511,-0.770813
1529291757544276,-0.21991,0.587769,-0.111511,-0.770569
1529291757566241,-0.219177,0.588501,-0.111755,-0.770203
1529291757581193,-0.218384,0.589172,-0.112,-0.769897
1529291757604086,-0.217407,0.5896,-0.112305,-0.769775
1529291757626028,-0.216736,0.589783,-0.112854,-0.769775
1529291757648965,-0.21698,0.589661,-0.113953,-0.769592
1529291757671947,-0.218445,0.589478,-0.11554,-0.769043
1529291757701870,-0.223694,0.588562,-0.119263,-0.7677
1529291757723810,-0.226868,0.587952,-0.120972,-0.766968
1529291757746756,-0.230042,0.587402,-0.122498,-0.766235
1529291757761665,-0.232605,0.586426,-0.12323,-0.766052
1529291757783605,-0.234558,0.5849,-0.123901,-0.766541
1529291757806580,-0.240601,0.581787,-0.127563,-0.766418
1529291757821532,-0.252258,0.575989,-0.130493,-0.766541
1529291757843480,-0.273926,0.566467,-0.130432,-0.766235
1529291757866383,-0.301514,0.556641,-0.124329,-0.764099
1529291757881345,-0.32843,0.544556,-0.115173,-0.763184
1529291757904300,-0.357056,0.531311,-0.102112,-0.761475
1529291757926265,-0.384827,0.517395,-0.081604,-0.76001
1529291757941183,-0.403259,0.504028,-0.0532227,-0.761963
1529291757964122,-0.414734,0.49054,-0.0184326,-0.766235
1529291757986095,-0.424194,0.47644,0.0188599,-0.769897
1529291758001076,-0.433228,0.461121,0.0557861,-0.7724
1529291758023962,-0.443115,0.44519,0.0906372,-0.772888
1529291758046926,-0.454346,0.429077,0.123474,-0.770874
1529291758076822,-0.468018,0.414246,0.154053,-0.76532
1529291758091836,-0.480347,0.401733,0.184631,-0.757507
1529291758113778,-0.489807,0.390869,0.214844,-0.749146
1529291758128737,-0.496338,0.379456,0.242981,-0.742065
1529291758143642,-0.501282,0.365906,0.268066,-0.736877
1529291758166636,-0.505737,0.352112,0.289307,-0.732544
1529291758188579,-0.512207,0.339172,0.306274,-0.727234
1529291758203539,-0.52063,0.327637,0.319275,-0.720947
1529291758226585,-0.531494,0.316406,0.328125,-0.713989
1529291758248862,-0.54303,0.306763,0.33197,-0.707703
1529291758263663,-0.55426,0.298523,0.333435,-0.701843
1529291758286739,-0.562317,0.293579,0.335388,-0.696533
1529291758308703,-0.563843,0.292725,0.339294,-0.693726
1529291758324540,-0.559875,0.295105,0.341614,-0.694824
1529291758346579,-0.553894,0.298645,0.341858,-0.697998
1529291758368384,-0.550537,0.30304,0.339783,-0.699768
1529291758384363,-0.554199,0.308411,0.335327,-0.696655
1529291758406716,-0.560242,0.315063,0.330444,-0.691162
1529291758429577,-0.563232,0.322876,0.325806,-0.687317
1529291758444527,-0.561279,0.328003,0.321289,-0.688599
1529291758466620,-0.556519,0.329834,0.317444,-0.693359
1529291758488561,-0.553894,0.332886,0.317261,-0.694092
1529291758503522,-0.554016,0.338501,0.321228,-0.689453
1529291758526460,-0.554504,0.342163,0.324585,-0.685669
1529291758548831,-0.554626,0.341858,0.325989,-0.685059
1529291758563792,-0.554932,0.340576,0.326599,-0.68512
1529291758586725,-0.555115,0.339294,0.328003,-0.684998
1529291758609578,-0.556152,0.337891,0.327759,-0.684937
