timestamp,x,y,z,w
1529298703941505,-0.657043,0.0482788,-0.681763,-0.318237
1529298703963445,-0.65741,0.0452271,-0.679688,-0.322388
1529298703978407,-0.65802,0.0414429,-0.676758,-0.327698
1529298704002359,-0.658936,0.0365601,-0.672791,-0.334595
1529298704023285,-0.660706,0.029541,-0.667114,-0.342957
1529298704038246,-0.661865,0.0233765,-0.659485,-0.355774
1529298704063179,-0.663757,0.0175171,-0.649414,-0.370728
1529298704094097,-0.665405,0.0128174,-0.637024,-0.389099
1529298704102075,-0.666138,0.00701904,-0.622681,-0.410522
1529298704122030,-0.665405,-0.000915527,-0.607788,-0.433533
1529298704143964,-0.66272,-0.012146,-0.593262,-0.45697
1529298704158923,-0.659912,-0.0286865,-0.578552,-0.478577
1529298704182862,-0.65863,-0.0501099,-0.5625,-0.497375
1529298704220760,-0.658203,-0.0739136,-0.544678,-0.514526
1529298704223749,-0.657959,-0.0984497,-0.525513,-0.530396
1529298704240705,-0.657776,-0.123291,-0.504944,-0.545227
1529298704263644,-0.656677,-0.146484,-0.483215,-0.560242
1529298704279601,-0.655762,-0.167358,-0.460571,-0.574402
1529298704301542,-0.65564,-0.185791,-0.436462,-0.587524
1529298704324482,-0.65564,-0.203552,-0.411011,-0.599915
1529298704338443,-0.65625,-0.222168,-0.384216,-0.610291
1529298704361381,-0.658508,-0.241455,-0.356079,-0.617554
1529298704383361,-0.660156,-0.259155,-0.326904,-0.624695
1529298704398284,-0.655884,-0.27301,-0.300049,-0.636719
1529298704421223,-0.645752,-0.284485,-0.277588,-0.652039
1529298704435220,-0.634644,-0.296021,-0.258057,-0.665649
1529298704458123,-0.62616,-0.307861,-0.240112,-0.674988
1529298704481062,-0.620361,-0.319519,-0.223877,-0.680481
1529298704495025,-0.616028,-0.330811,-0.20929,-0.683655
1529298704517963,-0.612,-0.339478,-0.199219,-0.686035
1529298704540902,-0.607178,-0.345642,-0.192017,-0.68927
1529298704563891,-0.602783,-0.349976,-0.18634,-0.692505
1529298704577805,-0.600037,-0.352478,-0.1828,-0.694519
1529298704600743,-0.59906,-0.353271,-0.181641,-0.695313
1529298704615703,-0.599365,-0.352783,-0.182312,-0.695129
1529298704637643,-0.601257,-0.35199,-0.185059,-0.693176
1529298704660635,-0.604736,-0.351379,-0.188171,-0.689575
1529298704675597,-0.608093,-0.350403,-0.190979,-0.68634
1529298704697762,-0.611206,-0.348511,-0.194824,-0.683472
1529298704720562,-0.61438,-0.346436,-0.200073,-0.680176
1529298704735522,-0.617798,-0.344116,-0.205505,-0.676575
1529298704757499,-0.621521,-0.341858,-0.211426,-0.672546
1529298704781436,-0.625244,-0.339783,-0.217346,-0.668213
1529298704795362,-0.628906,-0.337769,-0.2229,-0.66394
1529298704818338,-0.631958,-0.336121,-0.227905,-0.660156
1529298704841239,-0.634644,-0.334595,-0.231873,-0.656921
1529298704863224,-0.637024,-0.333557,-0.23468,-0.654175
1529298704878195,-0.639038,-0.332642,-0.236938,-0.651855
1529298704901115,-0.640564,-0.331238,-0.239807,-0.650024
1529298704917037,-0.641357,-0.32843,-0.244446,-0.648926
1529298704939029,-0.641846,-0.323914,-0.251221,-0.648132
1529298704960918,-0.642578,-0.317139,-0.260376,-0.647156
1529298704976884,-0.645569,-0.30835,-0.271484,-0.64386
1529298704997828,-0.651611,-0.298523,-0.283752,-0.637085
1529298705020780,-0.659729,-0.289063,-0.295593,-0.627625
1529298705036724,-0.667969,-0.280029,-0.307129,-0.617432
1529298705057932,-0.675232,-0.27063,-0.319397,-0.607422
