timestamp,x,y,z
1528873673272965,-15.5625,26.0625,81.9375
1528873673286942,-15.5,28.8125,90.9375
1528873673311862,-15.625,30.4375,100.25
1528873673331808,-11.875,29.625,110.25
1528873673346769,-8.4375,31,122.688
1528873673372700,-1.8125,35.125,134.875
1528873673423563,5.8125,38.375,147.125
1528873673424560,10.0625,40.375,160.438
1528873673431541,11.1875,40.25,172.313
1528873673447500,15.625,43.25,184.063
1528873673467446,24.75,44.6875,194.875
1528873673498362,32.875,45.25,204.375
1528873673544241,46.3125,45.6875,209
1528873673545238,63.375,50,217.313
1528873673552219,91.1875,56,229.125
1528873673566182,103.875,61.125,230.25
1528873673588124,108.375,68,220.5
1528873673619039,100.063,71.0625,206.813
1528873673634000,89.875,62.0625,190.75
1528873673655942,79.3125,50.1875,167.625
1528873673678879,65.625,37.25,147.25
1528873673699826,59.75,31,127.063
1528873673716806,63.625,28.6875,105
1528873673738721,58.1875,21.375,85.125
1528873673759697,46.125,4.3125,65.3125
1528873673776620,31.125,-16.1875,45.6875
1528873673798562,12.875,-28.4375,28.5625
1528873673827536,6.3125,-39.5625,8.3125
1528873673836459,3.75,-56.375,-11.8125
1528873673849427,-0.75,-75.6875,-32.1875
1528873673864385,-7.5,-96.5,-56.25
1528873673886381,-19.4375,-117.75,-79.375
1528873673909264,-20.8125,-131.313,-92.25
1528873673924243,-17.75,-144.625,-102.938
1528873673947179,-23.5625,-147.188,-116.625
1528873673969157,-49.375,-145.438,-120.438
1528873673984103,6.875,-100.063,-107.25
1528873674007044,-84.3125,80.5,54.6875
1528873674028945,59.5625,65,84.0625
1528873674043931,-15.125,62.4375,63.875
1528873674066881,-109.25,57.125,53.3125
1528873674088819,-3.9375,80.625,108
1528873674103744,151.438,102.188,123.375
1528873674126726,116.75,113.375,107.438
1528873674149624,47.6875,105.75,98.6875
1528873674164211,20.1875,92.6875,91.5625
1528873674187143,0.625,82.8125,74.625
1528873674209102,15.9375,68.9375,53.125
1528873674224069,46.3125,51.75,32
1528873674246953,31,28.375,11.3125
1528873674268936,-5.6875,7.6875,-4.3125
1528873674283894,-20.3125,-3.125,-16.0625
1528873674306833,-19.8125,-5.875,-24.375
1528873674337711,-11.0625,-6.75,-30.25
1528873674344692,-7.6875,-8.5625,-31.125
1528873674366636,-16.3125,-8.3125,-26.875
1528873674389783,-20.125,-7.9375,-19.375
1528873674403746,-19.875,-10.1875,-13.4375
1528873674427389,-21.9375,-12.5625,-10.875
1528873674449728,-18.125,-11.75,-8.5625
1528873674464367,-6.875,-10.625,-6.3125
1528873674487229,-1.4375,-9,-6.6875
1528873674509115,-3.75,-7,-10.125
1528873674533063,-2.8125,-6.75,-13.6875
1528873674547377,-1.75,-11.0625,-18.6875
1528873674569355,-5.375,-17.5,-26.3125
1528873674585471,-7.8125,-26.8125,-35.75
1528873674617713,-12.1875,-37.4375,-47.8125
1528873674629808,-18,-45.375,-62.125
1528873674645640,-27.75,-46.6875,-77.4375
1528873674666957,-29.6875,-44.25,-87.8125
1528873674689745,-25.625,-42.375,-94.5
1528873674705706,-24.4375,-46.3125,-103.688
1528873674726642,-29.75,-51.5,-113.75
1528873674749612,-33.0625,-53.375,-119.875
1528873674767588,-35.625,-53.3125,-124.438
1528873674786535,-41.1875,-52.125,-126.313
1528873674809442,-43.1875,-52.125,-127.625
1528873674827372,-41.6875,-54.5625,-133.188
1528873674846374,-38.25,-58.6875,-141.75
1528873674869299,-41.8125,-63,-153.25
1528873674887215,-44.125,-67.125,-165
1528873674907203,-31.3125,-64.75,-168.813
1528873674929150,-19,-64.3125,-166.75
1528873674947052,-28,-68.4375,-169.125
1528873674967051,-45.875,-65.5,-174
1528873674985007,-60.6875,-59.125,-175.625
1528873675006894,-62.75,-54,-177.375
1528873675026842,-52.625,-50,-177.75
1528873675044791,-49.75,-49.875,-179.25
1528873675067781,-52.75,-45.9375,-173.813
1528873675086894,-60,-43.5625,-169.563
1528873675104891,-63.8125,-41.875,-165.625
1528873675127178,-59.5,-40.25,-160.5
1528873675147382,-51.5625,-36.75,-150.5
1528873675164737,-37.1875,-33.75,-133.25
1528873675187795,-16.3125,-31.9375,-112.75
1528873675206802,-1.125,-31.8125,-93.125
1528873675224565,0.8125,-30.875,-76.375
1528873675247557,-4,-27.75,-61.6875
1528873675266467,-8.0625,-22.625,-48.75
1528873675284440,-12.125,-16.9375,-38
1528873675307705,-16.25,-11.25,-29.6875
1528873675329840,-22,-6.875,-23.4375
1528873675344801,-27.625,-4,-19.0625
