timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529306356828815,1,2,-4,1,9,8,4,2
1529306356828815,0,-6,2,0,-4,4,1,-1
1529306356835796,-1,-3,0,-5,-5,-3,-2,-2
1529306356835796,2,7,0,3,6,12,3,1
1529306356843776,0,-5,-3,-1,-5,-10,-4,-1
1529306356843776,1,-5,-2,-2,4,11,2,2
1529306356850757,-3,6,-3,-4,0,-3,-4,-3
1529306356850757,-1,-3,-1,2,-9,-13,-4,-2
1529306356861727,2,-4,2,-4,-5,-1,2,-1
1529306356861727,0,6,-1,2,-3,-8,-3,-2
1529306356873696,-2,2,0,2,-6,-10,-4,-4
1529306356873696,2,5,1,12,7,5,1,2
1529306356888656,0,-3,-3,-9,-2,3,1,1
1529306356888656,-4,-5,-3,2,5,4,-2,-1
1529306356895637,-3,2,-1,-8,-17,-11,-3,2
1529306356895637,0,-1,1,1,1,-5,-2,-2
1529306356912591,-2,-9,-4,1,-1,-8,-5,-4
1529306356912591,0,7,0,0,5,15,2,1
1529306356918575,-3,-1,-1,-5,-4,-3,-3,-3
1529306356918575,-3,-2,-1,-2,-6,-15,-2,-1
1529306356933535,1,1,3,3,-8,1,1,3
1529306356933535,-2,-3,-1,-7,-12,-18,-5,-3
1529306356940517,-2,-3,-5,2,7,-1,-2,-3
1529306356940517,-1,-3,0,-9,-1,7,-3,-4
1529306356948521,2,5,3,15,19,14,5,1
1529306356948521,-1,-3,-4,-7,-3,1,-1,-2
1529306356957472,-1,-2,2,0,-8,-11,-7,0
1529306356957472,-3,-1,-6,-8,-6,-5,-3,-2
1529306356971433,1,-2,-1,-12,-3,0,-1,-2
1529306356971433,-4,-3,-2,3,-6,-9,-4,-4
1529306356978416,0,4,3,-5,-8,-1,-2,-1
1529306356978416,-1,-1,-8,-4,9,4,2,1
1529306356986410,-3,-1,0,-4,-6,-9,-8,-5
1529306356986410,-1,0,0,0,0,4,-1,0
1529306356993379,1,-2,-1,-5,1,9,13,3
1529306356993379,-3,-6,-7,-2,-8,-4,-4,-4
1529306357009333,-1,0,-1,-4,1,-2,2,-1
1529306357009333,0,-4,-12,-11,-5,-18,-12,-2
1529306357016314,1,-1,4,0,6,15,1,0
1529306357016314,1,1,5,6,-10,-4,-1,0
1529306357031274,-5,-3,-15,-5,-1,3,0,-1
1529306357031274,0,1,7,16,1,2,1,0
1529306357046237,-2,-4,-3,0,3,-8,-8,-4
1529306357046237,2,1,3,-5,16,32,17,4
1529306357054213,-4,-4,-2,-10,-15,-17,-10,-3
1529306357054213,-2,2,-2,-3,-1,2,4,-1
1529306357076169,0,-3,-2,-6,4,8,4,-2
1529306357076169,1,-13,-1,4,-8,-6,0,-1
1529306357083135,-1,12,-10,-24,-4,3,2,1
1529306357083135,0,1,4,1,3,3,-6,-1
1529306357091114,-1,-9,2,0,-1,0,2,0
1529306357091114,-4,3,-5,-6,0,0,-2,-2
1529306357106074,-1,-4,-5,-12,-5,-4,-4,-3
1529306357106074,-2,-3,2,8,-1,-2,2,-2
1529306357113055,-4,-6,-6,-1,1,-4,-3,-5
1529306357113055,-1,5,-9,-7,0,-1,-3,0
1529306357128015,-2,7,0,-10,-6,-2,-1,1
1529306357128015,1,-1,4,17,2,-3,-1,-3
1529306357142977,1,-10,-10,-33,-10,-1,1,1
1529306357142977,0,4,10,26,8,3,3,2
1529306357150954,0,3,-6,-13,-7,-2,-3,1
1529306357150954,-1,-5,-1,3,1,0,-3,-2
1529306357165914,-2,-4,3,5,-1,0,-1,-2
1529306357165914,-4,-3,-17,-26,-9,-6,-2,-3
1529306357173893,1,6,13,24,4,-2,-3,2
1529306357173893,-4,-8,-5,-20,-5,-2,-3,-4
1529306357188852,3,4,4,30,12,6,4,2
1529306357188852,-3,-2,-8,-23,-7,-3,0,0
1529306357195834,-3,-6,-5,-8,-5,-5,-5,-5
1529306357195834,0,2,6,-1,1,2,3,3
1529306357210795,-4,-1,3,14,-2,-8,-4,-2
1529306357210795,0,-2,-2,2,7,4,-4,-2
1529306357233733,-5,-10,-15,-15,-1,1,-5,-2
1529306357233733,-2,-1,-1,2,0,-3,-1,-3
1529306357240714,0,-2,0,17,3,-5,-6,-2
1529306357240714,-1,-1,-2,-19,-12,-4,-2,-3
1529306357255674,1,4,8,23,8,3,2,0
1529306357255674,-4,-5,-12,-27,-14,-5,-6,0
1529306357263654,0,-1,6,3,-1,-1,1,0
1529306357263654,1,1,-5,1,-1,-2,-2,-1
1529306357285594,2,-2,-6,3,-1,-4,-3,1
1529306357285594,2,6,3,3,2,-2,-2,0
1529306357293577,-1,0,2,1,1,2,4,1
1529306357293577,-1,-1,-8,-1,8,0,-2,-1
1529306357308533,0,1,3,-1,-5,-6,-4,-3
1529306357308533,-1,0,-1,1,1,0,1,1
1529306357315515,-2,0,0,-4,-9,-8,-5,-4
1529306357315515,-3,-4,-10,-14,-6,0,0,-1
1529306357330474,-2,-4,-4,-3,1,-5,-4,-3
1529306357330474,2,-1,5,-1,5,-1,1,1
1529306357345435,4,5,-1,-13,-2,7,8,6
1529306357345435,-2,-2,0,4,2,2,0,-2
1529306357353413,-1,0,4,12,7,-1,1,3
1529306357353413,0,-3,1,3,-2,1,-1,3
1529306357368372,0,2,-2,-14,-11,-1,-1,-2
1529306357368372,1,2,9,16,6,-1,-6,-2
1529306357383333,-1,-4,-5,2,0,2,2,-1
1529306357383333,-1,0,-2,0,-3,-7,-5,-4
1529306357398293,-1,0,4,8,1,-2,3,1
1529306357398293,-3,-2,-5,-14,-9,-3,-7,-2
1529306357413253,-1,-7,-7,-12,-5,3,2,0
1529306357413253,3,9,12,23,9,1,5,2
1529306357421231,-3,-3,-9,-4,-8,-6,-8,-4
1529306357421231,-1,-3,0,8,0,-1,2,-1
1529306357436191,-3,-2,1,-3,-4,-8,-5,-4
1529306357436191,-4,-7,-13,-17,-3,-11,-6,-4
1529306357451152,-1,3,-1,-2,2,-1,-2,-1
1529306357451152,-2,-2,-6,-3,-7,-2,-2,-6
1529306357466111,1,1,-2,-4,4,-2,-3,-1
1529306357466111,2,7,17,34,15,17,3,2
1529306357473093,-2,-6,-13,-26,-16,-6,8,1
1529306357473093,-4,-2,-4,-23,-2,1,1,-3
1529306357488052,-5,-5,-4,13,-5,-16,-15,-6
1529306357488052,3,2,-2,-3,4,3,5,3
1529306357496043,0,2,5,-7,-6,-2,-5,-2
1529306357496043,2,6,2,15,0,-5,0,1
1529306357511006,-2,-1,-5,-19,-6,0,-1,-2
1529306357511006,-3,-5,-3,2,-7,-5,-4,-3
1529306357525953,4,8,14,25,31,42,13,3
1529306357525953,-3,-9,-15,-24,-11,-6,-5,-3
1529306357532934,-3,0,-5,3,3,-6,-6,-1
1529306357532934,-2,1,6,-5,-6,-3,4,1
1529306357547893,-2,-6,-5,-8,-9,-15,-9,-3
1529306357547893,3,5,6,10,2,2,6,3
1529306357555871,0,-1,0,1,6,5,-4,-2
1529306357555871,-3,-5,-8,-3,-3,-3,-8,-4
1529306357570858,0,0,-5,-8,-2,3,5,3
1529306357570858,-4,-7,-6,-14,-9,-7,-3,-3
1529306357585791,-2,0,1,6,7,10,6,0
1529306357585791,0,-2,-3,-14,-5,7,-1,-3
1529306357593770,0,-4,-4,7,-2,-4,-2,-3
1529306357593770,0,0,-3,-5,2,3,0,0
1529306357608746,0,-4,3,2,2,-9,-4,-3
1529306357608746,1,-2,0,10,-5,-11,-4,-1
1529306357615745,1,4,3,3,4,8,3,-1
1529306357615745,-1,-1,-2,-8,-3,2,1,0
1529306357630726,-1,-1,-4,-4,-7,-7,-3,-1
1529306357630726,-6,-1,-5,-9,0,2,-1,-1
1529306357645688,-2,-3,3,5,-3,-3,-1,1
1529306357645688,-2,-3,-6,-11,-4,-6,-2,-2
1529306357653648,2,-1,-1,-3,-2,-1,-2,0
1529306357653648,-1,1,-1,10,9,5,0,-1
1529306357668570,1,1,2,6,-2,-3,-2,-2
1529306357668570,-2,-2,-1,-3,-2,-1,-1,0
1529306357675552,-1,-1,3,7,0,-1,-1,-1
1529306357675552,0,2,-1,-8,0,3,0,-1
1529306357698492,-2,0,-6,-10,-9,-7,-2,-2
1529306357698492,-4,-4,4,11,6,0,1,0
1529306357713451,1,-1,4,1,-2,-1,-1,0
1529306357713451,1,-2,-6,-10,-4,-1,-1,-2
1529306357720432,0,-1,-2,-5,1,0,-1,-1
1529306357720432,-3,-5,1,8,1,-1,-5,-3
1529306357736389,-2,-3,-3,-3,-4,-1,3,-2
1529306357736389,-3,2,-1,0,1,-1,-3,-1
1529306357751600,-3,0,0,5,-1,1,2,-1
1529306357751600,-1,1,-4,-3,-4,-2,-1,2
1529306357766309,-2,2,-2,-1,0,-1,-3,-2
1529306357766309,2,0,2,0,0,2,-2,0
1529306357773555,0,-1,-2,-3,-2,-3,-3,-2
1529306357773555,-3,-4,-7,-9,-3,0,0,-2
1529306357788516,3,-3,1,11,5,3,5,3
1529306357788516,1,2,-2,-3,-2,1,14,2
1529306357796057,-3,-2,-1,-2,-1,1,1,0
1529306357796057,-2,0,2,-1,-4,-4,-3,-2
1529306357811086,-4,-6,-7,-14,-6,-4,-10,-4
1529306357811086,-3,-6,2,7,8,8,3,0
1529306357826020,0,-1,3,13,5,-2,5,1
1529306357826020,-4,-4,0,3,0,-5,-8,-4
1529306357834093,-3,1,3,4,1,-1,1,1
1529306357834093,-1,0,-5,-8,-5,0,3,-4
1529306357848592,-2,-3,-3,-9,-3,-3,-6,0
1529306357848592,3,5,4,9,-1,0,-1,0
1529306357856691,0,-3,-5,2,3,3,5,0
1529306357856691,0,-1,0,-14,-11,-8,-6,-3
1529306357871696,0,2,-2,-5,-2,0,-1,1
1529306357871696,-1,-3,-3,0,-1,-7,-3,-3
1529306357886240,-2,0,-5,-9,-7,-6,-5,-6
1529306357886240,-2,-2,3,9,4,2,-4,-2
1529306357893505,-4,-3,0,3,1,1,-1,0
1529306357893505,-1,-1,-2,-2,-1,2,1,1
1529306357908694,0,-1,0,-1,1,0,-1,-4
1529306357908694,-1,-3,-5,-10,-10,-7,-2,-2
1529306357915445,-1,0,-3,5,4,-1,2,0
1529306357915445,1,-2,3,7,3,-1,2,0
1529306357931406,2,-3,-5,-3,-2,-3,-2,-3
1529306357931406,2,2,-4,-15,-6,-1,-3,1
1529306357946646,-1,-1,3,4,6,2,-4,-1
1529306357946646,1,3,1,1,0,2,3,0
1529306357953848,-2,-7,-4,-7,-4,-1,-5,-2
1529306357953848,0,0,2,2,-2,-3,-1,-1
1529306357968808,-2,2,-2,-8,1,2,1,-1
1529306357968808,-1,-1,-4,6,-1,-3,-7,-4
1529306357975557,2,0,1,-8,-4,-1,3,1
1529306357975557,-2,0,-5,-7,0,-1,-1,-4
1529306357991135,-2,-1,4,5,-4,-6,0,1
1529306357991135,-3,0,0,-4,1,-2,-1,-2
1529306358005785,-1,-1,-4,-6,-2,2,1,-1
1529306358005785,-3,-4,3,2,2,-1,3,-1
1529306358013731,-4,-3,-3,4,0,-1,-2,-3
1529306358013731,3,2,1,-13,-4,0,1,2
1529306358028691,-2,-5,-2,-1,-5,-6,-3,-1
1529306358028691,0,2,-2,-7,-2,-8,-8,-3
1529306358035705,-2,-3,-1,17,9,11,8,1
1529306358035705,-2,-3,-3,-12,-2,5,0,0
1529306358051655,-1,2,-6,-6,-4,1,0,0
1529306358051655,1,1,3,8,2,0,-1,1
1529306358066620,-2,0,0,1,-1,1,0,-1
1529306358066620,-2,-3,-4,-7,-6,-6,-5,-3
1529306358073834,1,4,0,-4,-3,-4,0,-1
1529306358073834,-2,-2,-5,-7,-1,0,1,-1
1529306358088793,1,-1,6,10,2,-3,-2,-1
1529306358088793,1,1,-1,3,1,4,3,1
1529306358096673,0,4,0,-4,-2,-3,0,2
1529306358096673,-4,0,-4,-7,-6,-4,0,-1
