timestamp,x,y,z,w
1528882842743245,-0.609619,0.237061,-0.709656,-0.262085
1528882842766191,-0.610474,0.236023,-0.709656,-0.260925
1528882842781171,-0.611267,0.235046,-0.709717,-0.259888
1528882842811064,-0.612,0.233337,-0.710083,-0.258545
1528882842826025,-0.612976,0.231262,-0.710327,-0.257446
1528882842841011,-0.613647,0.229248,-0.71051,-0.257263
1528882842894838,-0.612976,0.227539,-0.711609,-0.257202
1528882842900825,-0.610474,0.225708,-0.713867,-0.258484
1528882842947697,-0.606445,0.22229,-0.717468,-0.260925
1528882842968696,-0.601868,0.214111,-0.7229,-0.263428
1528882842983602,-0.596985,0.201904,-0.730042,-0.264648
1528882843005543,-0.590454,0.183655,-0.739075,-0.267334
1528882843020503,-0.581055,0.160583,-0.74884,-0.275574
1528882843043443,-0.567322,0.138184,-0.757813,-0.291321
1528882843065383,-0.547241,0.117615,-0.766724,-0.314453
1528882843111263,-0.496399,0.0647583,-0.783752,-0.367676
1528882843133204,-0.468323,0.031311,-0.788696,-0.397217
1528882843163123,-0.402588,-0.0377197,-0.787781,-0.464783
1528882843186063,-0.366516,-0.0701294,-0.780884,-0.501038
1528882843209000,-0.293396,-0.124817,-0.75354,-0.575012
1528882843215982,-0.254517,-0.142456,-0.737061,-0.609741
1528882843260862,-0.214417,-0.15271,-0.721069,-0.641052
1528882843282808,-0.175659,-0.157166,-0.704956,-0.669006
1528882843305741,-0.14209,-0.159363,-0.688721,-0.692993
1528882843320701,-0.115479,-0.162109,-0.673096,-0.712341
1528882843358600,-0.0941772,-0.164185,-0.658508,-0.728455
1528882843380541,-0.0784912,-0.16687,-0.644897,-0.74176
1528882843395501,-0.0697632,-0.172241,-0.63269,-0.751831
1528882843425449,-0.0648804,-0.178772,-0.613831,-0.766296
1528882843440383,-0.0643921,-0.179504,-0.604248,-0.773743
1528882843463321,-0.0634766,-0.181091,-0.594666,-0.780823
1528882843485261,-0.0640869,-0.183838,-0.591675,-0.78241
1528882843501221,-0.0653687,-0.188965,-0.592529,-0.780396
1528882843523161,-0.0639648,-0.193481,-0.590942,-0.780579
1528882843546099,-0.0631104,-0.193481,-0.589355,-0.781921
1528882843561059,-0.0603027,-0.189941,-0.591614,-0.78125
1528882843583001,-0.0547485,-0.183411,-0.594299,-0.781189
1528882843605938,-0.0444336,-0.177063,-0.597595,-0.780823
1528882843620899,-0.0327148,-0.176025,-0.602356,-0.777954
1528882843643676,-0.0217285,-0.17865,-0.608398,-0.77301
1528882843665622,-0.00939941,-0.181702,-0.615601,-0.766846
1528882843680578,0.0045166,-0.190857,-0.622864,-0.758728
1528882843703517,0.0150146,-0.204834,-0.63147,-0.747742
1528882843740883,0.0308228,-0.232422,-0.651062,-0.721924
1528882843763809,0.0358276,-0.24292,-0.662537,-0.707703
1528882843800709,0.0479736,-0.257263,-0.684631,-0.68042
