timestamp,x,y,z
1529289597427265,12.6875,-4.0625,-0.9375
1529289597443222,9.125,-4.125,-0.5625
1529289597468155,6.9375,-3.9375,-0.3125
1529289597488101,4.9375,-3.5,-0.0625
1529289597510042,3.5625,-3.1875,-0.0625
1529289597525004,1.5,-2.625,-0.3125
1529289597550933,-1.375,-1.6875,-0.875
1529289597601799,-5.0625,-1.125,-1.5
1529289597614762,-7.625,-0.5625,-1.25
1529289597637702,-9.9375,-0.1875,-0.1875
1529289597669616,-13.0625,0.1875,0.5
1529289597682581,-15.75,0.5625,0.9375
1529289597722474,-16.375,-0.1875,2
1529289597735439,-13.3125,-0.1875,0.5625
1529289597757381,-10.125,0.0625,0.8125
1529289597780319,-11.5625,0.125,1.25
1529289597819216,-10.5,0.25,1.125
1529289597840161,-8.3125,0.25,1.5625
1529289597885041,6.125,0.875,2.8125
1529289597907978,8.875,0.3125,4.6875
1529289597937899,8.6875,-0.5,10.875
1529289597944879,-0.5625,-2.375,23.3125
1529289597967818,-21.3125,-9.4375,47.1875
1529289597982780,-45.5625,-5.8125,70.5
1529289597997738,-45.0625,6,90.8125
1529289598020677,-37.8125,24.125,119.938
1529289598042621,-27.9375,38.5625,154.938
1529289598065560,-18.8125,48.3125,187.5
1529289598080518,-16,63.25,210.875
1529289598102460,-25.75,88.125,227.875
1529289598125398,-42.25,110.5,246.375
1529289598140358,-49.9375,116.313,262.813
1529289598162299,-41.25,116.625,271.5
1529289598185238,-36.5625,121.938,275.563
1529289598208211,-31.625,122.875,292.125
1529289598230154,0.375,119.25,315.375
1529289598253057,34.4375,115,311
1529289598268049,26.3125,121.813,287.438
1529289598283023,57.25,131,296.25
1529289598304918,85.125,129.688,292.125
1529289598319879,69.1875,128.688,274.125
1529289598342816,62,131.25,257.5
1529289598365755,62.125,130.75,247.688
1529289598387698,41.875,121.625,231.563
1529289598410634,47.1875,117.75,200.5
1529289598440554,20.625,75.9375,161.313
1529289598462497,14.0625,58.625,142.313
1529289598492417,11.4375,44,121.688
1529289598507411,12.8125,28.125,95.5
1529289598530317,16.5,15.125,57.9375
1529289598552256,29.625,11.8125,19.6875
1529289598568214,43.625,15.25,-19.375
1529289598590155,43.0625,15.1875,-62.6875
1529289598605119,25.75,12.125,-107.813
1529289598613095,30.375,5.75,-146.938
1529289598643014,13.5,5.625,-201.063
1529289598664956,-25.9375,-3.4375,-237.375
