timestamp,x,y,z,w
1529289617485179,-0.65564,-0.143738,-0.741089,-0.0192871
1529289617508116,-0.655396,-0.144043,-0.741211,-0.0188599
1529289617523077,-0.65509,-0.144653,-0.741394,-0.0183716
1529289617561972,-0.654785,-0.145447,-0.741516,-0.0177002
1529289617568954,-0.654419,-0.146362,-0.741699,-0.0169067
1529289617583913,-0.654114,-0.147339,-0.74176,-0.0161743
1529289617605854,-0.653809,-0.148254,-0.741882,-0.015564
1529289617643755,-0.653442,-0.148865,-0.742065,-0.0151978
1529289617660709,-0.653198,-0.149292,-0.742249,-0.0149536
1529289617671678,-0.653137,-0.149719,-0.742188,-0.0146484
1529289617687637,-0.653137,-0.150269,-0.742126,-0.0142212
1529289617704592,-0.653198,-0.150818,-0.741943,-0.0137939
1529289617730522,-0.65332,-0.151306,-0.74176,-0.0133667
1529289617770415,-0.653564,-0.151855,-0.741455,-0.0127563
1529289617771411,-0.653809,-0.1521,-0.741211,-0.0119019
1529289617785375,-0.65387,-0.152344,-0.741089,-0.0106201
1529289617808313,-0.65387,-0.153076,-0.740967,-0.00878906
1529289617824272,-0.653748,-0.153992,-0.740906,-0.00695801
1529289617846212,-0.65332,-0.155151,-0.741028,-0.00537109
1529289617868155,-0.652466,-0.156494,-0.741516,-0.00408936
1529289617892090,-0.650024,-0.158569,-0.743286,-0.00268555
1529289617905057,-0.645996,-0.165527,-0.745239,0.0010376
1529289617927993,-0.640686,-0.180847,-0.746277,0.000976563
1529289617944949,-0.632935,-0.204163,-0.746826,-0.00628662
1529289617964894,-0.623169,-0.224548,-0.748901,-0.0217896
1529289617988867,-0.608948,-0.242676,-0.754089,-0.041626
1529289618003825,-0.588684,-0.264648,-0.76123,-0.0636597
1529289618025776,-0.562683,-0.292297,-0.76825,-0.088501
1529289618048671,-0.530884,-0.325134,-0.773621,-0.118835
1529289618064681,-0.49231,-0.35968,-0.777588,-0.154114
1529289618085573,-0.446472,-0.393372,-0.781128,-0.18927
1529289618108511,-0.39563,-0.424927,-0.782898,-0.223816
1529289618132446,-0.341064,-0.453552,-0.781677,-0.259033
1529289618145459,-0.284302,-0.479126,-0.7771,-0.293091
1529289618168350,-0.223999,-0.497803,-0.7724,-0.324768
1529289618185311,-0.161926,-0.511414,-0.766052,-0.354248
1529289618205296,-0.100525,-0.52124,-0.758118,-0.378906
1529289618228192,-0.0421753,-0.528442,-0.749084,-0.397339
1529289618244148,0.0119019,-0.533203,-0.737854,-0.413818
1529289618265129,0.0614014,-0.535095,-0.726501,-0.426819
1529289618288030,0.1026,-0.536926,-0.714661,-0.436523
