timestamp,roll,pitch,yaw
1529306366018860,0.625046,-1.37918,1.7548
1529306366033820,0.622656,-1.38003,1.75717
1529306366057755,0.620721,-1.37995,1.75833
1529306366078702,0.620326,-1.37924,1.75711
1529306366093662,0.624164,-1.37749,1.75065
1529306366118594,0.632918,-1.37308,1.73785
1529306366171452,0.641482,-1.36336,1.72543
1529306366172449,0.648641,-1.3436,1.72005
1529306366180428,0.668474,-1.30955,1.71673
1529306366201372,0.722637,-1.26304,1.69708
1529306366218327,0.786582,-1.20316,1.67534
1529306366237276,0.844443,-1.12795,1.6584
1529306366260220,0.889112,-1.03947,1.64839
1529306366290135,0.918978,-0.937517,1.64334
1529306366301106,0.932652,-0.823238,1.63853
1529306366319057,0.930229,-0.698277,1.63293
1529306366333020,0.913942,-0.56552,1.62774
1529306366357954,0.885311,-0.428583,1.62451
1529306366379897,0.853119,-0.29219,1.62107
1529306366393857,0.82147,-0.157998,1.6134
1529306366416843,0.78791,-0.0278339,1.59963
1529306366438737,0.74802,0.0955774,1.58121
1529306366453697,0.699091,0.212353,1.55782
1529306366476636,0.64344,0.319457,1.5276
1529306366498577,0.584223,0.414519,1.49266
1529306366513538,0.525096,0.497834,1.45755
1529306366536476,0.470544,0.56935,1.42601
1529306366559441,0.417628,0.628567,1.40035
1529306366573377,0.369606,0.675006,1.38303
1529306366596316,0.332437,0.710184,1.37792
1529306366619254,0.313817,0.735347,1.38922
1529306366633218,0.310705,0.749206,1.4132
1529306366656156,0.319853,0.749741,1.44491
1529306366679094,0.349208,0.73834,1.4842
1529306366693058,0.401049,0.713788,1.5286
1529306366715999,0.465569,0.67869,1.56775
1529306366738934,0.538247,0.638083,1.59886
1529306366753915,0.609765,0.599803,1.6234
1529306366775838,0.667212,0.570403,1.6398
1529306366798813,0.708976,0.542246,1.65374
1529306366813736,0.709823,0.533175,1.65689
1529306366835678,0.684232,0.541364,1.65272
1529306366858615,0.648437,0.562049,1.64281
1529306366873576,0.615083,0.591102,1.6278
1529306366895516,0.589178,0.62456,1.60667
1529306366919507,0.569287,0.658073,1.5788
1529306366933418,0.556817,0.689959,1.54594
1529306366956353,0.549335,0.719079,1.50703
1529306366979319,0.541831,0.745102,1.46014
1529306366995251,0.529268,0.768015,1.40642
1529306367016193,0.509698,0.787421,1.34908
1529306367039133,0.48265,0.803476,1.29068
1529306367055091,0.449066,0.815263,1.23182
1529306367076041,0.412184,0.822345,1.17347
1529306367098972,0.376809,0.82508,1.11767
1529306367114929,0.343453,0.824185,1.0639
1529306367135873,0.314388,0.818725,1.01497
1529306367158814,0.295489,0.808848,0.975147
1529306367174770,0.288653,0.794574,0.946256
1529306367195714,0.292046,0.77645,0.92883
1529306367218651,0.302655,0.754776,0.922616
1529306367234609,0.319923,0.728331,0.927894
1529306367256660,0.343229,0.69757,0.941406
1529306367278771,0.371581,0.663053,0.960449
1529306367294508,0.40244,0.625782,0.984309
1529306367325371,0.429257,0.589731,1.00885
1529306367338977,0.449864,0.558954,1.03046
1529306367354649,0.463165,0.536316,1.04569
1529306367375618,0.469432,0.522483,1.05361
1529306367398796,0.472057,0.515936,1.05664
1529306367414759,0.474786,0.514841,1.05757
1529306367436681,0.477631,0.516611,1.05719
1529306367458663,0.479713,0.519031,1.05647
1529306367474604,0.481389,0.520722,1.05546
1529306367496726,0.482344,0.521396,1.05276
1529306367526513,0.482325,0.520953,1.04751
1529306367535658,0.480384,0.518902,1.03961
1529306367555707,0.479663,0.512998,1.03217
1529306367578676,0.482368,0.500486,1.02862
1529306367594867,0.488911,0.480895,1.02976
1529306367616044,0.499439,0.454053,1.03539
1529306367639008,0.515506,0.418447,1.04715
1529306367655777,0.538139,0.371535,1.06666
1529306367675651,0.569976,0.312521,1.09384
1529306367699124,0.612237,0.241872,1.12699
1529306367714828,0.663659,0.159812,1.16494
1529306367736014,0.721524,0.0686087,1.20569
1529306367758270,0.776654,-0.0288721,1.24622
1529306367775221,0.822788,-0.130642,1.28528
1529306367796412,0.864898,-0.234479,1.3235
1529306367818676,0.899014,-0.340832,1.35997
1529306367834673,0.919407,-0.449124,1.39463
1529306367856634,0.93327,-0.55673,1.42908
1529306367878335,0.942349,-0.661839,1.46394
1529306367895631,0.948698,-0.764125,1.49623
1529306367916590,0.954745,-0.864637,1.52756
1529306367938467,0.959365,-0.960995,1.55607
1529306367955562,0.964609,-1.05534,1.58179
1529306367977402,0.968366,-1.14559,1.59831
1529306367998457,0.963203,-1.22917,1.61218
1529306368015301,0.937046,-1.30566,1.63177
1529306368037345,0.860701,-1.37287,1.68318
1529306368058508,0.705543,-1.4274,1.79627
1529306368075474,0.439491,-1.46665,2.00964
1529306368097401,0.0515864,-1.48909,2.34336
1529306368118794,-0.39808,-1.49718,2.74895
1529306368135767,-0.722872,-1.49265,3.04589
1529306368157366,-0.887026,-1.48653,-3.08256
1529306368178373,-0.94577,-1.48386,-3.01929
1529306368195657,-0.930492,-1.48574,-3.02466
1529306368217374,-0.873801,-1.4882,-3.07108
1529306368238351,-0.790844,-1.49077,3.13566
1529306368255320,-0.684837,-1.49176,3.03498
1529306368276259,-0.551277,-1.49099,2.90878
1529306368299197,-0.375059,-1.49031,2.74426
1529306368314103,-0.172296,-1.48625,2.55797
1529306368337096,0.0396006,-1.48068,2.36461
1529306368359043,0.241783,-1.47107,2.17829
1529306368373946,0.4065,-1.45938,2.0245
1529306368396926,0.518445,-1.44744,1.91545
1529306368418877,0.573695,-1.43648,1.85311
1529306368433837,0.579311,-1.42981,1.83277
