timestamp,x,y,z,w
1529304960902361,0.537537,-0.335327,0.718384,0.287231
1529304960925299,0.538269,-0.335022,0.717407,0.288574
1529304960940260,0.538818,-0.334839,0.716675,0.289673
1529304960972175,0.539185,-0.334778,0.716125,0.290405
1529304960985140,0.539368,-0.334717,0.71582,0.290771
1529304961000101,0.539429,-0.334595,0.715759,0.290955
1529304961026030,0.539429,-0.334534,0.715881,0.290771
1529304961075897,0.539124,-0.334595,0.716309,0.290222
1529304961083877,0.538574,-0.3349,0.716919,0.289429
1529304961113796,0.537415,-0.335876,0.717651,0.288574
1529304961135737,0.535278,-0.337585,0.71875,0.287903
1529304961150697,0.53125,-0.34137,0.720215,0.28717
1529304961172639,0.524597,-0.347229,0.722961,0.285522
1529304961195577,0.515503,-0.354004,0.727295,0.282654
1529304961220511,0.503784,-0.361877,0.733093,0.278748
1529304961232479,0.489319,-0.370483,0.740356,0.274109
1529304961264392,0.471924,-0.37854,0.749695,0.268127
1529304961277359,0.453491,-0.386292,0.759705,0.260559
1529304961300298,0.433289,-0.3927,0.771362,0.250977
1529304961326229,0.411682,-0.396362,0.785156,0.238464
1529304961353157,0.365173,-0.398254,0.815552,0.207031
1529304961376096,0.339722,-0.397949,0.830566,0.190552
1529304961383077,0.312622,-0.397522,0.845093,0.173096
1529304961419977,0.28479,-0.395813,0.859253,0.154541
1529304961457876,0.227173,-0.382813,0.888245,0.112976
1529304961480825,0.195862,-0.37384,0.9021,0.0899048
1529304961502790,0.164246,-0.363892,0.914368,0.0668335
1529304961517717,0.132324,-0.354004,0.924744,0.0440674
1529304961540681,0.0998535,-0.344421,0.933228,0.020874
1529304961577583,0.0673828,-0.332642,0.940613,-0.00341797
1529304961600551,0.0349731,-0.318481,0.946838,-0.027771
1529304961622438,-0.0302124,-0.288635,0.954102,-0.0737915
1529304961645376,-0.0610962,-0.272156,0.955444,-0.0960693
1529304961660376,-0.0899658,-0.255615,0.955383,-0.11731
1529304961683308,-0.117676,-0.239014,0.954041,-0.137207
1529304961713196,-0.144592,-0.223083,0.951233,-0.156616
1529304961728154,-0.169983,-0.206726,0.947449,-0.175232
1529304961773072,-0.213135,-0.17926,0.9375,-0.208496
1529304961788010,-0.23114,-0.168579,0.931519,-0.224426
1529304961824938,-0.261841,-0.151062,0.918335,-0.255554
1529304961847870,-0.273926,-0.141846,0.912048,-0.270081
1529304961870773,-0.283386,-0.133911,0.905823,-0.284912
1529304961892948,-0.290527,-0.128967,0.899536,-0.299683
1529304961907675,-0.295837,-0.125977,0.893677,-0.312927
1529304961922636,-0.299622,-0.122742,0.888672,-0.324707
1529304961953279,-0.301636,-0.119995,0.88446,-0.335205
1529304961968018,-0.30304,-0.115173,0.881287,-0.343811
1529304961983011,-0.305542,-0.107605,0.878845,-0.350342
1529304961997938,-0.309204,-0.0977783,0.876892,-0.354797
1529304962012936,-0.3125,-0.0875854,0.875244,-0.358582
1529304962035972,-0.31427,-0.0784912,0.873779,-0.362793
1529304962058070,-0.31427,-0.0717773,0.872314,-0.367615
1529304962073031,-0.313965,-0.065979,0.871094,-0.371887
1529304962096209,-0.314453,-0.0603027,0.869995,-0.375
1529304962118718,-0.315674,-0.0546875,0.868713,-0.377686
1529304962133634,-0.317627,-0.0473633,0.867737,-0.379333
1529304962155546,-0.318787,-0.0424805,0.866943,-0.380798
1529304962178535,-0.318604,-0.0418701,0.866394,-0.382263
1529304962193244,-0.316711,-0.0449219,0.866333,-0.383606
1529304962215223,-0.31427,-0.0493774,0.86676,-0.384155
1529304962238126,-0.312256,-0.0527344,0.867554,-0.383484
1529304962253138,-0.311462,-0.0537109,0.868469,-0.381836
1529304962275027,-0.312073,-0.052002,0.869507,-0.379333
1529304962297965,-0.312561,-0.050354,0.870605,-0.376587
1529304962312925,-0.312439,-0.0496216,0.871765,-0.374084
1529304962334866,-0.311646,-0.0493774,0.872681,-0.372559
1529304962357805,-0.310303,-0.0499268,0.873413,-0.372009
1529304962380744,-0.3078,-0.0516968,0.874146,-0.372131
1529304962402685,-0.304688,-0.0534668,0.875183,-0.371948
1529304962417645,-0.302673,-0.0528564,0.876892,-0.36969
1529304962440583,-0.302002,-0.0494995,0.879272,-0.364929
1529304962455544,-0.302368,-0.0443726,0.882141,-0.358398
1529304962477485,-0.302734,-0.0402832,0.885376,-0.350403
1529304962500461,-0.303345,-0.0373535,0.889282,-0.34021
1529304962515597,-0.304382,-0.0352173,0.893616,-0.327881
1529304962538426,-0.306091,-0.0336304,0.897705,-0.315125
1529304962560569,-0.308044,-0.0341187,0.900696,-0.304443
1529304962575588,-0.309082,-0.0412598,0.902649,-0.29657
1529304962597835,-0.308289,-0.0571289,0.904114,-0.290283
1529304962620785,-0.305969,-0.0778809,0.904968,-0.285095
1529304962635788,-0.30365,-0.0980225,0.905334,-0.280273
1529304962657908,-0.304871,-0.113953,0.905273,-0.273071
1529304962680929,-0.309265,-0.125671,0.905273,-0.262634
1529304962695576,-0.315857,-0.136108,0.904724,-0.251404
1529304962718068,-0.323914,-0.144897,0.903381,-0.240662
1529304962740628,-0.331909,-0.155334,0.901245,-0.231262
1529304962777766,-0.345215,-0.177979,0.895752,-0.216309
1529304962801091,-0.349365,-0.188232,0.893066,-0.211914
1529304962816059,-0.352112,-0.196838,0.891479,-0.206238
1529304962837927,-0.355652,-0.198669,0.891052,-0.200134
1529304962859872,-0.358704,-0.196716,0.89093,-0.19696
1529304962898233,-0.35907,-0.201599,0.88855,-0.202026
1529304962920303,-0.357117,-0.206726,0.887451,-0.205383
1529304962965329,-0.355103,-0.206909,0.887329,-0.209106
1529304962980502,-0.35437,-0.204895,0.887634,-0.210999
1529304963018322,-0.349609,-0.205566,0.888916,-0.212891
1529304963055736,-0.345093,-0.200928,0.892395,-0.210205
1529304963077433,-0.34137,-0.200256,0.894226,-0.209106
1529304963122632,-0.328125,-0.206909,0.898376,-0.205811
1529304963145793,-0.318237,-0.212097,0.90155,-0.202332
1529304963183560,-0.290039,-0.226624,0.910156,-0.190002
1529304963235837,-0.219543,-0.259888,0.927429,-0.155273
1529304963258626,-0.186707,-0.275085,0.9328,-0.139099
1529304963310678,-0.107361,-0.313965,0.937988,-0.100098
1529304963332864,-0.0629272,-0.336609,0.936462,-0.0758667
1529304963378054,0.0841675,-0.391357,0.916138,0.0198975
1529304963416067,0.193237,-0.406372,0.888184,0.0927734
1529304963437993,0.2453,-0.410767,0.868347,0.130615
1529304963475680,0.34259,-0.411743,0.818542,0.20752
1529304963497358,0.391479,-0.407349,0.788818,0.241943
1529304963535256,0.484863,-0.388062,0.723938,0.300293
1529304963558235,0.527222,-0.365173,0.69873,0.316833
1529304963595096,0.601257,-0.304504,0.668213,0.314941
1529304963618036,0.629639,-0.27887,0.659119,0.302063
1529304963648197,0.665955,-0.26123,0.639648,0.281189
1529304963670197,0.672729,-0.265503,0.630798,0.280945
1529304963693534,0.673889,-0.276245,0.62262,0.286011
1529304963708363,0.671509,-0.288574,0.616516,0.292603
1529304963730579,0.667847,-0.298462,0.613037,0.29834
1529304963752796,0.664001,-0.304871,0.611267,0.304077
1529304963768063,0.659302,-0.309387,0.610352,0.311462
1529304963790750,0.653809,-0.312988,0.609802,0.320435
1529304963812964,0.647705,-0.315857,0.609619,0.3302
1529304963827959,0.640625,-0.318787,0.610168,0.340027
1529304963851069,0.632568,-0.321289,0.612244,0.348877
1529304963872986,0.624207,-0.322632,0.616272,0.355591
1529304963887675,0.615601,-0.322693,0.622314,0.359863
1529304963911022,0.606995,-0.322327,0.629761,0.361938
1529304963933076,0.597473,-0.322876,0.638184,0.362427
1529304963955124,0.586731,-0.325562,0.6474,0.361328
1529304963970039,0.574707,-0.330322,0.657227,0.358582
1529304963992921,0.561584,-0.33667,0.667603,0.354248
1529304964016066,0.54834,-0.343018,0.678589,0.348022
1529304964031181,0.534485,-0.349609,0.690002,0.340515
1529304964053168,0.52002,-0.357117,0.701233,0.332092
