timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529286197615727,-1,2,-1,0,-1,-1,-1,-2
1529286197615727,1,0,-1,-1,-1,0,1,1
1529286197616725,-2,0,1,2,2,0,2,0
1529286197616725,-6,-5,-4,-3,-3,-1,0,1
1529286197617720,-1,0,-1,0,-1,1,-1,0
1529286197617720,3,2,1,-1,-2,-1,-1,-4
1529286197618718,2,1,1,-1,-1,1,-2,1
1529286197618718,2,-1,-2,0,-1,-1,0,1
1529286197630687,-1,-3,-1,0,1,0,-1,-1
1529286197630687,-3,-1,-3,-5,-2,-2,-2,-2
1529286197637667,-2,-3,-4,-3,0,-1,1,-1
1529286197637667,0,1,4,1,1,1,-2,-3
1529286197643686,1,-1,-5,-1,-1,0,-1,1
1529286197643686,3,6,7,2,2,1,1,3
1529286197658613,0,-2,0,-2,-3,-2,-3,0
1529286197658613,-3,-3,-1,-2,0,-1,0,-1
1529286197668584,-2,-7,-8,-6,-2,-1,-2,-3
1529286197668584,-3,-5,-2,-1,-4,0,-1,-3
1529286197673571,-3,-5,-15,-8,-8,-3,-2,1
1529286197673571,5,21,27,18,13,4,2,5
1529286197691522,1,1,-7,-4,2,0,1,0
1529286197691522,0,4,13,8,3,-1,-1,3
1529286197696510,0,0,1,-3,-3,-2,-1,-1
1529286197696510,-8,-16,-21,-15,-14,-5,-4,-4
1529286197744386,2,-3,-4,1,14,4,1,0
1529286197744386,0,5,2,-1,2,0,-2,-1
1529286197745379,-2,-4,-7,-9,-18,-5,-2,2
1529286197745379,2,2,-6,-6,-14,-6,-3,-2
1529286197746376,-1,0,0,11,42,4,0,0
1529286197746376,-3,-5,-10,-15,-22,-4,0,-2
1529286197749368,0,-2,1,12,16,1,0,0
1529286197749368,-4,-3,0,-3,25,2,1,-1
1529286197756349,-7,-8,4,-4,-42,-5,-2,-4
1529286197756349,1,3,2,9,6,1,0,1
1529286197763331,4,8,8,30,26,9,3,2
1529286197763331,-5,-13,-31,-50,-12,-1,-3,-3
1529286197772307,2,9,6,0,-2,1,-1,-1
1529286197772307,4,-2,1,-11,-25,-6,-1,2
1529286197786269,-4,-12,-12,-10,-35,-9,-4,-3
1529286197786269,7,10,9,17,20,8,2,4
1529286197793251,-1,-3,-3,-2,-3,-6,-1,-1
1529286197793251,-3,-8,-8,-8,10,2,-1,-3
1529286197801230,-3,-5,-6,-5,-17,-6,-4,-3
1529286197801230,-4,-3,10,22,16,6,2,-1
1529286197816189,-7,-13,-11,-18,-15,-6,-3,-2
1529286197816189,4,18,9,-4,-9,0,0,0
1529286197825166,4,8,11,3,15,7,2,1
1529286197825166,-1,-8,-3,4,-32,-8,-1,-3
