timestamp,x,y,z
1528879656252346,-0.6875,-0.3125,-1.0625
1528879656275311,-0.0625,-0.125,-1
1528879656299222,0.25,0.0625,-0.875
1528879656315179,0.1875,0.125,-0.875
1528879656338126,0.0625,0.0625,-0.875
1528879656358063,0.125,0,-0.75
1528879656373023,0.125,-0.125,-0.5625
1528879656411920,-0.25,-0.125,-0.5625
1528879656414912,-0.875,-0.0625,-0.5
1528879656426880,-1.125,0,-0.375
1528879656448820,-1.4375,-0.0625,-0.25
1528879656464778,-1.4375,-0.125,-0.25
1528879656493701,-1.5625,-0.125,-0.375
1528879656537583,-1.8125,0.0625,-0.375
1528879656547556,-2.8125,0.25,-0.5625
1528879656550550,-4.0625,0.4375,-0.6875
1528879656568527,-5.1875,0.6875,-0.75
1528879656582511,-5.5,0.8125,-1.0625
1528879656612430,-5.5,0.8125,-1.125
1528879656629339,-5.0625,0.6875,-0.875
1528879656642303,-5.5625,0.4375,-1
1528879656665243,-6.0625,-0.125,-1.3125
1528879656688183,-4.5625,-0.8125,-1.125
1528879656703142,-2.4375,-1.1875,-0.875
1528879656725098,-1.5,-1.1875,-0.6875
1528879656748035,-0.875,-1.3125,-0.1875
1528879656762984,0.5625,-1.5,0.25
1528879656784965,2.75,-1.5625,1.0625
1528879656807906,5.9375,-1.75,1.3125
1528879656823818,8.25,-1.5,1.25
1528879656844814,9.8125,-1.0625,1.5625
1528879656867747,9.3125,-0.5,1.75
1528879656891638,7.75,0.25,2.125
1528879656905627,6.5625,1.1875,2.625
1528879656927564,6.375,2.1875,3.25
1528879656944496,6.1875,3,3.625
1528879656965440,6.1875,3.5625,3.75
1528879656987381,6.4375,3.8125,3.6875
1528879657004336,5.6875,3.5625,3.375
1528879657025280,4.3125,3.375,2.5625
1528879657048219,3.125,2.875,2
1528879657064176,2,2.75,1.1875
1528879657085156,0.8125,2.625,0.75
1528879657108058,-2.3125,3.1875,0.0625
1528879657124023,-7.1875,4.625,-0.5
1528879657145990,-11.625,5.25,-0.625
1528879657170892,-14.6875,5.5,-0.25
1528879657185851,-15.6875,5.75,-0.1875
1528879657204833,-15.6875,6.125,0.3125
1528879657227738,-15.125,5.9375,0.8125
1528879657245692,-21.6875,7.4375,1.625
1528879657265644,-32.25,10.3125,3.125
1528879657287581,-34.5,14.6875,5.75
1528879657305535,-41.5625,20.125,7.875
1528879657325909,-43.5625,30.3125,10.75
1528879657348525,-31.625,41.9375,17.5625
1528879657366547,-21.3125,52.4375,19.375
1528879657385766,-16.5625,66.9375,19.375
1528879657408529,-16.375,87.25,23.875
1528879657430617,-12.875,109.625,29.125
1528879657448331,-5,132.438,31.3125
1528879657467309,-8.4375,160,36.25
1528879657485547,-19.5625,188.125,46.6875
1528879657505418,-24.5,209.125,58.3125
1528879657529167,-24.375,233.5,70.6875
1528879657544360,-23,257.438,86.875
1528879657567867,-20.125,276.875,104.125
1528879657589073,-11.0625,289.875,122.313
1528879657605014,4.9375,297,143.688
1528879657627758,13.8125,300.188,160.625
1528879657649232,16.5,298.375,171.625
1528879657664256,21.3125,282.688,185.375
1528879657686906,31.875,255.875,199.188
1528879657709864,36.0625,220.063,207.125
1528879657724862,45.375,183.438,208.125
1528879657747744,53.4375,151,208.5
1528879657769828,54.0625,113.313,207.375
1528879657790677,54.75,77.125,199.813
1528879657807585,51.25,38.375,195.25
1528879657829579,45.3125,-4.4375,192.438
1528879657851494,34.625,-40.75,180
1528879657867438,22.125,-65.125,164.438
1528879657890373,18.9375,-81,151.375
1528879657911307,23.6875,-98.6875,133.75
1528879657927278,25.125,-114.188,120.188
1528879657950261,20.25,-119.688,104.188
1528879657971174,31.25,-116.625,92.4375
1528879657987105,32.8125,-112.313,75.125
1528879658010049,10.9375,-85.3125,55.8125
1528879658031041,-1.8125,-48.1875,24.4375
1528879658046943,9.5625,-12.25,4.125
1528879658069894,12.125,20.9375,-16.25
1528879658090828,-11.8125,38.4375,-29.6875
1528879658107997,-25.625,40.8125,-32.6875
1528879658130863,-15.375,40.9375,-29.0625
1528879658151696,6.625,49.0625,-31.5
1528879658167539,25.625,63.75,-34.5
1528879658190679,26.5625,72.125,-30.125
1528879658211681,18.8125,79,-28.625
1528879658227682,10.0625,79.5,-22.0625
1528879658250768,4.875,76.0625,-15.9375
1528879658271674,6.9375,68,-10.9375
1528879658287548,12.4375,54.5625,-2.75
1528879658309480,13.25,37.6875,5.4375
1528879658331668,6.875,19.6875,12.125
1528879658355184,-4.3125,0.5,18.375
1528879658370145,-14.0625,-21.9375,23.125
1528879658391350,-18.8125,-42.625,25.5625
1528879658407308,-22.625,-59.8125,23.1875
1528879658429843,-24.4375,-73.1875,23
1528879658451460,-24.75,-84.3125,24.75
1528879658467143,-24.5625,-91.4375,24.5
1528879658490081,-26.1875,-96.0625,22.25
1528879658511056,-25.25,-99.3125,17.4375
1528879658526983,-16,-93,12.3125
1528879658557913,-9.625,-87.0625,10.25
1528879658570865,-11.0625,-80.25,6.1875
1528879658587124,-10.625,-53.875,8.125
1528879658610063,0,-25.5625,0.1875
1528879658632306,7.125,7.4375,-8.0625
1528879658647543,-5.8125,27,-11.75
1528879658669957,-27.5,30.1875,-11.0625
1528879658691936,-27.25,30.125,-8.875
1528879658713877,-10.375,24.375,-7.5625
1528879658730270,4.5,22.25,-11.9375
1528879658752450,4.1875,22.875,-15.6875
1528879658774268,-2.5,24.875,-21.9375
1528879658790056,-11,24.625,-26.3125
1528879658812347,-14.625,24.625,-36.125
1528879658835501,-18.4375,24.5,-47.0625
1528879658850465,-23.6875,21.125,-53.6875
1528879658873148,-27.1875,14.25,-60.875
1528879658894197,-30.125,5.1875,-66.375
1528879658909515,-33.4375,-3.625,-72.3125
1528879658932408,-37.8125,-12.875,-77.75
1528879658953361,-45.25,-23.6875,-82.125
1528879658970307,-54.625,-34.3125,-87.5625
1528879658992247,-60.6875,-45.5,-90.9375
1528879659013192,-62.3125,-57.4375,-95.5
1528879659037154,-65.875,-71.75,-99.8125
1528879659052316,-72.1875,-87.625,-102.688
1528879659074062,-71.5,-104,-105.188
1528879659090578,-66.5,-120.688,-107.313
1528879659113329,-59.375,-139.875,-108.563
1528879659133276,-61.375,-155.438,-111.125
1528879659150230,-59.4375,-170.125,-114.125
1528879659172172,-59.4375,-182.875,-115.188
1528879659193116,-53.6875,-190,-114.5
1528879659210071,-43.75,-192.813,-111.688
1528879659239182,-36.5625,-196.063,-109.125
1528879659253248,-31.4375,-193.313,-105.563
1528879659270179,-32.5,-189.438,-103
1528879659293232,-29.1875,-187.625,-100.875
1528879659313137,-29.1875,-185.938,-99.1875
1528879659329162,-29.875,-179,-95.75
1528879659352301,-30.1875,-167.188,-88.75
1528879659374156,-27,-159.75,-83
1528879659389522,-26.8125,-154.938,-79.625
1528879659412446,-27.0625,-147.375,-80.125
1528879659433957,-20.0625,-139.438,-80.625
1528879659450006,-9.0625,-128.625,-78.4375
1528879659472469,-4.6875,-113,-71.125
1528879659494329,-13.5,-98.0625,-59.4375
1528879659517329,-30.5,-84.125,-47.25
1528879659533189,-45,-69.5625,-37.6875
1528879659552974,-52.75,-54.75,-29.125
1528879659569178,-51.125,-41.375,-20.9375
1528879659593226,-41.4375,-30.5,-14.1875
1528879659615119,-28.375,-21.875,-8.625
1528879659629180,-16.125,-15,-4.75
1528879659652268,-8.125,-9.5,-1.5625
1528879659674920,-4.8125,-4.6875,1
1528879659695665,-4.6875,-0.625,3.375
1528879659719650,-6.4375,3.625,5.75
1528879659734621,-7.0625,6.6875,7.5625
1528879659749569,-8.3125,10.1875,8.75
1528879659772508,-8.875,13.75,8.9375
1528879659795774,-9.0625,17.125,9.875
1528879659816711,-8.6875,19.625,10.25
1528879659832261,-9.125,21.25,10.625
1528879659855211,-9.125,22.3125,10.9375
1528879659876174,-8.5625,23.1875,11.4375
