timestamp,x,y,z,w
1529295514906660,0.483337,0.401245,0.499207,-0.596802
1529295514921616,0.483398,0.401001,0.498901,-0.597168
1529295514945551,0.483459,0.400879,0.498535,-0.597473
1529295514966494,0.483521,0.400757,0.49823,-0.597778
1529295514981453,0.483582,0.400635,0.498047,-0.597961
1529295515005416,0.483582,0.400574,0.497925,-0.598083
1529295515056256,0.483643,0.400513,0.497803,-0.598206
1529295515065242,0.483643,0.400513,0.497803,-0.598206
1529295515072212,0.483521,0.400635,0.497681,-0.598267
1529295515109113,0.483215,0.40094,0.49762,-0.598389
1529295515124073,0.482971,0.401367,0.497498,-0.598389
1529295515146013,0.482788,0.401733,0.497498,-0.598328
1529295515160974,0.482666,0.402039,0.497498,-0.598206
1529295515183913,0.482361,0.402466,0.497559,-0.598145
1529295515206859,0.482056,0.402893,0.497559,-0.598083
1529295515228794,0.481934,0.403198,0.497681,-0.5979
1529295515243753,0.481812,0.403442,0.497742,-0.597778
1529295515266692,0.481689,0.403687,0.497742,-0.597656
1529295515288633,0.481506,0.403992,0.497742,-0.597595
1529295515303593,0.481323,0.404175,0.497803,-0.597595
1529295515333513,0.481201,0.404358,0.497803,-0.597595
1529295515348473,0.481201,0.404358,0.497803,-0.597595
1529295515356451,0.48114,0.403809,0.49762,-0.598145
1529295515386374,0.48114,0.402222,0.496277,-0.600281
1529295515408340,0.481445,0.397644,0.493225,-0.605591
1529295515431252,0.483643,0.387878,0.487122,-0.615112
1529295515454192,0.48877,0.372131,0.47699,-0.628479
1529295515469177,0.493958,0.351746,0.465454,-0.644653
1529295515499107,0.496643,0.328552,0.452271,-0.66394
1529295515535972,0.489868,0.276794,0.419006,-0.712646
1529295515550932,0.48468,0.245972,0.39978,-0.738037
1529295515588867,0.485657,0.170898,0.358276,-0.778809
1529295515610788,0.494873,0.130371,0.334106,-0.791504
1529295515648670,0.523193,0.059021,0.274841,-0.804504
1529295515678592,0.536072,0.032959,0.240906,-0.808411
1529295515716526,0.550842,0.00195313,0.171631,-0.816772
1529295515738467,0.553406,-0.00274658,0.135803,-0.821777
1529295515791289,0.553345,0.00372314,0.0455322,-0.831726
1529295515829261,0.556335,0.0261841,0.0169067,-0.830383
1529295515852180,0.552124,0.0428467,0.0113525,-0.832581
1529295515889287,0.530334,0.0836792,0.00628662,-0.843628
1529295515910988,0.522827,0.104919,0.000183105,-0.845947
1529295515949119,0.499634,0.161926,-0.00640869,-0.850952
1529295515970853,0.474976,0.189758,0.010376,-0.859253
1529295516009099,0.461548,0.188354,0.015564,-0.86676
1529295516031902,0.480225,0.193237,0.0176392,-0.855408
1529295516076539,0.490417,0.206299,0.0194702,-0.846497
1529295516129364,0.453186,0.205811,0.00756836,-0.86731
1529295516150957,0.456482,0.200745,0.00543213,-0.86676
1529295516189565,0.47052,0.18158,0.00323486,-0.863525
1529295516211378,0.473694,0.169495,-0.000366211,-0.864197
1529295516249550,0.474854,0.139771,-0.00354004,-0.868896
1529295516271479,0.473572,0.123291,-0.000427246,-0.87207
1529295516308380,0.474915,0.0871582,0.0180664,-0.875549
1529295516331356,0.480469,0.0700073,0.0333862,-0.873596
1529295516354261,0.487427,0.0540771,0.0521851,-0.869934
1529295516376198,0.493774,0.0390625,0.0748901,-0.865479
1529295516391169,0.500366,0.0256958,0.100952,-0.859497
1529295516406117,0.509216,0.0149536,0.129272,-0.850769
1529295516429057,0.520203,0.00610352,0.158081,-0.839294
1529295516444021,0.530945,-0.00292969,0.185303,-0.826904
1529295516466012,0.541809,-0.0116577,0.210571,-0.813599
1529295516488952,0.551758,-0.0189209,0.234558,-0.80011
1529295516511836,0.562256,-0.0239868,0.258667,-0.785095
1529295516525831,0.571289,-0.0269775,0.279602,-0.771179
1529295516548791,0.573486,-0.0292358,0.294922,-0.763733
1529295516563695,0.571899,-0.0275879,0.308105,-0.759766
1529295516586634,0.573792,-0.0227051,0.321289,-0.752991
1529295516608575,0.580566,-0.0150757,0.333313,-0.742737
