timestamp,x,y,z,w
1528878260976784,-0.347229,-0.491394,-0.488159,0.632202
1528878260991750,-0.340027,-0.487549,-0.494507,0.634155
1528878261015677,-0.329346,-0.484436,-0.501038,0.637024
1528878261036621,-0.316528,-0.481323,-0.50885,0.639771
1528878261051582,-0.301331,-0.477234,-0.518005,0.642761
1528878261075518,-0.285217,-0.471069,-0.529175,0.64563
1528878261122392,-0.269348,-0.463135,-0.541016,0.648315
1528878261126382,-0.252625,-0.453491,-0.554199,0.650757
1528878261167285,-0.234558,-0.441772,-0.568359,0.65332
1528878261186221,-0.214355,-0.429077,-0.582947,0.655823
1528878261212156,-0.192261,-0.41571,-0.597717,0.65802
1528878261232099,-0.168457,-0.401123,-0.613464,0.659119
1528878261254040,-0.142639,-0.384705,-0.630432,0.658936
1528878261269000,-0.115356,-0.366272,-0.648865,0.656921
1528878261291958,-0.0856934,-0.347961,-0.666992,0.653198
1528878261316892,-0.0551758,-0.329834,-0.68457,0.647705
1528878261328842,-0.0239868,-0.311035,-0.702576,0.639587
1528878261351779,0.00708008,-0.290344,-0.721252,0.628906
1528878261374717,0.0377808,-0.267761,-0.739441,0.616516
1528878261388680,0.0665894,-0.242798,-0.757141,0.602844
1528878261411671,0.0931396,-0.213684,-0.774597,0.587952
1528878261426579,0.118469,-0.184753,-0.790466,0.571838
1528878261434558,0.143127,-0.15802,-0.804688,0.554138
1528878261471477,0.165527,-0.132385,-0.817932,0.53479
1528878261494410,0.183777,-0.108582,-0.829468,0.516174
1528878261531299,0.210022,-0.0747681,-0.847473,0.481812
1528878261554242,0.218811,-0.0635376,-0.854797,0.466309
1528878261591140,0.228516,-0.0435181,-0.864136,0.44635
1528878261607103,0.232544,-0.0396729,-0.863647,0.445496
1528878261629081,0.231079,-0.0321655,-0.861511,0.450928
1528878261644017,0.227905,-0.0281982,-0.860168,0.455444
1528878261666988,0.224365,-0.0234985,-0.858887,0.459778
1528878261688879,0.222229,-0.0106201,-0.856567,0.465637
1528878261703839,0.223145,0.00213623,-0.853821,0.470337
1528878261726815,0.226624,0.0119629,-0.850159,0.475159
1528878261748718,0.231628,0.0197144,-0.846008,0.479858
1528878261763678,0.237854,0.0270386,-0.841431,0.484497
1528878261786616,0.245239,0.0338745,-0.836243,0.489319
1528878261809587,0.254211,0.0409546,-0.830383,0.494141
1528878261824517,0.264099,0.0480347,-0.824219,0.498596
1528878261846458,0.274292,0.053894,-0.818604,0.50177
1528878261876769,0.283325,0.0595703,-0.813721,0.504028
1528878261891476,0.290833,0.0664063,-0.80957,0.505615
1528878261906838,0.29718,0.0728149,-0.805359,0.50769
1528878261929663,0.303162,0.0776978,-0.800232,0.511475
1528878261944623,0.306641,0.0795288,-0.796204,0.515442
1528878261966610,0.308777,0.0759888,-0.794434,0.517456
1528878261989549,0.309021,0.0714111,-0.794312,0.518127
1528878262004472,0.308838,0.0679321,-0.795288,0.517212
1528878262026446,0.308289,0.0663452,-0.796814,0.515381
1528878262049384,0.306824,0.0661621,-0.799377,0.512329
1528878262064326,0.304504,0.065979,-0.802307,0.509094
1528878262086254,0.302185,0.0611572,-0.80481,0.507141
1528878262109178,0.299866,0.0480957,-0.805908,0.508179
1528878262124195,0.292297,0.026123,-0.806885,0.512634
1528878262147076,0.280518,-0.000427246,-0.807495,0.51886
1528878262169072,0.264709,-0.0294189,-0.806641,0.527649
1528878262184033,0.244263,-0.0588989,-0.804504,0.538147
1528878262206969,0.21814,-0.086731,-0.802612,0.54834
1528878262228857,0.187256,-0.113831,-0.800049,0.558472
1528878262243817,0.155457,-0.140198,-0.796143,0.567749
1528878262266756,0.117493,-0.160217,-0.792297,0.576904
1528878262289835,0.0731812,-0.170654,-0.791626,0.582092
1528878262304335,0.0269165,-0.176697,-0.791748,0.584167
1528878262327466,-0.0200195,-0.185913,-0.787842,0.586792
1528878262349207,-0.0698853,-0.196045,-0.782959,0.586243
1528878262364115,-0.11908,-0.202881,-0.780518,0.579224
1528878262386644,-0.169495,-0.202087,-0.778442,0.569641
1528878262409076,-0.223755,-0.192261,-0.77417,0.560059
1528878262424417,-0.277161,-0.177734,-0.76825,0.549072
1528878262446985,-0.328064,-0.162476,-0.761963,0.534241
1528878262469803,-0.375732,-0.145264,-0.755798,0.516235
1528878262483792,-0.417175,-0.12616,-0.750305,0.497192
1528878262507126,-0.448853,-0.108643,-0.746338,0.47937
1528878262529610,-0.467834,-0.100281,-0.743469,0.467285
1528878262544988,-0.47876,-0.0998535,-0.739258,0.463013
1528878262566988,-0.479187,-0.109924,-0.735962,0.465576
1528878262589820,-0.469055,-0.122498,-0.735901,0.472778
1528878262604906,-0.465332,-0.128113,-0.737427,0.472534
1528878262627007,-0.466309,-0.127686,-0.738953,0.469299
1528878262649887,-0.467957,-0.12561,-0.738464,0.469055
1528878262663970,-0.463013,-0.129883,-0.73822,0.473083
1528878262687372,-0.455566,-0.135864,-0.739014,0.477356
1528878262709908,-0.452209,-0.136169,-0.74054,0.478149
1528878262724899,-0.452148,-0.131348,-0.741577,0.477966
1528878262746916,-0.453552,-0.12616,-0.741943,0.477417
1528878262769857,-0.454346,-0.125061,-0.741211,0.478027
1528878262784478,-0.454163,-0.126343,-0.739319,0.480896
1528878262807404,-0.45343,-0.12854,-0.737061,0.484375
1528878262829284,-0.453979,-0.130859,-0.734131,0.487732
1528878262844477,-0.455505,-0.133057,-0.730652,0.490906
1528878262867312,-0.45636,-0.13562,-0.727356,0.494324
1528878262889608,-0.455322,-0.140198,-0.724609,0.498047
1528878262904405,-0.452881,-0.146179,-0.722839,0.501099
1528878262927377,-0.450439,-0.151001,-0.722412,0.502441
1528878262950063,-0.448975,-0.153076,-0.723145,0.502075
1528878262964016,-0.448364,-0.152588,-0.724731,0.500488
1528878262986434,-0.447327,-0.151733,-0.726563,0.499084
1528878263009634,-0.444885,-0.152832,-0.728149,0.498535
1528878263024900,-0.440674,-0.157898,-0.729431,0.49884
1528878263046856,-0.434265,-0.16687,-0.730164,0.500488
1528878263069232,-0.425964,-0.179504,-0.730225,0.503174
1528878263091801,-0.415039,-0.19397,-0.729553,0.507874
1528878263107255,-0.402954,-0.211182,-0.72699,0.514404
1528878263129650,-0.390198,-0.230469,-0.722534,0.522156
1528878263151686,-0.377869,-0.251465,-0.716125,0.530273
1528878263167212,-0.367737,-0.271667,-0.708252,0.537903
1528878263189775,-0.359802,-0.290344,-0.698975,0.545654
1528878263212306,-0.353394,-0.3078,-0.688416,0.55365
1528878263226931,-0.347717,-0.325073,-0.676392,0.562134
1528878263248930,-0.342712,-0.342529,-0.662537,0.571228
1528878263271835,-0.338684,-0.360229,-0.647095,0.580383
1528878263286794,-0.336731,-0.377075,-0.63031,0.589233
1528878263308736,-0.33728,-0.392639,-0.61261,0.59729
1528878263331675,-0.338623,-0.407837,-0.594482,0.604675
1528878263346646,-0.340942,-0.422607,-0.5755,0.611572
1528878263369573,-0.343567,-0.437073,-0.55603,0.61792
1528878263391514,-0.346619,-0.450745,-0.536499,0.623596
1528878263406474,-0.350281,-0.46344,-0.51709,0.628662
1528878263429413,-0.354553,-0.474976,-0.497925,0.633057
1528878263451355,-0.359253,-0.485229,-0.479614,0.63678
1528878263466317,-0.364258,-0.494141,-0.462708,0.639648
1528878263489309,-0.369202,-0.501343,-0.447815,0.641724
1528878263511250,-0.373901,-0.506714,-0.435547,0.64325
1528878263526210,-0.377625,-0.51062,-0.425842,0.64447
1528878263549149,-0.379761,-0.513428,-0.418762,0.645691
1528878263572387,-0.380188,-0.515198,-0.414612,0.646667
1528878263586618,-0.379028,-0.516052,-0.412781,0.647827
1528878263609907,-0.376282,-0.516174,-0.412842,0.649292
1528878263632489,-0.37262,-0.51593,-0.414063,0.650818
1528878263646473,-0.368225,-0.515259,-0.415955,0.652588
1528878263669179,-0.363159,-0.514648,-0.417847,0.654785
1528878263692362,-0.357422,-0.513916,-0.419434,0.657471
1528878263707048,-0.351074,-0.513123,-0.420898,0.660583
1528878263729251,-0.344543,-0.512268,-0.422546,0.663635
1528878263752271,-0.338257,-0.51123,-0.424438,0.666382
1528878263767235,-0.332397,-0.509827,-0.426636,0.669006
1528878263789827,-0.326599,-0.508057,-0.429016,0.671692
1528878263812353,-0.320801,-0.506409,-0.431458,0.674133
1528878263827136,-0.315308,-0.504883,-0.434021,0.67627
1528878263850005,-0.310425,-0.503235,-0.436768,0.67804
1528878263871750,-0.306335,-0.501465,-0.439575,0.679321
1528878263886543,-0.302795,-0.499573,-0.442566,0.680359
