timestamp,x,y,z
1529299167317688,0.928223,-0.288086,0.233887
1529299167333645,0.924805,-0.281738,0.239746
1529299167354590,0.922852,-0.282227,0.23291
1529299167379549,0.928223,-0.283691,0.240234
1529299167394485,0.92334,-0.283691,0.239258
1529299167414442,0.92334,-0.28418,0.242188
1529299167440361,0.92627,-0.27832,0.242188
1529299167490226,0.929199,-0.274902,0.23291
1529299167497209,0.925293,-0.272461,0.234863
1529299167505225,0.93457,-0.236816,0.239746
1529299167542088,0.937988,-0.248535,0.24707
1529299167557048,0.929688,-0.269531,0.249512
1529299167580014,0.932129,-0.282715,0.249512
1529299167594963,0.924805,-0.294434,0.248047
1529299167616888,0.942871,-0.27002,0.246094
1529299167639826,0.955078,-0.274902,0.277344
1529299167662766,0.970215,-0.294922,0.307617
1529299167680717,0.962402,-0.337402,0.310547
1529299167699667,0.94873,-0.414063,0.306641
1529299167722605,0.928711,-0.470703,0.296387
1529299167737566,0.903809,-0.505371,0.302734
1529299167759508,0.875,-0.573242,0.282715
1529299167782447,0.859375,-0.651855,0.300781
1529299167789426,0.869629,-0.692871,0.296875
1529299167819393,0.858398,-0.734375,0.29541
1529299167842286,0.825195,-0.833008,0.30957
1529299167857275,0.757813,-0.860352,0.303223
1529299167880237,0.652344,-0.867188,0.29834
1529299167902158,0.536133,-0.912598,0.312012
1529299167917086,0.402344,-0.935547,0.364258
1529299167940024,0.216797,-0.972168,0.397461
1529299167961966,0.151855,-0.943359,0.378906
1529299167976926,0.0292969,-0.860352,0.470215
1529299167999866,-0.00732422,-0.881348,0.479004
1529299168021806,-0.015625,-0.893066,0.475586
1529299168036768,-0.119629,-0.850586,0.522461
1529299168059705,-0.114258,-0.88623,0.525391
1529299168082645,-0.097168,-0.918457,0.487305
1529299168104586,-0.110352,-0.933105,0.536133
1529299168119545,-0.146973,-0.910645,0.472656
1529299168142485,-0.200195,-0.911133,0.49707
1529299168157447,-0.148926,-0.849121,0.499512
1529299168179385,-0.209961,-0.872559,0.510254
1529299168202327,-0.249023,-0.83252,0.520508
1529299168224813,-0.282227,-0.790039,0.500488
1529299168240514,-0.375488,-0.734375,0.508301
1529299168262490,-0.365234,-0.691406,0.474121
1529299168285535,-0.393066,-0.705566,0.486816
1529299168300359,-0.400879,-0.73291,0.499023
1529299168322889,-0.433594,-0.723145,0.499023
1529299168344648,-0.453125,-0.742676,0.477539
1529299168359602,-0.469727,-0.77832,0.478516
1529299168382541,-0.513672,-0.794922,0.49707
1529299168404482,-0.586914,-0.736816,0.505371
1529299168419675,-0.661621,-0.618164,0.477051
1529299168442926,-0.619629,-0.511719,0.444824
1529299168464860,-0.60498,-0.502441,0.457031
1529299168479589,-0.605957,-0.54541,0.461426
1529299168502801,-0.592773,-0.593262,0.433594
1529299168525488,-0.576172,-0.640137,0.431152
1529299168539957,-0.541992,-0.66748,0.45459
1529299168562820,-0.535156,-0.710938,0.47168
1529299168585061,-0.550293,-0.733398,0.484863
1529299168599946,-0.605957,-0.71875,0.496582
1529299168623010,-0.651367,-0.718262,0.491699
1529299168644954,-0.678223,-0.698242,0.495117
1529299168659915,-0.675293,-0.686523,0.490234
1529299168683004,-0.64209,-0.663574,0.504395
1529299168704794,-0.615234,-0.67627,0.50293
1529299168719993,-0.553223,-0.680664,0.497559
1529299168742904,-0.493652,-0.691895,0.488281
1529299168764897,-0.430176,-0.679199,0.475098
1529299168779856,-0.402344,-0.666992,0.480957
1529299168802951,-0.365234,-0.685547,0.47168
1529299168825467,-0.317871,-0.702148,0.466797
1529299168862839,-0.291504,-0.706055,0.470215
1529299168885636,-0.297363,-0.760742,0.479492
1529299168922743,-0.193359,-0.836914,0.488281
1529299168945492,-0.174316,-0.856445,0.501465
1529299168982953,-0.102539,-0.804199,0.495117
1529299169004585,-0.0283203,-0.826172,0.499512
1529299169034451,0.0986328,-0.977051,0.489258
1529299169057442,0.147949,-0.989258,0.494629
1529299169079385,0.177246,-0.931152,0.503906
1529299169094291,0.29248,-0.891602,0.51416
