timestamp,roll,pitch,yaw
1529309689668659,1.15627,-1.33428,1.23589
1529309689691597,1.1546,-1.33407,1.23862
1529309689716530,1.15642,-1.33417,1.23968
1529309689731490,1.15838,-1.33399,1.24086
1529309689751440,1.16053,-1.3341,1.24223
1529309689777368,1.16086,-1.33398,1.24404
1529309689822248,1.16156,-1.33407,1.24549
1529309689827235,1.16199,-1.33399,1.24674
1529309689867129,1.16236,-1.3346,1.24941
1529309689886078,1.16236,-1.33471,1.25163
1529309689911011,1.16148,-1.33458,1.2537
1529309689930958,1.16035,-1.33455,1.25619
1529309689968857,1.15774,-1.33432,1.26081
1529309689990797,1.15639,-1.33403,1.26372
1529309690028697,1.15465,-1.33338,1.26974
1529309690050637,1.15276,-1.33285,1.27485
1529309690088536,1.13277,-1.33062,1.31121
1529309690111475,1.11134,-1.32684,1.35044
1529309690126435,1.08257,-1.31956,1.40056
1529309690133416,1.06864,-1.30488,1.44655
1529309690163336,1.084,-1.27446,1.47514
1529309690186275,1.11426,-1.23331,1.50091
1529309690208216,1.1478,-1.17952,1.52598
1529309690223176,1.18542,-1.11781,1.54466
1529309690246115,1.22484,-1.04472,1.5629
1529309690269054,1.25348,-0.960283,1.58082
1529309690284027,1.25468,-0.868938,1.60265
1529309690305954,1.23916,-0.774064,1.62423
1529309690328893,1.2179,-0.674279,1.64348
1529309690343866,1.20019,-0.568942,1.65629
1529309690365795,1.18897,-0.457796,1.67022
1529309690388733,1.18526,-0.341958,1.6777
1529309690403694,1.18522,-0.223273,1.67982
1529309690425634,1.18482,-0.106557,1.67735
1529309690448574,1.17684,0.00907207,1.67058
1529309690464532,1.15899,0.1208,1.66127
1529309690486472,1.1373,0.226739,1.65062
1529309690501433,1.11807,0.326135,1.6362
1529309690523373,1.10163,0.418344,1.61961
1529309690546313,1.08672,0.500519,1.60091
1529309690568254,1.07303,0.570484,1.57858
1529309690583214,1.06311,0.629446,1.5567
1529309690621112,1.05186,0.676373,1.53669
1529309690643203,1.0406,0.71248,1.51716
1529309690658163,1.02934,0.742203,1.49811
1529309690666152,1.01458,0.766232,1.47501
1529309690689080,1.00178,0.779932,1.4573
1529309690704041,0.994556,0.784176,1.44287
1529309690733430,0.986907,0.785604,1.43048
1529309690755643,0.98174,0.790603,1.42093
1529309690770603,0.985503,0.798019,1.41934
1529309690786560,0.990298,0.808701,1.41623
1529309690808885,0.996526,0.81615,1.40721
1529309690824065,1.00341,0.819612,1.40604
1529309690846833,1.00598,0.816484,1.4099
1529309690868806,1.00552,0.810414,1.40642
1529309690883739,0.994527,0.806763,1.39763
1529309690913659,0.992346,0.812088,1.39084
1529309690936594,0.99591,0.817293,1.39295
1529309690951554,0.996777,0.823019,1.39989
1529309690966519,0.996183,0.83033,1.40703
1529309690996491,1.00085,0.834442,1.41714
1529309691011449,0.995683,0.833017,1.41984
1529309691033337,0.981492,0.829671,1.40811
1529309691048348,0.970277,0.826217,1.39075
1529309691063309,0.965984,0.829681,1.38067
1529309691086250,0.962919,0.838396,1.37114
1529309691108190,0.964483,0.846111,1.36399
1529309691124120,0.965468,0.850398,1.36173
1529309691146034,0.97378,0.853063,1.36308
1529309691169016,0.987915,0.852806,1.36737
1529309691183935,1.00525,0.847496,1.37747
1529309691205874,1.01849,0.835789,1.38835
1529309691243813,1.03102,0.817554,1.39825
1529309691258734,1.04103,0.793212,1.40278
1529309691280676,1.05045,0.76239,1.40455
1529309691303646,1.06923,0.680878,1.40678
1529309691326826,1.07385,0.631248,1.40508
1529309691348541,1.07807,0.572697,1.40203
1529309691364474,1.09047,0.501945,1.40217
1529309691386632,1.10537,0.423252,1.40214
1529309691408676,1.11697,0.34111,1.39919
1529309691423533,1.12696,0.254609,1.39462
1529309691446497,1.14003,0.158852,1.39364
1529309691469183,1.15935,0.0545294,1.39538
1529309691484130,1.18057,-0.0444509,1.39753
1529309691506103,1.19749,-0.140756,1.40323
1529309691529258,1.21419,-0.229642,1.41285
1529309691544211,1.22853,-0.307776,1.42197
1529309691565917,1.22953,-0.382155,1.43629
1529309691588906,1.2276,-0.463506,1.4429
1529309691604184,1.239,-0.552459,1.44102
1529309691626838,1.25334,-0.650513,1.43725
1529309691649261,1.24026,-0.75319,1.43794
1529309691664194,1.20742,-0.850609,1.43864
1529309691685895,1.17751,-0.939247,1.43526
1529309691708627,1.15332,-1.02194,1.42969
1529309691731640,1.12053,-1.09393,1.42971
1529309691746508,1.08011,-1.15239,1.43098
1529309691776536,1.03564,-1.19897,1.44072
1529309691799031,0.971757,-1.24056,1.48291
1529309691813993,0.915518,-1.26716,1.54448
1529309691829192,0.928474,-1.27825,1.57186
1529309691851921,0.957944,-1.28355,1.58933
1529309691866365,0.992325,-1.28442,1.6011
1529309691889052,1.01965,-1.2828,1.61161
1529309691911727,1.04462,-1.28045,1.61198
1529309691926851,1.06236,-1.2783,1.60719
1529309691948926,1.0731,-1.27576,1.59824
1529309691970934,1.07795,-1.27262,1.58653
1529309691985923,1.08184,-1.26907,1.57379
1529309692009064,1.08769,-1.26472,1.55887
1529309692031827,1.08906,-1.2606,1.5429
1529309692046324,1.08177,-1.25676,1.53003
1529309692069307,1.0688,-1.25448,1.5199
1529309692091255,1.05463,-1.25355,1.51007
1529309692106460,1.04148,-1.25404,1.50228
1529309692128649,1.03244,-1.2543,1.49705
1529309692151723,1.03186,-1.25412,1.49084
1529309692165670,1.0359,-1.25364,1.48257
1529309692188876,1.04459,-1.25317,1.47214
1529309692210837,1.05459,-1.25274,1.46095
1529309692226761,1.06346,-1.25229,1.44825
1529309692248926,1.06829,-1.25239,1.43636
1529309692271787,1.07062,-1.25275,1.4244
1529309692286822,1.07322,-1.25381,1.41261
1529309692309350,1.07658,-1.25574,1.40068
1529309692339272,1.07945,-1.25807,1.3892
1529309692354344,1.081,-1.26066,1.38038
1529309692376350,1.08253,-1.26377,1.37345
1529309692391334,1.08476,-1.26691,1.36721
1529309692406267,1.08746,-1.27052,1.36223
1529309692429309,1.0894,-1.27455,1.35945
1529309692451148,1.09069,-1.27801,1.3576
1529309692466523,1.09253,-1.28165,1.35775
1529309692488906,1.09494,-1.2848,1.35771
1529309692511948,1.09596,-1.28797,1.35933
1529309692526173,1.0959,-1.29133,1.36352
1529309692548664,1.09558,-1.2941,1.36844
