timestamp,x,y,z
1529286438630437,1.3125,4.3125,-4.0625
1529286438647391,6.3125,4.75,5.5625
1529286438667338,17.75,4,16.1875
1529286438692271,20,6.4375,27.3125
1529286438705239,31.5,16.9375,42.125
1529286438727178,37,24.875,64.125
1529286438750117,38.9375,31.8125,84.25
1529286438782032,2.25,42.3125,95.125
1529286438808960,-51.4375,43.1875,110.625
1529286438832896,-56.25,49.875,126.125
1529286438853840,-24.1875,64.6875,153.375
1529286438876778,-1.3125,79.3125,179.5
1529286438898722,-7.3125,91.375,202.875
1529286438922658,-9.6875,101.188,230.563
1529286438944597,-2.375,113.313,250.25
1529286438966539,23.3125,116.438,267.875
1529286438981499,56.1875,125.563,288.375
1529286439004439,74.0625,135.188,303
1529286439028373,74.8125,144.625,313.563
1529286439041341,81.375,150.625,322
1529286439064277,92.1875,148.75,326.063
1529286439086219,95.75,143.625,325.313
1529286439094197,90.5,143.375,320.875
1529286439124117,95.3125,138.75,317.375
1529286439147056,95.375,130.438,297.938
1529286439162016,77.875,119.688,274.938
1529286439183957,69.4375,111.063,252.063
1529286439206895,74.9375,101.688,226.25
1529286439228837,81.9375,92.8125,199.563
1529286439251776,68.1875,80.75,172.875
1529286439273717,45.125,68.5625,143
1529286439304635,46.9375,47.6875,87.4375
1529286439334555,28.9375,34.625,58.8125
1529286439356496,17.3125,23.8125,30.6875
1529286439371456,15.3125,17.5,8.625
1529286439386416,6.25,9.4375,-6.1875
1529286439409354,-7.0625,-1.375,-16.8125
1529286439431328,-12.125,-11.5,-21.5625
1529286439454281,-34.3125,-16.75,-28.125
1529286439484190,-65.6875,-9.4375,-8.75
1529286439507093,-46.0625,5.5,11.6875
1529286439529068,-32.0625,15.625,22.875
1529286439543996,-34.3125,9.5625,24.875
1529286439566969,-18.375,-0.75,25.8125
1529286439588908,-9.75,-0.0625,16.0625
1529286439603837,-11.0625,8,-13.5
1529286439633754,-38.125,2.75,-37.1875
1529286439663674,-35.6875,-2.625,-48.125
1529286439678662,6,-7.4375,-37.9375
1529286439694595,22.375,-16.625,-17.6875
1529286439724512,-39.3125,-13.9375,1.625
1529286439746456,-45.125,-5.75,8.125
1529286439769412,-26.0625,0.8125,8.25
1529286439784354,-4,0.9375,3.5
1529286439806326,9.125,-1.75,-4.3125
1529286439829455,10.625,-6.8125,-14.875
1529286439844415,8.625,-13.1875,-22.9375
1529286439866809,3.9375,-18.9375,-30.5625
1529286439889722,-0.8125,-25.1875,-37.625
1529286439904824,-3.375,-31.75,-46.4375
1529286439927294,-4.8125,-36.25,-59.8125
1529286439956404,-7.125,-43.8125,-78.1875
1529286439986138,-12.1875,-53.6875,-97.5
1529286440001311,-21.3125,-65.375,-118.5
1529286440016247,-30.625,-81.1875,-141.688
1529286440039091,-40.4375,-116.438,-182.438
1529286440062300,-39.4375,-127.688,-207.25
1529286440084639,-50.75,-136.813,-230.5
1529286440107121,-75.125,-140.813,-246.75
1529286440128761,-66.3125,-141.563,-250.438
1529286440151878,-54.0625,-145.688,-252.625
1529286440166836,-75,-151.5,-269.375
1529286440181801,-105.188,-146.125,-273.688
1529286440204812,-71.5,-135.188,-259.188
1529286440242117,-17.3125,-130.313,-251.313
1529286440271825,-47.4375,-137.188,-261.313
1529286440309190,-30.6875,-151.313,-256.5
1529286440331476,-48.6875,-157.813,-265.375
1529286440361621,-69.3125,-154.625,-305.5
1529286440383932,-72.6875,-143.5,-315.625
1529286440429657,-34.1875,-68.5625,-280
1529286440451591,30.5,-22.5,-198.125
1529286440481558,42.3125,-40.5625,-42.0625
1529286440504451,-29.3125,-61.0625,10.6875
1529286440541353,9,-34.8125,35.25
1529286440564292,62.3125,-13,24.875
1529286440601193,-17.3125,2.75,4.75
1529286440624131,-77.0625,15.3125,-5.125
1529286440662055,-91.5,38.125,3.75
1529286440683998,-61.3125,46.0625,15.125
1529286440721916,-37.5,58,31
1529286440743812,-45.8125,57.8125,30.9375
1529286440782115,-56.1875,52.0625,29.375
1529286440804352,-45.3125,47.4375,31.5625
1529286440841128,-2.125,36.3125,42.3125
1529286440864250,9.0625,29.0625,50.4375
1529286440902339,16,14.875,61.625
1529286440924146,18.375,9.1875,64.125
1529286440961188,27.375,1.125,62.75
1529286440984082,28.875,-1.0625,58.625
1529286441022290,18.8125,-5,46.1875
1529286441044096,8.1875,-7.6875,38.6875
1529286441081995,-10.625,-14.9375,21.3125
1529286441103940,-12.75,-19.125,12.1875
1529286441142202,1,-28.5625,-7.625
1529286441164138,15.375,-33.0625,-16.875
1529286441201927,47.1875,-40,-29.375
1529286441224047,57.4375,-42.5,-33.4375
1529286441269711,61,-43.125,-38
1529286441292223,54.9375,-41.625,-38.5
1529286441344025,17.5,-30.5625,-39.6875
1529286441382220,-9.4375,-18.0625,-41.375
1529286441404366,-22.25,-11.375,-41.4375
1529286441441242,-43.1875,1.4375,-40.5625
1529286441464410,-49.3125,7.375,-39
1529286441501314,-52.125,17.8125,-33.625
1529286441523819,-49.125,21.875,-29.875
1529286441562059,-39.8125,27.5625,-20.375
1529286441584016,-34.4375,29,-15.4375
