timestamp,x,y,z
1529302739486406,-4,2.125,-2.9375
1529302739511339,-2.625,2.4375,-3.0625
1529302739531287,-2.1875,2.4375,-3
1529302739546246,-1.6875,2.25,-2.9375
1529302739571179,-1.4375,2,-2.5
1529302739591125,-1.6875,1.5,-2.3125
1529302739606086,-1.25,1.0625,-3.0625
1529302739646975,0.375,0.8125,-2.5
1529302739648971,-0.8125,1.125,-2.25
1529302739666923,-1.6875,0.9375,-1.8125
1529302739681884,-1.625,1.125,-1.25
1529302739706817,-1.4375,1.1875,-0.75
1529302739726763,-1.375,1.25,-0.8125
1529302739771656,-1.625,1.625,-0.625
1529302739781616,-1.75,1.75,-0.375
1529302739787601,-2.6875,1.125,-0.3125
1529302739803558,-2.5,0.4375,-0.8125
1529302739825499,1.25,-0.1875,-1.3125
1529302739856419,6.75,-0.8125,-1.75
1529302739870380,10.25,-1.625,-1.8125
1529302739893318,10.875,-2.125,-2
1529302739906283,10.75,-2.0625,-2.125
1529302739921243,11.5,-1.75,-1.8125
1529302739944181,12.0625,-1,-1.25
1529302739966123,13.1875,0,-0.25
1529302739981083,12.9375,0.6875,0.75
1529302740004023,12.625,1.375,1.5625
1529302740025963,12.9375,2.125,2.875
1529302740040923,11.875,3.0625,3.9375
1529302740063861,10.875,3.9375,5.0625
1529302740085803,9.3125,4.625,6
1529302740100763,7.0625,5.3125,6.75
1529302740123702,4.6875,5.75,7.3125
1529302740146641,1.75,6.375,7.6875
1529302740161611,-1.1875,6,7.4375
1529302740183543,-4.0625,5.625,7.0625
1529302740198502,-7.75,4.4375,6
1529302740221441,-11.8125,1.125,4.3125
1529302740243382,-17.375,-2,4.4375
1529302740266320,-21.4375,-1,10.625
1529302740284273,-20.875,6.75,20.75
1529302740304219,-23.4375,14,36.875
1529302740326161,-41.3125,24.875,58.25
1529302740341122,-60.6875,40.4375,82.25
1529302740364060,-90.4375,64.9375,116.25
1529302740386001,-87.125,92.9375,159.188
1529302740400961,-47.4375,121.063,206.125
1529302740423900,-12.0625,150.625,256.125
1529302740445895,-0.25,177.938,299.125
1529302740460855,20,195.813,342.875
1529302740483797,55.1875,208.875,382.75
1529302740506678,85.8125,217.125,409.25
1529302740521638,131.938,216.563,426.938
1529302740543634,199.5,212.625,412.5
1529302740566571,254.625,206.625,377
1529302740581530,279.5,187.813,329.938
1529302740603458,280.5,167.25,284.313
