timestamp,roll,pitch,yaw
1528883291307263,-0.272226,-1.29926,2.78879
1528883291322222,-0.271674,-1.29913,2.78783
1528883291349150,-0.271065,-1.29918,2.7868
1528883291367105,-0.270314,-1.29906,2.78557
1528883291382061,-0.270334,-1.29914,2.78496
1528883291405997,-0.270448,-1.29907,2.78425
1528883291426941,-0.270135,-1.29896,2.7834
1528883291482792,-0.270478,-1.29872,2.78362
1528883291485785,-0.270478,-1.29872,2.78362
1528883291490773,-0.269374,-1.29833,2.78274
1528883291502738,-0.269374,-1.29833,2.78274
1528883291526676,-0.268813,-1.29832,2.78156
1528883291547618,-0.269107,-1.29839,2.78068
1528883291585517,-0.26869,-1.298,2.77794
1528883291586515,-0.27102,-1.29755,2.77671
1528883291607460,-0.277073,-1.29658,2.77828
1528883291631396,-0.286494,-1.29569,2.78308
1528883291645358,-0.296747,-1.2947,2.789
1528883291667299,-0.308148,-1.29324,2.79645
1528883291684253,-0.319144,-1.29184,2.80425
1528883291707207,-0.328438,-1.29068,2.81239
1528883291728137,-0.33431,-1.28967,2.82005
1528883291744094,-0.337824,-1.28885,2.82823
1528883291767033,-0.338549,-1.28802,2.83609
1528883291787976,-0.341746,-1.28615,2.84774
1528883291803963,-0.353631,-1.28202,2.86834
1528883291826889,-0.375951,-1.27526,2.89935
1528883291847817,-0.3978,-1.26228,2.93283
1528883291863774,-0.427468,-1.23863,2.98016
1528883291886713,-0.483638,-1.20739,3.0498
1528883291909652,-0.548802,-1.16584,3.11468
1528883291923614,-0.614502,-1.10586,-3.10668
1528883291946564,-0.67507,-1.03176,-3.05668
1528883291969518,-0.717244,-0.940183,-3.00859
1528883291984451,-0.742078,-0.83377,-2.96241
1528883292006392,-0.747634,-0.713427,-2.92224
1528883292029334,-0.740555,-0.581981,-2.88487
1528883292050277,-0.73121,-0.443125,-2.84652
1528883292066232,-0.725185,-0.300144,-2.80593
1528883292089173,-0.720153,-0.158029,-2.76172
1528883292110131,-0.708956,-0.0210889,-2.71575
1528883292127077,-0.693364,0.105909,-2.66985
1528883292149012,-0.671669,0.218928,-2.6236
1528883292169993,-0.639105,0.315974,-2.57326
1528883292186911,-0.595782,0.393357,-2.5175
1528883292208856,-0.544779,0.447905,-2.45786
1528883292229835,-0.48544,0.477652,-2.39463
1528883292246751,-0.422278,0.4825,-2.32938
1528883292276671,-0.357298,0.467343,-2.26961
1528883292290671,-0.292075,0.437604,-2.22015
1528883292306603,-0.235121,0.395224,-2.18205
1528883292329531,-0.193603,0.348085,-2.15597
1528883292350472,-0.171345,0.300818,-2.13904
1528883292366430,-0.173153,0.25822,-2.13206
1528883292389369,-0.174966,0.258615,-2.13773
1528883292410319,-0.172031,0.295324,-2.13902
1528883292426273,-0.178734,0.334646,-2.12533
1528883292449210,-0.211269,0.361124,-2.11405
1528883292470485,-0.24188,0.391743,-2.111
1528883292486752,-0.238702,0.439491,-2.10836
1528883292509459,-0.230308,0.485684,-2.10752
1528883292537419,-0.230742,0.519718,-2.10643
1528883292546364,-0.241353,0.534257,-2.10606
1528883292575555,-0.245988,0.529357,-2.10829
1528883292591504,-0.235318,0.507392,-2.11052
1528883292614443,-0.212239,0.468362,-2.10759
1528883292635386,-0.193115,0.411994,-2.10268
1528883292651612,-0.188252,0.345217,-2.10342
1528883292674593,-0.189747,0.285,-2.11148
1528883292695572,-0.179716,0.237129,-2.11629
1528883292711711,-0.185253,0.228791,-2.13045
1528883292734495,-0.176217,0.267585,-2.1377
1528883292755760,-0.181503,0.3155,-2.13092
1528883292771688,-0.219424,0.345105,-2.12463
1528883292794194,-0.265095,0.379572,-2.12344
1528883292815208,-0.281659,0.4242,-2.12282
1528883292831728,-0.273094,0.470217,-2.12046
1528883292861647,-0.262557,0.510125,-2.11446
1528883292876608,-0.260209,0.534431,-2.10573
1528883292892670,-0.260032,0.539278,-2.09798
1528883292914599,-0.249614,0.527255,-2.09018
1528883292935800,-0.230609,0.501286,-2.08176
1528883292952511,-0.208558,0.459748,-2.07624
1528883292974677,-0.193784,0.403688,-2.07713
1528883292995383,-0.196357,0.342054,-2.08573
1528883293011617,-0.20672,0.284746,-2.09673
1528883293034150,-0.209705,0.241826,-2.10101
1528883293055095,-0.215356,0.235874,-2.1036
1528883293072049,-0.200229,0.265202,-2.1008
1528883293093991,-0.197238,0.29197,-2.0897
1528883293114990,-0.222621,0.296754,-2.08818
1528883293130910,-0.251934,0.291591,-2.09522
1528883293153832,-0.263981,0.287693,-2.10541
1528883293174845,-0.269844,0.286209,-2.11968
1528883293190732,-0.284308,0.287771,-2.14374
1528883293214743,-0.313747,0.290868,-2.17817
1528883293235667,-0.356258,0.298816,-2.22141
1528883293251575,-0.403943,0.30304,-2.2701
1528883293274562,-0.457121,0.301851,-2.32502
1528883293295508,-0.513011,0.292738,-2.38838
1528883293311409,-0.571752,0.27324,-2.45806
1528883293341365,-0.632627,0.241358,-2.53129
1528883293357372,-0.69288,0.195389,-2.60898
1528883293371751,-0.741658,0.137047,-2.68905
1528883293394477,-0.774993,0.0674335,-2.76495
1528883293416650,-0.799356,-0.0129392,-2.83562
1528883293438498,-0.815968,-0.0999142,-2.90437
1528883293454318,-0.826154,-0.192594,-2.96608
1528883293477478,-0.830295,-0.287304,-3.01802
1528883293498199,-0.831789,-0.380007,-3.0623
1528883293514166,-0.827193,-0.473535,-3.10358
1528883293540375,-0.814573,-0.569942,3.13988
1528883293544365,-0.79732,-0.66367,3.09838
1528883293566305,-0.771723,-0.751969,3.05219
1528883293587826,-0.729376,-0.833676,2.99696
1528883293611622,-0.677183,-0.913721,2.94135
1528883293625765,-0.621579,-0.992776,2.88147
1528883293649857,-0.556089,-1.06325,2.80518
1528883293663663,-0.501265,-1.13021,2.73241
1528883293685619,-0.43828,-1.18946,2.6447
1528883293709541,-0.371861,-1.23312,2.55483
1528883293730750,-0.304926,-1.26712,2.46487
1528883293746104,-0.248136,-1.28749,2.39019
1528883293769687,-0.207999,-1.3021,2.33705
1528883293790889,-0.183845,-1.31308,2.30441
1528883293806774,-0.171542,-1.32156,2.28936
1528883293829101,-0.154121,-1.32914,2.27612
1528883293850990,-0.126178,-1.33557,2.26035
1528883293866786,-0.0962321,-1.32914,2.24777
1528883293889454,-0.0544893,-1.34697,2.22252
1528883293910450,-0.0271705,-1.35972,2.20141
1528883293927350,-0.0248369,-1.36215,2.19857
1528883293949291,-0.0575543,-1.35299,2.23388
1528883293971015,-0.0678896,-1.34138,2.25791
1528883293985893,-0.0611986,-1.3319,2.272
1528883294008727,-0.0480372,-1.32625,2.28179
1528883294030353,-0.0376552,-1.32435,2.29536
1528883294046051,-0.0267745,-1.32666,2.30822
1528883294069315,-0.00998564,-1.33198,2.31534
1528883294090268,0.011022,-1.33887,2.31801
1528883294106198,0.0311223,-1.34645,2.32025
1528883294120352,0.0483224,-1.3548,2.32293
1528883294142118,0.0682931,-1.36431,2.3224
1528883294166044,0.09128,-1.37412,2.31755
1528883294180270,0.114685,-1.38388,2.31042
1528883294202733,0.131826,-1.39294,2.30766
1528883294225294,0.132873,-1.39224,2.31595
1528883294240300,0.141566,-1.39122,2.31647
1528883294262451,0.152801,-1.38876,2.31341
1528883294285678,0.160734,-1.38741,2.31168
1528883294308368,0.165041,-1.38641,2.31149
1528883294322596,0.163043,-1.38479,2.31479
1528883294345508,0.154334,-1.38381,2.32376
1528883294361228,0.142823,-1.3822,2.33435
1528883294382802,0.130477,-1.38018,2.34533
1528883294405809,0.121103,-1.37866,2.35342
1528883294420164,0.10786,-1.37625,2.36445
1528883294441758,0.0956927,-1.3748,2.37493
1528883294465319,0.0841796,-1.3732,2.3865
1528883294479227,0.0737951,-1.37167,2.39724
1528883294502191,0.0664717,-1.37009,2.40647
1528883294519984,0.0601043,-1.36836,2.41437
1528883294539903,0.0505647,-1.36732,2.42544
1528883294561582,0.0409422,-1.3656,2.43651
1528883294580869,0.0307515,-1.36367,2.4491
1528883294599752,0.0217135,-1.36184,2.46077
1528883294622854,0.0147848,-1.36056,2.47089
1528883294640817,0.00870992,-1.35916,2.47983
1528883294660115,0.00510787,-1.35808,2.48655
1528883294681812,-0.00110802,-1.35595,2.4955
1528883294699753,-0.00649,-1.35502,2.50458
