timestamp,x,y,z,w
1528884924147852,0.36731,0.480957,0.443115,-0.661316
1528884924162812,0.367554,0.48114,0.443054,-0.661133
1528884924186748,0.367737,0.481567,0.442932,-0.660828
1528884924209687,0.367737,0.481873,0.442993,-0.660461
1528884924224672,0.368042,0.482117,0.443176,-0.660034
1528884924245591,0.368408,0.482239,0.443359,-0.659668
1528884924269528,0.368713,0.4823,0.44342,-0.659363
1528884924320391,0.368896,0.482361,0.443542,-0.659119
1528884924327373,0.369141,0.482422,0.443665,-0.658875
1528884924335352,0.369629,0.482361,0.443909,-0.658508
1528884924395190,0.370544,0.482056,0.444397,-0.657837
1528884924433090,0.371155,0.481873,0.444763,-0.65741
1528884924455030,0.371338,0.481873,0.444946,-0.657227
1528884924499910,0.371948,0.481689,0.445496,-0.656616
1528884924523847,0.372375,0.481384,0.446045,-0.656189
1528884924552771,0.374634,0.47937,0.449036,-0.654358
1528884924578716,0.37738,0.476685,0.452026,-0.65271
1528884924597649,0.382263,0.471252,0.456848,-0.650391
1528884924627571,0.399658,0.447388,0.469727,-0.647644
1528884924635548,0.410156,0.430115,0.47522,-0.648743
1528884924672449,0.42157,0.409119,0.479858,-0.651611
1528884924695440,0.43335,0.385315,0.482971,-0.656067
1528884924717367,0.446716,0.358398,0.483826,-0.661743
1528884924732289,0.45929,0.328552,0.482056,-0.6698
1528884924762243,0.468994,0.297546,0.476563,-0.681458
1528884924785151,0.473816,0.266418,0.468018,-0.696777
1528884924808086,0.474182,0.23468,0.457581,-0.7146
1528884924823047,0.472717,0.201965,0.444824,-0.733398
1528884924838007,0.470276,0.167664,0.429749,-0.752319
1528884924859950,0.466248,0.132385,0.412231,-0.771423
1528884924874909,0.459961,0.0973511,0.392639,-0.790405
1528884924897891,0.450256,0.062439,0.371338,-0.80957
1528884924919788,0.436523,0.0286865,0.348389,-0.828979
1528884924934749,0.420227,-0.0043335,0.32373,-0.847717
1528884924957712,0.402283,-0.0361938,0.297424,-0.865112
1528884924980627,0.383545,-0.0668335,0.269836,-0.880676
1528884924995585,0.363342,-0.0956421,0.241394,-0.894775
1528884925017547,0.34259,-0.12207,0.212341,-0.907043
1528884925047447,0.32196,-0.14624,0.183472,-0.917236
1528884925062407,0.30249,-0.167664,0.155273,-0.925354
1528884925085346,0.283875,-0.186218,0.127991,-0.931885
1528884925100360,0.264832,-0.202148,0.102051,-0.937317
1528884925115321,0.245422,-0.214966,0.0770874,-0.942139
1528884925137209,0.2276,-0.223572,0.0529175,-0.946289
1528884925160147,0.211914,-0.227356,0.0301514,-0.950012
1528884925175107,0.197021,-0.226318,0.00872803,-0.953918
1528884925198045,0.180969,-0.221313,-0.0115356,-0.958252
1528884925219987,0.163635,-0.213013,-0.0303345,-0.96283
1528884925234947,0.146729,-0.200867,-0.0477295,-0.967407
1528884925249907,0.131897,-0.185364,-0.0643311,-0.97168
1528884925272894,0.119141,-0.167114,-0.0795898,-0.975525
1528884925287805,0.108093,-0.146667,-0.0928345,-0.978882
1528884925317724,0.0978394,-0.124451,-0.103271,-0.981995
1528884925340664,0.0866699,-0.101074,-0.111206,-0.984863
1528884925355967,0.0755005,-0.0775146,-0.117981,-0.987122
1528884925370583,0.0666504,-0.0553589,-0.123169,-0.988647
1528884925392910,0.0622559,-0.0349121,-0.126648,-0.98938
1528884925408548,0.0622559,-0.0222168,-0.128967,-0.989502
1528884925430997,0.0592651,-0.0187988,-0.129211,-0.989685
1528884925452806,0.0622559,-0.0178223,-0.13324,-0.989014
