timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529302858407293,8,11,-1,-40,-8,1,2,3
1529302858407293,0,-1,4,14,0,1,-2,0
1529302858414274,-2,-5,3,-2,-1,-1,-2,-2
1529302858414274,-3,-9,-21,-2,1,1,1,0
1529302858422254,-4,-6,5,14,1,-1,-3,-2
1529302858422254,5,13,9,0,-3,-2,1,2
1529302858437214,-1,-1,-6,-4,0,-1,0,-1
1529302858437214,-1,-2,1,7,2,-1,-1,-1
1529302858452174,0,0,-9,-3,0,0,-1,0
1529302858452174,1,-6,-24,0,2,-1,0,-1
1529302858467133,1,4,19,7,1,-1,0,-1
1529302858467133,-2,-6,-11,-17,-3,-4,-1,-2
1529302858474120,-1,-1,-1,10,1,2,-1,-1
1529302858474120,1,4,10,1,0,1,0,0
1529302858489074,-1,0,3,-4,5,2,2,2
1529302858489074,-2,-1,-2,-2,-7,-1,-2,-2
1529302858505034,-2,-4,-1,15,5,1,-2,-3
1529302858505034,0,0,-3,-26,-13,-9,-1,-1
1529302858513010,1,-1,-6,2,1,3,0,-1
1529302858513010,-1,4,17,6,-4,-9,-3,-2
1529302858526974,1,0,6,-1,-3,-10,-6,-3
1529302858526974,-2,-1,-5,-8,5,4,0,0
1529302858541933,2,3,5,9,5,0,2,1
1529302858541933,-3,-6,-10,-5,-2,5,0,1
1529302858552906,2,-1,4,1,4,3,4,4
1529302858552906,0,2,1,-7,-7,-5,-2,-3
1529302858564872,-2,-1,2,1,1,1,-2,-1
1529302858564872,-3,-3,-5,5,4,5,1,1
1529302858571854,0,4,11,1,-4,-5,-3,0
1529302858571854,1,-3,-4,-5,1,-1,-2,0
1529302858586814,-5,-4,6,5,2,-1,1,4
1529302858586814,3,2,-10,-17,-5,0,3,3
1529302858604765,-3,-6,-5,-10,-8,-5,-3,-3
1529302858604765,-6,2,4,8,8,4,-1,-9
1529302858609751,13,1,-5,-8,-8,-1,0,0
1529302858609751,-1,2,13,18,12,2,3,8
1529302858631693,3,0,4,14,10,2,4,2
1529302858631693,-8,-3,-10,-18,-7,-1,-5,-4
1529302858646653,-4,-2,-2,1,-9,-7,-1,-28
1529302858646653,-3,-3,3,-6,-6,-4,-5,10
1529302858665602,-1,3,6,-2,3,0,-3,4
1529302858665602,-1,-2,2,6,2,-2,-4,-26
1529302858677570,-4,0,-6,-5,-6,-2,6,11
1529302858677570,2,5,15,10,3,0,-1,1
1529302858691532,0,-2,-2,1,-1,-1,-4,7
1529302858691532,1,-9,-9,-5,-7,-3,-1,-5
1529302858714472,-2,-2,-1,8,6,4,1,1
1529302858714472,3,5,27,18,10,1,0,5
1529302858737411,-4,-8,-10,-21,-10,0,-1,-1
1529302858737411,0,-2,0,4,4,4,2,-3
1529302858744392,0,2,5,-4,-3,-2,-6,-10
1529302858744392,-2,-1,6,6,2,2,-1,1
1529302858752372,1,-1,-9,7,1,1,0,3
1529302858752372,-2,1,10,2,0,-2,1,2
1529302858759357,1,0,7,5,6,0,-1,-6
1529302858759357,1,-1,-6,0,2,5,4,5
1529302858767331,-1,4,4,16,12,-1,-1,-9
1529302858767331,3,6,0,-17,-7,-9,-6,-12
1529302858774314,5,-6,-12,-6,-7,-2,6,25
1529302858774314,-16,-4,-2,-10,-8,-7,-4,-11
1529302858782290,-4,-2,-3,11,-2,-9,-1,-3
1529302858782290,20,3,3,12,9,-6,-1,11
1529302858789275,-1,4,3,7,10,4,-3,-1
1529302858789275,-2,-4,-10,-11,-9,-1,3,2
1529302858804233,-8,-1,19,-2,-2,3,2,5
1529302858804233,-4,-4,-24,-14,-20,9,-3,-12
1529302858812212,0,-2,1,1,-4,-5,-4,0
1529302858812212,-2,-1,-5,0,-7,2,2,7
1529302858827172,2,5,7,1,6,-5,-5,-7
1529302858827172,-2,-3,-3,0,-2,0,1,5
1529302858834153,-1,-1,-3,13,9,3,-2,-7
1529302858834153,1,8,18,-14,10,2,-1,-16
1529302858842131,4,-3,-3,-16,-22,2,4,16
1529302858842131,-9,-5,-10,-6,1,4,-1,-7
1529302858849112,0,-4,-7,-8,-9,-6,2,4
1529302858849112,4,7,9,24,25,-8,-2,-9
1529302858864074,7,3,-6,5,6,1,-4,9
1529302858864074,-3,-3,0,-17,-4,0,3,11
1529302858872052,2,0,0,-8,-4,6,2,4
1529302858872052,-2,-2,-7,-2,-1,5,2,2
1529302858887011,7,6,-2,10,11,-3,2,5
1529302858887011,-2,1,19,13,6,6,2,-7
1529302858894991,-8,0,-15,0,6,5,5,5
1529302858894991,5,-12,-19,-32,-15,-2,-5,7
1529302858901972,-6,-9,-11,4,8,1,-1,-24
1529302858901972,0,5,12,0,-5,0,1,9
1529302858909969,-5,2,-8,3,0,-3,-5,-17
1529302858909969,15,1,2,8,-6,4,4,0
1529302858924912,3,2,5,-15,13,4,1,13
1529302858924912,-5,-9,-19,-13,-7,-8,-3,-8
1529302858931890,10,9,16,3,-8,-9,0,18
1529302858931890,-4,1,0,26,25,7,1,-2
1529302858946853,-6,-11,-18,-16,-15,-3,-12,-16
1529302858946853,-1,19,36,21,4,1,10,6
1529302858954831,3,-5,-8,6,6,-1,3,-17
1529302858954831,-5,2,7,-36,-35,-3,-9,13
1529302858961824,0,1,6,3,1,0,4,1
1529302858961824,-14,-3,-5,10,13,0,1,-4
1529302858969790,14,-6,-8,-6,-11,-1,-3,-1
1529302858969790,-15,-4,-2,3,4,0,0,-7
1529302858984801,-12,-5,-3,-8,-11,10,2,-8
1529302858984801,18,10,8,33,18,0,-11,7
1529302858991731,-9,-14,-7,-42,-16,-4,1,23
1529302858991731,-2,-4,-20,-8,-5,-7,-1,-4
1529302859006699,10,14,15,18,5,2,2,12
1529302859006699,-4,-16,-21,-18,-22,-6,-2,-25
1529302859014671,-2,9,27,13,12,1,-5,1
1529302859014671,12,-10,-22,-7,0,0,1,29
1529302859021653,-18,4,6,29,3,6,-1,-44
1529302859021653,10,-4,-20,10,13,5,10,53
1529302859029630,-16,-2,2,-27,-1,19,-8,-17
1529302859029630,19,2,6,16,4,-20,2,4
1529302859044591,-18,-9,-6,-7,-23,-39,-16,-16
1529302859044591,4,5,0,-5,-5,7,-1,9
1529302859059549,3,6,4,23,28,6,8,1
1529302859059549,-9,3,11,0,-25,15,9,-26
1529302859066531,11,0,7,34,18,8,15,29
1529302859066531,-2,-5,16,-2,19,-20,-9,6
1529302859082491,5,5,10,3,19,5,-5,-50
1529302859082491,-6,-8,-9,-23,-11,-2,0,43
1529302859097449,5,-1,8,1,-14,-1,12,43
1529302859097449,-12,-8,-20,-7,-16,-10,-6,-17
1529302859104429,19,12,8,23,18,-2,3,3
1529302859104429,-21,6,12,30,24,3,-20,-103
1529302859119391,14,3,2,-21,-6,-13,9,51
1529302859119391,-11,-19,-30,-14,-10,4,4,15
1529302859127368,0,9,24,-7,2,4,-11,25
1529302859127368,-6,-4,-9,-1,-15,-1,11,-13
1529302859142329,-16,-24,-26,-14,-47,-13,-14,1
1529302859142329,16,11,-7,-20,8,-4,-5,-7
1529302859157294,-5,4,16,35,12,10,10,-21
1529302859157294,4,4,8,6,11,1,-4,-15
1529302859164269,-8,-12,-23,-37,-21,1,3,1
1529302859164269,-1,-5,-7,-4,-22,-3,3,5
1529302859179231,-6,-5,11,2,-5,-4,-2,-6
1529302859179231,-2,2,7,11,12,-8,-7,-6
1529302859187212,6,-4,-2,-7,-12,9,2,12
1529302859187212,2,2,-7,-22,-15,-2,2,0
1529302859202168,-4,4,-3,9,9,2,3,3
1529302859202168,5,20,17,12,7,6,5,12
1529302859217128,5,4,-11,1,-10,-5,-10,-25
1529302859217128,4,6,31,28,16,4,5,22
1529302859224116,-4,-19,-35,-21,3,0,5,8
1529302859224116,7,3,3,-13,-3,3,-1,-19
1529302859239070,-11,17,13,-13,-12,-14,-5,15
1529302859239070,25,-13,-13,-4,-13,-10,-1,-2
1529302859247068,-2,5,9,7,27,13,9,29
1529302859247068,-1,-6,3,27,10,-8,-5,5
1529302859262008,-3,9,9,-4,-14,4,0,-3
1529302859262008,3,-12,-13,-5,-9,-3,-3,2
1529302859276968,-1,-6,0,22,-1,-1,-2,-14
1529302859276968,-11,5,-2,5,7,4,-1,4
1529302859284947,4,-3,-8,-24,-9,-8,-3,-15
1529302859284947,-5,-10,-1,11,-3,14,4,-3
1529302859299940,-2,0,1,3,5,2,3,4
1529302859299940,-12,-2,-2,-10,-24,-3,3,22
1529302859306915,7,4,3,8,8,2,-5,-8
1529302859306915,2,-1,3,-1,7,9,7,16
1529302859321848,-7,-4,0,3,18,-8,-5,-6
