timestamp,x,y,z
1528883324149875,0.954102,-0.155762,0.22168
1528883324173811,0.95459,-0.148926,0.226074
1528883324194757,0.95166,-0.14209,0.22168
1528883324209753,0.947266,-0.128906,0.227051
1528883324234676,0.941895,-0.130859,0.245117
1528883324254595,0.936523,-0.140625,0.242676
1528883324269556,0.93457,-0.141113,0.245605
1528883324310445,0.945801,-0.14209,0.245605
1528883324312441,0.946777,-0.132324,0.254395
1528883324324408,0.949219,-0.126953,0.268066
1528883324345353,0.949707,-0.126465,0.270508
1528883324370288,0.950684,-0.123047,0.267578
1528883324390233,0.955566,-0.114258,0.269043
1528883324445114,0.949707,-0.108398,0.270996
1528883324445114,0.948242,-0.106445,0.274414
1528883324446095,0.952637,-0.0996094,0.278809
1528883324465033,0.955078,-0.0991211,0.273926
1528883324487974,0.950195,-0.0942383,0.274414
1528883324502983,0.937988,-0.0869141,0.267578
1528883324524912,0.931641,-0.09375,0.279297
1528883324546853,0.911621,-0.12207,0.317871
1528883324561776,0.913086,-0.175781,0.340332
1528883324584756,0.90918,-0.206055,0.346191
1528883324606656,0.893066,-0.246094,0.325195
1528883324621632,0.856445,-0.205078,0.275391
1528883324644561,0.822754,-0.251465,0.208496
1528883324667493,0.787109,-0.256348,0.186523
1528883324682454,0.77002,-0.235352,0.166992
1528883324704393,0.759766,-0.176758,0.140137
1528883324727334,0.720703,-0.111816,0.121094
1528883324742306,0.678223,-0.0727539,0.13623
1528883324764235,0.692871,-0.105957,0.151367
1528883324787173,0.822754,-0.162598,0.130371
1528883324802134,0.963867,-0.20752,0.097168
1528883324825082,0.955566,-0.23291,0.0888672
1528883324847013,0.83252,-0.231934,0.114258
1528883324861974,0.88623,-0.282227,0.133301
1528883324884912,1.18945,-0.238281,0.00732422
1528883324906854,1.33105,-0.110352,-0.0708008
1528883324929791,1.03906,-0.0712891,-0.0668945
1528883324944750,0.845703,-0.00830078,-0.0400391
1528883324960707,0.893555,0.0209961,-0.0756836
1528883324981653,1.1792,0.0498047,-0.0839844
1528883325004594,1.36572,0.110352,-0.0410156
1528883325021553,1.21338,0.241211,0.0180664
1528883325042489,1.14697,0.382813,-0.074707
1528883325064431,1.27441,0.523926,-0.226563
1528883325081386,1.30469,0.527344,-0.217773
1528883325102330,1.27637,0.458984,-0.0488281
1528883325124272,1.21875,0.36377,-0.0131836
1528883325141226,1.09863,0.130859,-0.0874023
1528883325162171,1.10498,-0.0791016,0.0112305
1528883325185109,1.13818,-0.265137,0.0551758
1528883325201066,1.08252,-0.171387,0.0141602
1528883325222019,1.01172,-0.240234,0.015625
1528883325244949,1.03271,-0.253418,0.065918
1528883325262901,1.05029,-0.269043,0.0825195
1528883325281850,1.01123,-0.203613,0.0737305
1528883325304804,1.00195,-0.161621,0.0600586
1528883325322741,0.936035,-0.0576172,-0.0268555
1528883325342526,0.984375,0.0678711,-0.0224609
1528883325364205,0.947266,0.0229492,-0.0102539
1528883325383196,0.91748,-0.163086,0.0488281
1528883325402345,0.964355,-0.278809,0.0991211
1528883325425624,0.963867,-0.29834,0.0991211
1528883325441568,0.967773,-0.211914,0.0361328
1528883325464543,0.989746,-0.116699,-0.0717773
1528883325485488,0.959961,-0.12793,-0.111816
1528883325508187,0.928711,-0.10791,-0.12793
1528883325523783,0.913086,-0.0834961,-0.136719
1528883325545305,0.916016,-0.0610352,-0.123047
1528883325561346,0.932129,-0.0180664,-0.11377
1528883325584564,0.957031,0.0776367,-0.124023
1528883325605510,0.96875,0.200195,-0.0478516
1528883325620929,1.00635,0.275879,-0.000488281
1528883325643871,1.10059,0.35498,0.0317383
1528883325664814,1.13086,0.454102,0.0395508
1528883325680774,1.104,0.491211,0.0458984
1528883325704206,1.14209,0.455566,0.0141602
1528883325725631,1.16162,0.362305,0.00390625
1528883325741807,1.1084,0.28418,-0.0390625
1528883325764974,1.14258,0.325195,-0.0419922
1528883325787589,1.11084,0.221191,-0.0351563
1528883325800905,1.0127,0.0229492,0.0361328
1528883325824125,0.935059,-0.205078,0.0610352
1528883325846662,0.912109,-0.33252,-0.148926
1528883325861725,0.950195,-0.123535,-0.266113
1528883325884958,0.968262,-0.0844727,-0.240234
1528883325906834,0.955566,-0.248535,-0.0927734
1528883325928214,0.973633,-0.296387,-0.0385742
1528883325944182,1.00732,-0.0722656,-0.0283203
1528883325967506,1.09814,0.162598,0.0126953
1528883325987794,1.1001,0.257324,0.106934
1528883326004723,1.09766,0.178711,0.178223
1528883326026672,1.14697,0.106445,0.185059
1528883326047899,1.17676,0.0888672,0.160645
1528883326064047,1.14063,0.0893555,0.143066
1528883326086805,1.12109,0.143555,0.0981445
1528883326107969,1.10693,0.193359,0.0605469
1528883326124764,1.08398,0.217285,0.0219727
1528883326146646,1.05957,0.212402,0.00341797
1528883326167882,1.04492,0.178223,-0.00585938
1528883326184137,1.03467,0.138672,0.00341797
1528883326207076,1.0249,0.109863,0.0214844
1528883326228348,1.02295,0.103027,0.0366211
1528883326244614,1.02441,0.102539,0.0585938
1528883326274785,1.00586,0.0976563,0.078125
1528883326287540,0.960938,0.0732422,0.0991211
1528883326304500,0.928711,0.0507813,0.114258
1528883326326394,0.905762,0.0351563,0.129883
1528883326347341,0.881348,0.0336914,0.148438
1528883326363309,0.869629,0.0185547,0.172363
1528883326386288,0.85791,-0.0170898,0.193848
1528883326408213,0.849121,-0.0532227,0.222656
1528883326424150,0.872559,-0.0795898,0.230957
1528883326447089,0.884277,-0.0795898,0.260742
1528883326468073,0.887695,-0.105957,0.29248
1528883326483975,0.913574,-0.125488,0.312012
1528883326506913,0.924316,-0.130371,0.313477
1528883326527910,0.881348,-0.103516,0.321777
1528883326543840,0.859863,-0.10791,0.327637
1528883326566753,0.849609,-0.108887,0.32373
1528883326587698,0.839844,-0.102051,0.320313
1528883326603654,0.824707,-0.0996094,0.322754
1528883326626608,0.821777,-0.0888672,0.329102
1528883326647540,0.833496,-0.0854492,0.331543
1528883326663525,0.86377,-0.0839844,0.330078
1528883326686744,0.881348,-0.0751953,0.332031
1528883326709183,0.888184,-0.0742188,0.331055
1528883326723511,0.888184,-0.0883789,0.333008
1528883326746571,0.897949,-0.100586,0.330078
1528883326769512,0.905762,-0.11084,0.333984
1528883326783475,0.883789,-0.118652,0.344727
1528883326807183,0.853516,-0.138184,0.350098
1528883326829167,0.858398,-0.144043,0.34375
1528883326850357,0.892578,-0.156738,0.334473
1528883326873080,0.914063,-0.160645,0.331055
1528883326889006,0.918457,-0.150879,0.333496
1528883326910378,0.922852,-0.146484,0.313965
1528883326926340,0.940918,-0.145508,0.313965
1528883326949294,0.955566,-0.130859,0.296875
1528883326970598,0.961426,-0.132813,0.305176
1528883326987357,0.979004,-0.131836,0.282715
1528883327009485,0.985352,-0.133789,0.288086
1528883327031097,0.971191,-0.12207,0.280273
1528883327047337,0.980469,-0.106445,0.276855
1528883327069050,0.986328,-0.129395,0.281738
1528883327090001,1.00146,-0.135254,0.265625
1528883327107504,1.00928,-0.13916,0.251953
1528883327129481,0.997559,-0.121094,0.239746
1528883327150426,0.97998,-0.106934,0.216309
1528883327166382,0.976563,-0.105957,0.217773
1528883327189321,0.964355,-0.127441,0.229004
1528883327210275,0.962402,-0.125,0.23291
1528883327227333,0.953613,-0.135254,0.254395
1528883327249303,0.955566,-0.156738,0.267578
1528883327270066,0.953125,-0.15625,0.271973
1528883327286704,0.959473,-0.144531,0.272461
1528883327309955,0.960449,-0.116699,0.260254
1528883327330185,0.976074,-0.100098,0.271484
1528883327346536,0.986328,-0.0864258,0.283203
1528883327368681,0.964355,-0.0678711,0.283691
1528883327389927,0.955566,-0.046875,0.29834
1528883327406196,0.956055,-0.0341797,0.303223
1528883327429304,0.951172,-0.0512695,0.318848
1528883327450338,0.960449,-0.0625,0.312988
1528883327466301,0.965332,-0.0668945,0.306152
1528883327488997,0.956543,-0.0693359,0.301758
1528883327509945,0.946289,-0.103027,0.300293
1528883327526075,0.945801,-0.114746,0.290527
1528883327549141,0.943359,-0.120605,0.279297
1528883327570095,0.942871,-0.11377,0.271973
1528883327586094,0.952148,-0.105469,0.25293
1528883327609351,0.947754,-0.0800781,0.253906
1528883327631581,0.931641,-0.0737305,0.258301
1528883327646493,0.939453,-0.0888672,0.251465
1528883327669191,0.964355,-0.0874023,0.247559
1528883327692131,0.966797,-0.0869141,0.241699
1528883327706105,0.95459,-0.0888672,0.250488
1528883327729338,0.953613,-0.103027,0.245605
1528883327751649,0.96582,-0.0986328,0.246582
1528883327766699,0.972168,-0.0825195,0.245605
