timestamp,x,y,z,w
1529288426962528,-0.539978,-0.24646,-0.652588,0.471008
1529288426990453,-0.539551,-0.245483,-0.65332,0.471008
1529288426999430,-0.539551,-0.244263,-0.654053,0.470642
1529288427022369,-0.539612,-0.243164,-0.654968,0.46991
1529288427043314,-0.539734,-0.242065,-0.656006,0.468872
1529288427058273,-0.540283,-0.240662,-0.656982,0.46759
1529288427080214,-0.541199,-0.239136,-0.657837,0.466064
1529288427112130,-0.542419,-0.237915,-0.658569,0.464233
1529288427133073,-0.543762,-0.236755,-0.659424,0.462036
1529288427169973,-0.545776,-0.235352,-0.660217,0.45929
1529288427192913,-0.548218,-0.234131,-0.660645,0.456299
1529288427222871,-0.551025,-0.233398,-0.660889,0.453003
1529288427252753,-0.554138,-0.233337,-0.660645,0.449585
1529288427275692,-0.557922,-0.233521,-0.659729,0.446106
1529288427305611,-0.56842,-0.232422,-0.656006,0.438843
1529288427327555,-0.574524,-0.231628,-0.652527,0.436523
1529288427345505,-0.5802,-0.23175,-0.647766,0.436096
1529288427372432,-0.5849,-0.233337,-0.642273,0.437073
1529288427395371,-0.588379,-0.236572,-0.636536,0.439087
1529288427425337,-0.594177,-0.245972,-0.624634,0.443115
1529288427440253,-0.597412,-0.250977,-0.61853,0.444519
1529288427456210,-0.600769,-0.255676,-0.612671,0.445374
1529288427485157,-0.604614,-0.259827,-0.607117,0.445496
1529288427508069,-0.608643,-0.263611,-0.601929,0.444763
1529288427524027,-0.612671,-0.267151,-0.597168,0.443542
1529288427530012,-0.616394,-0.270386,-0.592712,0.442383
1529288427559933,-0.619812,-0.273254,-0.588684,0.441223
1529288427597830,-0.626709,-0.277344,-0.58136,0.438538
1529288427620768,-0.631042,-0.277954,-0.577393,0.437317
1529288427650690,-0.635132,-0.278503,-0.572937,0.43689
1529288427680608,-0.638245,-0.27948,-0.568359,0.437683
1529288427695603,-0.641357,-0.279724,-0.563721,0.438965
1529288427717547,-0.645447,-0.278748,-0.559021,0.439636
1529288427732470,-0.650085,-0.277039,-0.554626,0.439514
1529288427747429,-0.654236,-0.275146,-0.550659,0.439392
1529288427778353,-0.661072,-0.270569,-0.544739,0.439392
1529288427793307,-0.665466,-0.266418,-0.543152,0.437317
1529288427815288,-0.669922,-0.262085,-0.542786,0.433594
1529288427838187,-0.673279,-0.258911,-0.543213,0.429749
1529288427860166,-0.675903,-0.256165,-0.544067,0.426147
1529288427883105,-0.679138,-0.253235,-0.545105,0.421448
1529288427898074,-0.683167,-0.25,-0.546326,0.415161
1529288427919987,-0.686523,-0.247925,-0.547485,0.409302
1529288427950885,-0.688538,-0.247986,-0.547974,0.405212
1529288427964887,-0.689819,-0.249939,-0.547974,0.401794
1529288427987788,-0.690308,-0.252869,-0.547913,0.399353
1529288428002786,-0.689453,-0.256348,-0.547974,0.398438
1529288428025687,-0.687256,-0.261169,-0.548767,0.397949
1529288428040673,-0.684814,-0.267029,-0.550476,0.395935
1529288428062625,-0.682617,-0.273743,-0.552429,0.392334
1529288428077585,-0.681641,-0.27887,-0.554443,0.387634
1529288428100536,-0.682678,-0.279541,-0.557678,0.380615
1529288428122427,-0.684082,-0.278381,-0.563782,0.369751
1529288428168305,-0.686646,-0.275146,-0.584534,0.333435
1529288428198225,-0.687195,-0.273621,-0.598267,0.30835
1529288428220165,-0.686829,-0.272217,-0.613098,0.279968
1529288428228146,-0.685547,-0.269775,-0.627686,0.25177
1529288428243106,-0.683716,-0.265747,-0.640869,0.22644
1529288428258066,-0.681458,-0.261414,-0.651367,0.20752
1529288428273024,-0.681519,-0.255005,-0.65686,0.197815
1529288428294965,-0.681641,-0.250854,-0.660095,0.191833
1529288428317904,-0.681885,-0.247925,-0.661804,0.188782
1529288428347827,-0.683411,-0.243652,-0.662048,0.187927
1529288428362784,-0.686279,-0.237793,-0.660583,0.190186
1529288428377745,-0.690552,-0.230286,-0.657288,0.195313
1529288428392704,-0.696289,-0.220825,-0.652222,0.20282
1529288428415151,-0.703857,-0.210571,-0.644104,0.213257
1529288428445426,-0.711731,-0.199585,-0.634338,0.22644
1529288428468423,-0.716675,-0.19104,-0.625732,0.241699
1529288428497824,-0.718811,-0.184937,-0.617126,0.261353
1529288428513380,-0.719055,-0.181641,-0.60791,0.283691
1529288428520281,-0.719604,-0.178772,-0.597717,0.304932
1529288428557571,-0.724548,-0.171265,-0.581604,0.327881
1529288428595721,-0.730652,-0.164673,-0.571289,0.335693
1529288428624990,-0.734314,-0.163818,-0.566223,0.336731
1529288428670864,-0.732178,-0.17749,-0.557678,0.34845
1529288428692807,-0.725525,-0.192932,-0.554077,0.359863
1529288428730343,-0.707031,-0.236816,-0.55365,0.370972
1529288428745139,-0.700684,-0.256897,-0.556946,0.364502
1529288428783205,-0.701965,-0.264648,-0.573792,0.328735
1529288428805478,-0.701599,-0.257935,-0.588501,0.308167
1529288428835395,-0.681152,-0.252014,-0.629028,0.277283
1529288428857937,-0.672913,-0.254395,-0.642334,0.264465
1529288428902890,-0.665283,-0.254944,-0.655823,0.249756
1529288428933388,-0.663269,-0.250793,-0.659973,0.248413
1529288428984929,-0.651428,-0.24823,-0.663574,0.271667
1529288429037741,-0.631104,-0.253174,-0.667786,0.302979
1529288429082624,-0.623596,-0.243835,-0.671509,0.317505
1529288429135902,-0.62085,-0.222412,-0.667847,0.345093
1529288429158693,-0.619995,-0.216797,-0.663513,0.358337
1529288429195857,-0.615784,-0.209229,-0.651733,0.39032
1529288429217655,-0.612305,-0.206848,-0.64502,0.407776
1529288429255701,-0.6026,-0.20459,-0.63324,0.440552
1529288429277680,-0.596802,-0.203552,-0.628418,0.455566
1529288429315582,-0.585876,-0.198425,-0.621399,0.480957
1529288429338544,-0.582336,-0.193237,-0.619446,0.489807
1529288429375550,-0.580505,-0.177429,-0.618103,0.499573
1529288429397563,-0.581848,-0.16748,-0.61853,0.500916
1529288429413417,-0.584351,-0.156677,-0.619751,0.499939
1529288429435595,-0.587891,-0.14563,-0.621277,0.497253
1529288429458397,-0.591614,-0.135437,-0.623291,0.493164
1529288429488742,-0.59613,-0.122253,-0.629944,0.482605
