timestamp,x,y,z,w
1529292645800026,-0.518188,0.366882,-0.759094,-0.143921
1529292645814986,-0.51947,0.36438,-0.76001,-0.140747
1529292645835929,-0.520447,0.36145,-0.761597,-0.136353
1529292645854879,-0.521545,0.357483,-0.763916,-0.129395
1529292645873828,-0.522583,0.354187,-0.766052,-0.121216
1529292645888789,-0.52356,0.35199,-0.767761,-0.112061
1529292645912725,-0.52301,0.353516,-0.768433,-0.105103
1529292645964588,-0.517334,0.360046,-0.770081,-0.0988159
1529292645971569,-0.505127,0.375732,-0.771606,-0.0915527
1529292646016448,-0.487183,0.394592,-0.774536,-0.0839233
1529292646023430,-0.463501,0.414917,-0.779541,-0.072998
1529292646040383,-0.434631,0.435303,-0.786316,-0.0577393
1529292646061328,-0.398987,0.45459,-0.795471,-0.0375977
1529292646083303,-0.357605,0.470337,-0.806763,-0.0126343
1529292646106208,-0.312073,0.483276,-0.81781,0.017395
1529292646121169,-0.263611,0.494019,-0.826965,0.0509033
1529292646145122,-0.215088,0.50293,-0.832764,0.0859985
1529292646166047,-0.16748,0.509277,-0.835083,0.123413
1529292646188987,-0.120667,0.510498,-0.835571,0.163208
1529292646210962,-0.0753174,0.507751,-0.833679,0.203796
1529292646233866,-0.0317383,0.502136,-0.829224,0.243469
1529292646240846,0.00866699,0.49585,-0.821777,0.280701
1529292646255844,0.0445557,0.489075,-0.812073,0.315247
1529292646263823,0.0766602,0.482056,-0.800049,0.348755
1529292646300730,0.104004,0.475891,-0.786255,0.380249
1529292646323652,0.12616,0.470276,-0.771179,0.410095
1529292646338621,0.142639,0.465332,-0.755493,0.438538
1529292646361570,0.155151,0.460144,-0.739502,0.466125
1529292646383509,0.164612,0.454346,-0.723755,0.492554
1529292646406405,0.17041,0.447327,-0.709106,0.5177
1529292646421400,0.169067,0.44165,-0.695923,0.540466
1529292646443308,0.161377,0.438293,-0.683655,0.56073
1529292646473229,0.148621,0.43634,-0.672668,0.578735
1529292646488219,0.134583,0.433167,-0.662354,0.596191
1529292646526087,0.105896,0.427063,-0.650391,0.619202
1529292646541079,0.0970459,0.429016,-0.648865,0.62085
1529292646563982,0.0994263,0.436035,-0.647827,0.616638
1529292646585924,0.10022,0.443665,-0.650024,0.608704
1529292646600887,0.101135,0.448059,-0.653687,0.60144
1529292646630805,0.108276,0.451965,-0.656433,0.594177
1529292646653744,0.117554,0.457947,-0.65741,0.586731
1529292646668706,0.128723,0.464172,-0.658447,0.578247
1529292646683699,0.142029,0.467529,-0.660461,0.570068
1529292646705605,0.156189,0.470642,-0.662048,0.56189
1529292646721605,0.171387,0.472595,-0.662842,0.554871
1529292646743506,0.184326,0.473328,-0.66217,0.550903
1529292646766492,0.192566,0.474182,-0.660706,0.549072
1529292646781448,0.196777,0.475769,-0.658081,0.549377
1529292646803390,0.198364,0.475708,-0.654846,0.552734
1529292646826282,0.195923,0.474121,-0.650818,0.559692
1529292646841289,0.189758,0.47113,-0.647278,0.568298
1529292646871196,0.180481,0.466858,-0.644043,0.578491
1529292646901127,0.170593,0.460754,-0.640259,0.590454
1529292646916075,0.159363,0.455078,-0.636108,0.602295
1529292646946013,0.133728,0.445129,-0.630371,0.621765
1529292646960969,0.121155,0.441284,-0.628845,0.62854
1529292646983907,0.111267,0.441162,-0.626831,0.632507
1529292647013831,0.105774,0.444214,-0.623352,0.634705
1529292647028788,0.102478,0.446472,-0.621948,0.635071
1529292647050683,0.10321,0.448975,-0.622314,0.632813
1529292647073666,0.105591,0.454407,-0.623962,0.626892
1529292647096559,0.108337,0.46228,-0.625122,0.619446
1529292647118501,0.110107,0.471252,-0.626343,0.611145
1529292647133461,0.115601,0.481934,-0.628479,0.599487
1529292647156399,0.12262,0.493225,-0.630615,0.586426
1529292647178341,0.128967,0.505798,-0.63208,0.572754
1529292647201280,0.135986,0.518005,-0.633667,0.558228
1529292647216242,0.143127,0.530884,-0.635681,0.541809
1529292647231390,0.149109,0.544556,-0.637817,0.523804
1529292647246709,0.152649,0.559998,-0.639587,0.503967
1529292647261532,0.153503,0.577087,-0.641296,0.48175
1529292647283473,0.150879,0.595215,-0.643372,0.457153
1529292647313582,0.14386,0.613525,-0.647156,0.429077
1529292647343543,0.132324,0.630249,-0.653015,0.398438
1529292647373461,0.097229,0.658813,-0.667297,0.333435
1529292647396403,0.0740356,0.669006,-0.676147,0.299622
1529292647411671,0.0480347,0.676208,-0.685669,0.265137
1529292647426322,0.0192261,0.68042,-0.695801,0.229065
1529292647448699,-0.0114746,0.681519,-0.706299,0.191223
1529292647471797,-0.043335,0.67926,-0.716431,0.153137
1529292647486387,-0.0758667,0.67334,-0.726074,0.11676
1529292647508568,-0.108765,0.663513,-0.735596,0.0825195
1529292647531498,-0.141235,0.652161,-0.743103,0.0510864
1529292647546702,-0.173096,0.640015,-0.748291,0.0216064
1529292647575822,-0.205017,0.625244,-0.753052,-0.00634766
1529292647598889,-0.236023,0.608521,-0.756958,-0.0324707
1529292647614270,-0.263977,0.592407,-0.759155,-0.0551758
1529292647636330,-0.287109,0.579102,-0.759338,-0.0748291
1529292647651288,-0.306885,0.566406,-0.759094,-0.093811
1529292647666497,-0.326721,0.553406,-0.757751,-0.11322
1529292647681271,-0.34668,0.539673,-0.755615,-0.133118
1529292647704232,-0.364807,0.526245,-0.75293,-0.151978
1529292647719213,-0.379883,0.515076,-0.749756,-0.168274
1529292647741810,-0.393066,0.505737,-0.745972,-0.182678
1529292647763846,-0.40509,0.496704,-0.742126,-0.196167
1529292647786754,-0.416504,0.486877,-0.738953,-0.208496
1529292647808874,-0.427673,0.475403,-0.736816,-0.219543
1529292647823677,-0.438171,0.463989,-0.734863,-0.229736
1529292647838778,-0.447327,0.453857,-0.732849,-0.238586
1529292647861796,-0.455872,0.443542,-0.731628,-0.245422
1529292647883922,-0.464539,0.432739,-0.731384,-0.249207
1529292647898519,-0.473999,0.420837,-0.732056,-0.249756
1529292647921427,-0.483093,0.408813,-0.733215,-0.248901
1529292647943757,-0.489685,0.399536,-0.734985,-0.245789
1529292647958409,-0.492798,0.394348,-0.736938,-0.242126
1529292647981170,-0.492188,0.393311,-0.738892,-0.239258
1529292648004196,-0.489014,0.399475,-0.73761,-0.239319
1529292648018172,-0.484619,0.40802,-0.735352,-0.240784
1529292648041071,-0.48114,0.413757,-0.734497,-0.240723
1529292648064056,-0.480164,0.414673,-0.735596,-0.237671
1529292648086003,-0.481445,0.410828,-0.738586,-0.2323
1529292648108889,-0.484192,0.403564,-0.742859,-0.225525
1529292648130878,-0.48761,0.395691,-0.746826,-0.218994
1529292648145838,-0.490967,0.389099,-0.749634,-0.213684
1529292648168776,-0.493774,0.38446,-0.751404,-0.209412
1529292648183735,-0.495911,0.381653,-0.75238,-0.205933
1529292648198695,-0.497559,0.379944,-0.75293,-0.203125
