timestamp,x,y,z
1529308432735093,0,-0.3125,-0.5625
1529308432766046,-0.875,-0.4375,-0.5
1529308432782965,-0.375,-0.3125,-0.1875
1529308432796927,0,0,0.1875
1529308432817872,-1.1875,0,0.3125
1529308432841853,-2.6875,0.3125,0.375
1529308432887694,-4.5,0.6875,0.3125
1529308432895662,-8,1.25,-0.125
1529308432898657,-16.125,0.1875,-1
1529308432918603,-18.125,-0.6875,-2.8125
1529308432938548,-7.125,-0.4375,0.125
1529308432954511,8.0625,6.3125,6.1875
1529308432976448,13.625,8.8125,14.25
1529308433006369,6,11.875,25.875
1529308433018336,-2,18.5625,44.9375
1529308433037286,-9.75,24.1875,67.375
1529308433059225,-15.625,37.9375,93.1875
1529308433073201,-32.5625,51.3125,118.313
1529308433095130,-38.625,68.125,138.625
1529308433127046,-33.0625,81.0625,164.813
1529308433133030,-14.625,95,193.813
1529308433154972,5.9375,111,221.375
1529308433177909,13.125,123.938,243.188
1529308433192868,10.875,134.625,264.125
1529308433214810,9.5,142.625,283.625
1529308433237776,21.25,149,289.875
1529308433252709,32.3125,156.938,291.75
1529308433278642,44.3125,162.188,286.938
1529308433297591,57.6875,164.5,274
1529308433312552,62.9375,162.938,255.313
1529308433335489,67.9375,155.313,232.313
1529308433357429,67.8125,140.375,211.125
1529308433372388,69.75,125.25,188.938
1529308433395328,67.5,106.688,169.313
1529308433417269,67.5625,87.5,149.25
1529308433433227,63.375,69.0625,135.25
1529308433455169,62.125,51.0625,120.313
1529308433478107,48.0625,30.5,111
1529308433493068,42.625,14.25,111.063
1529308433515007,29.875,-3.4375,115.813
1529308433531962,6.875,-25.75,115.438
1529308433552906,-6.8125,-48.6875,117.313
1529308433574848,-12.1875,-69.9375,115.938
1529308433591802,-21.625,-89.375,114.625
1529308433612747,-33,-106.938,115.75
1529308433635684,-47,-122,109.25
1529308433651642,-48.1875,-127.375,98.8125
1529308433672587,-48.8125,-124.5,84.9375
1529308433695905,-47.1875,-116.25,70.125
1529308433712069,-45.1875,-107.125,57.8125
1529308433733013,-48.125,-89.5625,44.5625
1529308433755731,-37.5625,-60.5625,35.3125
1529308433772466,-8.4375,-24.5,25
1529308433792972,6.5625,12.25,7
1529308433815938,1.125,33.5,-13.3125
1529308433831665,35.3125,52.25,-26.875
1529308433855860,50.8125,64.625,-36.375
1529308433876026,52.5,67.25,-47
1529308433891765,60,67.4375,-52.1875
1529308433913431,63.8125,65,-56.5
1529308433935441,61.75,58.6875,-58.4375
1529308433953181,54.5,52.3125,-58.0625
1529308433973352,43.6875,45.25,-51.3125
1529308433996053,31.25,35.5,-39.4375
1529308434013857,18.5625,24.75,-24
1529308434036545,1.5625,11.9375,-9.3125
1529308434055483,-15.5,-3.9375,6.5
1529308434073436,-26.75,-20.25,21.5
1529308434096377,-36.625,-37.25,33.0625
1529308434116657,-44.5625,-51.25,41.0625
1529308434131816,-49.625,-60.9375,45.875
1529308434154780,-53.6875,-67.0625,46.875
1529308434175987,-52.4375,-71.0625,45.75
1529308434192940,-47.1875,-71.6875,43
1529308434215214,-42.125,-68.8125,38.625
1529308434236159,-37.3125,-60.625,30.8125
1529308434252133,-27.875,-45.625,19.3125
1529308434275633,-16.8125,-28,4.0625
1529308434296516,-5.3125,-8.875,-10.25
1529308434312088,4.875,10.125,-21.3125
1529308434335029,10,20.125,-31.6875
1529308434356010,16.8125,24.75,-42.8125
1529308434371930,18.8125,25.6875,-54.3125
1529308434394870,20.625,21,-64.375
1529308434416069,19.0625,20,-73.875
1529308434432338,16.875,14.1875,-81.9375
1529308434455014,7.5,6.4375,-92.9375
1529308434477072,-2.5,-2.875,-107.625
1529308434491916,-9.8125,-9.25,-125
1529308434515162,-20.8125,-14.25,-137.5
1529308434538135,-31.1875,-24,-143.75
1529308434552094,-40.9375,-37.1875,-154.563
1529308434575001,-53.625,-50.375,-172.438
1529308434603924,-65.5,-61.5,-190.188
1529308434611904,-65.5,-69.625,-194.438
1529308434634842,-65,-78.1875,-199.5
1529308434657825,-76.1875,-90.8125,-210.125
1529308434671757,-85.1875,-102.625,-221.188
1529308434695679,-76.3125,-112.375,-226
1529308434717677,-59.4375,-118.063,-222.75
1529308434738621,-45.5,-121.75,-221.938
1529308434754555,-45.1875,-125.438,-218.063
1529308434777459,-50.8125,-130.188,-214
1529308434798458,-64.4375,-132.563,-212.5
1529308434815416,-72.125,-126.813,-210.875
1529308434837301,-80.625,-117.625,-207.938
1529308434858245,-86.4375,-111.125,-189.688
1529308434875200,-73.9375,-110.625,-169.813
1529308434897179,-60.25,-106.875,-156.438
1529308434918131,-55.4375,-91.75,-141.625
1529308434935039,-51.3125,-73.9375,-127.813
1529308434957016,-49.4375,-65.75,-113.75
1529308434979062,-0.375,-61.375,-90.6875
1529308434994887,43.75,-65.0625,-68.125
1529308435017343,113.625,-3.0625,-0.4375
1529308435038527,51.625,39,33.3125
1529308435055564,-51.375,32.625,18
1529308435076947,-151.813,16.0625,16.875
1529308435098930,-119.688,16.9375,10.125
1529308435114846,-22.0625,23,2.5625
1529308435137786,25.5,25.9375,-9.6875
1529308435158996,29.75,16.125,-19.4375
1529308435174953,16.0625,6.625,-19
1529308435197881,13.625,0.375,-16.625
1529308435219172,8,-4.5,-14.375
1529308435234602,12.8125,-5.4375,-12.125
1529308435257491,26.1875,-4.0625,-9.5
