timestamp,x,y,z,w
1528885027665139,-0.175171,0.67688,-0.140625,-0.700989
1528885027689063,-0.174622,0.676941,-0.140503,-0.701111
1528885027704020,-0.173889,0.677063,-0.14032,-0.701172
1528885027724991,-0.173218,0.677307,-0.140198,-0.701172
1528885027748914,-0.172607,0.677612,-0.139954,-0.70105
1528885027765855,-0.171997,0.677979,-0.139771,-0.700867
1528885027810737,-0.171326,0.678345,-0.139465,-0.700806
1528885027812732,-0.170471,0.67865,-0.13916,-0.700745
1528885027824698,-0.169556,0.678955,-0.138794,-0.700745
1528885027846639,-0.168579,0.679199,-0.13855,-0.700806
1528885027861600,-0.167908,0.679382,-0.138489,-0.700806
1528885027883574,-0.167603,0.679565,-0.138428,-0.700684
1528885027927424,-0.167603,0.679565,-0.138489,-0.700684
1528885027937397,-0.167358,0.67981,-0.138184,-0.700562
1528885027944378,-0.166748,0.679993,-0.137634,-0.700623
1528885027966321,-0.165955,0.680237,-0.136963,-0.700684
1528885027982278,-0.165161,0.68042,-0.136169,-0.700867
1528885028002223,-0.164368,0.680603,-0.135498,-0.700989
1528885028026160,-0.163513,0.680725,-0.134766,-0.701233
1528885028042117,-0.16272,0.680725,-0.134094,-0.701538
1528885028063061,-0.161926,0.680603,-0.133362,-0.701965
1528885028086005,-0.161255,0.680359,-0.132874,-0.702454
1528885028101957,-0.16095,0.679932,-0.132385,-0.703064
1528885028122901,-0.160828,0.679382,-0.131958,-0.703674
1528885028145839,-0.16095,0.678772,-0.131592,-0.704285
1528885028161798,-0.161255,0.678162,-0.131348,-0.704895
1528885028182741,-0.161682,0.677551,-0.130981,-0.705444
1528885028205680,-0.162109,0.676941,-0.130615,-0.705994
1528885028221638,-0.162476,0.676392,-0.130493,-0.706482
1528885028242595,-0.162903,0.675903,-0.130676,-0.706787
1528885028265521,-0.163635,0.675476,-0.131287,-0.706909
1528885028281477,-0.164551,0.67511,-0.132263,-0.706909
1528885028304416,-0.165527,0.674866,-0.133423,-0.706665
1528885028325399,-0.166504,0.674744,-0.134766,-0.706299
1528885028341317,-0.167419,0.674744,-0.13623,-0.705811
1528885028364295,-0.168335,0.674805,-0.137756,-0.7052
1528885028386244,-0.169312,0.674988,-0.139221,-0.704529
1528885028401202,-0.170227,0.675354,-0.140564,-0.703674
1528885028424112,-0.170959,0.675781,-0.141785,-0.70282
1528885028446041,-0.171631,0.67627,-0.143066,-0.701965
1528885028462047,-0.172241,0.676636,-0.144287,-0.701233
1528885028484076,-0.172729,0.677002,-0.145447,-0.7005
1528885028505889,-0.173096,0.677124,-0.146667,-0.700012
1528885028521835,-0.173218,0.677063,-0.147766,-0.699829
1528885028543819,-0.173096,0.676941,-0.14856,-0.699829
1528885028565718,-0.172546,0.676697,-0.148987,-0.700073
1528885028581676,-0.171448,0.676636,-0.149231,-0.700378
1528885028603623,-0.170044,0.676636,-0.149231,-0.700745
1528885028625580,-0.168152,0.676575,-0.149109,-0.701233
1528885028641516,-0.166016,0.676575,-0.148865,-0.701782
1528885028663883,-0.164001,0.676392,-0.148376,-0.702576
1528885028684810,-0.162354,0.676025,-0.147766,-0.70343
1528885028701770,-0.161682,0.675415,-0.146973,-0.704346
1528885028723706,-0.16217,0.674438,-0.145874,-0.705383
1528885028744931,-0.163879,0.673157,-0.143738,-0.706665
1528885028761889,-0.166565,0.671509,-0.140076,-0.708374
1528885028784456,-0.170654,0.669312,-0.134888,-0.710449
1528885028805398,-0.177185,0.666077,-0.127991,-0.713196
1528885028821376,-0.187256,0.661072,-0.119141,-0.716736
1528885028843952,-0.202637,0.654419,-0.10791,-0.720459
1528885028865367,-0.222961,0.645081,-0.0957031,-0.724548
1528885028881991,-0.247803,0.63269,-0.0817871,-0.729126
1528885028904552,-0.275513,0.617371,-0.0664063,-0.733887
1528885028926495,-0.303955,0.599121,-0.0495605,-0.739075
1528885028949455,-0.330261,0.576904,-0.0310059,-0.74646
1528885028964446,-0.353821,0.551819,-0.0101929,-0.755188
1528885028986347,-0.377197,0.524048,0.0120239,-0.76355
1528885029010500,-0.403809,0.494812,0.034668,-0.768738
1528885029030880,-0.432312,0.464905,0.0595093,-0.770386
1528885029046083,-0.457886,0.434814,0.0874634,-0.770508
1528885029069798,-0.475708,0.405884,0.119141,-0.77124
1528885029090753,-0.486877,0.378113,0.153198,-0.772339
1528885029106680,-0.492798,0.349915,0.189819,-0.773743
1528885029129617,-0.498413,0.322754,0.229004,-0.771362
1528885029150616,-0.504578,0.295715,0.269714,-0.765015
1528885029166574,-0.509338,0.269653,0.30896,-0.756592
1528885029180482,-0.512573,0.240723,0.346313,-0.747986
1528885029202478,-0.514771,0.209045,0.379028,-0.740051
1528885029225416,-0.517395,0.176758,0.406128,-0.732239
1528885029240376,-0.521362,0.146484,0.426392,-0.724487
1528885029262318,-0.525452,0.119385,0.439392,-0.71875
1528885029286233,-0.530518,0.0974121,0.445251,-0.714722
1528885029300216,-0.5354,0.0829468,0.446045,-0.712402
1528885029323101,-0.538635,0.0792236,0.441162,-0.71344
1528885029346092,-0.538635,0.0848389,0.432617,-0.718018
1528885029360055,-0.535767,0.0977783,0.423279,-0.72406
1528885029382993,-0.530396,0.11676,0.414795,-0.730103
1528885029405900,-0.524841,0.141174,0.409424,-0.732788
1528885029420414,-0.520874,0.165771,0.407959,-0.731323
1528885029443325,-0.519531,0.1875,0.408081,-0.726929
1528885029465324,-0.519775,0.20105,0.410156,-0.721985
1528885029489257,-0.522705,0.206482,0.413269,-0.716492
1528885029503346,-0.528198,0.205322,0.416077,-0.711182
