timestamp,x,y,z,w
1529292884494081,-0.62207,-0.127563,-0.60199,0.484192
1529292884517019,-0.620728,-0.129395,-0.602051,0.485291
1529292884532979,-0.619202,-0.131836,-0.601929,0.486755
1529292884553921,-0.617676,-0.134705,-0.601624,0.488281
1529292884577859,-0.616211,-0.137634,-0.601257,0.489807
1529292884598837,-0.61499,-0.140564,-0.600647,0.491211
1529292884644679,-0.614075,-0.143372,-0.599976,0.492371
1529292884652659,-0.61322,-0.145935,-0.599304,0.49353
1529292884658674,-0.612305,-0.148621,-0.598633,0.49469
1529292884697537,-0.611328,-0.151245,-0.598083,0.495728
1529292884718488,-0.610535,-0.153931,-0.597534,0.496521
1529292884733443,-0.609741,-0.15625,-0.59729,0.49707
1529292884756383,-0.609192,-0.158264,-0.597229,0.497131
1529292884778323,-0.608948,-0.160095,-0.59729,0.496826
1529292884793281,-0.608826,-0.161743,-0.597412,0.496338
1529292884816221,-0.608887,-0.162964,-0.597717,0.495483
1529292884839161,-0.609253,-0.163513,-0.598328,0.494141
1529292884853158,-0.609802,-0.163391,-0.599304,0.492249
1529292884877057,-0.610596,-0.162476,-0.600647,0.48999
1529292884891020,-0.61084,-0.160828,-0.601501,0.489075
1529292884913959,-0.612061,-0.15741,-0.60083,0.489624
1529292884935900,-0.614014,-0.15094,-0.598206,0.492371
1529292884958839,-0.623779,-0.132202,-0.585449,0.500671
1529292884980780,-0.636353,-0.108032,-0.56488,0.51416
1529292885003721,-0.646118,-0.0852051,-0.541626,0.530945
1529292885018680,-0.651306,-0.0610352,-0.515076,0.553894
1529292885040620,-0.6521,-0.0317993,-0.478027,0.587646
1529292885063562,-0.65448,0.000915527,-0.431702,0.620728
1529292885078519,-0.657532,0.0357666,-0.376892,0.651367
1529292885101457,-0.654663,0.0722656,-0.3172,0.682312
1529292885123399,-0.646851,0.105774,-0.256775,0.710266
1529292885138359,-0.637756,0.131958,-0.195557,0.733215
1529292885161297,-0.626526,0.150024,-0.132507,0.753235
1529292885183239,-0.609802,0.162292,-0.0721436,0.7724
1529292885198199,-0.588989,0.172607,-0.0227661,0.789124
1529292885221173,-0.567932,0.180115,0.0161133,0.802979
1529292885243080,-0.550415,0.182556,0.048645,0.813232
1529292885266063,-0.533569,0.180115,0.0755005,0.822876
1529292885288956,-0.519714,0.172241,0.0968628,0.831177
1529292885310943,-0.511353,0.160828,0.112732,0.836609
1529292885318876,-0.507019,0.148254,0.123352,0.840027
1529292885340820,-0.502991,0.137512,0.133118,0.842834
1529292885363758,-0.499634,0.127075,0.143738,0.844727
1529292885400657,-0.497559,0.115173,0.163147,0.844116
1529292885423599,-0.493652,0.11908,0.170776,0.84436
1529292885460498,-0.483887,0.136963,0.182678,0.844788
1529292885483438,-0.480286,0.149963,0.180481,0.845154
1529292885521335,-0.477173,0.182617,0.161804,0.844238
1529292885551256,-0.475464,0.20105,0.152222,0.842773
1529292885588356,-0.481934,0.230591,0.146362,0.83252
1529292885603355,-0.487488,0.236267,0.149536,0.827087
1529292885641217,-0.500854,0.235657,0.154907,0.818237
1529292885663158,-0.512268,0.226196,0.161743,0.8125
1529292885701055,-0.533386,0.198181,0.178528,0.802673
1529292885724308,-0.542175,0.183167,0.18634,0.798584
1529292885769056,-0.55188,0.162903,0.191956,0.794983
1529292885790997,-0.550598,0.165771,0.186951,0.796448
1529292885828339,-0.544495,0.187622,0.174683,0.798584
1529292885851453,-0.541138,0.201599,0.165527,0.799438
1529292885881581,-0.535889,0.235657,0.140442,0.798462
1529292885896364,-0.534729,0.247925,0.131409,0.797058
1529292885918307,-0.537598,0.25293,0.12793,0.794128
1529292885933452,-0.54071,0.252686,0.12616,0.792358
1529292885956427,-0.544006,0.249451,0.123474,0.791565
1529292885978368,-0.548706,0.245056,0.118408,0.790466
1529292886001641,-0.554077,0.243958,0.108459,0.788452
1529292886015563,-0.558228,0.249512,0.0921021,0.785889
1529292886038839,-0.563721,0.259888,0.0690918,0.780945
1529292886053676,-0.567078,0.273926,0.0414429,0.775696
1529292886075596,-0.569336,0.290466,0.0127563,0.768982
1529292886098510,-0.569946,0.308899,-0.0162354,0.76123
1529292886121449,-0.567749,0.32843,-0.0403442,0.753784
1529292886136409,-0.560852,0.344849,-0.0588989,0.750366
1529292886158350,-0.547791,0.359253,-0.069397,0.75238
1529292886181288,-0.531494,0.369141,-0.0794678,0.75824
1529292886196250,-0.515564,0.374634,-0.0891724,0.765442
1529292886218223,-0.501892,0.380005,-0.0978394,0.770813
1529292886256133,-0.48822,0.388794,-0.103882,0.774353
1529292886271094,-0.470459,0.399292,-0.105591,0.779724
1529292886301003,-0.452393,0.403809,-0.102173,0.788574
1529292886323945,-0.43103,0.391663,-0.0830688,0.808594
1529292886360854,-0.407349,0.372253,-0.0592651,0.831848
1529292886375813,-0.393494,0.358765,-0.045105,0.845215
1529292886398707,-0.381287,0.345886,-0.0303345,0.85675
1529292886420684,-0.369446,0.33252,-0.0146484,0.867554
1529292886436692,-0.354431,0.314209,0.00189209,0.880676
1529292886458795,-0.339783,0.291443,0.0174561,0.894043
