timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1529310166476842,0,1,-1,-1,-2,-1,-3,0
1529310166476842,-1,0,0,-1,-1,-1,0,-1
1529310166483824,-1,0,-1,-1,-1,1,1,-2
1529310166483824,-2,0,0,-1,-1,-1,-2,-1
1529310166491802,-2,-1,-2,0,0,1,0,-1
1529310166491802,0,-1,0,0,0,-2,-2,-1
1529310166506762,0,-1,-1,0,-3,-1,-2,0
1529310166506762,0,-2,-1,-1,0,1,0,-1
1529310166517733,-1,0,-1,0,-2,-1,0,0
1529310166517733,-2,1,-1,1,-1,-2,-1,-1
1529310166529701,-1,-3,-1,0,-1,-1,0,-1
1529310166529701,1,1,-1,-1,0,-1,0,-2
1529310166536682,-2,-3,1,-1,-1,-1,-1,-2
1529310166536682,0,-1,-1,-2,-2,-1,-1,-1
1529310166551642,-1,0,0,-1,-2,-1,0,1
1529310166551642,-2,-1,0,0,0,-2,-1,0
1529310166562613,1,-2,-1,-1,1,-1,0,0
1529310166562613,-1,-1,-1,0,-1,-1,0,1
1529310166574580,-2,-1,-2,-2,0,0,-2,0
1529310166574580,0,1,-2,-1,0,-1,1,0
1529310166581562,-1,0,-1,-1,-1,0,0,0
1529310166581562,-1,-1,-2,0,1,0,-1,-2
1529310166598518,0,0,0,-1,-1,0,-1,-1
1529310166598518,0,0,0,-1,0,0,0,-1
1529310166604501,-1,-2,-2,0,1,-1,0,-1
1529310166604501,-2,-1,0,0,-1,1,0,0
1529310166619460,-2,0,0,1,0,1,0,-2
1529310166619460,0,-1,0,0,-1,0,0,0
1529310166626442,0,2,0,-2,-1,-1,0,-1
1529310166626442,1,-1,0,1,-1,-1,0,-1
1529310166641401,-2,1,0,-1,-1,1,-2,0
1529310166641401,0,0,-1,0,-1,0,0,0
1529310166656370,0,0,0,-2,-2,-1,0,0
1529310166656370,-1,0,0,-1,-1,2,-2,-1
1529310166667332,-2,-3,-1,1,0,-2,1,1
1529310166667332,-1,-2,1,-2,1,-1,-1,-1
1529310166679300,0,-1,0,0,0,-1,-2,0
1529310166679300,0,-4,0,-2,-2,-1,-1,-2
1529310166686295,1,0,-1,-2,-2,-1,0,-2
1529310166686295,-1,0,1,0,-1,-1,-1,-1
1529310166702240,-1,0,-1,0,-1,-1,-1,1
1529310166702240,0,-1,-1,-1,-1,-1,0,-1
1529310166717199,0,0,-2,0,0,0,-1,-2
1529310166717199,-1,0,1,0,-1,-2,1,1
1529310166724180,-1,0,-1,1,0,-1,1,0
1529310166724180,0,0,0,-1,-1,0,-1,0
1529310166739140,0,0,0,0,-1,-1,0,0
1529310166739140,-1,-2,-2,0,-2,0,0,-1
1529310166747118,0,-2,0,-1,-2,-1,-1,0
1529310166747118,0,-1,-1,-1,-1,-1,-2,0
1529310166784022,1,-2,-1,0,-2,-2,-1,0
1529310166784022,-1,0,-1,-1,-2,-1,0,-1
1529310166791999,-1,-1,0,-2,0,0,0,-1
1529310166791999,-2,-1,0,-2,0,-1,0,-1
1529310166798981,-1,0,-1,-1,-1,-1,-2,-1
1529310166798981,-1,1,-1,-1,0,-1,-1,-1
1529310166806962,0,-1,-2,-2,-1,0,-1,1
1529310166806962,-1,0,1,1,-1,-1,-1,-1
1529310166813971,0,-2,-1,-1,-1,-1,0,-1
1529310166813971,0,-1,-1,-2,-1,1,-1,-1
1529310166821959,0,-1,0,0,-2,-1,-1,-2
1529310166821959,-1,-2,-2,0,-1,-1,-2,-1
1529310166828900,-1,-1,-1,1,0,1,-1,0
1529310166828900,0,-2,0,0,-1,-2,1,1
1529310166843861,0,-1,-1,-1,-1,-1,0,-1
1529310166843861,0,-1,-1,-1,-1,-2,-1,-1
1529310166851839,0,-1,-1,-1,0,0,1,1
1529310166851839,-1,-1,-2,1,0,-1,0,-2
1529310166858820,0,0,-1,-2,0,1,0,-3
1529310166858820,-1,0,-2,-2,0,-2,1,1
1529310166866799,0,0,-1,-1,-1,-2,-1,-1
1529310166866799,-1,-2,1,-1,2,0,-2,-1
1529310166881764,0,-2,1,0,-1,-2,-2,0
1529310166881764,-1,-2,-1,0,0,0,-1,-1
1529310166889738,0,-2,0,-3,-1,0,-2,1
1529310166889738,0,-1,-1,-1,-1,0,-1,1
1529310166904698,-1,-1,1,-1,0,-1,-1,-2
1529310166904698,-1,-1,-1,-1,0,1,0,-1
1529310166911678,0,-1,0,0,-2,0,-1,-2
1529310166911678,0,0,-3,0,-1,0,-2,-1
1529310166919657,-2,1,-1,2,0,-1,1,0
1529310166919657,0,-1,-1,-1,-3,0,-1,0
1529310166926641,-3,-1,-1,0,1,-2,0,-1
1529310166926641,-1,-1,0,-1,1,0,-1,-1
1529310166941599,0,-3,-1,0,0,0,1,0
1529310166941599,-1,-1,-2,0,1,0,0,-1
1529310166949577,-1,0,-1,0,0,-1,-1,-2
1529310166949577,-1,-1,-1,-1,-1,0,-1,1
1529310166964538,0,0,-1,1,-1,0,-2,0
1529310166964538,0,0,0,-1,-1,-1,0,0
1529310166971520,-1,0,-1,-1,-1,1,0,-2
1529310166971520,-1,0,1,2,0,-2,-1,0
1529310166979498,-1,-1,0,-3,-1,1,-1,0
1529310166979498,0,1,0,-1,-1,-1,-1,-1
1529310166986479,-1,0,-1,-2,0,0,-1,-1
1529310166986479,0,-1,-1,-2,-1,-1,0,-2
1529310167001439,-1,0,-1,0,0,-2,-1,1
1529310167001439,0,-2,-1,-1,-1,-1,-1,0
1529310167009418,0,-1,1,-1,0,-1,0,-1
1529310167009418,1,-1,0,0,-2,-1,1,-1
1529310167024378,-1,0,-1,-1,-1,-2,-2,-1
1529310167024378,-1,-2,-1,-2,-2,-1,-2,-2
1529310167031359,-1,0,-2,-1,0,-1,-1,1
1529310167031359,-2,-1,0,-1,0,-1,0,0
1529310167039338,-1,0,-2,0,-1,-4,0,-1
1529310167039338,0,0,0,0,-1,-1,0,-2
1529310167046320,0,0,-2,0,-1,0,-1,1
1529310167046320,0,-1,-1,-1,1,0,0,0
1529310167061279,-1,0,-1,-1,-1,2,-2,-2
1529310167061279,0,-2,-1,1,0,0,-1,-1
1529310167069258,-2,-1,-1,0,-1,-2,1,0
1529310167069258,0,-1,-1,1,-1,0,-2,-1
1529310167084217,-1,-3,-1,1,0,1,0,0
1529310167084217,1,-1,-1,0,-1,-1,0,-1
1529310167092196,1,-1,-1,0,-1,-1,0,-1
1529310167092196,-1,-1,0,-1,-2,-1,-2,0
1529310167099184,-2,0,0,-2,-1,-1,1,0
1529310167099184,-1,1,1,0,0,1,1,0
1529310167107157,-1,0,0,-1,-1,0,-1,-2
1529310167107157,0,-1,-1,-1,0,-1,-1,0
1529310167122116,1,-2,-2,-2,1,-1,-1,0
1529310167122116,-1,-1,0,-2,0,-2,-1,0
1529310167129098,1,-1,1,1,-1,-1,-1,0
1529310167129098,-2,0,-1,-2,0,-1,1,-1
1529310167144071,-1,1,0,1,-1,-1,-1,-1
1529310167144071,-2,0,0,-1,0,-1,-1,-1
1529310167152036,0,0,1,-1,0,0,-2,-1
1529310167152036,0,-1,-1,1,-2,0,0,0
1529310167159018,0,0,1,-1,0,-1,-1,-1
1529310167159018,0,0,0,0,0,0,1,1
1529310167166996,0,0,-1,0,-1,-1,-1,-1
1529310167166996,-2,-1,1,-1,-1,0,-2,-1
1529310167181957,0,0,0,0,-1,-2,1,-2
1529310167181957,-1,-1,-3,0,-1,0,-2,-1
1529310167188950,-2,-1,0,-1,1,-1,-1,-1
1529310167188950,-1,1,-1,-2,-1,-1,-3,-1
1529310167204908,0,-2,-1,0,0,-1,-2,0
1529310167204908,-1,-2,0,-2,0,0,1,-1
1529310167211876,-2,0,0,0,0,0,-1,1
1529310167211876,0,-1,-1,-1,0,0,0,0
1529310167218858,0,0,-1,0,0,0,-1,-1
1529310167218858,0,0,-1,-2,0,-1,0,1
1529310167226837,-1,-1,0,0,-1,-2,0,-1
1529310167226837,1,0,0,0,-1,-1,-1,-1
1529310167241796,-1,-1,-1,-1,0,-1,0,0
1529310167241796,0,0,2,-1,-1,1,-1,-1
1529310167248778,0,0,0,-1,-1,0,1,-1
1529310167248778,-2,-2,0,0,-1,-2,-1,-1
1529310167264737,0,0,-1,0,-1,-2,0,-2
1529310167264737,-1,0,-3,0,0,-1,-2,0
1529310167271719,0,-1,-2,-2,-1,0,1,1
1529310167271719,-1,-1,0,0,-1,0,0,-2
1529310167279697,0,-1,0,-1,-1,0,-1,-1
1529310167279697,-2,-1,-1,0,0,-1,-1,0
1529310167286928,-1,-1,1,-1,0,0,-1,-3
1529310167286928,-1,0,-1,-1,0,0,0,-1
1529310167301904,0,0,0,-2,0,-1,0,0
1529310167301904,-1,-1,0,-1,0,0,0,-1
1529310167309615,1,0,0,1,-2,-1,0,0
