timestamp,x,y,z
1529305575911969,0.896484,0.254883,0.174316
1529305575934907,0.901367,0.263672,0.179688
1529305575958845,0.910645,0.274902,0.184082
1529305575974801,0.911133,0.282227,0.182129
1529305575994750,0.913086,0.279297,0.184082
1529305576019680,0.916504,0.268066,0.190918
1529305576064560,0.919434,0.262207,0.183105
1529305576072540,0.925781,0.258301,0.19043
1529305576081515,0.954102,0.259766,0.196777
1529305576096476,0.967773,0.227539,0.210449
1529305576116422,0.986816,0.173828,0.217285
1529305576140358,0.998535,0.203125,0.219238
1529305576182246,1.02246,0.208496,0.244629
1529305576192219,1.04688,0.17334,0.256836
1529305576198204,1.06738,0.273438,0.273438
1529305576213163,1.06836,0.280762,0.273438
1529305576236103,1.05908,0.34375,0.30957
1529305576259041,1.01611,0.419922,0.337402
1529305576274001,0.978027,0.49707,0.367188
1529305576295942,0.936035,0.570801,0.40918
1529305576316887,0.932129,0.631836,0.444824
1529305576333841,0.923828,0.666504,0.42041
1529305576355782,0.82959,0.731445,0.467773
1529305576377727,0.761719,0.80957,0.516113
1529305576393681,0.727051,0.81543,0.515137
1529305576415623,0.605469,0.820313,0.528809
1529305576437565,0.509277,0.81543,0.581055
1529305576453521,0.452637,0.787598,0.61084
1529305576476460,0.361816,0.805664,0.561035
1529305576497404,0.272461,0.779785,0.571777
1529305576513361,0.190918,0.735352,0.598145
1529305576536326,0.14209,0.717285,0.599609
1529305576558259,0.0942383,0.73584,0.551758
1529305576575195,0.00537109,0.682129,0.550781
1529305576596140,-0.097168,0.65332,0.560059
1529305576619130,-0.144531,0.681641,0.522949
1529305576634073,-0.137695,0.629883,0.489746
1529305576655980,-0.221191,0.524414,0.501953
1529305576678958,-0.349609,0.424316,0.512695
1529305576699862,-0.371582,0.404785,0.492676
1529305576715821,-0.335938,0.389648,0.483887
1529305576738759,-0.352051,0.338379,0.497559
1529305576760739,-0.396484,0.291504,0.492676
1529305576775661,-0.4375,0.299805,0.493164
1529305576797602,-0.459473,0.333008,0.489258
1529305576812571,-0.460449,0.316895,0.47168
1529305576835532,-0.46875,0.27832,0.517578
1529305576857441,-0.462891,0.266602,0.5625
1529305576872407,-0.450684,0.280762,0.587402
1529305576895339,-0.449219,0.265137,0.599121
1529305576917283,-0.525879,0.267578,0.637207
1529305576933239,-0.536133,0.300293,0.666504
1529305576955208,-0.527344,0.290527,0.699219
1529305576978121,-0.529785,0.244141,0.597168
1529305576992083,-0.417969,-0.115234,0.694824
1529305577015051,-0.401367,0.0239258,0.716797
1529305577038005,-0.739746,0.373535,0.600098
1529305577051969,-0.712891,0.671387,0.594727
1529305577075675,-0.666016,0.50293,0.615723
1529305577097885,-0.703125,0.502441,0.733887
1529305577112392,-0.671875,0.507813,0.653809
1529305577135074,-0.807129,0.51123,0.608398
1529305577158098,-0.90625,0.41748,0.616211
1529305577172369,-0.908203,0.401367,0.59668
1529305577194622,-0.877441,0.423828,0.597168
1529305577217606,-0.848145,0.450684,0.587891
1529305577232569,-0.824219,0.476563,0.614746
1529305577254953,-0.789551,0.514648,0.621582
1529305577277784,-0.736816,0.561035,0.64209
1529305577292203,-0.680176,0.563965,0.656738
1529305577316138,-0.62207,0.536621,0.672363
1529305577338082,-0.586914,0.513184,0.681152
1529305577352042,-0.561035,0.481445,0.666504
1529305577374998,-0.541504,0.464844,0.666504
1529305577397919,-0.526855,0.475098,0.670898
1529305577411927,-0.495117,0.480469,0.65625
1529305577434821,-0.486328,0.474609,0.668945
1529305577457760,-0.494629,0.475098,0.678223
1529305577471723,-0.48584,0.440918,0.674316
1529305577494662,-0.498047,0.418945,0.70166
1529305577517600,-0.507813,0.401367,0.706543
1529305577532560,-0.491211,0.407715,0.708008
1529305577554501,-0.5,0.414551,0.713867
1529305577577494,-0.490723,0.425781,0.709473
1529305577592412,-0.475098,0.443359,0.708496
1529305577614396,-0.46582,0.427246,0.709473
1529305577638279,-0.469727,0.405762,0.68457
1529305577652249,-0.497559,0.397461,0.681152
1529305577675059,-0.534668,0.339355,0.619629
1529305577698236,-0.577637,0.389648,0.629883
1529305577712265,-0.726074,0.379395,0.588867
1529305577734604,-0.741699,0.384766,0.562988
1529305577758581,-0.708008,0.373535,0.558105
1529305577772843,-0.76123,0.463867,0.518066
1529305577795405,-0.723145,0.464844,0.568359
1529305577818479,-0.678223,0.440918,0.605469
1529305577832026,-0.644531,0.435059,0.665527
1529305577855226,-0.629395,0.46582,0.697754
1529305577878478,-0.637695,0.480957,0.732422
1529305577892172,-0.646973,0.461426,0.758301
1529305577915155,-0.644043,0.434082,0.780273
1529305577938309,-0.642578,0.418457,0.782715
1529305577952555,-0.645508,0.396973,0.770996
1529305577974497,-0.600586,0.38623,0.741699
1529305577997456,-0.558105,0.371094,0.716797
1529305578012689,-0.546875,0.375977,0.692871
1529305578034633,-0.549316,0.363281,0.64209
1529305578057913,-0.546875,0.344727,0.603027
1529305578071877,-0.541992,0.308594,0.583984
1529305578095072,-0.544434,0.262207,0.557129
1529305578117099,-0.557129,0.21582,0.527344
1529305578131973,-0.571289,0.177734,0.512207
1529305578154911,-0.597168,0.174316,0.501465
1529305578177156,-0.578613,0.192871,0.473145
1529305578192116,-0.48877,0.191406,0.419434
1529305578214857,-0.403809,0.171875,0.398438
1529305578237437,-0.314453,0.149902,0.38623
1529305578252648,-0.206055,0.137695,0.362305
1529305578274601,-0.0639648,0.175781,0.32373
1529305578299311,0.145508,0.20166,0.348633
1529305578312483,0.431152,0.358398,0.358398
1529305578334826,0.643555,0.493164,0.237305
1529305578357479,0.645508,0.572266,0.245117
1529305578372808,0.811035,0.54541,0.25
1529305578394811,1.02979,0.552246,0.200684
1529305578416693,1.02344,0.567871,0.249023
1529305578432682,1.12451,0.532227,0.286621
1529305578456587,1.27832,0.441895,0.303711
1529305578477921,1.42969,0.44043,0.313477
1529305578491856,1.51758,0.464844,0.362305
1529305578514427,1.54102,0.40625,0.350586
1529305578537701,1.58496,0.365723,0.324707
1529305578552584,1.55957,0.246582,0.339355
1529305578574526,1.55518,0.167969,0.365234
1529305578597259,1.48486,0.146973,0.370605
1529305578612463,1.38818,0.166016,0.381348
1529305578635318,1.28711,0.181641,0.40918
1529305578657341,1.19922,0.217773,0.415039
1529305578672298,1.11182,0.208008,0.40332
1529305578695378,1.03125,0.212891,0.416992
1529305578717402,0.95166,0.189941,0.437988
1529305578740692,0.894043,0.156738,0.456543
1529305578755141,0.851074,0.167969,0.436523
1529305578777850,0.821289,0.195313,0.394531
1529305578793789,0.83252,0.21875,0.356934
1529305578814283,0.87207,0.241699,0.299316
1529305578837221,0.933594,0.272461,0.227051
1529305578853516,1.00342,0.283691,0.145508
1529305578874691,1.06104,0.261719,0.0732422
1529305578897582,1.10938,0.237793,0.0166016
1529305578914328,1.13477,0.236328,-0.0239258
1529305578935531,1.07813,0.19873,-0.059082
1529305578957443,1.05762,0.200195,-0.0825195
1529305578974391,1.08057,0.227539,-0.0942383
1529305578995314,1.04102,0.236816,-0.081543
1529305579017320,0.981445,0.218262,-0.0302734
1529305579033283,0.908691,0.198242,0.027832
1529305579055420,0.888184,0.220215,0.0356445
1529305579077673,0.913086,0.261719,0.0327148
1529305579093602,0.873535,0.302246,0.0332031
1529305579114776,0.825684,0.315918,0.0585938
