timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528880178037600,-1,-2,-1,-1,-2,-1,-1,0
1528880178037600,-2,-1,1,0,-1,2,-1,-2
1528880178045578,0,-2,-1,-1,2,-2,-1,0
1528880178045578,-2,-1,0,-1,-2,1,-1,-2
1528880178052559,-2,-1,0,0,-1,-1,-1,-1
1528880178052559,-1,-1,-2,-2,0,-2,0,0
1528880178060537,-1,-1,0,0,-1,-3,-1,-2
1528880178060537,-1,-1,0,-1,-1,0,-2,0
1528880178082497,-2,0,-1,0,0,-2,-2,-2
1528880178082497,1,0,-1,-1,-1,-2,-1,-2
1528880178090458,-3,0,-2,-2,-1,0,-2,-2
1528880178090458,-1,-1,-1,-2,0,-3,-1,-1
1528880178105420,-1,-1,-2,0,-5,0,0,-1
1528880178105420,-1,0,0,0,0,-2,-2,-1
1528880178120380,0,0,-2,-3,1,-1,-2,-1
1528880178120380,-2,-2,-2,-3,-1,0,-1,0
1528880178130351,0,-2,0,0,-1,-1,-3,-1
1528880178130351,-1,-1,-3,0,0,-2,1,0
1528880178142319,-1,-2,0,-3,0,-1,-2,-3
1528880178142319,0,-3,-1,0,-3,-1,-1,-2
1528880178158278,0,-2,-2,-2,-2,-1,-1,0
1528880178158278,-1,-3,-2,1,-2,-2,-2,-2
1528880178165259,-1,-2,-2,-1,0,-1,-1,1
1528880178165259,0,0,0,-1,-1,-1,-1,-2
1528880178183213,-1,-2,-3,0,-2,-1,0,-1
1528880178183213,-2,-2,-1,-1,-1,-1,-2,0
1528880178195183,-1,-2,-2,-1,-1,0,-1,-2
1528880178195183,0,-1,0,-1,0,1,-1,-1
1528880178203157,-1,1,-3,-1,-2,0,0,0
1528880178203157,-1,0,-2,-2,-1,-1,0,0
1528880178218116,0,-1,0,-1,-1,-3,0,-2
1528880178218116,-1,-1,-1,0,-3,-1,0,-2
1528880178227094,-2,-1,-2,1,-1,0,0,0
1528880178227094,-2,-1,-3,-1,-1,-1,-3,-2
1528880178240058,0,-1,-2,-2,-2,-1,-1,0
1528880178240058,-2,-1,-1,-2,-2,-2,-1,-1
1528880178255018,-1,-2,-1,1,-1,-2,-1,1
1528880178255018,-2,-1,-1,-1,-1,0,-2,0
1528880178262998,-1,-1,0,0,0,0,-3,-2
1528880178262998,0,-1,-1,-1,-1,0,-2,-1
1528880178277958,0,-1,-2,-1,-2,-1,-1,-3
1528880178277958,-1,0,1,-2,-1,-3,-1,0
1528880178299899,-2,0,0,-1,-2,0,-1,-1
1528880178299899,-2,0,-3,-1,0,-2,-1,0
1528880178307877,0,1,-3,-1,-2,-2,-1,-1
1528880178307877,-1,-1,0,-1,-2,0,-1,0
1528880178314858,-1,-1,-2,2,0,-2,0,-2
1528880178314858,-1,-2,0,-2,-2,-1,0,-1
1528880178322837,0,-1,-2,-2,-1,-2,-1,0
1528880178322837,-2,0,0,-2,-1,1,-1,-2
1528880178337804,0,-2,-1,-1,-1,-1,0,-1
1528880178337804,0,-1,-1,0,-1,-1,-1,-2
1528880178344778,0,-1,-2,0,-1,-1,0,0
1528880178344778,-2,-3,0,-1,-2,0,-2,-1
1528880178359739,-1,0,-1,-2,0,-2,-1,0
1528880178359739,-1,0,-3,-2,0,-1,0,-2
1528880178367717,0,0,-1,-2,0,-1,-1,-1
1528880178367717,0,0,-2,0,-1,-2,0,-2
1528880178375696,-2,-2,-3,0,-1,-1,-2,-1
1528880178375696,-1,-2,-2,-4,-3,0,-3,0
1528880178382677,0,-1,0,0,0,0,0,1
1528880178382677,0,1,0,3,0,-1,0,1
1528880178397637,-1,-2,-1,1,0,-1,-1,0
1528880178397637,-1,-1,-1,-3,-2,-1,-1,-1
1528880178405616,-2,-2,-2,-3,-1,-1,-2,-1
1528880178405616,-1,0,-2,2,0,-1,0,0
1528880178420578,0,3,2,0,0,-2,0,-3
1528880178420578,-1,-5,-1,-1,-1,-2,0,-1
1528880178427559,-1,-5,-4,-2,-4,-2,-1,0
1528880178427559,-1,-3,-4,-6,-6,-4,-5,-4
1528880178435565,-2,-3,-5,-7,-2,-2,0,0
1528880178435565,0,2,2,1,5,4,2,2
1528880178442523,0,8,7,13,7,3,0,-7
1528880178442523,-1,-9,-4,2,-2,-2,0,-1
1528880178465457,-5,-8,-4,1,-1,3,0,-2
1528880178465457,2,9,3,-9,-7,-5,-3,-3
1528880178472439,-4,-6,-9,-9,-2,-1,0,2
1528880178472439,4,23,1,-1,-2,-4,-3,0
1528880178487398,-5,1,-10,-3,-1,2,-2,-7
1528880178487398,2,-22,5,0,1,-1,-1,5
1528880178495377,-4,11,4,0,-4,-3,-1,-2
1528880178495377,2,-11,-11,-2,-4,-3,1,1
1528880178502359,2,4,5,-1,-2,-3,-1,4
1528880178502359,-3,5,-12,0,-1,4,2,-6
1528880178510338,1,-8,-1,-2,-1,-4,-1,1
1528880178510338,1,1,-4,-7,0,-2,0,1
1528880178517319,1,-3,1,-5,-4,-2,3,2
1528880178517319,-7,1,4,8,4,4,-1,-1
1528880178525297,-5,13,4,-2,2,0,-2,-2
1528880178525297,-3,2,11,2,5,3,2,0
1528880178540259,2,-1,3,-1,-4,-2,-3,-3
1528880178540259,4,-19,-11,-1,-5,-5,1,-1
1528880178548239,-17,12,9,11,0,2,0,-3
1528880178548239,1,9,1,-6,-7,-9,-7,2
1528880178555215,-5,-7,5,1,7,9,2,-3
1528880178555215,-2,5,11,-4,-7,-2,-3,-1
1528880178562198,8,-10,-22,-5,-8,-3,-2,5
1528880178562198,-3,-12,4,-7,4,0,3,-2
1528880178578157,3,6,5,10,9,6,6,2
1528880178578157,-5,-1,1,7,8,-5,-27,-21
1528880178585137,8,-2,10,12,-5,-2,15,2
1528880178585137,2,-5,-4,-13,-11,-4,-6,-1
1528880178600098,-3,-11,3,-3,-4,-3,7,2
1528880178600098,1,7,-14,2,18,5,8,3
1528880178608075,1,-8,-7,-9,-4,-1,-4,-2
1528880178608075,2,-4,1,8,5,9,-4,-4
1528880178615056,0,-5,-35,-4,-10,-9,-6,2
1528880178615056,10,6,-1,-7,-20,-2,1,5
1528880178623035,-7,-14,-6,-18,3,-11,-4,-6
1528880178623035,-11,3,2,10,4,3,7,-1
1528880178637998,6,11,7,14,3,-3,-12,-1
1528880178637998,-1,-6,-9,-12,5,-2,8,-1
1528880178644977,7,-6,4,-7,-17,-2,-2,3
1528880178644977,-11,2,-12,-8,-7,1,0,-1
1528880178659937,-6,-1,14,8,11,1,0,0
1528880178659937,-2,-6,-12,1,-24,-3,-2,-1
1528880178667916,7,5,-1,-9,21,5,3,1
1528880178667916,-1,-8,4,-3,2,-5,1,-3
1528880178674897,-1,-1,-3,7,-25,-1,-3,-2
1528880178674897,-3,1,4,-4,14,-4,4,7
1528880178689858,0,5,2,6,16,3,-10,-7
1528880178689858,-3,-6,-10,13,-1,9,-1,-2
1528880178697836,-13,-1,-4,-35,-16,-12,-2,-5
1528880178697836,5,0,15,-8,5,6,16,11
1528880178712796,-5,1,8,14,-20,-7,-16,-19
1528880178712796,0,-2,7,19,16,-6,-2,-1
1528880178719778,0,5,2,-1,9,10,-4,5
1528880178719778,-3,-7,-5,-5,-13,-2,-9,-11
1528880178735733,-1,0,-1,-13,-1,2,4,2
1528880178735733,6,6,19,-3,-10,-8,0,5
1528880178742715,-8,-11,-26,1,-3,-8,-4,-2
1528880178742715,5,0,-4,-10,3,-3,-4,3
1528880178757675,6,5,9,-11,-2,-4,-7,-3
1528880178757675,-8,-2,-5,-17,-21,-17,-4,-4
1528880178772637,0,-5,4,-4,-1,-2,-1,-2
1528880178772637,6,2,-3,15,12,7,6,8
1528880178780615,-3,11,11,28,23,16,-1,-4
1528880178780615,-6,4,4,11,4,9,-3,-1
1528880178795575,-10,-5,-30,-41,-46,-26,-8,-3
1528880178795575,-2,-7,5,-33,-3,-3,-4,-5
1528880178802556,9,-1,6,9,12,12,8,3
1528880178802556,2,4,6,28,9,-10,-3,0
1528880178817519,-1,-8,1,-15,-20,-7,5,-2
1528880178817519,-6,-4,-11,-18,-16,-2,-5,-7
1528880178832479,-2,-1,-39,-5,5,-8,-2,1
1528880178832479,-5,-6,-9,0,9,21,7,3
1528880178840454,4,1,1,5,-2,-19,-1,0
1528880178840454,0,5,7,-2,4,-5,3,4
1528880178855415,-6,-3,-1,-14,-6,-6,0,-5
1528880178855415,-9,1,9,3,2,9,11,8
1528880178870374,7,2,13,3,-6,-16,-7,-6
1528880178870374,2,0,-14,-2,2,6,0,-2
1528880178877355,0,-1,-1,0,3,0,5,4
1528880178877355,3,-4,-2,-7,-13,-25,-8,-8
1528880178893340,-4,-5,-14,8,11,17,-4,5
1528880178893340,0,-2,4,-9,-15,2,13,-7
1528880178900420,-11,2,0,-5,2,4,-3,-4
1528880178900420,11,-12,4,10,9,1,13,16
1528880178915271,-21,1,13,0,0,-1,-17,-20
1528880178915271,4,-2,-15,-16,-13,1,8,10
1528880178923260,5,7,7,-11,-12,-33,-11,-8
1528880178923260,-2,0,12,20,19,39,5,-9
1528880178937376,5,3,1,-1,-1,2,8,-3
1528880178937376,-3,-6,-4,-1,-2,0,5,12
1528880178952677,-6,5,19,-5,-5,11,5,-6
1528880178952677,0,-7,1,0,-1,-19,-19,-14
1528880178960677,7,-6,-20,3,4,4,-2,2
1528880178960677,-12,-1,-17,-6,-6,2,-18,-15
1528880178975527,9,-12,4,-1,1,-3,13,10
1528880178975527,2,-5,7,-3,-3,0,4,2
1528880178982511,-10,-20,12,4,3,9,-2,3
1528880178982511,12,24,15,3,-2,-23,-13,-3
1528880178997419,-2,-5,13,4,4,8,8,-11
1528880178997419,6,-2,-2,4,4,6,4,-7
1528880179012521,5,-8,14,-1,-1,-1,-8,5
1528880179012521,5,12,14,3,2,13,6,13
1528880179020369,-5,-7,-16,-6,-6,-11,-1,-1
1528880179020369,1,-9,-24,-6,-1,2,-3,10
1528880179035473,2,14,24,7,3,-8,-4,-31
1528880179035473,-18,-4,2,2,0,13,2,3
1528880179043307,4,-5,3,-1,-2,1,-8,4
1528880179043307,1,6,-4,-9,-7,-15,1,-2
1528880179058254,-15,-16,8,0,-2,7,0,-22
1528880179058254,2,12,10,4,0,-11,0,5
1528880179073243,20,0,-34,-5,-4,0,1,9
1528880179073243,-15,-1,23,3,0,-10,14,-6
1528880179080357,-2,38,8,1,0,-4,2,14
1528880179080357,-20,-24,9,0,0,18,-11,-35
1528880179095209,10,10,-6,-8,1,-3,-6,-5
1528880179095209,18,-6,-21,4,2,14,11,19
1528880179103180,-5,-28,30,4,2,10,10,18
1528880179103180,-9,-18,-79,-15,-12,-30,-18,0
1528880179118094,13,-7,2,0,-2,-14,11,4
1528880179118094,7,34,-5,-1,2,11,7,4
1528880179133056,14,-12,10,0,-4,-4,-4,3
1528880179133056,4,-2,-2,-5,-3,-7,-3,2
1528880179140064,0,18,-4,-2,-1,12,-11,-9
1528880179140064,-18,-12,18,-8,-6,-4,2,3
1528880179154995,-8,-8,-4,6,1,6,16,-26
1528880179154995,-6,0,77,4,-4,-11,-6,-5
1528880179163110,5,30,-54,-10,-9,-13,-17,-5
1528880179163110,11,4,42,0,-1,13,18,30
1528880179178292,0,15,35,-4,4,2,5,19
1528880179178292,13,15,-38,10,5,2,17,15
1528880179193252,-19,-36,-19,-15,-3,35,-2,-12
1528880179193252,1,9,-22,-1,-9,-27,0,0
1528880179200232,3,-23,-34,-8,-7,-41,-14,6
1528880179200232,-2,-18,-22,-7,-4,8,5,-25
1528880179215588,3,-17,-26,-9,-10,-9,-18,1
1528880179215588,0,23,6,-4,0,11,17,5
1528880179222569,16,0,17,8,13,32,-57,2
1528880179222569,25,15,43,11,-1,-22,50,1
1528880179237367,-21,4,-4,4,11,54,20,-16
1528880179237367,13,-7,9,-2,-9,-51,-30,11
1528880179253351,6,11,17,2,4,8,10,1
1528880179253351,3,9,-31,-5,-12,-21,-11,20
1528880179260807,-5,5,43,-12,-9,-19,-34,-28
1528880179260807,-17,-26,-54,5,18,29,-6,-3
1528880179275755,13,27,11,19,-4,-5,30,26
1528880179275755,-4,1,9,-10,-5,3,-5,-19
1528880179282736,7,-17,-12,-14,-6,-6,25,-3
1528880179282736,4,8,5,-1,2,10,-14,-6
1528880179297699,-3,-9,7,12,14,4,-19,4
1528880179297699,0,-2,-12,9,2,-6,21,3
1528880179305678,-9,-29,-13,-12,-20,-12,-6,-9
1528880179305678,-4,-1,15,-2,1,10,-7,2
1528880179320479,2,-42,-5,10,2,-13,13,7
1528880179320479,4,41,10,-3,1,30,0,-5
1528880179335583,0,-26,-20,-9,-26,-39,7,-8
1528880179335583,-10,1,12,-25,-4,-9,-10,-5
1528880179342424,0,10,-11,5,16,-10,10,9
1528880179342424,-6,20,7,35,15,28,-11,-10
1528880179358378,-10,-20,8,9,8,15,5,-2
1528880179358378,3,-22,-6,-3,-5,-5,0,1
1528880179365521,1,13,-16,-19,-21,-3,15,10
1528880179365521,-16,-14,2,-19,-22,-27,-25,-28
1528880179380681,-9,-10,-39,9,0,7,3,-2
1528880179380681,-17,19,28,-5,-4,-5,-3,-3
1528880179395640,-3,-10,-45,-18,-18,-15,2,1
1528880179395640,1,11,31,15,10,9,6,-5
1528880179402621,6,2,4,3,10,8,-2,-4
1528880179402621,-1,0,-6,-6,-2,-11,1,4
1528880179417583,-7,-13,0,-3,-5,-1,-1,2
1528880179417583,-3,15,18,-16,-14,-5,-1,3
1528880179425562,-6,-7,-20,-13,-8,-25,-8,-10
1528880179425562,-4,-7,1,12,0,24,-9,-2
1528880179440520,-6,9,-3,-12,15,14,12,-6
1528880179440520,11,1,-36,29,24,1,20,5
1528880179447348,3,19,47,6,-2,2,-16,-3
1528880179447348,-21,-44,-4,-17,0,-11,-1,-2
1528880179462305,3,-4,10,21,23,-1,3,-3
1528880179462305,9,1,12,0,15,8,13,10
1528880179477295,-19,-7,-7,6,5,9,-9,-25
1528880179477295,4,13,5,8,-7,-4,-1,1
1528880179485273,-2,2,-13,-9,-9,-5,1,1
1528880179485273,-2,-4,-4,0,-13,-7,-3,0
1528880179500259,-3,-8,-6,-17,3,-2,-1,2
1528880179500259,1,-4,-16,1,4,0,-5,-3
1528880179507240,-6,10,8,-2,7,3,1,-4
1528880179507240,5,2,4,20,6,1,1,2
1528880179523195,-2,0,-6,12,-5,2,3,3
1528880179523195,5,-1,-1,6,-3,0,3,1
1528880179538103,-2,7,19,-5,1,0,-3,-4
1528880179538103,-4,-2,4,8,-22,-7,-2,-3
1528880179545084,-4,-5,-5,-18,6,2,-1,-3
1528880179545084,3,-4,-28,-13,-6,-10,-1,1
1528880179560099,3,1,10,26,10,15,3,-2
1528880179560099,-4,1,24,2,6,-4,-8,0
1528880179568078,-1,3,-11,7,-12,-2,0,1
1528880179568078,-2,-6,9,-19,-12,-7,-1,-4
1528880179583038,6,2,2,21,16,23,8,3
1528880179583038,-6,-6,-9,5,-4,-22,-2,0
1528880179597997,0,3,23,-9,-3,-10,-8,-2
1528880179597997,3,2,-18,21,8,12,5,8
1528880179604982,-2,-4,8,-18,-15,-4,-6,-9
1528880179604982,-1,-5,-17,-10,1,11,-3,-3
1528880179619937,1,4,18,11,7,2,3,2
1528880179619937,-2,0,12,7,1,-9,-4,1
1528880179627916,1,-4,-13,4,-3,3,3,4
1528880179627916,-1,1,4,-11,-6,-6,-9,-6
1528880179642879,0,2,-6,9,7,1,10,7
1528880179642879,-5,2,8,-4,-3,0,-4,-6
1528880179657840,1,-4,-9,-8,-1,-1,0,5
1528880179657840,-7,2,2,-1,2,11,3,-2
1528880179664819,0,5,6,-6,-13,-23,-8,-4
1528880179664819,10,-10,-3,4,2,-7,6,8
1528880179680749,2,4,-11,-3,4,10,3,3
1528880179680749,-3,4,2,0,-1,-2,-9,-10
1528880179687704,0,-4,-2,-3,-2,2,3,5
1528880179687704,-1,4,3,-2,2,11,4,0
1528880179702716,-7,7,4,-3,-2,-6,-4,-7
1528880179702716,-2,-7,4,1,3,20,-4,1
1528880179717676,-6,7,6,-2,-6,-26,-2,-6
1528880179717676,8,-12,5,0,-4,-6,12,13
1528880179725657,-17,-8,-1,-3,0,-1,-25,-23
1528880179725657,-7,9,-5,-1,1,-3,2,-4
1528880179740614,-4,-5,-1,2,2,16,5,11
1528880179740614,1,3,-25,-5,-5,1,-14,-15
1528880179747543,4,-5,-3,-6,-7,-24,-7,8
1528880179747543,-11,-1,-10,-5,-5,-5,3,-2
1528880179762503,10,2,-4,-3,-1,15,8,3
1528880179762503,-11,9,11,0,2,9,-6,-5
1528880179785579,-19,13,11,0,-2,-27,-9,-3
1528880179785579,-1,-8,12,7,6,8,4,3
1528880179792560,-17,-4,-17,-1,-5,0,5,-4
1528880179792560,9,-4,17,1,-1,-4,3,11
1528880179807728,-1,13,-10,-1,0,14,-3,-10
1528880179807728,-6,-5,2,-10,-6,-8,-6,-2
1528880179815077,0,28,0,-2,-1,5,-3,9
1528880179815077,3,-19,-5,-4,-5,-7,-5,-2
1528880179830868,4,2,0,1,2,2,-16,4
1528880179830868,2,0,-27,-4,-6,-1,-9,7
1528880179853173,1,-17,14,9,15,9,-4,4
1528880179853173,0,21,15,9,4,0,5,2
1528880179868327,9,6,-2,-1,-4,-4,0,11
1528880179868327,3,-42,-60,-10,-8,-14,5,15
1528880179875299,6,11,20,-14,-8,-7,-9,-14
1528880179875299,15,-5,-3,0,1,24,8,2
1528880179890439,12,4,-21,5,5,2,-11,17
1528880179890439,4,-19,13,3,-7,-20,-44,-18
1528880179905399,-23,14,8,10,1,-7,0,-12
1528880179905399,1,-22,-19,-2,0,6,-3,6
1528880179920224,27,-26,-4,3,16,44,2,1
1528880179920224,20,65,25,-5,-22,-100,-89,-5
1528880179928357,-24,-25,-8,-15,-14,-14,5,5
1528880179928357,-23,1,-2,-2,-1,-15,7,-7
1528880179943286,7,-4,-4,-5,-13,-19,11,-4
1528880179943286,9,-2,10,-2,-5,-34,-16,-5
1528880179958289,-15,-25,-7,-6,-1,23,32,-12
1528880179958289,12,20,8,6,2,12,31,20
1528880179965414,-8,-9,-10,0,-8,1,-9,1
1528880179965414,9,-4,-26,-3,4,15,12,11
1528880179980477,-4,-7,-20,-30,-3,-11,-11,-14
1528880179980477,2,7,33,13,4,0,20,6
1528880179988349,1,-12,-5,6,6,11,10,-4
1528880179988349,-3,16,26,7,-5,-5,7,-5
1528880180003313,-18,-29,-23,-9,2,2,-12,-5
1528880180003313,2,20,19,19,17,7,9,6
1528880180018336,0,4,2,15,-1,-18,-13,-12
1528880180018336,-8,-12,-14,-14,-4,10,3,-1
1528880180025363,14,17,0,-2,-6,1,3,3
1528880180025363,-4,-11,-1,-13,-9,-10,11,-2
1528880180040528,-9,-9,-31,-2,-1,5,-1,-1
1528880180040528,6,0,4,11,5,-16,-2,-1
1528880180048342,7,11,6,0,5,1,15,-5
1528880180048342,-9,4,-4,-14,-8,1,-3,-4
1528880180070544,8,5,5,4,8,0,13,5
1528880180070544,-3,2,-2,22,13,3,2,1
1528880180085599,1,-5,10,12,7,1,-4,-5
1528880180085599,-1,7,4,6,0,4,10,7
1528880180092790,-4,-13,-10,-12,-9,-6,-2,-1
1528880180092790,-2,2,-15,-15,-11,-4,-9,-18
1528880180107594,-2,0,10,-10,-7,-9,1,0
1528880180107594,-10,-11,-3,-2,0,1,7,1
1528880180115719,7,6,13,14,9,5,-21,-5
1528880180115719,-6,-2,-3,-2,3,-2,-2,-3
1528880180122703,2,-2,1,2,-1,1,-5,-10
1528880180122703,-3,-4,-9,-5,-3,-5,-1,2
1528880180137705,2,3,-3,-9,-7,-2,3,-1
1528880180137705,-9,-22,-3,5,7,6,-1,1
1528880180144881,12,8,-1,6,5,2,4,1
1528880180144881,-3,4,0,0,0,4,-1,-2
1528880180160041,2,2,10,5,-1,-5,1,0
1528880180160041,1,-3,-7,-4,-7,1,-9,-2
1528880180168324,-2,-5,-1,-12,-9,-6,2,1
1528880180168324,-1,-7,-4,-7,-6,-2,-1,-4
1528880180183328,-8,7,1,3,-1,2,-1,-3
1528880180183328,0,-2,0,-3,-3,-2,3,3
1528880180198271,-4,-6,-1,-2,-2,-4,-1,2
1528880180198271,1,1,-7,-7,-5,-7,-8,-13
1528880180205268,1,-1,1,0,1,1,1,-1
1528880180205268,-4,-3,4,-4,-2,4,1,-2
1528880180220435,-2,-1,-15,-6,-6,-12,-3,-1
1528880180220435,2,3,7,8,6,4,-2,2
1528880180227422,-2,-2,4,9,4,3,1,1
1528880180227422,0,-3,-9,0,-2,-2,1,-4
1528880180242384,-1,-3,-5,-6,-4,-2,-1,2
1528880180242384,-1,0,5,4,3,0,1,3
1528880180258392,1,-3,2,4,2,3,-1,-3
1528880180258392,-2,2,-3,0,-1,-2,-3,-1
1528880180265479,-2,-4,-2,-5,-4,-2,1,-1
1528880180265479,1,-2,-5,-5,-4,-3,0,-1
1528880180280441,-1,5,4,2,2,-1,-1,-2
1528880180280441,-2,-3,-1,-2,-1,-1,-3,-1
1528880180288296,-2,-1,-2,-2,-2,-1,-1,0
1528880180288296,1,0,-1,0,2,0,3,7
1528880180303333,-2,-1,-3,-4,-4,-4,-5,-1
1528880180303333,-1,-5,-1,-2,-3,-1,0,0
1528880180317545,0,3,3,1,0,-1,1,0
1528880180317545,-1,0,-5,-2,-1,-2,-1,-2
1528880180325361,0,-3,-1,-2,-2,1,0,1
1528880180325361,-1,0,-1,0,0,-3,-2,-1
1528880180340457,-2,0,1,1,-1,1,-2,-3
1528880180340457,1,-1,-3,-1,0,0,1,-1
1528880180348299,0,-1,-2,-4,-1,-2,-1,-2
1528880180348299,-1,-3,-4,-3,-1,-2,-2,-3
1528880180363322,-2,-1,1,0,0,0,3,0
1528880180363322,-3,-2,-2,0,1,-1,-3,1
1528880180370450,0,1,-2,-2,-1,0,-1,0
1528880180370450,-2,-1,-3,-2,-2,-2,-2,-3
1528880180385459,-2,0,-2,-1,-1,0,0,-1
1528880180385459,0,-2,0,-3,-1,-1,-2,-1
1528880180400516,-1,-1,0,-2,-2,-3,-2,-1
1528880180400516,-1,-1,-3,-3,-3,0,-1,0
1528880180407395,0,0,-2,0,-1,-1,1,-3
1528880180407395,0,-2,-1,-1,-2,0,-1,-1
1528880180423347,-3,-1,0,-1,-1,-2,-2,-3
1528880180423347,0,0,-3,-2,0,0,-2,0
1528880180430442,-1,-2,-1,-1,-3,-1,0,1
1528880180430442,0,-2,0,-1,0,0,2,6
1528880180445402,0,-2,-1,-1,-1,-1,0,1
1528880180445402,0,-1,-1,-1,-1,0,-1,-3
1528880180460206,1,-1,-1,-1,0,1,2,4
1528880180460206,-1,0,0,-1,-1,-1,0,0
1528880180467510,-2,-3,-2,-3,-1,0,-3,-4
