timestamp,x,y,z,w
1529288625878019,-0.450439,0.456421,-0.348694,-0.683594
1529288625901955,-0.458313,0.441223,-0.344116,-0.690613
1529288625918910,-0.467346,0.423889,-0.339111,-0.697815
1529288625937895,-0.477356,0.402832,-0.33313,-0.70636
1529288625961796,-0.487976,0.37854,-0.325928,-0.71582
1529288625982743,-0.499023,0.351563,-0.317017,-0.725891
1529288625997699,-0.510132,0.322083,-0.306091,-0.73645
1529288626037593,-0.520874,0.290771,-0.292725,-0.747375
1529288626045573,-0.53125,0.258911,-0.276489,-0.757874
1529288626059535,-0.540588,0.227417,-0.257568,-0.767944
1529288626084468,-0.550049,0.196106,-0.237,-0.776489
1529288626100424,-0.55896,0.164795,-0.214539,-0.783875
1529288626119375,-0.56604,0.133423,-0.190186,-0.791016
1529288626165252,-0.569763,0.102417,-0.164673,-0.798645
1529288626166249,-0.569946,0.0718384,-0.139099,-0.806702
1529288626179215,-0.567871,0.0413208,-0.114075,-0.814209
1529288626200158,-0.564026,0.0114136,-0.0890503,-0.820923
1529288626216115,-0.559387,-0.0180054,-0.0638428,-0.826294
1529288626239054,-0.554504,-0.046936,-0.0384521,-0.830017
1529288626260997,-0.549561,-0.074707,-0.0131836,-0.832031
1529288626275955,-0.545227,-0.101196,0.0113525,-0.832153
1529288626298895,-0.541077,-0.125977,0.0355835,-0.830811
1529288626320872,-0.536011,-0.147827,0.0593872,-0.829102
1529288626335798,-0.529358,-0.166992,0.0820313,-0.827759
1529288626358778,-0.520447,-0.184387,0.103455,-0.827332
1529288626380675,-0.510864,-0.199463,0.123169,-0.827148
1529288626395636,-0.502014,-0.211975,0.14093,-0.826599
1529288626418574,-0.493286,-0.222595,0.15741,-0.826111
1529288626440551,-0.485474,-0.231018,0.17157,-0.825623
1529288626456481,-0.479492,-0.237305,0.183472,-0.824768
1529288626478417,-0.475525,-0.241638,0.194092,-0.823364
1529288626501355,-0.473267,-0.244202,0.203125,-0.821716
1529288626516346,-0.473145,-0.244629,0.210388,-0.819824
1529288626538254,-0.473938,-0.243713,0.21582,-0.818237
1529288626561194,-0.476746,-0.241394,0.219238,-0.816406
1529288626576154,-0.479675,-0.239258,0.221313,-0.814697
1529288626598095,-0.4823,-0.237366,0.222656,-0.813354
1529288626621035,-0.485107,-0.236023,0.222778,-0.812073
1529288626635994,-0.487793,-0.235229,0.221741,-0.810913
1529288626658931,-0.490173,-0.235229,0.219971,-0.809998
1529288626680917,-0.491882,-0.235596,0.217529,-0.809509
1529288626695834,-0.493286,-0.235962,0.214539,-0.809326
1529288626718771,-0.494629,-0.236206,0.211304,-0.809326
1529288626740714,-0.495972,-0.23645,0.207886,-0.809326
1529288626755674,-0.497864,-0.236511,0.204407,-0.809021
1529288626778647,-0.500427,-0.236572,0.200867,-0.808289
1529288626801618,-0.502136,-0.237061,0.197754,-0.807861
1529288626815830,-0.503174,-0.237915,0.19519,-0.807617
1529288626838793,-0.50415,-0.23877,0.193298,-0.80719
1529288626860695,-0.505371,-0.23938,0.191528,-0.806641
1529288626875656,-0.505859,-0.240112,0.190125,-0.806458
1529288626898594,-0.506165,-0.241028,0.188965,-0.806274
1529288626912658,-0.507141,-0.241699,0.188171,-0.805664
1529288626935801,-0.508667,-0.242371,0.187683,-0.804565
1529288626958885,-0.510559,-0.242798,0.187622,-0.803284
1529288626973373,-0.513,-0.24292,0.18811,-0.801575
1529288626996516,-0.515503,-0.242554,0.188965,-0.799866
1529288627018525,-0.517212,-0.241882,0.189941,-0.798767
1529288627033436,-0.517822,-0.24115,0.191101,-0.798279
1529288627056444,-0.517639,-0.240234,0.192566,-0.79834
1529288627080549,-0.517273,-0.239136,0.194092,-0.798523
1529288627093452,-0.516602,-0.238281,0.195313,-0.79895
1529288627116669,-0.515625,-0.237976,0.195801,-0.7995
1529288627138817,-0.514709,-0.238342,0.195313,-0.80011
1529288627154301,-0.514221,-0.239014,0.194031,-0.800537
1529288627177268,-0.513916,-0.240051,0.192383,-0.800842
1529288627198140,-0.513977,-0.241028,0.190125,-0.801086
1529288627214098,-0.514709,-0.241455,0.187439,-0.801086
1529288627237443,-0.515747,-0.241272,0.184631,-0.801086
1529288627258565,-0.516846,-0.240784,0.18158,-0.80127
1529288627274343,-0.518188,-0.240051,0.178589,-0.80127
1529288627297282,-0.519531,-0.239014,0.176025,-0.80127
1529288627318658,-0.520996,-0.237183,0.173401,-0.801453
1529288627334615,-0.522034,-0.234314,0.170654,-0.802185
1529288627356957,-0.522278,-0.230347,0.167725,-0.803833
1529288627378899,-0.521851,-0.224854,0.164001,-0.806396
1529288627393860,-0.520996,-0.217712,0.158936,-0.809937
1529288627417551,-0.51947,-0.208862,0.151917,-0.814575
1529288627440537,-0.517273,-0.198242,0.142883,-0.820251
1529288627454644,-0.515259,-0.185608,0.131653,-0.826294
1529288627477582,-0.513916,-0.170532,0.118347,-0.832397
1529288627499323,-0.512634,-0.152527,0.10321,-0.838684
1529288627522684,-0.510925,-0.131409,0.0859985,-0.845215
1529288627537643,-0.51001,-0.107666,0.0667114,-0.85083
1529288627559020,-0.510071,-0.0818481,0.0461426,-0.855042
1529288627574334,-0.510498,-0.0552368,0.0247803,-0.857788
1529288627603319,-0.509705,-0.0289917,0.00323486,-0.859924
1529288627618614,-0.509827,-0.00427246,-0.0186157,-0.860107
1529288627634416,-0.513184,0.0188599,-0.0412598,-0.857117
1529288627657564,-0.517822,0.0411987,-0.0639648,-0.852173
1529288627678509,-0.52124,0.0637817,-0.0859375,-0.846741
1529288627695464,-0.522095,0.0877075,-0.107849,-0.841553
1529288627716406,-0.520508,0.113281,-0.130127,-0.836304
1529288627738383,-0.518005,0.140625,-0.152466,-0.829895
1529288627754306,-0.516785,0.167908,-0.174561,-0.821167
1529288627777244,-0.517517,0.193909,-0.196533,-0.809937
1529288627798190,-0.519104,0.219055,-0.218567,-0.796753
1529288627814145,-0.521179,0.243469,-0.241394,-0.781616
1529288627837083,-0.521973,0.267822,-0.265686,-0.765076
1529288627858027,-0.520752,0.293701,-0.290283,-0.747253
1529288627882963,-0.516602,0.320679,-0.314087,-0.729187
1529288627896925,-0.510803,0.348511,-0.336121,-0.710388
1529288627918866,-0.501831,0.377136,-0.354309,-0.693176
1529288627934824,-0.492737,0.403809,-0.369141,-0.676697
1529288627956765,-0.482483,0.426392,-0.380798,-0.663635
1529288627979704,-0.468567,0.446472,-0.38623,-0.657288
1529288627994664,-0.45752,0.458801,-0.388428,-0.655212
1529288628016605,-0.446594,0.46759,-0.388428,-0.656555
1529288628039544,-0.436462,0.475159,-0.387024,-0.658752
1529288628054504,-0.428162,0.482361,-0.384766,-0.660339
1529288628076445,-0.423645,0.487671,-0.383118,-0.660278
1529288628100381,-0.420837,0.491577,-0.382202,-0.659729
1529288628114343,-0.419983,0.493835,-0.38208,-0.65863
1529288628137317,-0.42157,0.493835,-0.383057,-0.657043
1529288628160221,-0.424927,0.491333,-0.385254,-0.655518
1529288628181164,-0.429871,0.486816,-0.388184,-0.653931
1529288628197268,-0.436279,0.48053,-0.391357,-0.652405
1529288628220343,-0.443359,0.473267,-0.393921,-0.651428
1529288628241533,-0.44989,0.466492,-0.395081,-0.651123
1529288628257469,-0.454773,0.461731,-0.394043,-0.651794
1529288628280387,-0.457275,0.459412,-0.390564,-0.653748
1529288628301510,-0.457214,0.459778,-0.384277,-0.657227
1529288628316616,-0.453735,0.463013,-0.375549,-0.662415
1529288628339793,-0.44812,0.46759,-0.365784,-0.668396
1529288628360663,-0.440125,0.472595,-0.356201,-0.675415
1529288628377064,-0.430481,0.477356,-0.34845,-0.682312
1529288628400003,-0.420227,0.481323,-0.34314,-0.688477
1529288628421147,-0.411743,0.484009,-0.340454,-0.693115
1529288628437178,-0.405884,0.485535,-0.339722,-0.695862
1529288628467095,-0.403137,0.485352,-0.341064,-0.696899
1529288628481241,-0.402649,0.484375,-0.344299,-0.696289
1529288628497187,-0.404053,0.482788,-0.348206,-0.69458
1529288628519849,-0.406799,0.48053,-0.352722,-0.692261
1529288628541046,-0.411072,0.477783,-0.35791,-0.688965
1529288628556580,-0.416626,0.47467,-0.36322,-0.684998
