timestamp,x,y,z,w
1528876498042961,0.513428,0.412903,0.355774,-0.662781
1528876498064884,0.513428,0.413025,0.35553,-0.662842
1528876498079845,0.513306,0.413147,0.355225,-0.663025
1528876498105774,0.513184,0.41333,0.354797,-0.663269
1528876498125721,0.512939,0.413574,0.354431,-0.663452
1528876498140686,0.512817,0.413757,0.354126,-0.663635
1528876498164620,0.512756,0.413879,0.353882,-0.663696
1528876498215483,0.512817,0.414063,0.353638,-0.663696
1528876498223461,0.512756,0.414246,0.353394,-0.663696
1528876498260363,0.512451,0.414551,0.353149,-0.66394
1528876498282325,0.512146,0.414856,0.352844,-0.664124
1528876498320202,0.511292,0.414978,0.350708,-0.665833
1528876498344138,0.509949,0.415222,0.347778,-0.668274
1528876498380087,0.508667,0.414063,0.344971,-0.671387
1528876498402980,0.510132,0.409241,0.341858,-0.674805
1528876498417942,0.511597,0.400757,0.337646,-0.680908
1528876498447860,0.517212,0.372498,0.321106,-0.700439
1528876498462822,0.522095,0.353943,0.307983,-0.712219
1528876498478777,0.527039,0.330383,0.291077,-0.726868
1528876498499722,0.532043,0.301697,0.270386,-0.74353
1528876498514682,0.539551,0.266846,0.245483,-0.759888
1528876498537648,0.548889,0.226196,0.215454,-0.77533
1528876498544603,0.5578,0.182312,0.179565,-0.789551
1528876498574522,0.564392,0.135986,0.136353,-0.802734
1528876498605440,0.566406,0.0880127,0.0886841,-0.814636
1528876498620400,0.563416,0.0391846,0.0379028,-0.824341
1528876498642340,0.554504,-0.00915527,-0.0136719,-0.832031
1528876498657300,0.539795,-0.0570068,-0.0621948,-0.837585
1528876498680284,0.521423,-0.103027,-0.105469,-0.840515
1528876498702208,0.500977,-0.145569,-0.142883,-0.841125
1528876498725118,0.480103,-0.183472,-0.175049,-0.839783
1528876498755040,0.4422,-0.240173,-0.227722,-0.833618
1528876498777978,0.426025,-0.258179,-0.249451,-0.830444
1528876498799920,0.411682,-0.269287,-0.267761,-0.828491
1528876498814932,0.399353,-0.27417,-0.282471,-0.828003
1528876498837818,0.388611,-0.271851,-0.291992,-0.830627
1528876498859760,0.378479,-0.265564,-0.298096,-0.835144
1528876498874720,0.371826,-0.254456,-0.301636,-0.840271
1528876498897675,0.370605,-0.237244,-0.303467,-0.845215
1528876498919628,0.37561,-0.214417,-0.302368,-0.849426
1528876498934605,0.386047,-0.187012,-0.296692,-0.853271
1528876498957498,0.399048,-0.157227,-0.285583,-0.857056
1528876498980487,0.414551,-0.122742,-0.268433,-0.86084
1528876498995446,0.431335,-0.0830078,-0.248169,-0.863403
1528876499017389,0.449646,-0.0437622,-0.229492,-0.862122
1528876499040327,0.467529,-0.00982666,-0.214355,-0.857544
1528876499055285,0.483765,0.0153809,-0.201782,-0.851501
1528876499077227,0.493896,0.0244141,-0.192505,-0.847595
1528876499100321,0.502258,0.0283203,-0.184448,-0.84436
1528876499115283,0.506653,0.0223999,-0.18335,-0.842163
1528876499137230,0.505554,0.00170898,-0.190674,-0.841492
1528876499160215,0.505188,-0.0247192,-0.200745,-0.838989
1528876499183121,0.503845,-0.0575562,-0.213745,-0.834961
1528876499205046,0.500244,-0.0939331,-0.228394,-0.829895
1528876499235019,0.483582,-0.165771,-0.258362,-0.819763
1528876499257952,0.471008,-0.197144,-0.27301,-0.815369
1528876499280003,0.45813,-0.223694,-0.287476,-0.810852
1528876499302301,0.446899,-0.244324,-0.300476,-0.806458
1528876499318123,0.435791,-0.259338,-0.310242,-0.804138
1528876499340092,0.424988,-0.2677,-0.314636,-0.80542
1528876499363082,0.410706,-0.269836,-0.316101,-0.811584
1528876499377964,0.395203,-0.263855,-0.316956,-0.820862
1528876499400497,0.383118,-0.249207,-0.317383,-0.830933
1528876499422282,0.378601,-0.225891,-0.316589,-0.839905
1528876499437379,0.381287,-0.195984,-0.313599,-0.84729
1528876499460538,0.388428,-0.160706,-0.308228,-0.853394
1528876499482654,0.396301,-0.123169,-0.300537,-0.858765
1528876499497648,0.403687,-0.0906372,-0.287415,-0.863892
1528876499520592,0.436768,-0.0628662,-0.268005,-0.856445
1528876499542686,0.477966,-0.0454712,-0.250183,-0.840759
1528876499565152,0.495422,-0.0343628,-0.237427,-0.8349
1528876499580307,0.485718,-0.0299683,-0.230225,-0.842773
1528876499603110,0.471497,-0.0267334,-0.226318,-0.851929
1528876499625052,0.466125,-0.0178223,-0.221558,-0.856323
1528876499640039,0.469055,-0.00866699,-0.217163,-0.856018
1528876499662980,0.471924,-0.00579834,-0.216858,-0.854553
1528876499685138,0.472717,-0.00665283,-0.218445,-0.853699
1528876499700261,0.470093,-0.0090332,-0.219543,-0.854858
1528876499722568,0.464661,-0.0119629,-0.220581,-0.857483
1528876499753010,0.459961,-0.0147705,-0.221191,-0.859863
1528876499767993,0.45752,-0.0181885,-0.221924,-0.860901
1528876499789788,0.456787,-0.022583,-0.223083,-0.860901
1528876499804815,0.455811,-0.0274048,-0.223999,-0.861023
1528876499827740,0.454651,-0.03125,-0.224487,-0.861389
1528876499842700,0.454529,-0.0333862,-0.223816,-0.861511
1528876499864644,0.455811,-0.034668,-0.22168,-0.861389
1528876499887579,0.458069,-0.0355835,-0.21814,-0.861023
1528876499902532,0.461792,-0.0357666,-0.213013,-0.860291
1528876499925504,0.467896,-0.034729,-0.2052,-0.858948
1528876499947422,0.477112,-0.0324707,-0.193359,-0.856689
1528876499962373,0.488892,-0.0292358,-0.176514,-0.853821
1528876499985318,0.50116,-0.026123,-0.155945,-0.850769
1528876500007207,0.513489,-0.020752,-0.131592,-0.847717
1528876500022167,0.526794,-0.0120239,-0.105652,-0.843323
1528876500045107,0.542114,-0.000244141,-0.0787354,-0.836609
1528876500068045,0.556458,0.0136719,-0.0484619,-0.829346
1528876500083006,0.566162,0.0297852,-0.0148926,-0.823608
1528876500105273,0.574463,0.0496826,0.0184937,-0.816833
1528876500127071,0.586365,0.0731201,0.0511475,-0.805115
1528876500142028,0.599548,0.0995483,0.0853882,-0.789551
1528876500164967,0.608337,0.129211,0.120117,-0.773804
1528876500188027,0.614258,0.162231,0.150085,-0.757507
1528876500210056,0.61792,0.196167,0.175171,-0.740967
1528876500232852,0.621155,0.223572,0.203186,-0.723083
1528876500262769,0.612427,0.267761,0.271118,-0.692627
1528876500284833,0.597839,0.294678,0.30011,-0.682373
1528876500314939,0.583008,0.324524,0.322266,-0.671509
1528876500329899,0.573853,0.353027,0.340881,-0.65564
1528876500353011,0.567078,0.378601,0.360413,-0.636536
1528876500368064,0.5578,0.399597,0.38147,-0.619385
1528876500382108,0.550171,0.402466,0.406128,-0.608582
1528876500412345,0.542053,0.404663,0.425903,-0.60083
1528876500443119,0.540039,0.402832,0.439941,-0.593689
1528876500457096,0.557495,0.382751,0.460754,-0.574707
1528876500472182,0.568237,0.370178,0.475769,-0.560059
1528876500488062,0.557129,0.375793,0.470703,-0.571655
1528876500503066,0.543884,0.382996,0.459534,-0.588501
1528876500525285,0.535034,0.387695,0.451355,-0.599731
1528876500555346,0.531311,0.388367,0.447571,-0.605408
1528876500562200,0.529114,0.388123,0.442261,-0.611389
1528876500585176,0.525452,0.389343,0.435486,-0.61853
1528876500600272,0.522156,0.390381,0.429138,-0.625122
1528876500615242,0.520264,0.390564,0.423645,-0.63031
1528876500645061,0.519897,0.389771,0.418884,-0.634277
1528876500667957,0.521301,0.387939,0.414795,-0.636902
1528876500682916,0.524414,0.385254,0.41156,-0.638123
1528876500697875,0.528198,0.382629,0.408325,-0.638611
1528876500719817,0.531006,0.380981,0.404541,-0.639709
1528876500734777,0.532288,0.380859,0.399902,-0.641602
1528876500757855,0.532532,0.38208,0.394897,-0.643738
1528876500779992,0.532654,0.38385,0.389832,-0.645691
1528876500794847,0.532776,0.385986,0.384583,-0.647461
1528876500817225,0.532776,0.388489,0.378601,-0.649536
1528876500840413,0.531799,0.391846,0.37207,-0.6521
1528876500855480,0.530518,0.395325,0.364868,-0.655029
1528876500877265,0.528748,0.39917,0.357361,-0.658264
1528876500900207,0.526611,0.403259,0.349548,-0.661682
1528876500915535,0.524475,0.407104,0.342041,-0.664978
1528876500937444,0.52301,0.409729,0.336609,-0.667236
1528876500960596,0.520935,0.412109,0.331909,-0.669739
