timestamp,x,y,z,w
1529305716530610,0.0447388,0.625427,0.220154,-0.747192
1529305716545569,0.0460815,0.62561,0.221191,-0.746704
1529305716560528,0.0473633,0.625671,0.222168,-0.746277
1529305716586459,0.0485229,0.625732,0.223022,-0.745911
1529305716605408,0.0494995,0.625793,0.223755,-0.745544
1529305716621366,0.050293,0.625916,0.224304,-0.745239
1529305716643312,0.0509033,0.626038,0.22467,-0.744934
1529305716688188,0.0513916,0.626221,0.225037,-0.74469
1529305716696169,0.0518188,0.626282,0.225403,-0.744507
1529305716748027,0.052124,0.626465,0.225647,-0.744202
1529305716785927,0.0529175,0.627014,0.226318,-0.74353
1529305716800886,0.0534668,0.627258,0.226563,-0.743164
1529305716837787,0.0545044,0.627625,0.227051,-0.742676
1529305716868706,0.0548706,0.627686,0.227234,-0.742493
1529305716920567,0.0559082,0.627625,0.22699,-0.742615
1529305716966444,0.0562134,0.627319,0.226379,-0.743042
1529305716988384,0.0562744,0.627136,0.226135,-0.743225
1529305717012322,0.0562134,0.626953,0.225647,-0.74353
1529305717033264,0.0561523,0.626831,0.225403,-0.743713
1529305717056203,0.0561523,0.62677,0.22522,-0.743835
1529305717078145,0.0560913,0.626648,0.224915,-0.744019
1529305717101083,0.0559692,0.626648,0.224365,-0.744202
1529305717116057,0.0557251,0.626587,0.223755,-0.744446
1529305717145963,0.0552979,0.626648,0.223022,-0.744629
1529305717167905,0.0548096,0.626709,0.222412,-0.744812
1529305717197825,0.0529175,0.626038,0.221375,-0.74585
1529305717220763,0.0490112,0.625061,0.219116,-0.747559
1529305717235724,0.0427246,0.62323,0.21637,-0.750305
1529305717258678,0.0339966,0.6203,0.213196,-0.754089
1529305717280604,0.0231934,0.615906,0.210022,-0.758972
1529305717295563,0.00811768,0.609924,0.205933,-0.765198
1529305717318502,-0.0119629,0.601257,0.201294,-0.773193
1529305717340453,-0.0367432,0.590698,0.196777,-0.781677
1529305717355403,-0.0653076,0.577698,0.194336,-0.7901
1529305717378342,-0.095459,0.562317,0.195496,-0.797791
1529305717400285,-0.125488,0.545105,0.200989,-0.804199
1529305717415251,-0.155273,0.526306,0.210693,-0.809021
1529305717438183,-0.184998,0.505859,0.224243,-0.812134
1529305717461121,-0.213623,0.483826,0.240906,-0.813782
1529305717483062,-0.239624,0.460449,0.259399,-0.814453
1529305717506035,-0.262146,0.435974,0.279602,-0.81427
1529305717535922,-0.295349,0.38501,0.324524,-0.811951
1529305717557863,-0.30603,0.360107,0.346741,-0.810181
1529305717580801,-0.313843,0.336304,0.368469,-0.807861
1529305717602776,-0.319214,0.313416,0.389954,-0.804871
1529305717618891,-0.324646,0.292969,0.409912,-0.800476
1529305717640641,-0.331116,0.276001,0.427612,-0.794556
1529305717663594,-0.338196,0.26239,0.443359,-0.787537
1529305717678803,-0.344971,0.251465,0.457703,-0.779907
1529305717701090,-0.350708,0.243042,0.470825,-0.772217
1529305717723307,-0.35553,0.238525,0.481567,-0.764709
1529305717737999,-0.35907,0.235596,0.491089,-0.757935
1529305717760950,-0.361328,0.233704,0.499329,-0.752014
1529305717783212,-0.363159,0.232849,0.505188,-0.747498
1529305717798608,-0.364807,0.233643,0.508911,-0.743896
1529305717821030,-0.366455,0.234985,0.511963,-0.74054
1529305717851213,-0.368896,0.236816,0.513794,-0.737427
1529305717866150,-0.372314,0.241577,0.513611,-0.734314
1529305717887887,-0.376099,0.248657,0.511719,-0.731384
1529305717918956,-0.378967,0.25592,0.508728,-0.729431
1529305717933733,-0.38031,0.262024,0.504822,-0.729309
1529305717963648,-0.379944,0.272827,0.496826,-0.731018
1529305717978611,-0.379639,0.278015,0.493225,-0.731628
1529305718001080,-0.380737,0.284058,0.489014,-0.731567
1529305718023564,-0.38269,0.289978,0.485046,-0.730896
1529305718060893,-0.386658,0.295471,0.482422,-0.728333
1529305718090620,-0.389587,0.295593,0.482605,-0.726624
1529305718144020,-0.394104,0.284912,0.491699,-0.72229
1529305718188722,-0.395813,0.272766,0.50238,-0.718689
1529305718210795,-0.398376,0.267151,0.508179,-0.715332
1529305718247750,-0.403137,0.25592,0.520325,-0.708008
1529305718270687,-0.404663,0.250366,0.526367,-0.70459
1529305718301116,-0.407471,0.240234,0.539246,-0.696777
1529305718338128,-0.411804,0.232117,0.551758,-0.687134
1529305718361296,-0.414001,0.228699,0.557617,-0.68219
1529305718398687,-0.415894,0.221985,0.568237,-0.674438
1529305718420869,-0.41571,0.219055,0.571899,-0.672424
1529305718458446,-0.394104,0.214844,0.565918,-0.691589
1529305718480695,-0.391846,0.231628,0.545654,-0.703613
1529305718526279,-0.390503,0.258301,0.517456,-0.716309
1529305718548160,-0.397034,0.27301,0.501587,-0.718506
1529305718601024,-0.393372,0.282288,0.480652,-0.731201
1529305718638232,-0.395264,0.282837,0.469666,-0.737
1529305718661178,-0.400024,0.282532,0.466125,-0.736816
1529305718698123,-0.408447,0.27948,0.462585,-0.735596
1529305718721062,-0.410522,0.276123,0.462708,-0.735657
1529305718757909,-0.413513,0.267822,0.465393,-0.735352
1529305718780904,-0.4151,0.264465,0.46698,-0.734619
1529305718810826,-0.418152,0.258301,0.472168,-0.731812
1529305718833733,-0.420288,0.255615,0.475891,-0.729065
1529305718855702,-0.42334,0.253174,0.481018,-0.724792
1529305718878658,-0.426514,0.250671,0.487061,-0.719788
1529305718893599,-0.427612,0.247437,0.494568,-0.715088
1529305718915540,-0.427002,0.242981,0.50415,-0.710266
1529305718938426,-0.425781,0.239075,0.514771,-0.704651
1529305718953440,-0.424011,0.235962,0.525818,-0.698608
1529305718976230,-0.421692,0.233032,0.537109,-0.692383
1529305718998720,-0.419373,0.229919,0.548767,-0.685669
1529305719013672,-0.417542,0.227173,0.559753,-0.678772
1529305719036477,-0.414734,0.221497,0.568237,-0.675354
1529305719058221,-0.390869,0.222534,0.557617,-0.697693
1529305719073181,-0.378174,0.24585,0.53418,-0.715027
1529305719096371,-0.375488,0.259888,0.536011,-0.710022
1529305719118322,-0.383545,0.265198,0.535889,-0.703857
1529305719134051,-0.402039,0.290222,0.518372,-0.696777
1529305719155910,-0.408264,0.303284,0.510681,-0.693237
1529305719179048,-0.403503,0.299133,0.509521,-0.698669
1529305719194063,-0.393555,0.288818,0.511169,-0.707397
1529305719216079,-0.38501,0.281799,0.511536,-0.714661
1529305719237763,-0.382507,0.279602,0.50946,-0.718262
1529305719253247,-0.385681,0.28186,0.505676,-0.718445
1529305719298972,-0.391663,0.285645,0.501648,-0.716492
1529305719321444,-0.397339,0.289551,0.497192,-0.714905
1529305719336395,-0.400269,0.292236,0.493042,-0.715027
1529305719358682,-0.398743,0.292175,0.488281,-0.719177
1529305719373815,-0.398315,0.291565,0.487183,-0.720398
1529305719395820,-0.399048,0.292053,0.486389,-0.720337
1529305719418524,-0.400452,0.293396,0.485779,-0.719482
1529305719433850,-0.401245,0.294739,0.485229,-0.718811
1529305719463617,-0.400635,0.295837,0.484741,-0.719055
1529305719478630,-0.399048,0.297119,0.484131,-0.719788
1529305719501260,-0.396851,0.299072,0.483215,-0.720825
1529305719538421,-0.392029,0.307007,0.477356,-0.723999
1529305719561208,-0.388123,0.313049,0.47168,-0.727234
1529305719576165,-0.382874,0.320068,0.46521,-0.73114
1529305719598350,-0.376953,0.32782,0.458618,-0.734924
1529305719613110,-0.37207,0.337219,0.449951,-0.738464
1529305719635625,-0.366882,0.349243,0.438965,-0.742126
1529305719658739,-0.359436,0.362061,0.42627,-0.747009
1529305719672694,-0.348206,0.375183,0.411499,-0.75415
1529305719695869,-0.333496,0.388611,0.395325,-0.762573
1529305719719061,-0.316345,0.401978,0.379333,-0.771057
1529305719740896,-0.298523,0.415894,0.363892,-0.778137
1529305719763158,-0.280884,0.432129,0.346802,-0.78363
1529305719793949,-0.241882,0.468933,0.308411,-0.791504
1529305719816530,-0.217957,0.486511,0.29248,-0.793884
1529305719838726,-0.189514,0.503601,0.278992,-0.79541
1529305719853681,-0.156738,0.521362,0.266357,-0.79541
1529305719875705,-0.121704,0.539917,0.255005,-0.792847
1529305719898853,-0.0863647,0.558777,0.244873,-0.787598
1529305719913848,-0.052124,0.577576,0.235413,-0.779907
1529305719935794,-0.020752,0.595154,0.226257,-0.770813
1529305719966054,0.0055542,0.611145,0.216614,-0.761292
1529305719980719,0.0263672,0.624512,0.207275,-0.752502
1529305720018758,0.0540161,0.643616,0.190063,-0.73938
1529305720033743,0.0598145,0.650513,0.182251,-0.734863
1529305720056077,0.0598145,0.656555,0.173706,-0.731567
1529305720078877,0.0552368,0.662292,0.165222,-0.728699
1529305720093587,0.0490112,0.667114,0.158691,-0.726196
1529305720115556,0.0432739,0.670776,0.154358,-0.724121
1529305720146124,0.0385132,0.673462,0.151917,-0.722412
1529305720160991,0.0339966,0.674805,0.150818,-0.721619
1529305720190276,0.0288086,0.675232,0.14978,-0.72168
1529305720206416,0.022522,0.675232,0.148315,-0.722168
1529305720221367,0.015686,0.674744,0.147278,-0.723022
1529305720236331,0.00915527,0.673767,0.147644,-0.723938
1529305720258315,0.00390625,0.672241,0.149841,-0.724976
1529305720273617,0.000732422,0.669983,0.154236,-0.726196
1529305720295645,-0.000427246,0.666992,0.160767,-0.727478
1529305720318635,0,0.66333,0.169006,-0.729004
1529305720333543,0.00128174,0.658997,0.178223,-0.730713
1529305720356363,0.00286865,0.654114,0.187866,-0.732666
1529305720378280,0.00524902,0.648376,0.197571,-0.735229
1529305720393039,0.00952148,0.641968,0.206421,-0.738342
1529305720415999,0.0153809,0.635376,0.215088,-0.741455
1529305720438975,0.0227661,0.629028,0.224792,-0.743835
1529305720461194,0.0332642,0.622986,0.235474,-0.745178
1529305720484103,0.0452271,0.615906,0.246826,-0.746765
