timestamp,x,y,z,w
1528441263024129,0.579407,0.417297,0.639526,-0.284729
1528441263038091,0.579895,0.416199,0.640259,-0.283569
1528441263053053,0.580261,0.415161,0.641174,-0.282349
1528441263077984,0.580627,0.414124,0.64209,-0.281006
1528441263098929,0.580994,0.413147,0.643127,-0.279541
1528441263113889,0.581299,0.41217,0.644043,-0.278137
1528441263138824,0.581543,0.411255,0.644836,-0.276978
1528441263166753,0.581665,0.410645,0.64563,-0.276001
1528441263180712,0.581421,0.410461,0.64624,-0.275269
1528441263197665,0.581055,0.410645,0.646667,-0.274719
1528441263221602,0.580627,0.411133,0.647034,-0.274048
1528441263236561,0.580139,0.411804,0.647339,-0.273376
1528441263256509,0.579529,0.412659,0.647522,-0.272827
1528441263294408,0.578857,0.413757,0.647583,-0.272461
1528441263303383,0.578125,0.415161,0.6474,-0.272339
1528441263318342,0.577271,0.416809,0.647034,-0.272522
1528441263338291,0.576294,0.41864,0.646606,-0.272827
1528441263355246,0.575439,0.42041,0.645996,-0.273315
1528441263377192,0.574646,0.422302,0.645325,-0.273865
1528441263399127,0.573975,0.423828,0.644592,-0.274475
1528441263415084,0.573669,0.424866,0.644043,-0.27478
1528441263437025,0.57373,0.425171,0.643738,-0.274963
1528441263457969,0.574097,0.424866,0.643494,-0.275208
1528441263474925,0.574646,0.424194,0.64325,-0.275574
1528441263496866,0.575256,0.423218,0.643127,-0.276062
1528441263517810,0.57605,0.421875,0.643127,-0.27655
1528441263534764,0.576965,0.419983,0.643372,-0.276978
1528441263556705,0.578064,0.417725,0.643677,-0.277405
1528441263578647,0.579102,0.4151,0.644165,-0.278076
1528441263593607,0.579895,0.412476,0.644653,-0.279053
1528441263616545,0.580505,0.410156,0.645081,-0.280396
1528441263638487,0.58075,0.408203,0.645386,-0.281921
1528441263653447,0.58075,0.406616,0.645752,-0.283325
1528441263676386,0.580505,0.40564,0.64624,-0.284241
1528441263699325,0.579956,0.405334,0.646729,-0.284668
1528441263714285,0.579468,0.40564,0.647156,-0.284302
1528441263736226,0.578979,0.406494,0.647461,-0.283264
1528441263759164,0.578552,0.407898,0.647705,-0.281616
1528441263774124,0.578186,0.40979,0.647644,-0.279724
1528441263796066,0.577759,0.411987,0.647461,-0.27771
1528441263819014,0.577393,0.414246,0.647278,-0.275574
1528441263833985,0.577087,0.415955,0.647278,-0.273682
1528441263855906,0.576843,0.417114,0.647461,-0.272034
1528441263878856,0.57666,0.417542,0.647827,-0.270691
1528441263893808,0.576721,0.417236,0.648376,-0.269775
1528441263916052,0.576904,0.41626,0.649109,-0.269287
1528441263938941,0.577148,0.414795,0.649841,-0.269287
1528441263953901,0.577332,0.413208,0.650452,-0.269714
1528441263977104,0.577576,0.411804,0.650879,-0.270447
1528441263999101,0.577698,0.410461,0.651306,-0.271118
1528441264014071,0.577881,0.409485,0.651611,-0.271484
1528441264037262,0.578064,0.408997,0.651733,-0.271362
1528441264059304,0.578369,0.409119,0.651672,-0.270874
1528441264073892,0.578735,0.409607,0.651367,-0.270142
1528441264096864,0.578979,0.410645,0.650879,-0.268982
1528441264119841,0.579285,0.412109,0.650269,-0.267822
1528441264133807,0.579529,0.413635,0.649597,-0.266541
1528441264156745,0.579773,0.414978,0.648926,-0.265503
1528441264178686,0.580139,0.416138,0.648132,-0.264771
1528441264193881,0.580444,0.41687,0.647522,-0.264404
1528441264216850,0.580811,0.417236,0.647034,-0.264282
1528441264239690,0.581177,0.416992,0.64679,-0.264404
1528441264254668,0.581726,0.416077,0.64679,-0.264771
1528441264276429,0.582153,0.414673,0.647034,-0.265259
1528441264298496,0.582642,0.413147,0.647278,-0.266113
1528441264315449,0.58313,0.411621,0.6474,-0.267029
1528441264337003,0.583557,0.410156,0.647522,-0.268127
1528441264358981,0.583801,0.408997,0.647644,-0.269043
1528441264374939,0.584167,0.407898,0.647705,-0.269714
1528441264397048,0.584656,0.406799,0.647766,-0.270203
1528441264418836,0.585083,0.405701,0.64801,-0.270325
1528441264435779,0.585449,0.404724,0.648254,-0.270325
1528441264457193,0.585632,0.404114,0.648621,-0.270142
1528441264478884,0.585632,0.403809,0.648865,-0.27002
1528441264496177,0.585632,0.40387,0.648865,-0.269958
1528441264515982,0.585632,0.40387,0.648804,-0.269958
1528441264538914,0.585449,0.404053,0.648987,-0.269531
1528441264555878,0.585205,0.40448,0.64917,-0.269165
1528441264577080,0.585022,0.404785,0.649292,-0.268738
1528441264598757,0.5849,0.404968,0.649414,-0.268311
1528441264614712,0.584839,0.405029,0.649658,-0.267883
1528441264636656,0.584717,0.405212,0.64978,-0.267639
1528441264658817,0.584473,0.405579,0.64978,-0.267578
1528441264675772,0.584229,0.406006,0.649719,-0.267639
1528441264696979,0.584106,0.406433,0.649536,-0.2677
1528441264719697,0.583984,0.40686,0.649353,-0.267761
1528441264734889,0.583862,0.40741,0.649048,-0.267883
1528441264756828,0.583801,0.40802,0.64856,-0.268311
1528441264779041,0.583618,0.40863,0.648071,-0.268921
1528441264794736,0.583252,0.409302,0.647644,-0.269775
1528441264817765,0.582825,0.410156,0.646973,-0.270996
1528441264838710,0.582275,0.411377,0.646118,-0.272339
1528441264854669,0.582031,0.412659,0.64502,-0.27356
1528441264877604,0.582397,0.413147,0.644104,-0.274109
1528441264898548,0.583496,0.412476,0.643738,-0.273682
1528441264914505,0.585083,0.410645,0.643982,-0.272461
1528441264937444,0.587036,0.407776,0.644775,-0.270752
