timestamp,x,y,z,w
1528441305651272,-0.62854,0.0719604,-0.758728,0.15564
1528441305673212,-0.62677,0.103516,-0.759216,0.141785
1528441305699142,-0.624451,0.149109,-0.75647,0.125305
1528441305714112,-0.619812,0.207092,-0.749084,0.108704
1528441305733053,-0.613525,0.268372,-0.736328,0.097229
1528441305758982,-0.605957,0.323486,-0.720459,0.0961304
1528441305803862,-0.595032,0.365662,-0.707153,0.110535
1528441305808850,-0.578979,0.395691,-0.699097,0.139709
1528441305815831,-0.557617,0.417358,-0.695557,0.176514
1528441305868732,-0.532471,0.434998,-0.69342,0.215515
1528441305890632,-0.505005,0.452271,-0.690063,0.25354
1528441305913569,-0.476868,0.470764,-0.683289,0.290039
1528441305950472,-0.420227,0.507324,-0.659546,0.362
1528441305973409,-0.389587,0.522949,-0.645569,0.397522
1528441305988369,-0.354126,0.533752,-0.632324,0.43573
1528441306003330,-0.314392,0.537109,-0.621765,0.475464
1528441306026268,-0.2724,0.535339,-0.612854,0.513428
1528441306056187,-0.229797,0.53186,-0.60437,0.546875
1528441306072145,-0.187317,0.527527,-0.596436,0.575256
1528441306108050,-0.11676,0.520325,-0.577637,0.617981
1528441306125019,-0.0905151,0.519531,-0.566284,0.633423
1528441306130999,-0.0716553,0.521851,-0.554565,0.644165
1528441306175868,-0.0617065,0.526855,-0.541809,0.651978
1528441306212769,-0.072998,0.546021,-0.496216,0.671021
1528441306228727,-0.0845947,0.557373,-0.465515,0.682251
1528441306250722,-0.0924072,0.568848,-0.435608,0.691406
1528441306273607,-0.0950317,0.583069,-0.40863,0.695679
1528441306280588,-0.0966797,0.601013,-0.386475,0.692871
1528441306303528,-0.10437,0.618896,-0.368896,0.685486
1528441306325469,-0.119446,0.630249,-0.355774,0.679626
1528441306340467,-0.132629,0.63208,-0.352966,0.676941
1528441306363367,-0.12561,0.623535,-0.371033,0.676514
1528441306393314,-0.105774,0.60968,-0.400879,0.675537
1528441306416226,-0.0792236,0.593811,-0.433167,0.673401
1528441306438169,-0.052002,0.577332,-0.465271,0.668884
1528441306453181,-0.0282593,0.564941,-0.490112,0.663147
1528441306468092,-0.0150757,0.560242,-0.502258,0.658508
1528441306491030,-0.0141602,0.562866,-0.503052,0.65564
1528441306506032,-0.0259399,0.56781,-0.494385,0.657593
1528441306520984,-0.0536499,0.575195,-0.472595,0.665527
1528441306550909,-0.0834961,0.587891,-0.439087,0.674255
1528441306565871,-0.10498,0.603455,-0.405518,0.678467
1528441306580834,-0.112976,0.618958,-0.384644,0.675415
1528441306603968,-0.114624,0.62854,-0.384583,0.666199
1528441306625788,-0.113159,0.629578,-0.392944,0.660583
1528441306640696,-0.108521,0.616089,-0.41156,0.66272
1528441306670617,-0.101501,0.598938,-0.434387,0.664978
1528441306700550,-0.0929565,0.584717,-0.453552,0.666077
1528441306715546,-0.0801392,0.573303,-0.470642,0.665833
1528441306730456,-0.062561,0.562195,-0.485413,0.666565
1528441306745416,-0.0471191,0.552429,-0.495605,0.668579
1528441306761377,-0.0368652,0.545776,-0.501709,0.670105
1528441306783573,-0.0361938,0.542297,-0.500122,0.674133
1528441306798469,-0.0552979,0.544006,-0.487854,0.68042
1528441306821024,-0.0878906,0.553406,-0.460815,0.688232
1528441306850834,-0.119629,0.566711,-0.42688,0.694458
1528441306865795,-0.141785,0.581787,-0.395081,0.696655
1528441306903939,-0.147827,0.614258,-0.362427,0.685181
1528441306917905,-0.148743,0.627991,-0.358704,0.674377
1528441306940893,-0.156372,0.638062,-0.357788,0.663574
1528441306962784,-0.163757,0.643311,-0.361389,0.654724
1528441306978755,-0.16217,0.641235,-0.371155,0.651733
1528441307000915,-0.15625,0.637878,-0.381592,0.650391
1528441307023936,-0.152893,0.63678,-0.388,0.648499
1528441307045866,-0.153015,0.637451,-0.388794,0.647339
1528441307061143,-0.155518,0.638062,-0.388184,0.646484
1528441307083561,-0.158813,0.638062,-0.38916,0.645142
1528441307105255,-0.160461,0.637085,-0.393433,0.643066
1528441307120734,-0.160828,0.636108,-0.399902,0.639954
1528441307143402,-0.162048,0.635498,-0.40741,0.635498
1528441307165343,-0.165222,0.634521,-0.416016,0.630066
1528441307203269,-0.178894,0.629883,-0.439697,0.614746
1528441307233217,-0.188049,0.624451,-0.456116,0.60553
1528441307263135,-0.21521,0.604736,-0.501953,0.579651
1528441307293057,-0.234314,0.590515,-0.529602,0.562073
1528441307352895,-0.309937,0.536804,-0.611633,0.491638
1528441307382763,-0.355408,0.491455,-0.658142,0.446045
1528441307405701,-0.377258,0.46521,-0.68042,0.422241
1528441307450607,-0.429077,0.401672,-0.722717,0.363647
1528441307503347,-0.503784,0.289124,-0.767456,0.271423
1528441307525327,-0.530762,0.247986,-0.777405,0.229187
1528441307563229,-0.574097,0.168213,-0.790649,0.130737
1528441307585415,-0.579895,0.132935,-0.798462,0.0926514
1528441307623860,-0.577637,0.0864868,-0.810486,0.0449829
1528441307645540,-0.579712,0.0845337,-0.810181,0.0219116
1528441307683786,-0.587585,0.107788,-0.80188,-0.013855
1528441307706081,-0.588013,0.120239,-0.799561,-0.0247803
1528441307743383,-0.587036,0.132324,-0.798035,-0.0330811
1528441307773306,-0.586548,0.132813,-0.79834,-0.0327148
1528441307811241,-0.586975,0.132141,-0.79834,-0.0255737
1528441307826199,-0.587585,0.134583,-0.797668,-0.0199585
1528441307863402,-0.588501,0.141296,-0.796082,-0.00756836
1528441307886326,-0.588928,0.1427,-0.795532,-0.00195313
1528441307924103,-0.588379,0.144348,-0.795654,0.00628662
1528441307946065,-0.587524,0.147339,-0.795654,0.00842285
1528441307961311,-0.586792,0.152588,-0.795227,0.00952148
1528441307976493,-0.586487,0.159485,-0.794067,0.0106812
1528441307998417,-0.586853,0.167053,-0.792175,0.0127563
1528441308021531,-0.587891,0.173645,-0.789978,0.0169678
1528441308036581,-0.589172,0.178589,-0.78772,0.0234375
1528441308058163,-0.590759,0.182251,-0.7854,0.0315552
